timestamp,value
788889600,86.1
788976000,79.2
789062400,81.5
789148800,79.5
789235200,81.0
789321600,82.7
789408000,76.7
789494400,79.2
789580800,81.0
789667200,79.6
789753600,82.1
789840000,79.1
789926400,81.8
790012800,81.2
790099200,77.1
790185600,80.7
790272000,80.7
790358400,79.2
790444800,79.3
790531200,82.2
790617600,80.2
790704000,80.5
790790400,84.4
790876800,79.1
790963200,77.9
791049600,80.7
791136000,79.1
791222400,79.8
791308800,80.6
791395200,80.6
791481600,81.8
791568000,83.7
791654400,81.5
791740800,82.0
791827200,83.8
791913600,81.2
792000000,87.8
792086400,83.9
792172800,83.3
792259200,80.8
792345600,82.5
792432000,79.4
792518400,76.3
792604800,80.5
792691200,77.1
792777600,79.0
792864000,82.5
792950400,81.8
793036800,80.3
793123200,83.5
793209600,82.2
793296000,79.9
793382400,80.2
793468800,82.4
793555200,88.1
793641600,80.6
793728000,83.0
793814400,84.4
793900800,78.5
793987200,81.8
794073600,78.7
794160000,81.8
794246400,80.4
794332800,76.9
794419200,86.0
794505600,84.6
794592000,81.9
794678400,84.5
794764800,83.3
794851200,83.5
794937600,85.7
795024000,82.6
795110400,84.3
795196800,84.5
795283200,83.9
795369600,85.9
795456000,82.4
795542400,87.7
795628800,83.9
795715200,85.0
795801600,84.1
795888000,82.1
795974400,86.7
796060800,83.7
796147200,86.6
796233600,85.3
796320000,82.8
796406400,81.9
796492800,84.2
796579200,84.2
796665600,87.7
796752000,82.1
796838400,82.0
796924800,82.7
797011200,84.2
797097600,77.1
797184000,77.6
797270400,80.8
797356800,84.9
797443200,84.6
797529600,82.0
797616000,78.4
797702400,83.8
797788800,83.7
797875200,81.3
797961600,80.1
798048000,79.0
798134400,81.9
798220800,81.5
798307200,86.3
798393600,79.5
798480000,77.6
798566400,81.9
798652800,81.8
798739200,84.2
798825600,82.9
798912000,81.2
798998400,81.9
799084800,81.0
799171200,80.8
799257600,85.6
799344000,82.4
799430400,83.1
799516800,83.4
799603200,79.6
799689600,79.3
799776000,81.2
799862400,84.0
799948800,83.5
800035200,83.5
800121600,86.4
800208000,85.1
800294400,84.9
800380800,83.0
800467200,83.9
800553600,84.4
800640000,84.7
800726400,86.9
800812800,83.9
800899200,83.7
800985600,84.3
801072000,79.1
801158400,83.0
801244800,85.0
801331200,82.8
801417600,82.9
801504000,83.8
801590400,85.0
801676800,82.9
801763200,85.2
801849600,84.4
801936000,85.6
802022400,87.5
802108800,76.8
802195200,82.7
802281600,81.1
802368000,81.6
802454400,83.3
802540800,81.8
802627200,82.2
802713600,82.7
802800000,81.8
802886400,83.7
802972800,84.8
803059200,84.3
803145600,84.1
803232000,81.7
803318400,82.5
803404800,82.4
803491200,83.9
803577600,83.1
803664000,81.2
803750400,82.5
803836800,81.9
803923200,81.8
804009600,83.4
804096000,82.2
804182400,80.1
804268800,80.4
804355200,82.4
804441600,77.7
804528000,82.3
804614400,83.2
804700800,83.0
804787200,83.7
804873600,82.5
804960000,80.6
805046400,81.5
805132800,81.6
805219200,83.1
805305600,82.1
805392000,83.1
805478400,81.4
805564800,82.3
805651200,81.4
805737600,83.9
805824000,80.9
805910400,82.9
805996800,82.7
806083200,84.8
806169600,78.0
806256000,79.0
806342400,80.4
806428800,82.9
806515200,82.9
806601600,81.2
806688000,81.2
806774400,81.6
806860800,82.7
806947200,80.2
807033600,79.3
807120000,81.7
807206400,82.6
807292800,82.6
807379200,84.2
807465600,81.5
807552000,81.4
807638400,81.0
807724800,83.0
807811200,83.4
807897600,84.0
807984000,81.9
808070400,83.2
808156800,83.9
808243200,82.5
808329600,78.2
808416000,79.3
808502400,81.0
808588800,84.5
808675200,81.8
808761600,80.4
808848000,80.5
808934400,80.5
809020800,80.5
809107200,81.9
809193600,81.4
809280000,81.2
809366400,82.4
809452800,81.0
809539200,81.3
809625600,81.2
809712000,80.3
809798400,83.4
809884800,80.6
809971200,83.0
810057600,82.5
810144000,82.7
810230400,83.9
810316800,82.9
810403200,84.4
810489600,81.7
810576000,81.7
810662400,81.5
810748800,81.8
810835200,81.1
810921600,82.0
811008000,83.2
811094400,84.4
811180800,81.5
811267200,81.2
811353600,81.2
811440000,81.2
811526400,84.4
811612800,82.0
811699200,81.6
811785600,82.7
811872000,82.4
811958400,83.7
812044800,83.7
812131200,80.9
812217600,83.8
812304000,82.7
812390400,84.5
812476800,82.1
812563200,81.5
812649600,83.6
812736000,82.6
812822400,85.4
812908800,82.9
812995200,82.3
813081600,80.5
813168000,81.2
813254400,82.4
813340800,82.7
813427200,79.5
813513600,82.8
813600000,82.5
813686400,80.3
813772800,82.2
813859200,82.2
813945600,85.1
814032000,83.3
814118400,81.6
814204800,81.1
814291200,82.6
814377600,78.5
814464000,75.6
814550400,82.0
814636800,78.9
814723200,77.7
814809600,79.4
814896000,78.4
814982400,82.1
815068800,80.6
815155200,81.8
815241600,79.6
815328000,79.4
815414400,78.0
815500800,76.0
815587200,78.1
815673600,75.9
815760000,79.9
815846400,80.7
815932800,82.7
816019200,81.0
816105600,79.7
816192000,76.9
816278400,81.8
816364800,80.9
816451200,83.5
816537600,83.0
816624000,81.1
816710400,80.9
816796800,80.2
816883200,84.6
816969600,80.8
817056000,79.5
817142400,82.7
817228800,82.6
817315200,80.2
817401600,80.9
817488000,78.9
817574400,85.6
817660800,80.2
817747200,75.4
817833600,79.5
817920000,80.3
818006400,83.3
818092800,81.0
818179200,84.9
818265600,77.8
818352000,77.7
818438400,80.0
818524800,81.6
818611200,81.6
818697600,77.8
818784000,80.1
818870400,83.0
818956800,80.5
819043200,80.4
819129600,83.8
819216000,78.8
819302400,81.0
819388800,79.6
819475200,87.5
819561600,81.0
819648000,78.7
819734400,77.6
819820800,80.4
819907200,78.3
819993600,80.6
820080000,79.6
820166400,80.6
820252800,79.2
820339200,80.2
820425600,80.2
820512000,80.2
820598400,79.4
820684800,78.9
820771200,83.6
820857600,80.4
820944000,77.1
821030400,81.7
821116800,79.6
821203200,81.0
821289600,81.3
821376000,82.4
821462400,82.7
821548800,79.2
821635200,78.8
821721600,79.8
821808000,76.3
821894400,76.3
821980800,79.2
822067200,75.7
822153600,77.5
822240000,77.5
822326400,83.1
822412800,80.0
822499200,80.5
822585600,83.0
822672000,78.4
822758400,78.8
822844800,81.3
822931200,77.4
823017600,77.4
823104000,79.1
823190400,80.1
823276800,76.5
823363200,83.7
823449600,81.2
823536000,82.1
823622400,86.3
823708800,80.1
823795200,77.7
