timestamp,value
788889600,12.9
788976000,23.2
789062400,14.3
789148800,10.3
789235200,19.5
789321600,30.5
789408000,30.0
789494400,43.5
789580800,39.8
789667200,43.6
789753600,46.9
789840000,39.7
789926400,35.0
790012800,34.3
790099200,43.6
790185600,40.6
790272000,25.1
790358400,23.2
790444800,28.7
790531200,28.2
790617600,24.0
790704000,23.0
790790400,24.9
790876800,32.6
790963200,34.5
791049600,35.7
791136000,37.4
791222400,33.7
791308800,28.9
791395200,30.6
791481600,40.2
791568000,43.6
791654400,48.8
791740800,36.5
791827200,42.2
791913600,37.4
792000000,39.0
792086400,34.9
792172800,30.9
792259200,32.8
792345600,31.3
792432000,12.0
792518400,5.3
792604800,4.0
792691200,22.9
792777600,27.0
792864000,29.6
792950400,33.9
793036800,44.4
793123200,37.2
793209600,48.9
793296000,46.3
793382400,49.4
793468800,44.0
793555200,45.2
793641600,49.2
793728000,49.3
793814400,45.6
793900800,27.4
793987200,13.1
794073600,7.1
794160000,20.7
794246400,37.6
794332800,39.4
794419200,33.5
794505600,22.4
794592000,29.1
794678400,43.7
794764800,52.2
794851200,58.9
794937600,52.9
795024000,49.5
795110400,48.5
795196800,44.6
795283200,49.7
795369600,47.4
795456000,48.7
795542400,52.4
795628800,43.0
795715200,55.0
795801600,55.7
795888000,43.2
795974400,50.6
796060800,41.4
796147200,33.2
796233600,31.9
796320000,27.4
796406400,24.6
796492800,25.7
796579200,31.9
796665600,40.3
796752000,45.6
796838400,43.9
796924800,45.1
797011200,53.8
797097600,53.9
797184000,58.3
797270400,59.1
797356800,40.4
797443200,25.2
797529600,23.0
797616000,36.2
797702400,49.1
797788800,54.8
797875200,43.3
797961600,46.5
798048000,34.7
798134400,33.4
798220800,29.6
798307200,31.7
798393600,32.4
798480000,29.2
798566400,30.4
798652800,35.2
798739200,45.4
798825600,38.0
798912000,36.9
798998400,48.0
799084800,44.7
799171200,44.1
799257600,40.9
799344000,43.7
799430400,47.4
799516800,44.2
799603200,47.6
799689600,49.1
799776000,50.7
799862400,48.2
799948800,47.8
800035200,48.3
800121600,50.9
800208000,56.0
800294400,53.5
800380800,49.1
800467200,58.4
800553600,62.6
800640000,43.0
800726400,45.7
800812800,53.6
800899200,51.9
800985600,53.7
801072000,54.8
801158400,43.7
801244800,38.7
801331200,40.3
801417600,50.0
801504000,47.8
801590400,46.9
801676800,46.0
801763200,45.1
801849600,52.7
801936000,58.6
802022400,59.6
802108800,54.9
802195200,54.1
802281600,55.7
802368000,64.5
802454400,59.0
802540800,55.6
802627200,51.8
802713600,51.8
802800000,52.4
802886400,63.2
802972800,69.8
803059200,72.4
803145600,70.5
803232000,66.1
803318400,63.6
803404800,61.1
803491200,65.5
803577600,68.8
803664000,70.7
803750400,67.5
803836800,62.8
803923200,57.0
804009600,58.3
804096000,61.7
804182400,66.1
804268800,64.2
804355200,52.4
804441600,49.6
804528000,53.9
804614400,58.7
804700800,62.5
804787200,55.5
804873600,59.2
804960000,66.7
805046400,71.7
805132800,75.4
805219200,72.3
805305600,72.6
805392000,75.6
805478400,75.9
805564800,72.9
805651200,66.4
805737600,63.8
805824000,66.6
805910400,64.3
805996800,59.4
806083200,65.7
806169600,63.3
806256000,64.5
806342400,66.3
806428800,62.2
806515200,65.8
806601600,69.2
806688000,73.9
806774400,77.9
806860800,75.2
806947200,76.5
807033600,74.2
807120000,64.5
807206400,57.7
807292800,67.4
807379200,72.3
807465600,68.3
807552000,69.9
807638400,71.9
807724800,76.8
807811200,76.7
807897600,77.0
807984000,74.5
808070400,79.2
808156800,72.0
808243200,71.5
808329600,66.5
808416000,64.3
808502400,72.3
808588800,74.6
808675200,75.2
808761600,66.4
808848000,66.7
808934400,69.4
809020800,74.1
809107200,71.3
809193600,73.5
809280000,68.7
809366400,66.9
809452800,66.5
809539200,70.3
809625600,72.6
809712000,69.1
809798400,73.0
809884800,74.6
809971200,77.3
810057600,71.6
810144000,73.4
810230400,74.0
810316800,72.5
810403200,56.2
810489600,53.5
810576000,58.3
810662400,53.5
810748800,59.0
810835200,61.6
810921600,62.3
811008000,62.1
811094400,64.1
811180800,65.4
811267200,61.9
811353600,63.0
811440000,53.4
811526400,49.3
811612800,32.7
811699200,37.2
811785600,49.5
811872000,44.5
811958400,44.7
812044800,50.5
812131200,59.7
