timestamp,value
788889600,47.1
788976000,50.3
789062400,37.1
789148800,35.1
789235200,32.2
789321600,33.6
789408000,55.9
789494400,40.5
789580800,39.8
789667200,43.4
789753600,45.5
789840000,56.8
789926400,55.3
790012800,66.3
790099200,61.4
790185600,52.6
790272000,49.5
790358400,46.7
790444800,50.2
790531200,46.9
790617600,43.2
790704000,43.8
790790400,40.2
790876800,36.2
790963200,35.1
791049600,42.9
791136000,37.6
791222400,48.9
791308800,43.6
791395200,36.5
791481600,40.4
791568000,41.8
791654400,54.2
791740800,49.4
791827200,50.1
791913600,38.6
792000000,31.6
792086400,37.5
792172800,33.7
792259200,27.1
792345600,39.0
792432000,46.6
792518400,44.2
792604800,36.3
792691200,41.3
792777600,42.7
792864000,52.9
792950400,56.2
793036800,44.3
793123200,47.2
793209600,53.7
793296000,50.0
793382400,41.9
793468800,51.7
793555200,58.0
793641600,45.0
793728000,50.3
793814400,56.7
793900800,64.0
793987200,57.4
794073600,51.8
794160000,51.0
794246400,46.5
794332800,48.2
794419200,55.4
794505600,63.3
794592000,67.3
794678400,45.3
794764800,40.1
794851200,45.0
794937600,58.0
795024000,60.7
795110400,63.2
795196800,59.0
795283200,59.3
795369600,65.2
795456000,64.3
795542400,55.6
795628800,55.9
795715200,68.1
795801600,65.8
795888000,76.6
795974400,65.9
796060800,53.8
796147200,57.7
796233600,63.9
796320000,67.6
796406400,58.8
796492800,60.0
796579200,58.1
796665600,55.1
796752000,56.6
796838400,55.5
796924800,64.3
797011200,62.4
797097600,55.5
797184000,59.9
797270400,66.0
797356800,69.0
797443200,72.5
797529600,67.0
797616000,69.4
797702400,68.0
797788800,63.0
797875200,61.4
797961600,65.4
798048000,72.8
798134400,73.5
798220800,77.9
798307200,74.9
798393600,75.5
798480000,72.2
798566400,65.3
798652800,58.5
798739200,56.2
798825600,59.2
798912000,65.1
798998400,67.4
799084800,67.5
799171200,72.6
799257600,70.5
799344000,69.0
799430400,60.2
799516800,64.5
799603200,69.9
799689600,66.8
799776000,64.0
799862400,72.0
799948800,74.9
800035200,77.0
800121600,78.4
800208000,79.4
800294400,76.3
800380800,78.1
800467200,77.0
800553600,74.5
800640000,81.9
800726400,82.5
800812800,77.7
800899200,70.4
800985600,70.0
801072000,71.6
801158400,72.2
801244800,74.4
801331200,77.3
801417600,81.7
801504000,80.8
801590400,77.5
801676800,75.7
801763200,76.2
801849600,74.3
801936000,76.0
802022400,76.1
802108800,73.7
802195200,76.9
802281600,72.2
802368000,72.8
802454400,76.9
802540800,83.3
802627200,84.1
802713600,78.9
802800000,78.6
802886400,77.0
802972800,69.6
803059200,68.6
803145600,72.0
803232000,73.8
803318400,71.2
803404800,72.0
803491200,69.3
803577600,70.6
803664000,75.1
803750400,75.9
803836800,77.5
803923200,77.0
804009600,78.0
804096000,80.2
804182400,79.4
804268800,78.4
804355200,74.7
804441600,77.8
804528000,78.2
804614400,79.1
804700800,77.4
804787200,79.8
804873600,83.7
804960000,81.8
805046400,80.1
805132800,81.6
805219200,80.4
805305600,80.4
805392000,83.3
805478400,81.3
805564800,81.9
805651200,79.5
805737600,82.0
805824000,86.6
805910400,80.9
805996800,83.5
806083200,81.8
806169600,84.4
806256000,86.4
806342400,84.5
806428800,79.8
806515200,79.3
806601600,83.4
806688000,82.4
806774400,77.5
806860800,79.2
806947200,81.6
807033600,79.8
807120000,81.8
807206400,80.4
807292800,80.4
807379200,77.3
807465600,80.4
807552000,81.6
807638400,82.9
807724800,82.7
807811200,76.1
807897600,76.8
807984000,79.5
808070400,81.6
808156800,83.3
808243200,86.7
808329600,88.0
808416000,87.1
808502400,84.4
808588800,86.5
808675200,85.7
808761600,77.8
808848000,79.5
808934400,80.2
809020800,82.5
809107200,80.7
809193600,77.7
809280000,77.2
809366400,75.8
809452800,79.9
809539200,77.3
809625600,76.7
809712000,76.7
809798400,78.7
809884800,77.4
809971200,75.6
810057600,70.8
810144000,70.6
810230400,70.8
810316800,69.5
810403200,75.6
810489600,77.0
810576000,76.6
810662400,76.7
810748800,75.9
810835200,75.2
810921600,75.0
811008000,75.6
811094400,77.0
811180800,74.4
811267200,76.8
811353600,75.9
811440000,73.2
811526400,73.8
811612800,76.5
811699200,78.9
811785600,64.5
811872000,54.4
811958400,63.7
812044800,68.3
812131200,72.3
812217600,71.1
812304000,69.5
812390400,68.6
812476800,71.1
812563200,72.1
812649600,74.0
812736000,75.1
812822400,79.9
812908800,74.7
812995200,77.0
813081600,67.5
813168000,66.3
813254400,70.1
813340800,74.4
813427200,71.7
813513600,73.7
813600000,76.0
813686400,63.6
813772800,57.3
813859200,58.3
813945600,57.7
814032000,63.2
814118400,64.6
814204800,59.3
814291200,53.8
814377600,57.0
814464000,67.8
814550400,68.7
814636800,63.5
814723200,70.0
814809600,66.7
814896000,53.7
814982400,53.0
815068800,56.8
815155200,63.2
815241600,66.7
815328000,68.3
815414400,57.1
815500800,42.3
815587200,48.7
815673600,63.0
815760000,56.0
815846400,42.1
815932800,44.9
816019200,58.7
816105600,43.7
816192000,42.4
816278400,49.3
816364800,40.7
816451200,42.0
816537600,43.4
816624000,43.8
816710400,50.0
816796800,48.4
816883200,52.7
816969600,43.9
817056000,43.5
817142400,48.5
817228800,44.6
817315200,46.0
817401600,51.7
817488000,63.7
817574400,63.0
817660800,45.1
817747200,45.4
817833600,53.3
817920000,49.3
818006400,53.6
818092800,54.8
818179200,52.6
818265600,47.5
818352000,36.8
818438400,41.8
818524800,38.2
818611200,31.9
818697600,36.0
818784000,41.5
818870400,48.1
818956800,58.2
819043200,60.8
819129600,48.3
819216000,45.7
819302400,51.0
819388800,46.7
819475200,33.2
819561600,31.6
819648000,35.6
819734400,30.8
819820800,30.3
819907200,33.5
819993600,33.3
820080000,31.0
820166400,31.2
820252800,35.9
820339200,47.8
820425600,54.2
820512000,55.5
820598400,51.6
820684800,37.3
820771200,37.0
820857600,37.9
820944000,33.1
821030400,27.6
821116800,32.7
821203200,41.9
821289600,36.5
821376000,37.0
821462400,39.1
821548800,44.8
821635200,53.2
821721600,44.7
821808000,46.0
821894400,58.2
821980800,55.6
822067200,31.1
822153600,37.0
822240000,36.1
822326400,41.2
822412800,57.6
822499200,41.3
822585600,42.6
822672000,58.8
822758400,37.8
822844800,40.3
822931200,44.4
823017600,55.0
823104000,43.4
823190400,37.6
823276800,32.0
823363200,26.6
823449600,23.1
823536000,29.6
823622400,35.4
823708800,48.9
823795200,62.2
823881600,50.2
823968000,62.4
824054400,44.6
824140800,38.3
824227200,49.8
824313600,58.3
824400000,43.4
824486400,35.1
824572800,41.6
824659200,47.3
824745600,56.6
824832000,54.3
824918400,60.7
825004800,62.0
825091200,65.7
825177600,53.8
825264000,62.4
825350400,68.9
825436800,64.6
825523200,56.3
825609600,48.4
825696000,50.2
825782400,51.6
825868800,47.3
825955200,58.1
826041600,64.0
826128000,62.1
826214400,39.4
826300800,29.3
826387200,34.3
826473600,39.6
826560000,45.2
826646400,45.5
826732800,56.3
826819200,63.3
826905600,61.8
826992000,63.1
827078400,56.3
827164800,52.2
827251200,42.8
827337600,40.6
827424000,42.5
827510400,45.7
827596800,50.4
827683200,60.0
827769600,62.3
827856000,58.1
827942400,44.1
828028800,46.8
828115200,56.5
828201600,54.5
828288000,58.1
828374400,54.5
828460800,57.3
828547200,66.3
828633600,66.2
828720000,50.0
828806400,48.7
828892800,52.5
828979200,53.9
829065600,46.9
829152000,52.5
829238400,63.2
829324800,67.9
829411200,69.6
829497600,68.9
829584000,61.2
829670400,59.9
829756800,65.2
829843200,64.6
829929600,69.4
830016000,70.9
830102400,74.0
830188800,74.5
830275200,61.4
830361600,61.8
830448000,66.4
830534400,66.7
830620800,65.6
830707200,72.1
830793600,65.8
830880000,57.2
830966400,64.6
831052800,70.0
831139200,76.2
831225600,78.9
831312000,80.3
831398400,72.5
831484800,71.8
831571200,75.0
831657600,75.0
831744000,78.6
831830400,72.1
831916800,60.6
832003200,60.6
832089600,60.9
832176000,68.9
832262400,75.2
832348800,77.9
832435200,82.5
832521600,85.5
832608000,74.7
832694400,82.5
832780800,79.1
832867200,76.9
832953600,74.8
833040000,78.5
833126400,72.2
833212800,73.0
833299200,71.5
833385600,69.6
833472000,71.7
833558400,64.8
833644800,70.7
833731200,69.2
833817600,75.4
833904000,70.2
833990400,70.6
834076800,76.7
834163200,73.7
834249600,73.9
834336000,77.1
834422400,75.4
834508800,76.1
834595200,71.6
834681600,80.2
834768000,77.3
834854400,75.9
834940800,77.9
835027200,80.4
835113600,80.7
835200000,79.1
835286400,78.1
835372800,81.5
835459200,84.6
835545600,90.9
835632000,85.9
835718400,83.6
835804800,78.6
835891200,75.5
835977600,78.2
836064000,82.2
836150400,88.3
836236800,89.1
836323200,87.0
836409600,80.5
836496000,72.4
836582400,74.7
836668800,80.6
836755200,80.4
836841600,79.8
836928000,83.6
837014400,79.4
837100800,75.3
837187200,79.8
837273600,79.2
837360000,79.4
837446400,76.1
837532800,80.5
837619200,81.8
837705600,86.4
837792000,85.2
837878400,82.5
837964800,84.6
838051200,84.3
838137600,78.9
838224000,79.3
838310400,77.5
838396800,78.4
838483200,77.7
838569600,79.7
838656000,83.0
838742400,82.9
838828800,76.5
838915200,78.2
839001600,77.1
839088000,80.4
839174400,79.9
839260800,76.1
839347200,78.5
839433600,78.0
839520000,76.9
839606400,77.8
839692800,79.2
839779200,77.6
839865600,77.5
839952000,74.5
840038400,75.9
840124800,76.4
840211200,79.7
840297600,80.0
840384000,78.7
840470400,80.2
840556800,79.9
840643200,78.5
840729600,77.9
840816000,77.2
840902400,75.8
840988800,73.7
841075200,76.4
841161600,76.2
841248000,77.6
841334400,77.0
841420800,76.2
841507200,75.6
841593600,74.8
841680000,75.4
841766400,78.4
841852800,74.9
841939200,80.9
842025600,80.2
842112000,79.8
842198400,81.5
842284800,78.2
842371200,75.5
842457600,76.9
842544000,75.1
842630400,68.0
842716800,66.1
842803200,73.6
842889600,80.0
842976000,71.6
843062400,67.9
843148800,65.5
843235200,65.6
843321600,72.4
843408000,68.7
843494400,71.9
843580800,72.6
843667200,73.3
843753600,74.7
843840000,75.6
843926400,67.9
844012800,63.3
844099200,63.1
844185600,66.0
844272000,72.5
844358400,66.1
844444800,56.9
844531200,61.1
844617600,58.1
844704000,63.2
844790400,66.8
844876800,58.2
844963200,56.8
845049600,53.7
845136000,54.1
845222400,59.0
845308800,62.5
845395200,64.7
845481600,69.7
845568000,68.1
845654400,53.8
845740800,50.1
845827200,54.2
845913600,61.1
846000000,65.7
846086400,55.4
846172800,58.0
846259200,63.2
846345600,65.0
846432000,69.0
846518400,71.4
846604800,74.0
846691200,66.8
846777600,64.1
846864000,62.9
846950400,45.3
847036800,43.0
847123200,56.6
847209600,62.6
847296000,66.2
847382400,67.9
847468800,47.1
847555200,41.4
847641600,39.2
847728000,39.1
847814400,39.6
847900800,48.9
847987200,44.0
848073600,42.7
848160000,45.9
848246400,52.9
848332800,57.8
848419200,49.7
848505600,54.7
848592000,50.9
848678400,40.1
848764800,44.6
848851200,58.7
848937600,62.5
849024000,45.8
849110400,37.4
849196800,35.3
849283200,48.9
849369600,63.5
849456000,54.1
849542400,43.2
849628800,45.4
849715200,42.8
849801600,50.2
849888000,57.1
849974400,44.7
850060800,43.6
850147200,39.6
850233600,56.6
850320000,64.0
850406400,60.4
850492800,48.7
850579200,42.5
850665600,39.7
850752000,49.8
850838400,44.6
850924800,37.7
851011200,27.3
851097600,28.7
851184000,31.7
851270400,42.1
851356800,54.4
851443200,45.0
851529600,34.0
851616000,46.4
851702400,56.2
851788800,60.2
851875200,61.9
851961600,66.9
852048000,59.1
852134400,51.6
852220800,60.7
852307200,61.5
852393600,64.0
852480000,54.5
852566400,50.6
852652800,40.6
852739200,36.5
852825600,41.7
852912000,37.2
852998400,32.5
853084800,34.1
853171200,34.3
853257600,36.0
853344000,52.6
853430400,32.5
853516800,27.7
853603200,31.9
853689600,34.9
853776000,45.4
853862400,52.3
853948800,62.1
854035200,54.5
854121600,53.5
854208000,43.4
854294400,49.4
854380800,57.9
854467200,48.6
854553600,39.4
854640000,42.1
854726400,53.9
854812800,52.9
854899200,59.7
854985600,59.7
855072000,60.2
855158400,47.9
855244800,47.9
855331200,49.3
