timestamp,value
788889600,49.8
788976000,46.0
789062400,39.9
789148800,40.2
789235200,32.7
789321600,42.3
789408000,53.5
789494400,41.2
789580800,42.3
789667200,47.0
789753600,53.1
789840000,58.6
789926400,60.9
790012800,63.5
790099200,54.1
790185600,49.2
790272000,45.7
790358400,50.5
790444800,55.4
790531200,45.5
790617600,43.1
790704000,43.6
790790400,44.0
790876800,37.8
790963200,40.4
791049600,46.1
791136000,45.8
791222400,57.3
791308800,51.2
791395200,45.3
791481600,37.0
791568000,42.3
791654400,53.4
791740800,56.4
791827200,48.2
791913600,41.8
792000000,34.8
792086400,41.4
792172800,33.0
792259200,29.0
792345600,44.8
792432000,56.3
792518400,38.8
792604800,40.3
792691200,48.1
792777600,54.3
792864000,64.6
792950400,62.9
793036800,54.7
793123200,50.9
793209600,56.8
793296000,55.2
793382400,48.9
793468800,55.3
793555200,56.8
793641600,47.5
793728000,52.0
793814400,60.9
793900800,61.0
793987200,58.0
794073600,51.2
794160000,51.7
794246400,50.8
794332800,52.0
794419200,60.8
794505600,68.1
794592000,58.9
794678400,42.5
794764800,46.1
794851200,54.7
794937600,62.9
795024000,66.4
795110400,65.4
795196800,63.2
795283200,62.1
795369600,61.1
795456000,62.0
795542400,59.5
795628800,62.5
795715200,69.2
795801600,63.6
795888000,73.0
795974400,68.9
796060800,63.9
796147200,68.0
796233600,67.5
796320000,65.8
796406400,63.3
796492800,61.7
796579200,57.4
796665600,55.8
796752000,55.7
796838400,59.8
796924800,60.7
797011200,64.0
797097600,57.7
797184000,60.3
797270400,64.8
797356800,66.6
797443200,70.3
797529600,70.6
797616000,64.6
797702400,62.7
797788800,62.7
797875200,64.6
797961600,67.0
798048000,70.1
798134400,70.1
798220800,74.9
798307200,71.4
798393600,70.6
798480000,69.2
798566400,71.4
798652800,61.0
798739200,57.1
798825600,61.6
798912000,63.6
798998400,66.7
799084800,65.9
799171200,68.9
799257600,72.6
799344000,66.4
799430400,60.0
799516800,65.7
799603200,72.4
799689600,69.1
799776000,70.1
799862400,76.9
799948800,76.7
800035200,73.4
800121600,75.8
800208000,76.0
800294400,76.1
800380800,81.6
800467200,80.2
800553600,75.1
800640000,82.0
800726400,80.1
800812800,79.1
800899200,70.2
800985600,72.5
801072000,76.3
801158400,77.8
801244800,77.4
801331200,77.7
801417600,80.6
801504000,80.7
801590400,80.6
801676800,80.9
801763200,77.8
801849600,74.4
801936000,74.9
802022400,76.0
802108800,75.9
802195200,77.6
802281600,72.8
802368000,77.0
802454400,81.2
802540800,82.0
802627200,85.1
802713600,84.1
802800000,78.0
802886400,75.1
802972800,69.9
803059200,69.8
803145600,72.3
803232000,75.0
803318400,75.1
803404800,76.9
803491200,72.7
803577600,70.3
803664000,73.0
803750400,74.5
803836800,78.4
803923200,78.1
804009600,75.3
804096000,79.0
804182400,80.9
804268800,81.2
804355200,81.6
804441600,80.5
804528000,77.1
804614400,77.4
804700800,78.0
804787200,76.7
804873600,79.3
804960000,83.8
805046400,83.1
805132800,83.4
805219200,81.5
805305600,81.1
805392000,85.4
805478400,85.4
805564800,85.2
805651200,84.2
805737600,86.7
805824000,88.0
805910400,82.8
805996800,81.9
806083200,83.4
806169600,88.0
806256000,86.1
806342400,81.4
806428800,82.6
806515200,85.9
806601600,86.8
806688000,84.4
806774400,77.9
806860800,77.1
806947200,82.3
807033600,79.2
807120000,82.9
807206400,83.6
807292800,82.0
807379200,79.0
807465600,81.0
807552000,79.1
807638400,82.3
807724800,82.1
807811200,79.6
807897600,75.7
807984000,79.1
808070400,81.6
808156800,84.7
808243200,86.6
808329600,87.7
808416000,89.7
808502400,89.2
808588800,84.4
808675200,84.1
808761600,80.4
808848000,77.2
808934400,77.7
809020800,84.2
809107200,84.6
809193600,80.6
809280000,78.6
809366400,76.4
809452800,78.5
809539200,80.0
809625600,81.5
809712000,76.8
809798400,80.0
809884800,82.0
809971200,81.1
810057600,78.2
810144000,75.4
810230400,76.1
810316800,75.5
810403200,76.4
810489600,77.3
810576000,78.9
810662400,80.5
810748800,81.3
810835200,79.8
810921600,79.4
811008000,74.2
811094400,74.1
811180800,77.4
811267200,79.4
811353600,77.3
811440000,75.5
811526400,75.0
811612800,77.5
811699200,77.5
811785600,63.6
811872000,58.2
811958400,62.1
812044800,71.5
812131200,71.4
812217600,70.7
812304000,72.6
812390400,73.1
812476800,71.3
812563200,75.4
812649600,76.2
812736000,73.1
812822400,73.9
812908800,72.4
812995200,69.8
813081600,66.2
813168000,70.3
813254400,72.2
813340800,73.6
813427200,72.9
813513600,72.8
813600000,73.7
813686400,60.4
813772800,60.5
813859200,61.3
813945600,65.5
814032000,69.3
814118400,69.7
814204800,56.6
814291200,55.7
814377600,61.3
814464000,71.0
814550400,66.6
814636800,59.1
814723200,63.4
814809600,62.3
814896000,53.7
814982400,54.3
815068800,57.9
815155200,60.7
815241600,71.4
815328000,65.4
815414400,48.0
815500800,44.6
815587200,45.1
815673600,67.1
815760000,55.1
815846400,44.3
815932800,51.5
816019200,60.0
816105600,42.1
816192000,44.1
816278400,48.6
816364800,38.7
816451200,47.4
816537600,46.6
816624000,53.6
816710400,55.3
816796800,54.7
816883200,54.7
816969600,44.8
817056000,46.4
817142400,56.1
817228800,49.4
817315200,48.7
817401600,54.9
817488000,66.7
817574400,57.3
817660800,43.4
817747200,47.8
817833600,50.1
817920000,51.0
818006400,57.4
818092800,61.5
818179200,59.0
818265600,54.4
818352000,43.7
818438400,43.5
818524800,31.5
818611200,34.5
818697600,39.3
818784000,46.6
818870400,53.3
818956800,58.0
819043200,63.0
819129600,58.4
819216000,55.7
819302400,60.4
819388800,44.2
819475200,37.6
819561600,33.7
819648000,33.7
819734400,32.6
819820800,33.6
819907200,37.7
819993600,39.8
820080000,35.0
820166400,36.9
820252800,43.2
820339200,51.9
820425600,57.2
820512000,62.8
820598400,45.6
820684800,36.7
820771200,38.9
820857600,48.7
820944000,37.2
821030400,27.8
821116800,33.1
821203200,43.6
821289600,39.9
821376000,43.9
821462400,42.7
821548800,47.2
821635200,50.6
821721600,55.3
821808000,55.4
821894400,61.7
821980800,40.9
822067200,30.3
822153600,39.6
822240000,40.8
822326400,47.5
822412800,58.1
822499200,41.2
822585600,47.5
822672000,54.6
822758400,37.9
822844800,43.9
822931200,53.0
823017600,55.7
823104000,38.1
823190400,44.6
823276800,29.8
823363200,20.4
823449600,19.7
823536000,34.1
823622400,43.0
823708800,49.0
823795200,62.5
823881600,55.7
823968000,60.6
824054400,46.0
824140800,41.8
824227200,51.8
824313600,59.3
824400000,40.8
824486400,34.1
824572800,42.3
824659200,49.0
824745600,58.4
824832000,57.6
824918400,62.0
825004800,67.3
825091200,68.4
825177600,59.5
825264000,62.7
825350400,67.0
825436800,66.5
825523200,49.1
825609600,43.7
825696000,47.4
825782400,51.7
825868800,53.4
825955200,61.6
826041600,65.4
826128000,58.6
826214400,31.8
826300800,28.4
826387200,37.1
826473600,40.9
826560000,48.0
826646400,51.1
826732800,57.6
826819200,65.4
826905600,66.9
826992000,63.1
827078400,59.1
827164800,52.2
827251200,40.8
827337600,44.5
827424000,47.8
827510400,50.5
827596800,57.7
827683200,59.8
827769600,59.8
827856000,53.8
827942400,51.3
828028800,56.0
828115200,59.3
828201600,57.4
828288000,54.3
828374400,54.1
828460800,57.8
828547200,64.6
828633600,65.2
828720000,48.9
828806400,48.8
