timestamp,value
788889600,32.6
788976000,32.1
789062400,24.9
789148800,23.9
789235200,15.0
789321600,21.0
789408000,33.3
789494400,26.2
789580800,21.3
789667200,14.7
789753600,7.5
789840000,14.4
789926400,30.1
790012800,35.5
790099200,50.1
790185600,57.9
790272000,50.4
790358400,35.3
790444800,32.0
790531200,34.5
790617600,37.7
790704000,34.7
790790400,31.4
790876800,24.8
790963200,28.2
791049600,22.7
791136000,18.0
791222400,13.2
791308800,16.5
791395200,21.3
791481600,27.5
791568000,35.8
791654400,30.5
791740800,14.8
791827200,20.5
791913600,16.9
792000000,-0.8
792086400,0.0
792172800,3.6
792259200,17.9
792345600,23.4
792432000,29.4
792518400,17.1
792604800,10.9
792691200,14.8
792777600,13.0
792864000,35.4
792950400,29.0
793036800,29.1
793123200,31.3
793209600,32.6
793296000,33.3
793382400,31.5
793468800,30.7
793555200,34.0
793641600,21.9
793728000,13.5
793814400,9.0
793900800,23.6
793987200,29.2
794073600,27.7
794160000,21.6
794246400,22.9
794332800,30.5
794419200,34.2
794505600,31.2
794592000,46.3
794678400,32.7
794764800,20.9
794851200,27.2
794937600,30.7
795024000,46.7
795110400,39.2
795196800,42.9
795283200,41.3
795369600,38.4
795456000,40.9
795542400,38.1
795628800,37.7
795715200,47.7
795801600,42.7
795888000,41.0
795974400,36.5
796060800,33.5
796147200,40.9
796233600,39.0
796320000,36.6
796406400,38.4
796492800,36.8
796579200,39.7
796665600,37.9
796752000,32.0
796838400,34.4
796924800,40.0
797011200,21.7
797097600,27.0
797184000,38.1
797270400,33.6
797356800,40.5
797443200,37.4
797529600,38.2
797616000,40.7
797702400,46.8
797788800,45.0
797875200,42.3
797961600,39.0
798048000,40.2
798134400,47.9
798220800,46.6
798307200,51.6
798393600,44.8
798480000,50.5
798566400,49.0
798652800,44.5
798739200,45.9
798825600,49.5
798912000,49.4
798998400,46.5
799084800,48.2
799171200,44.6
799257600,44.1
799344000,47.3
799430400,53.7
799516800,54.3
799603200,55.2
799689600,49.4
799776000,44.0
799862400,51.7
799948800,55.6
800035200,53.5
800121600,49.0
800208000,50.8
800294400,55.3
800380800,54.5
800467200,48.6
800553600,53.9
800640000,46.6
800726400,54.7
800812800,56.2
800899200,57.1
800985600,58.4
801072000,61.6
801158400,60.4
801244800,69.1
801331200,63.5
801417600,60.5
801504000,58.2
801590400,56.3
801676800,58.6
801763200,64.5
801849600,66.4
801936000,72.4
802022400,71.6
802108800,71.2
802195200,69.0
802281600,64.6
802368000,67.0
802454400,64.6
802540800,63.2
802627200,63.4
802713600,60.1
802800000,60.9
802886400,64.4
802972800,61.3
803059200,60.8
803145600,58.0
803232000,63.2
803318400,67.1
803404800,74.2
803491200,82.1
803577600,80.7
803664000,64.0
803750400,68.5
803836800,68.8
803923200,69.8
804009600,71.8
804096000,73.6
804182400,64.5
804268800,58.3
804355200,66.2
804441600,74.0
804528000,74.6
804614400,74.8
804700800,69.5
804787200,70.5
804873600,72.2
804960000,76.4
805046400,76.2
805132800,74.6
805219200,66.8
805305600,68.1
805392000,62.7
805478400,68.8
805564800,75.9
805651200,82.5
805737600,81.6
805824000,72.2
805910400,63.3
805996800,61.5
806083200,72.5
806169600,72.6
806256000,74.4
806342400,72.1
806428800,71.9
806515200,76.0
806601600,75.4
806688000,77.3
806774400,76.0
806860800,75.0
806947200,78.6
807033600,75.7
807120000,73.3
807206400,76.9
807292800,75.9
807379200,69.5
807465600,72.2
807552000,70.1
807638400,64.5
807724800,65.0
807811200,65.8
807897600,69.6
807984000,72.4
808070400,73.3
808156800,76.6
808243200,73.6
808329600,71.4
808416000,73.9
808502400,77.4
808588800,78.4
808675200,69.9
808761600,64.0
808848000,56.1
808934400,66.3
809020800,71.4
809107200,66.5
809193600,67.3
809280000,63.1
809366400,59.6
809452800,65.8
809539200,57.9
809625600,60.9
809712000,62.6
809798400,62.2
809884800,71.5
809971200,68.6
810057600,58.8
810144000,61.7
810230400,64.4
810316800,69.6
810403200,68.7
810489600,58.4
810576000,54.8
810662400,57.4
810748800,52.0
810835200,60.3
810921600,64.6
811008000,71.5
811094400,56.6
811180800,52.9
811267200,53.7
811353600,59.8
811440000,51.0
