timestamp,value
788889600,34.2
788976000,30.5
789062400,24.8
789148800,26.5
789235200,23.3
789321600,25.7
789408000,26.8
789494400,26.1
789580800,33.5
789667200,35.4
789753600,32.3
789840000,29.3
789926400,26.7
790012800,35.1
790099200,35.2
790185600,37.2
790272000,34.0
790358400,33.9
790444800,30.4
790531200,33.5
790617600,34.0
790704000,34.7
790790400,35.1
790876800,36.6
790963200,35.8
791049600,32.3
791136000,31.2
791222400,33.6
791308800,33.4
791395200,27.8
791481600,24.0
791568000,39.6
791654400,36.1
791740800,34.4
791827200,41.2
791913600,40.4
792000000,43.0
792086400,38.7
792172800,31.3
792259200,29.4
792345600,31.3
792432000,31.5
792518400,42.5
792604800,41.4
792691200,40.9
792777600,40.9
792864000,41.3
792950400,40.0
793036800,38.9
793123200,38.2
793209600,37.2
793296000,40.3
793382400,41.1
793468800,37.1
793555200,36.8
793641600,32.4
793728000,34.1
793814400,36.3
793900800,44.9
793987200,45.3
794073600,36.6
794160000,34.9
794246400,36.1
794332800,34.3
794419200,35.9
794505600,35.7
794592000,37.1
794678400,38.0
794764800,36.3
794851200,35.6
794937600,36.3
795024000,37.2
795110400,29.5
795196800,31.8
795283200,35.3
795369600,38.1
795456000,38.5
795542400,38.8
795628800,39.2
795715200,37.5
795801600,37.1
795888000,43.5
795974400,42.8
796060800,40.4
796147200,39.3
796233600,33.6
796320000,31.3
796406400,31.9
796492800,36.0
796579200,37.4
796665600,43.3
796752000,43.1
796838400,39.8
796924800,37.1
797011200,36.2
797097600,44.1
797184000,42.1
797270400,39.6
797356800,35.3
797443200,36.7
797529600,41.9
797616000,41.7
797702400,43.6
797788800,44.2
797875200,42.1
797961600,39.7
798048000,36.9
798134400,37.3
798220800,39.9
798307200,39.0
798393600,42.0
798480000,50.1
798566400,57.6
798652800,60.4
798739200,59.4
798825600,51.4
798912000,44.5
798998400,39.7
799084800,42.1
799171200,45.3
799257600,43.9
799344000,46.9
799430400,55.3
799516800,55.9
799603200,58.0
799689600,50.3
799776000,50.2
799862400,47.5
799948800,43.8
800035200,44.3
800121600,43.3
800208000,44.5
800294400,43.9
800380800,42.0
800467200,41.5
800553600,43.9
800640000,44.2
800726400,45.4
800812800,46.0
800899200,50.0
800985600,44.5
801072000,47.0
801158400,51.4
801244800,54.2
801331200,53.0
801417600,51.4
801504000,57.6
801590400,59.0
801676800,56.3
801763200,55.6
801849600,55.7
801936000,53.4
802022400,50.0
802108800,54.2
802195200,54.1
802281600,56.3
802368000,56.3
802454400,54.1
802540800,53.3
802627200,53.3
802713600,52.8
802800000,52.9
802886400,54.5
802972800,54.5
803059200,56.2
803145600,54.8
803232000,55.8
803318400,54.9
803404800,55.7
803491200,56.0
803577600,58.4
803664000,59.1
803750400,51.3
803836800,56.7
803923200,61.5
804009600,67.0
804096000,68.4
804182400,61.8
804268800,66.5
804355200,64.3
804441600,60.5
804528000,56.4
804614400,56.1
804700800,58.7
804787200,54.0
804873600,54.3
804960000,61.4
805046400,66.0
805132800,64.8
805219200,64.2
805305600,61.5
805392000,60.2
805478400,62.2
805564800,68.8
805651200,67.7
805737600,65.1
805824000,63.6
805910400,64.2
805996800,63.6
806083200,64.8
806169600,68.4
806256000,72.5
806342400,62.9
806428800,59.6
806515200,61.9
806601600,58.5
806688000,61.9
806774400,63.6
806860800,65.8
806947200,67.0
807033600,69.0
807120000,69.7
807206400,70.8
807292800,70.2
807379200,67.7
807465600,69.0
807552000,68.2
807638400,69.0
807724800,63.2
807811200,59.1
807897600,61.2
807984000,63.4
808070400,66.5
808156800,67.0
808243200,69.6
808329600,62.9
808416000,63.3
808502400,66.5
808588800,68.6
808675200,68.6
808761600,70.8
808848000,69.5
808934400,68.8
809020800,66.9
809107200,69.6
809193600,64.8
