timestamp,value
788889600,53.1
788976000,44.6
789062400,44.3
789148800,44.6
789235200,42.0
789321600,49.8
789408000,54.2
789494400,56.3
789580800,64.8
789667200,68.7
789753600,71.2
789840000,69.6
789926400,63.6
790012800,58.4
790099200,57.3
790185600,64.6
790272000,67.7
790358400,65.8
790444800,54.3
790531200,57.5
790617600,58.2
790704000,67.5
790790400,52.6
790876800,50.0
790963200,59.7
791049600,67.2
791136000,68.5
791222400,64.8
791308800,58.3
791395200,51.0
791481600,50.6
791568000,56.4
791654400,58.6
791740800,66.2
791827200,59.8
791913600,56.5
792000000,59.5
792086400,65.1
792172800,53.5
792259200,56.2
792345600,67.5
792432000,69.4
792518400,49.4
792604800,54.5
792691200,57.9
792777600,71.8
792864000,67.6
792950400,53.0
793036800,53.7
793123200,59.6
793209600,59.9
793296000,59.8
793382400,61.9
793468800,69.6
793555200,68.8
793641600,66.3
793728000,69.6
793814400,71.4
793900800,68.3
793987200,52.1
794073600,51.5
794160000,45.2
794246400,49.0
794332800,59.5
794419200,67.8
794505600,64.0
794592000,47.7
794678400,51.5
794764800,59.8
794851200,67.1
794937600,71.9
795024000,69.8
795110400,69.2
795196800,64.4
795283200,63.4
795369600,64.6
795456000,66.1
795542400,68.2
795628800,72.3
795715200,73.4
795801600,74.0
795888000,75.1
795974400,74.9
796060800,74.5
796147200,74.2
796233600,70.3
796320000,67.7
796406400,56.6
796492800,55.4
796579200,61.9
796665600,62.0
796752000,62.5
796838400,70.3
796924800,72.6
797011200,69.8
797097600,68.2
797184000,69.6
797270400,71.6
797356800,73.7
797443200,76.2
797529600,67.4
797616000,66.4
797702400,67.6
797788800,66.8
797875200,74.5
797961600,76.3
798048000,77.7
798134400,75.2
798220800,77.5
798307200,77.0
798393600,74.3
798480000,80.0
798566400,66.1
798652800,61.9
798739200,64.4
798825600,68.7
798912000,72.3
798998400,72.1
799084800,76.2
799171200,74.3
799257600,75.8
799344000,71.1
799430400,75.7
799516800,78.7
799603200,78.1
799689600,79.2
799776000,79.5
799862400,77.0
799948800,75.6
800035200,80.8
