timestamp,value
788889600,81.2
788976000,81.6
789062400,81.9
789148800,81.9
789235200,81.4
789321600,81.5
789408000,80.9
789494400,82.2
789580800,80.4
789667200,82.2
789753600,81.5
789840000,77.9
789926400,79.2
790012800,79.0
790099200,79.1
790185600,80.4
790272000,81.0
790358400,81.3
790444800,80.9
790531200,81.4
790617600,80.8
790704000,80.8
790790400,81.9
790876800,82.5
790963200,81.9
791049600,82.6
791136000,81.5
791222400,82.3
791308800,82.4
791395200,83.1
791481600,84.2
791568000,83.3
791654400,83.1
791740800,82.8
791827200,83.8
791913600,83.2
792000000,82.1
792086400,83.3
792172800,82.7
792259200,83.0
792345600,84.8
792432000,85.3
792518400,85.3
792604800,80.7
792691200,82.3
792777600,84.0
792864000,82.4
792950400,83.8
793036800,84.2
793123200,84.7
793209600,83.8
793296000,84.7
793382400,84.9
793468800,86.8
793555200,84.9
793641600,84.8
793728000,84.9
793814400,87.3
793900800,86.2
793987200,84.6
794073600,84.8
794160000,86.5
794246400,85.6
794332800,85.6
794419200,84.1
794505600,83.3
794592000,86.5
794678400,81.4
794764800,85.1
794851200,80.8
794937600,84.7
795024000,85.3
795110400,86.2
795196800,80.5
795283200,84.0
795369600,85.0
795456000,79.7
795542400,79.7
795628800,84.6
795715200,75.7
795801600,82.6
795888000,83.2
795974400,78.8
796060800,83.1
796147200,84.4
796233600,84.8
796320000,83.0
796406400,85.3
796492800,85.6
796579200,85.5
796665600,86.3
796752000,85.8
796838400,84.6
796924800,85.5
797011200,85.1
797097600,85.1
797184000,85.1
797270400,87.1
797356800,86.4
797443200,85.9
797529600,86.3
797616000,86.6
797702400,86.4
797788800,86.5
797875200,82.9
797961600,80.6
798048000,82.2
798134400,84.1
798220800,86.1
798307200,84.2
798393600,79.6
798480000,82.0
798566400,81.5
798652800,81.5
798739200,85.1
798825600,84.6
798912000,85.7
798998400,83.4
799084800,80.1
799171200,83.9
799257600,83.8
799344000,79.1
799430400,80.9
799516800,83.4
799603200,83.9
799689600,84.8
799776000,85.4
799862400,84.2
799948800,82.6
800035200,81.9
800121600,81.0
800208000,81.0
800294400,84.2
800380800,82.1
800467200,80.2
800553600,86.2
800640000,85.0
800726400,85.0
800812800,84.0
800899200,85.1
800985600,86.4
801072000,84.4
801158400,83.7
801244800,79.4
801331200,81.1
801417600,84.4
801504000,79.9
801590400,84.2
801676800,84.2
801763200,84.5
801849600,83.7
801936000,82.6
802022400,84.4
802108800,78.7
802195200,84.5
802281600,84.1
802368000,82.7
802454400,82.1
802540800,79.9
802627200,78.9
802713600,81.1
802800000,84.0
802886400,82.2
802972800,76.8
803059200,80.4
803145600,82.2
803232000,82.5
803318400,79.3
803404800,82.6
803491200,80.7
803577600,77.5
803664000,79.5
