timestamp,value
788889600,70.8
788976000,71.7
789062400,71.7
789148800,71.3
789235200,70.8
789321600,76.9
789408000,72.3
789494400,70.2
789580800,68.7
789667200,70.2
789753600,68.1
789840000,67.8
789926400,68.1
790012800,69.0
790099200,70.7
790185600,69.3
790272000,68.2
790358400,67.9
790444800,69.9
790531200,68.2
790617600,67.9
790704000,69.7
790790400,68.4
790876800,71.4
790963200,71.8
791049600,70.0
791136000,70.6
791222400,70.6
791308800,69.7
791395200,73.5
791481600,69.8
791568000,70.8
791654400,72.0
791740800,72.4
791827200,71.2
791913600,73.6
792000000,70.4
792086400,69.4
792172800,69.5
792259200,70.9
792345600,69.2
792432000,68.6
792518400,68.6
792604800,69.2
792691200,70.3
792777600,69.5
792864000,70.3
792950400,69.6
793036800,69.5
793123200,69.8
793209600,71.1
793296000,70.2
793382400,71.5
793468800,76.8
793555200,74.5
793641600,71.5
793728000,69.0
793814400,68.5
793900800,68.3
793987200,68.8
794073600,67.6
794160000,67.6
794246400,68.1
794332800,69.6
794419200,67.9
794505600,68.6
794592000,69.3
794678400,68.6
794764800,68.0
794851200,65.2
794937600,66.0
795024000,66.7
795110400,66.4
795196800,67.0
795283200,66.6
795369600,67.6
795456000,67.9
795542400,68.4
795628800,68.1
795715200,67.4
795801600,68.1
795888000,67.4
795974400,67.5
796060800,68.2
796147200,69.4
796233600,68.7
796320000,68.4
796406400,67.9
796492800,68.1
796579200,68.5
796665600,69.2
796752000,69.0
796838400,68.5
796924800,67.8
797011200,67.5
797097600,67.8
797184000,68.8
797270400,69.1
797356800,67.4
797443200,67.0
797529600,66.9
797616000,68.9
797702400,70.7
797788800,69.2
797875200,68.4
797961600,69.1
798048000,68.7
798134400,70.0
798220800,69.7
798307200,70.3
798393600,69.4
798480000,69.5
798566400,70.0
798652800,70.9
798739200,70.4
798825600,70.0
798912000,70.5
798998400,71.5
799084800,72.5
799171200,71.6
799257600,70.6
799344000,69.5
799430400,69.4
799516800,70.5
799603200,70.7
799689600,71.1
799776000,71.3
799862400,70.8
799948800,71.1
800035200,71.0
800121600,71.3
800208000,71.3
800294400,73.0
800380800,73.7
800467200,74.0
800553600,76.9
800640000,78.2
800726400,78.5
800812800,76.0
800899200,76.1
800985600,75.3
801072000,74.0
801158400,73.5
801244800,73.7
801331200,74.5
801417600,75.7
801504000,76.6
801590400,76.7
801676800,74.5
801763200,76.9
801849600,74.5
801936000,74.4
802022400,74.8
802108800,75.2
802195200,75.4
802281600,75.7
802368000,74.9
802454400,74.3
802540800,74.2
802627200,75.0
802713600,75.6
802800000,75.5
802886400,76.1
802972800,76.6
803059200,76.3
803145600,77.0
803232000,77.8
803318400,79.8
803404800,80.2
803491200,81.5
803577600,80.6
803664000,81.7
803750400,79.9
803836800,79.8
803923200,79.1
804009600,79.1
804096000,79.0
804182400,78.3
804268800,80.4
804355200,80.8
804441600,80.5
804528000,80.5
804614400,83.0
804700800,83.7
804787200,83.1
804873600,84.6
804960000,84.1
805046400,84.1
805132800,81.7
805219200,80.5
805305600,81.9
805392000,82.0
805478400,79.1
805564800,82.6
805651200,82.6
805737600,83.0
805824000,82.9
805910400,80.6
805996800,80.2
806083200,81.7
806169600,81.5
806256000,82.1
806342400,81.3
806428800,80.2
806515200,82.4
806601600,82.1
806688000,81.7
806774400,82.2
806860800,82.4
806947200,80.9
807033600,82.3
807120000,82.4
807206400,82.4
807292800,80.4
807379200,80.8
807465600,82.4
807552000,81.9
807638400,81.7
807724800,82.2
807811200,83.0
807897600,82.4
807984000,82.6
808070400,82.0
808156800,82.2
808243200,82.0
808329600,82.8
808416000,80.8
808502400,81.1
808588800,78.0
808675200,81.2
808761600,81.8
808848000,80.5
808934400,82.1
809020800,83.2
809107200,81.0
809193600,78.4
