timestamp,value
788889600,40.5
788976000,34.4
789062400,37.5
789148800,30.3
789235200,31.4
789321600,43.4
789408000,36.3
789494400,47.3
789580800,50.2
789667200,62.7
789753600,64.2
789840000,67.7
789926400,55.9
790012800,50.6
790099200,47.5
790185600,54.5
790272000,61.0
790358400,47.1
790444800,41.5
790531200,45.9
790617600,48.6
790704000,42.4
790790400,37.4
790876800,43.2
790963200,50.6
791049600,55.3
791136000,62.5
791222400,53.9
791308800,41.5
791395200,39.2
791481600,45.5
791568000,53.3
791654400,60.6
791740800,59.0
791827200,51.4
791913600,51.1
792000000,47.8
792086400,48.3
792172800,39.7
792259200,49.9
792345600,57.0
792432000,43.7
792518400,34.7
792604800,35.9
792691200,36.3
792777600,54.6
792864000,43.0
792950400,44.6
793036800,47.1
793123200,53.9
793209600,58.1
793296000,60.3
793382400,60.1
793468800,65.1
793555200,62.7
793641600,57.0
793728000,58.6
793814400,67.1
793900800,51.8
793987200,36.4
794073600,31.8
794160000,34.5
794246400,41.5
794332800,50.6
794419200,53.2
794505600,46.1
794592000,33.9
794678400,44.1
794764800,49.4
794851200,55.7
794937600,64.6
795024000,59.9
795110400,56.1
795196800,57.6
795283200,60.9
795369600,62.9
795456000,66.3
795542400,68.1
795628800,71.1
795715200,66.9
795801600,74.6
795888000,74.7
795974400,69.1
796060800,69.0
796147200,67.6
796233600,56.4
796320000,54.5
796406400,50.9
796492800,53.6
796579200,55.3
796665600,56.4
796752000,62.6
796838400,63.7
796924800,62.0
797011200,58.3
797097600,58.0
797184000,63.9
797270400,70.8
797356800,73.3
797443200,68.9
797529600,49.2
797616000,57.9
797702400,64.0
797788800,66.9
797875200,71.8
797961600,73.7
798048000,73.2
798134400,68.2
798220800,61.4
798307200,66.7
798393600,67.0
798480000,62.1
798566400,52.0
798652800,55.8
798739200,60.6
798825600,66.1
798912000,60.8
798998400,66.4
799084800,73.8
799171200,68.6
799257600,69.6
799344000,58.3
799430400,60.3
799516800,65.8
799603200,68.4
799689600,70.0
799776000,73.9
799862400,68.4
799948800,72.7
800035200,70.6
800121600,65.3
800208000,67.6
800294400,81.1
800380800,83.0
800467200,83.5
800553600,80.1
800640000,79.8
800726400,70.0
800812800,65.5
800899200,70.0
800985600,72.6
801072000,76.6
801158400,78.5
801244800,77.4
801331200,70.0
801417600,75.9
801504000,78.4
801590400,79.1
801676800,75.6
801763200,73.6
801849600,74.5
801936000,72.6
802022400,80.6
802108800,82.1
802195200,81.5
802281600,80.5
802368000,81.9
802454400,84.6
802540800,85.1
802627200,86.2
802713600,82.0
802800000,70.5
802886400,69.8
802972800,73.6
803059200,77.1
803145600,78.0
803232000,78.9
803318400,79.2
803404800,78.8
803491200,80.0
803577600,80.6
803664000,82.0
803750400,84.0
803836800,83.9
803923200,83.1
804009600,81.0
804096000,82.3
804182400,81.5
804268800,78.0
804355200,80.8
804441600,77.5
804528000,76.4
804614400,79.3
804700800,84.9
804787200,86.5
804873600,76.4
804960000,80.6
805046400,82.1
805132800,85.7
805219200,86.9
805305600,87.4
805392000,89.5
805478400,90.4
805564800,89.5
805651200,86.4
805737600,85.1
805824000,83.0
805910400,84.3
805996800,85.9
806083200,82.6
806169600,85.7
806256000,87.9
806342400,88.6
806428800,86.4
806515200,86.3
806601600,87.4
806688000,88.6
806774400,89.8
806860800,89.5
806947200,89.7
807033600,84.9
807120000,79.3
807206400,77.9
807292800,79.7
807379200,81.5
807465600,84.0
807552000,84.2
807638400,85.8
807724800,85.0
807811200,85.0
807897600,84.6
807984000,84.5
808070400,85.8
808156800,85.4
808243200,85.5
808329600,84.9
808416000,82.7
808502400,85.3
808588800,86.3
808675200,86.3
808761600,88.4
808848000,85.0
808934400,86.8
809020800,87.9
809107200,87.0
809193600,83.7
809280000,86.1
809366400,86.6
809452800,87.6
809539200,89.5
809625600,88.2
809712000,85.3
809798400,81.3
809884800,86.1
809971200,88.1
810057600,88.7
810144000,88.0
810230400,86.5
810316800,86.2
810403200,83.4
810489600,76.4
810576000,72.6
810662400,74.7
810748800,77.0
810835200,78.2
810921600,75.7
811008000,76.9
811094400,80.3
811180800,82.8
811267200,81.5
811353600,74.7
811440000,76.3
811526400,71.5
811612800,65.9
811699200,53.7
811785600,55.7
811872000,62.9
811958400,64.2
812044800,62.6
812131200,71.4
812217600,80.1
812304000,80.3
812390400,79.1
812476800,75.8
812563200,72.6
812649600,66.9
812736000,67.1
812822400,69.7
812908800,64.0
812995200,61.3
813081600,65.2
813168000,71.2
813254400,74.2
813340800,74.2
813427200,74.3
813513600,72.5
813600000,64.8
813686400,63.9
813772800,68.9
813859200,70.8
813945600,71.1
814032000,72.7
814118400,63.5
814204800,60.8
814291200,70.8
814377600,71.7
814464000,56.7
814550400,63.7
814636800,71.2
814723200,75.3
814809600,62.0
814896000,64.9
814982400,58.3
815068800,60.4
815155200,69.1
815241600,60.1
815328000,43.9
815414400,44.0
815500800,45.5
815587200,54.1
815673600,64.9
815760000,53.6
815846400,58.7
815932800,71.8
816019200,46.7
816105600,48.1
816192000,57.8
816278400,54.3
816364800,56.6
816451200,51.4
816537600,52.6
816624000,55.2
816710400,58.9
816796800,62.2
816883200,59.7
816969600,59.3
817056000,58.7
817142400,49.9
817228800,57.1
817315200,63.1
817401600,62.0
817488000,40.6
817574400,39.5
817660800,49.0
817747200,56.1
817833600,66.0
817920000,62.8
818006400,57.1
818092800,57.6
818179200,55.3
818265600,45.3
818352000,47.5
818438400,30.1
818524800,26.7
818611200,40.0
818697600,56.7
818784000,66.8
818870400,66.0
818956800,65.1
819043200,54.0
819129600,52.1
819216000,48.7
819302400,37.0
819388800,36.5
819475200,35.9
819561600,38.1
819648000,35.3
819734400,36.6
819820800,38.6
819907200,37.9
819993600,42.3
820080000,36.6
820166400,36.6
820252800,45.4
820339200,51.7
820425600,48.4
820512000,35.9
820598400,35.4
820684800,45.2
820771200,40.2
820857600,30.5
820944000,24.1
821030400,28.9
821116800,43.1
821203200,46.9
821289600,55.3
821376000,52.2
821462400,54.0
821548800,58.5
821635200,51.1
821721600,46.3
821808000,65.4
821894400,39.7
821980800,26.2
822067200,40.0
822153600,39.4
822240000,50.6
822326400,55.3
822412800,39.0
822499200,46.8
822585600,48.2
822672000,33.7
822758400,41.7
822844800,49.4
822931200,37.3
823017600,22.1
823104000,23.2
823190400,25.9
823276800,19.9
823363200,17.3
823449600,32.5
823536000,45.6
823622400,59.1
823708800,64.6
823795200,61.2
823881600,65.4
823968000,55.6
824054400,48.0
824140800,51.7
824227200,62.4
824313600,58.7
824400000,39.4
824486400,42.6
824572800,52.7
824659200,66.0
824745600,65.3
824832000,70.6
824918400,73.5
825004800,72.8
825091200,55.1
825177600,66.2
825264000,69.8
825350400,65.3
825436800,41.0
825523200,35.8
825609600,41.4
825696000,48.3
825782400,57.2
825868800,61.2
825955200,71.2
826041600,60.1
826128000,32.4
826214400,30.3
826300800,30.2
826387200,41.9
826473600,48.2
826560000,55.9
826646400,65.6
826732800,71.7
826819200,63.6
826905600,60.3
826992000,63.3
827078400,55.8
827164800,49.8
827251200,43.5
827337600,47.9
827424000,60.1
827510400,67.1
827596800,68.6
827683200,45.5
827769600,41.5
827856000,41.5
827942400,42.5
828028800,51.7
828115200,68.4
828201600,53.4
828288000,55.0
828374400,61.5
828460800,66.1
828547200,61.5
828633600,44.7
828720000,45.7
828806400,53.5
828892800,61.7
828979200,64.8
829065600,64.8
829152000,72.4
829238400,69.5
829324800,58.5
829411200,71.8
829497600,55.4
829584000,60.5
829670400,67.4
829756800,75.6
829843200,78.0
829929600,72.3
830016000,73.0
830102400,70.3
830188800,57.8
830275200,65.1
830361600,74.0
830448000,70.1
830534400,70.8
830620800,76.4
830707200,58.2
830793600,59.9
830880000,67.7
830966400,71.3
831052800,75.2
831139200,77.2
831225600,80.0
831312000,78.4
831398400,76.4
831484800,77.3
831571200,76.6
831657600,77.2
831744000,67.5
831830400,63.1
831916800,72.3
832003200,71.0
832089600,77.2
832176000,78.0
832262400,79.8
832348800,79.0
832435200,78.8
832521600,81.6
832608000,81.0
832694400,87.8
832780800,83.6
832867200,82.4
832953600,81.5
833040000,81.4
833126400,83.0
833212800,84.7
833299200,84.7
833385600,84.0
833472000,82.1
833558400,75.5
833644800,75.5
833731200,76.9
833817600,76.5
833904000,77.5
833990400,82.8
834076800,74.2
834163200,73.0
834249600,70.5
834336000,71.5
834422400,78.3
834508800,80.7
834595200,82.2
834681600,83.9
834768000,83.9
834854400,86.2
834940800,84.6
835027200,90.1
835113600,86.0
835200000,89.0
835286400,82.5
835372800,85.4
835459200,85.4
835545600,87.3
835632000,83.2
835718400,83.1
835804800,85.3
835891200,87.3
835977600,84.3
836064000,87.4
836150400,90.0
836236800,89.8
836323200,92.7
836409600,91.1
836496000,89.2
836582400,92.6
836668800,93.6
836755200,93.2
836841600,88.2
836928000,80.8
837014400,80.6
837100800,80.0
837187200,80.3
837273600,78.7
837360000,80.5
837446400,82.8
837532800,86.8
837619200,87.1
837705600,87.3
837792000,89.1
837878400,89.2
837964800,89.2
838051200,85.9
838137600,79.5
838224000,81.9
838310400,84.8
838396800,82.5
838483200,82.6
838569600,87.6
838656000,86.6
838742400,79.7
838828800,82.6
838915200,84.7
839001600,88.5
839088000,89.4
839174400,89.5
839260800,90.1
839347200,87.6
839433600,84.2
839520000,79.9
839606400,78.8
839692800,79.8
839779200,77.6
839865600,79.1
839952000,82.6
840038400,82.6
840124800,82.1
840211200,79.3
840297600,80.7
840384000,82.4
840470400,82.2
840556800,84.2
840643200,81.3
840729600,77.6
840816000,81.3
840902400,79.8
840988800,78.1
841075200,78.2
841161600,75.6
841248000,74.2
841334400,75.5
841420800,74.7
841507200,74.2
841593600,74.5
841680000,75.6
841766400,78.2
841852800,79.2
841939200,79.1
842025600,80.6
842112000,81.6
842198400,80.0
842284800,78.9
842371200,79.5
842457600,79.0
842544000,78.3
842630400,75.4
842716800,77.6
842803200,75.9
842889600,72.8
842976000,72.7
843062400,71.8
843148800,73.8
843235200,70.2
843321600,72.7
843408000,79.3
843494400,76.7
843580800,74.8
843667200,75.2
843753600,56.2
843840000,58.2
843926400,64.7
844012800,66.0
844099200,66.3
844185600,69.6
844272000,69.0
844358400,68.4
844444800,69.3
844531200,69.8
844617600,68.7
844704000,67.4
844790400,65.9
844876800,68.7
844963200,66.6
845049600,70.0
845136000,71.3
845222400,69.0
845308800,72.5
845395200,73.9
845481600,75.9
845568000,59.7
845654400,59.6
845740800,70.5
845827200,71.9
845913600,50.7
846000000,54.3
846086400,57.2
846172800,60.3
846259200,71.4
846345600,75.1
846432000,61.9
846518400,68.8
846604800,62.4
846691200,65.7
846777600,52.8
846864000,49.0
846950400,50.5
847036800,57.9
847123200,64.7
847209600,71.0
847296000,58.6
847382400,52.4
847468800,52.0
847555200,54.9
847641600,56.1
847728000,60.2
847814400,61.1
847900800,65.9
847987200,63.7
848073600,66.9
848160000,55.4
848246400,49.7
848332800,58.9
848419200,66.8
848505600,61.9
848592000,51.1
848678400,59.8
848764800,46.8
848851200,32.1
848937600,36.1
849024000,37.0
849110400,39.4
849196800,45.9
849283200,51.4
849369600,44.8
849456000,48.2
849542400,48.3
849628800,47.4
849715200,51.9
849801600,59.8
849888000,51.6
849974400,51.1
850060800,53.7
850147200,63.0
850233600,66.8
850320000,59.6
850406400,55.9
850492800,61.9
850579200,49.6
850665600,39.7
850752000,34.1
850838400,26.4
850924800,24.9
851011200,30.1
851097600,46.8
851184000,61.0
851270400,66.1
851356800,32.1
851443200,34.6
851529600,48.5
851616000,41.6
851702400,53.8
851788800,54.9
851875200,51.1
851961600,57.9
852048000,58.7
852134400,60.9
852220800,67.8
852307200,69.2
852393600,51.3
852480000,39.7
852566400,34.4
852652800,33.6
852739200,37.4
852825600,36.8
852912000,25.8
852998400,20.7
853084800,21.1
853171200,26.7
853257600,37.8
853344000,37.6
853430400,26.4
853516800,33.9
853603200,43.3
853689600,49.8
853776000,61.2
853862400,59.4
853948800,54.0
854035200,55.0
854121600,45.7
854208000,54.3
854294400,57.6
854380800,26.6
854467200,31.0
854553600,42.2
854640000,55.1
854726400,59.2
854812800,58.4
854899200,59.6
854985600,55.7
855072000,45.5
855158400,44.0
855244800,41.3
855331200,37.5
855417600,36.4
855504000,40.9
855590400,43.2
855676800,47.3
855763200,39.5
855849600,42.9
855936000,45.3
856022400,50.9
856108800,54.4
856195200,57.7
856281600,61.1
856368000,63.4
856454400,53.3
856540800,46.1
856627200,50.2
856713600,52.3
856800000,45.8
856886400,46.4
856972800,45.0
857059200,51.8
857145600,65.0
857232000,48.5
857318400,48.5
857404800,62.1
857491200,57.1
857577600,47.1
857664000,53.5
857750400,61.8
857836800,67.6
857923200,58.0
858009600,60.1
858096000,60.7
858182400,59.8
858268800,50.5
858355200,42.7
858441600,50.2
858528000,54.0
858614400,66.1
858700800,49.9
858787200,52.6
858873600,65.0
858960000,67.1
859046400,61.1
859132800,67.5
859219200,61.8
859305600,53.0
859392000,59.1
859478400,66.9
859564800,66.3
859651200,63.7
859737600,56.7
859824000,60.8
859910400,64.2
859996800,66.3
860083200,65.0
860169600,62.4
860256000,59.2
860342400,56.3
860428800,61.8
860515200,56.3
860601600,61.5
860688000,59.0
860774400,40.4
860860800,43.3
860947200,50.3
861033600,55.4
861120000,60.7
861206400,63.7
861292800,62.6
861379200,66.0
861465600,69.2
861552000,70.3
861638400,68.6
861724800,62.8
861811200,59.0
861897600,55.6
861984000,53.4
862070400,53.9
862156800,60.6
862243200,65.0
862329600,73.6
862416000,65.2
862502400,76.8
862588800,63.0
862675200,63.6
862761600,70.6
862848000,70.4
862934400,71.3
863020800,73.3
863107200,65.9
863193600,61.0
863280000,65.6
863366400,64.8
863452800,61.9
863539200,71.4
863625600,70.1
863712000,69.4
863798400,73.9
863884800,75.6
863971200,76.0
864057600,64.5
864144000,63.7
864230400,68.4
864316800,71.9
864403200,72.3
864489600,74.3
864576000,82.9
864662400,79.0
864748800,69.6
864835200,71.3
864921600,75.8
865008000,72.7
865094400,72.0
865180800,74.2
865267200,73.6
865353600,75.6
865440000,74.1
865526400,73.6
865612800,75.8
865699200,75.6
865785600,75.4
865872000,73.3
865958400,78.8
866044800,82.8
866131200,84.5
866217600,81.0
866304000,80.7
866390400,83.5
866476800,73.2
866563200,79.3
866649600,81.8
866736000,83.1
866822400,83.0
866908800,75.8
866995200,76.7
867081600,79.8
867168000,81.8
867254400,79.7
867340800,80.0
867427200,83.2
867513600,83.0
867600000,83.7
867686400,84.8
867772800,85.1
867859200,85.8
867945600,80.6
868032000,72.1
868118400,71.8
868204800,76.6
868291200,83.7
868377600,82.9
868464000,82.2
868550400,84.9
868636800,84.8
868723200,86.0
868809600,85.4
868896000,85.8
868982400,81.4
869068800,86.9
869155200,86.9
869241600,86.7
869328000,86.0
869414400,87.3
869500800,87.8
869587200,88.9
869673600,89.0
869760000,88.5
869846400,88.2
869932800,88.3
870019200,89.7
870105600,89.3
870192000,82.4
870278400,83.8
870364800,83.7
870451200,82.0
870537600,82.9
870624000,86.7
870710400,89.0
870796800,87.0
870883200,68.3
870969600,66.3
871056000,75.3
871142400,81.8
871228800,83.6
871315200,85.3
871401600,85.8
871488000,84.5
871574400,86.8
871660800,87.1
871747200,87.6
871833600,86.5
871920000,84.9
872006400,86.0
872092800,84.5
872179200,83.4
872265600,79.6
872352000,78.1
872438400,78.3
872524800,80.1
872611200,80.6
872697600,82.6
872784000,85.0
872870400,85.5
872956800,84.8
873043200,85.8
873129600,86.3
873216000,85.5
873302400,76.9
873388800,76.0
873475200,75.9
873561600,79.4
873648000,83.3
873734400,84.4
873820800,79.1
873907200,74.8
873993600,78.1
874080000,83.2
874166400,84.5
874252800,86.0
874339200,86.7
874425600,88.2
874512000,86.8
874598400,85.3
874684800,84.4
874771200,75.6
874857600,80.6
874944000,76.3
875030400,70.9
875116800,69.1
875203200,68.2
875289600,74.6
875376000,78.3
875462400,77.5
875548800,81.3
875635200,80.1
875721600,81.0
875808000,79.5
875894400,77.7
875980800,76.2
876067200,78.1
876153600,74.1
876240000,74.5
876326400,75.7
876412800,75.0
876499200,75.1
876585600,74.1
876672000,61.5
876758400,58.9
876844800,63.0
876931200,64.0
877017600,62.0
877104000,61.4
877190400,66.4
877276800,68.3
877363200,58.4
877449600,55.3
877536000,56.5
877622400,64.4
877708800,70.0
877795200,48.8
877881600,46.4
877968000,52.6
878054400,58.5
878140800,66.1
878227200,70.1
878313600,65.4
878400000,60.6
878486400,58.0
878572800,58.0
878659200,68.5
878745600,50.6
878832000,45.7
878918400,51.6
879004800,54.0
879091200,47.3
879177600,40.8
879264000,46.4
879350400,45.9
879436800,46.4
879523200,38.7
879609600,36.6
879696000,38.3
879782400,47.2
879868800,46.7
879955200,50.3
880041600,54.0
880128000,50.4
880214400,51.4
880300800,53.6
880387200,60.2
880473600,66.5
880560000,66.2
880646400,65.7
880732800,54.3
880819200,50.8
880905600,52.1
880992000,50.3
881078400,50.7
881164800,43.7
881251200,40.4
881337600,39.1
881424000,43.6
881510400,49.2
881596800,52.6
881683200,44.9
881769600,37.9
881856000,37.1
