timestamp,value
788976000,49.0
789062400,49.0
789148800,49.0
789235200,48.9
789321600,42.5
789408000,49.0
789494400,40.1
789580800,42.5
789667200,45.6
789753600,46.4
789840000,44.0
789926400,44.3
790012800,45.1
790099200,50.4
790185600,43.6
790272000,43.1
790358400,44.1
790444800,43.6
790531200,37.6
790617600,39.0
790704000,39.1
790790400,45.6
790876800,41.1
790963200,42.9
791049600,49.9
791136000,47.3
791222400,47.1
791308800,50.1
791395200,46.3
791481600,46.9
791568000,46.5
791654400,46.8
791740800,49.1
791827200,42.3
791913600,46.2
792000000,46.2
792086400,39.8
792172800,39.3
792259200,43.1
792345600,44.1
792432000,46.7
792518400,47.9
792604800,45.3
792691200,46.8
792777600,48.0
792864000,47.3
792950400,47.0
793036800,50.8
793123200,50.2
793209600,47.9
793296000,48.0
793382400,48.5
793468800,48.2
793555200,46.4
793641600,48.6
793728000,48.0
793814400,50.9
793900800,51.2
793987200,49.5
794073600,54.9
794160000,52.1
794246400,53.5
794332800,57.0
794419200,56.4
794505600,50.3
794592000,48.5
794678400,51.0
794764800,51.4
794851200,49.8
794937600,45.9
795024000,48.7
795110400,51.2
795196800,58.3
795283200,49.8
795369600,52.7
795456000,51.5
795542400,52.1
795628800,54.5
795715200,54.5
795801600,53.6
795888000,54.3
795974400,53.4
796060800,43.6
796147200,46.3
796233600,46.7
796320000,48.7
796406400,53.2
796492800,53.0
796579200,55.3
796665600,60.7
796752000,53.9
796838400,46.4
796924800,49.0
797011200,48.7
797097600,53.8
797184000,55.5
797270400,60.8
797356800,64.9
797443200,57.7
797529600,51.4
797616000,50.5
797702400,60.9
797788800,56.9
797875200,56.3
797961600,61.7
798048000,64.3
798134400,61.2
798220800,54.8
798307200,53.9
798393600,58.8
798480000,55.9
798566400,60.5
798652800,61.6
798739200,63.7
798825600,64.4
798912000,67.3
798998400,68.5
799084800,65.5
799171200,67.5
799257600,66.0
799344000,63.5
799430400,59.9
799516800,59.5
799603200,56.9
799689600,56.9
799776000,57.3
799862400,59.6
799948800,66.1
800035200,63.4
800121600,65.7
800208000,68.0
800294400,74.7
800380800,73.4
800467200,74.4
800553600,72.0
800640000,66.8
800726400,68.0
800812800,69.7
800899200,71.0
800985600,75.9
801072000,79.9
801158400,80.8
801244800,78.9
801331200,84.2
801417600,84.9
801504000,78.6
801590400,78.3
801676800,69.9
801763200,75.5
801849600,76.7
801936000,70.1
802022400,72.5
802108800,79.2
802195200,77.2
802281600,74.8
802368000,72.5
802454400,77.1
802540800,79.2
802627200,75.6
802713600,73.3
802800000,72.3
802886400,77.5
802972800,77.8
803059200,81.2
803145600,82.0
803232000,79.0
803318400,80.2
803404800,81.9
803491200,82.8
803577600,81.7
803664000,75.2
803750400,77.8
803836800,81.0
803923200,81.4
804009600,78.9
804096000,81.6
804182400,84.4
804268800,80.7
804355200,78.8
804441600,79.4
804528000,80.2
804614400,83.8
804700800,76.3
804787200,80.2
804873600,81.3
804960000,82.9
805046400,81.9
805132800,80.5
805219200,77.5
805305600,77.0
805392000,75.9
805478400,72.8
805564800,76.2
805651200,77.8
805737600,78.4
805824000,78.9
805910400,78.6
805996800,79.9
806083200,81.5
806169600,81.7
806256000,81.7
806342400,79.3
806428800,79.0
806515200,78.2
806601600,79.7
806688000,79.9
806774400,81.0
806860800,81.3
806947200,81.4
807033600,80.5
807120000,81.5
807206400,80.6
807292800,81.3
807379200,81.3
807465600,82.0
807552000,78.5
807638400,78.7
807724800,79.2
807811200,78.9
807897600,81.1
807984000,82.5
808070400,81.8
808156800,78.8
808243200,81.8
808329600,80.9
808416000,80.9
808502400,81.3
808588800,78.9
808675200,78.0
808761600,77.2
808848000,78.4
808934400,77.5
809020800,77.1
809107200,76.2
809193600,76.8
809280000,78.2
809366400,81.0
809452800,82.1
809539200,83.6
809625600,81.4
809712000,78.4
809798400,76.5
809884800,77.9
809971200,77.9
810057600,74.8
810144000,70.8
810230400,73.5
810316800,76.8
810403200,79.7
810489600,78.7
810576000,74.0
810662400,71.8
810748800,77.4
810835200,85.7
810921600,86.0
811008000,82.3
811094400,77.9
811180800,75.9
811267200,76.8
811353600,73.8
811440000,74.4
811526400,71.0
811612800,67.6
811699200,70.7
811785600,71.5
811872000,73.8
811958400,72.9
812044800,71.3
812131200,72.7
812217600,76.9
812304000,72.5
812390400,75.5
812476800,77.4
812563200,70.9
812649600,63.6
812736000,56.7
812822400,63.2
812908800,66.7
812995200,65.4
813081600,65.0
813168000,63.6
813254400,65.3
813340800,65.6
813427200,61.9
813513600,59.7
813600000,57.4
813686400,62.6
813772800,64.7
813859200,67.2
813945600,64.7
814032000,63.3
814118400,67.3
814204800,61.5
814291200,60.7
814377600,58.9
814464000,58.6
814550400,64.0
814636800,66.8
814723200,68.3
814809600,67.4
814896000,63.9
814982400,59.7
815068800,59.6
815155200,65.5
815241600,58.4
815328000,56.6
815414400,55.0
815500800,57.5
815587200,56.0
815673600,57.4
815760000,53.3
815846400,54.4
815932800,54.3
816019200,44.0
816105600,42.3
816192000,41.3
816278400,47.0
816364800,49.0
816451200,51.0
816537600,55.6
816624000,58.0
816710400,52.7
816796800,52.0
816883200,53.0
816969600,52.4
817056000,45.1
817142400,44.6
817228800,45.9
817315200,39.9
817401600,41.3
817488000,39.6
817574400,41.6
817660800,44.6
817747200,42.6
817833600,41.9
817920000,44.4
818006400,46.5
818092800,48.6
818179200,47.3
818265600,40.6
818352000,45.0
818438400,46.0
818524800,45.0
