timestamp,value
788889600,39.0
788976000,19.6
789062400,20.6
789148800,11.3
789235200,6.8
789321600,23.0
789408000,28.2
789494400,24.7
789580800,25.0
789667200,23.6
789753600,36.5
789840000,55.3
789926400,59.7
790012800,55.9
790099200,42.9
790185600,32.1
790272000,32.8
790358400,38.7
790444800,42.4
790531200,36.1
790617600,26.0
790704000,21.8
790790400,20.4
790876800,20.1
790963200,16.0
791049600,19.9
791136000,21.3
791222400,29.2
791308800,20.0
791395200,21.0
791481600,22.5
791568000,34.3
791654400,32.8
791740800,25.1
791827200,24.9
791913600,13.2
792000000,8.2
792086400,10.2
792172800,12.6
792259200,15.0
792345600,30.1
792432000,19.6
792518400,3.2
792604800,12.9
792691200,22.0
792777600,35.2
792864000,33.8
792950400,31.3
793036800,35.8
793123200,42.1
793209600,40.8
793296000,31.9
793382400,33.1
793468800,48.4
793555200,33.7
793641600,32.9
793728000,42.2
793814400,47.1
793900800,38.1
793987200,29.5
794073600,22.0
794160000,24.5
794246400,29.8
794332800,41.3
794419200,43.3
794505600,57.0
794592000,29.1
794678400,23.1
794764800,27.3
794851200,48.4
794937600,56.9
795024000,60.1
795110400,63.5
795196800,56.5
795283200,58.3
795369600,53.4
795456000,43.6
795542400,51.4
795628800,58.4
795715200,47.5
795801600,45.5
795888000,42.7
795974400,39.8
796060800,42.4
796147200,45.1
796233600,46.7
796320000,42.3
796406400,41.0
796492800,40.7
796579200,36.5
796665600,37.2
796752000,40.0
796838400,49.4
796924800,44.8
797011200,29.0
797097600,49.0
797184000,50.9
797270400,58.4
797356800,50.4
797443200,38.3
797529600,55.4
797616000,56.5
797702400,43.8
797788800,44.4
797875200,47.5
797961600,57.0
798048000,63.3
798134400,66.9
798220800,59.6
798307200,46.4
798393600,62.4
798480000,49.0
798566400,44.5
798652800,44.3
798739200,48.2
798825600,52.7
798912000,58.3
798998400,47.2
799084800,54.0
799171200,52.4
799257600,44.7
799344000,49.7
799430400,53.5
799516800,53.5
799603200,52.3
799689600,54.6
799776000,59.6
799862400,58.4
799948800,61.6
800035200,65.2
800121600,55.5
800208000,56.5
800294400,57.2
800380800,68.3
800467200,63.6
800553600,63.2
800640000,66.9
800726400,60.8
800812800,55.3
800899200,63.2
800985600,65.0
801072000,62.1
801158400,65.6
801244800,73.8
801331200,59.7
801417600,60.2
801504000,61.8
801590400,69.4
801676800,64.1
801763200,59.4
801849600,63.9
801936000,65.7
802022400,68.6
802108800,69.3
802195200,66.0
802281600,69.3
802368000,74.8
802454400,75.6
802540800,71.8
802627200,69.3
802713600,74.2
802800000,69.9
802886400,62.1
802972800,62.8
803059200,69.7
803145600,71.4
803232000,73.0
803318400,75.2
803404800,76.7
803491200,79.3
803577600,80.1
803664000,74.3
803750400,73.0
803836800,73.2
803923200,72.9
804009600,74.9
804096000,77.0
804182400,74.7
804268800,72.8
804355200,70.7
804441600,71.9
804528000,70.0
804614400,61.8
804700800,65.2
804787200,73.9
804873600,74.1
804960000,73.2
805046400,72.0
805132800,67.7
805219200,69.8
805305600,72.0
805392000,76.9
805478400,80.9
805564800,84.1
805651200,84.5
805737600,81.0
805824000,77.8
805910400,80.5
805996800,76.0
806083200,75.7
806169600,75.8
806256000,70.3
806342400,75.5
806428800,72.9
806515200,71.9
806601600,75.7
806688000,74.3
806774400,77.0
806860800,78.2
806947200,80.4
807033600,80.7
807120000,82.0
807206400,81.1
807292800,78.9
807379200,81.6
807465600,79.4
807552000,71.9
807638400,72.8
807724800,75.8
807811200,74.6
807897600,76.2
807984000,76.5
808070400,81.1
808156800,82.2
808243200,84.2
808329600,81.5
808416000,82.1
808502400,82.4
808588800,81.4
808675200,78.5
808761600,77.2
808848000,77.9
808934400,77.7
809020800,73.3
809107200,68.8
809193600,70.1
809280000,71.9
809366400,72.0
809452800,73.9
809539200,72.2
809625600,75.1
809712000,75.5
809798400,80.9
809884800,72.4
809971200,66.1
810057600,69.6
810144000,73.2
810230400,73.5
810316800,75.2
810403200,72.2
810489600,64.0
810576000,64.2
810662400,61.8
810748800,57.9
810835200,68.3
810921600,73.0
811008000,68.3
811094400,62.2
811180800,63.1
811267200,63.9
811353600,57.1
811440000,59.4
811526400,64.1
811612800,61.8
811699200,53.0
811785600,45.8
811872000,50.3
811958400,53.6
812044800,55.4
812131200,61.4
812217600,65.5
812304000,65.2
812390400,66.5
812476800,66.2
812563200,65.1
812649600,62.6
812736000,57.9
812822400,58.8
812908800,63.2
812995200,55.9
813081600,55.0
813168000,55.8
813254400,60.3
813340800,62.9
813427200,65.1
813513600,64.5
813600000,60.1
813686400,47.0
813772800,44.6
813859200,47.9
813945600,61.6
814032000,62.9
814118400,56.6
814204800,41.7
814291200,47.8
814377600,58.0
814464000,54.3
814550400,47.9
814636800,47.3
814723200,55.7
814809600,48.6
814896000,46.9
814982400,48.5
815068800,52.7
815155200,57.1
815241600,63.9
815328000,38.8
815414400,30.7
815500800,24.4
815587200,32.5
815673600,45.6
815760000,33.1
815846400,24.6
815932800,46.1
816019200,47.2
816105600,23.2
816192000,35.1
816278400,30.4
816364800,30.3
816451200,31.0
816537600,32.6
816624000,41.1
816710400,38.1
816796800,41.6
816883200,35.2
816969600,29.3
817056000,36.6
817142400,27.2
817228800,30.4
817315200,41.7
817401600,53.4
817488000,37.3
817574400,29.3
817660800,30.6
817747200,48.6
817833600,38.6
817920000,49.8
818006400,37.2
818092800,38.9
818179200,29.3
818265600,27.4
818352000,22.8
818438400,16.1
818524800,7.1
818611200,13.6
818697600,18.8
818784000,25.0
818870400,48.2
818956800,38.0
819043200,35.0
819129600,29.7
819216000,33.0
819302400,30.6
819388800,18.3
819475200,20.4
819561600,20.0
819648000,16.7
819734400,22.0
819820800,24.1
819907200,15.3
819993600,20.3
820080000,19.8
820166400,18.5
820252800,24.7
820339200,36.3
820425600,34.5
820512000,30.2
820598400,16.4
820684800,12.3
820771200,12.6
820857600,13.0
820944000,16.3
821030400,12.5
821116800,20.7
821203200,23.8
821289600,15.7
821376000,20.8
821462400,27.1
821548800,35.1
821635200,29.4
821721600,29.7
821808000,48.9
821894400,55.5
821980800,22.3
822067200,13.0
822153600,23.7
822240000,32.0
822326400,38.2
822412800,34.6
822499200,21.2
822585600,32.4
822672000,32.4
822758400,21.6
822844800,33.3
822931200,20.4
823017600,10.4
823104000,5.9
823190400,6.8
823276800,0.8
823363200,-1.0
823449600,5.3
823536000,18.8
823622400,31.8
823708800,42.2
823795200,38.6
823881600,43.7
823968000,37.1
824054400,24.5
824140800,21.9
824227200,34.1
824313600,27.6
824400000,22.6
824486400,20.9
824572800,17.8
824659200,29.9
824745600,43.2
824832000,45.9
824918400,39.5
825004800,45.7
825091200,47.3
825177600,48.0
825264000,51.0
825350400,58.3
825436800,34.8
825523200,18.6
825609600,22.3
825696000,31.0
825782400,15.7
825868800,23.8
825955200,45.6
826041600,34.0
826128000,19.2
826214400,12.3
