timestamp,value
788889600,50.7
788976000,52.1
789062400,53.8
789148800,53.7
789235200,54.5
789321600,54.3
789408000,57.1
789494400,55.6
789580800,54.0
789667200,52.4
789753600,54.8
789840000,54.5
789926400,55.5
790012800,56.4
790099200,55.8
790185600,56.4
790272000,53.7
790358400,53.7
790444800,54.5
790531200,56.0
790617600,56.3
790704000,53.7
790790400,53.6
790876800,55.5
790963200,58.0
791049600,58.3
791136000,59.8
791222400,61.4
791308800,60.3
791395200,56.8
791481600,58.8
791568000,58.0
791654400,57.0
791740800,58.3
791827200,58.5
791913600,58.3
792000000,58.5
792086400,62.7
792172800,65.0
792259200,66.3
792345600,67.6
792432000,66.5
792518400,68.4
792604800,69.1
792691200,66.8
792777600,62.4
792864000,62.5
792950400,63.5
793036800,66.6
793123200,64.0
793209600,64.9
793296000,62.1
793382400,53.8
793468800,54.2
793555200,58.3
793641600,59.7
793728000,65.8
793814400,64.6
793900800,62.9
793987200,61.7
794073600,61.4
794160000,61.5
794246400,60.9
794332800,63.7
794419200,63.3
794505600,64.7
794592000,65.9
794678400,68.1
794764800,64.3
794851200,63.1
794937600,67.1
795024000,68.5
795110400,69.1
795196800,68.8
795283200,74.5
795369600,74.5
795456000,76.3
795542400,76.1
795628800,76.5
795715200,74.8
795801600,76.3
795888000,81.8
795974400,82.3
796060800,75.4
796147200,71.9
796233600,73.1
796320000,78.1
796406400,78.1
796492800,73.9
796579200,73.2
796665600,74.9
796752000,74.9
796838400,74.3
796924800,75.5
797011200,78.1
797097600,78.3
797184000,80.6
797270400,82.0
797356800,84.1
797443200,84.9
797529600,80.9
797616000,79.6
797702400,78.7
797788800,82.9
797875200,84.9
797961600,86.4
798048000,86.2
798134400,82.9
798220800,84.3
798307200,79.7
798393600,80.5
798480000,85.8
798566400,85.8
798652800,87.9
798739200,90.4
798825600,89.3
798912000,87.0
798998400,89.7
799084800,90.0
799171200,92.9
799257600,90.8
799344000,86.9
799430400,90.5
799516800,89.4
799603200,89.0
799689600,87.5
799776000,92.3
799862400,89.6
799948800,92.4
800035200,90.3
800121600,93.0
800208000,94.5
800294400,96.1
800380800,95.5
800467200,94.7
800553600,98.7
800640000,97.4
800726400,95.2
800812800,96.2
800899200,96.1
800985600,95.0
801072000,93.1
801158400,91.0
801244800,91.6
801331200,91.2
801417600,93.1
801504000,94.7
801590400,94.7
801676800,94.4
801763200,96.4
801849600,97.5
801936000,98.2
802022400,101.7
802108800,99.9
802195200,101.1
802281600,99.1
802368000,98.5
802454400,100.1
802540800,99.9
802627200,101.9
802713600,100.7
802800000,100.3
802886400,100.9
802972800,100.7
803059200,102.8
803145600,102.9
803232000,102.3
803318400,101.9
803404800,98.3
803491200,88.0
803577600,81.5
803664000,82.9
803750400,79.1
803836800,86.2
803923200,90.9
804009600,93.4
804096000,94.5
804182400,91.7
804268800,89.5
804355200,91.7
804441600,94.3
804528000,93.8
804614400,97.2
804700800,94.1
804787200,97.3
804873600,94.4
804960000,96.4
805046400,96.0
805132800,91.6
805219200,91.0
805305600,88.5
805392000,86.6
805478400,83.4
805564800,89.5
805651200,90.1
805737600,89.6
805824000,88.9
805910400,89.8
805996800,80.0
806083200,87.3
806169600,88.2
806256000,89.9
806342400,84.9
806428800,85.4
806515200,87.3
806601600,84.8
806688000,82.6
806774400,82.6
806860800,83.4
806947200,86.8
807033600,88.4
807120000,88.4
807206400,85.1
807292800,83.5
807379200,78.9
807465600,81.3
807552000,83.3
807638400,84.2
807724800,81.7
807811200,79.8
807897600,80.9
807984000,82.5
808070400,85.6
808156800,87.2
808243200,85.4
808329600,85.3
808416000,85.5
808502400,85.8
808588800,87.2
808675200,85.8
808761600,82.2
808848000,80.8
808934400,83.8
809020800,83.2
809107200,83.2
809193600,85.8
809280000,82.6
809366400,84.5
809452800,85.0
809539200,79.5
809625600,78.3
809712000,77.8
809798400,82.8
809884800,86.1
809971200,87.9
810057600,80.9
810144000,75.7
810230400,81.3
810316800,83.5
810403200,82.6
810489600,79.6
810576000,77.1
810662400,82.0
810748800,83.9
810835200,83.7
810921600,83.6
811008000,82.8
811094400,86.3
811180800,86.0
811267200,85.6
811353600,82.9
811440000,84.8
811526400,84.3
811612800,85.7
811699200,86.7
811785600,85.6
811872000,85.9
811958400,85.2
812044800,86.8
