timestamp,value
788889600,
788976000,
789062400,
789148800,
789235200,
789321600,
789408000,
789494400,
789580800,
789667200,
789753600,
789840000,
789926400,
790012800,
790099200,
790185600,
790272000,
790358400,
790444800,
790531200,
790617600,
790704000,
790790400,
790876800,
790963200,
791049600,
791136000,
791222400,
791308800,
791395200,
791481600,
791568000,
791654400,
791740800,
791827200,
791913600,
792000000,
792086400,30.2
792172800,30.2
792259200,30.2
792345600,30.2
792432000,30.2
792518400,30.2
792604800,30.2
792691200,30.2
792777600,30.2
792864000,30.2
792950400,30.2
793036800,30.2
793123200,30.2
793209600,30.2
793296000,30.2
793382400,30.2
793468800,30.2
793555200,30.2
793641600,30.2
793728000,30.2
793814400,30.2
793900800,17.2
793987200,14.7
794073600,14.7
794160000,29.3
794246400,41.1
794332800,34.6
794419200,28.9
794505600,18.5
794592000,32.3
794678400,46.7
794764800,54.0
794851200,57.3
794937600,53.6
795024000,46.4
795110400,45.0
795196800,49.2
795283200,52.3
795369600,46.9
795456000,48.5
795542400,51.9
795628800,42.6
795715200,55.2
795801600,55.8
795888000,43.8
795974400,53.4
796060800,39.9
796147200,33.3
796233600,30.5
796320000,30.5
796406400,25.4
796492800,24.2
796579200,36.8
796665600,43.2
796752000,47.2
796838400,43.0
796924800,46.7
797011200,56.5
797097600,53.5
797184000,57.7
797270400,59.9
797356800,40.8
797443200,25.1
797529600,22.1
797616000,36.8
797702400,52.7
797788800,57.3
797875200,40.9
797961600,43.1
798048000,38.9
798134400,35.4
798220800,34.2
798307200,35.0
798393600,36.5
798480000,36.0
798566400,33.8
798652800,39.1
798739200,48.1
798825600,35.0
798912000,40.0
798998400,48.7
799084800,42.3
799171200,43.1
799257600,39.4
799344000,43.2
799430400,45.4
799516800,46.1
799603200,51.5
799689600,51.2
799776000,51.1
799862400,44.4
799948800,48.1
800035200,47.6
800121600,52.2
800208000,54.3
800294400,51.3
800380800,44.0
800467200,58.8
800553600,60.9
800640000,45.6
800726400,48.2
800812800,53.0
800899200,53.4
800985600,57.4
801072000,52.4
801158400,39.3
801244800,41.2
801331200,47.3
801417600,48.3
801504000,47.8
801590400,48.1
801676800,48.9
801763200,47.7
801849600,52.4
801936000,57.8
802022400,63.1
802108800,56.1
802195200,54.4
802281600,59.0
802368000,66.6
802454400,56.7
802540800,50.2
802627200,48.8
802713600,49.3
802800000,54.6
802886400,67.3
802972800,71.1
803059200,73.4
803145600,73.8
803232000,69.7
803318400,69.1
803404800,63.1
803491200,67.8
803577600,72.0
803664000,70.5
803750400,65.9
803836800,64.2
803923200,59.4
804009600,59.5
804096000,62.9
804182400,69.7
804268800,60.7
804355200,51.3
804441600,52.8
804528000,55.6
804614400,62.4
804700800,63.6
804787200,59.1
804873600,62.5
804960000,68.8
805046400,75.3
805132800,76.6
805219200,77.0
805305600,75.6
805392000,78.5
805478400,81.5
805564800,79.9
805651200,63.9
805737600,64.0
805824000,66.2
805910400,68.1
805996800,64.4
806083200,67.1
806169600,63.9
806256000,68.4
806342400,68.6
806428800,69.3
806515200,70.8
806601600,73.7
806688000,77.1
806774400,80.9
806860800,81.4
806947200,78.7
807033600,80.4
807120000,57.8
807206400,59.3
807292800,73.8
807379200,75.2
807465600,73.9
807552000,70.2
807638400,73.0
807724800,81.9
807811200,83.4
807897600,73.7
807984000,77.3
808070400,83.8
808156800,75.8
808243200,77.4
808329600,68.6
808416000,70.2
808502400,76.2
808588800,78.9
808675200,76.7
808761600,70.5
808848000,71.9
808934400,75.4
809020800,76.0
809107200,76.4
809193600,74.8
809280000,71.3
809366400,72.0
809452800,75.0
809539200,76.0
809625600,77.3
809712000,77.5
809798400,74.0
809884800,76.0
809971200,80.5
810057600,76.5
810144000,78.3
810230400,79.5
810316800,70.4
810403200,56.3
810489600,57.4
810576000,60.9
810662400,58.9
810748800,62.9
810835200,63.2
810921600,67.1
811008000,68.0
811094400,69.0
811180800,68.7
811267200,69.6
811353600,64.7
811440000,51.8
811526400,45.1
811612800,30.6
811699200,38.5
811785600,50.3
811872000,43.3
811958400,48.1
812044800,57.0
812131200,61.5
812217600,62.4
812304000,56.8
812390400,50.2
812476800,51.8
812563200,49.2
812649600,51.4
812736000,48.6
812822400,44.9
812908800,40.2
812995200,49.7
813081600,52.2
813168000,46.5
813254400,57.1
813340800,61.5
813427200,66.8
813513600,48.8
813600000,47.8
813686400,61.0
813772800,61.2
813859200,55.7
813945600,61.3
814032000,49.2
814118400,40.9
814204800,53.6
814291200,42.5
814377600,31.1
814464000,31.0
814550400,39.0
814636800,49.7
814723200,43.8
814809600,41.4
814896000,43.6
814982400,37.5
815068800,35.3
815155200,29.7
815241600,17.2
815328000,25.6
815414400,29.7
815500800,42.9
815587200,45.0
815673600,37.1
815760000,45.3
815846400,51.7
815932800,31.7
816019200,30.2
816105600,53.0
816192000,40.1
816278400,46.4
816364800,45.9
816451200,52.2
816537600,46.2
816624000,53.5
816710400,47.7
816796800,37.2
816883200,42.3
816969600,51.2
817056000,42.5
817142400,48.8
817228800,54.1
817315200,52.7
817401600,29.6
817488000,26.9
817574400,46.0
817660800,50.9
817747200,53.9
817833600,52.3
817920000,40.6
818006400,44.2
818092800,37.9
818179200,32.0
818265600,30.3
818352000,20.9
818438400,11.0
818524800,36.3
818611200,47.0
818697600,46.5
818784000,50.0
818870400,40.5
818956800,39.0
819043200,36.4
819129600,28.7
819216000,25.5
819302400,19.2
819388800,22.7
819475200,22.8
819561600,18.9
819648000,18.1
819734400,27.5
819820800,31.5
819907200,35.9
819993600,26.6
820080000,30.3
820166400,29.9
820252800,31.5
820339200,31.8
820425600,26.6
820512000,16.7
820598400,32.3
820684800,27.9
820771200,9.1
820857600,11.5
820944000,19.3
821030400,42.0
821116800,39.6
821203200,40.5
821289600,34.6
821376000,41.8
821462400,45.9
821548800,45.2
821635200,41.6
821721600,47.4
821808000,33.0
821894400,3.9
821980800,17.7
822067200,33.1
822153600,36.9
822240000,26.7
822326400,15.0
822412800,27.8
822499200,26.8
822585600,8.6
822672000,16.3
822758400,30.4
822844800,26.5
822931200,6.4
823017600,4.9
823104000,5.4
823190400,-4.2
823276800,-3.4
823363200,21.7
823449600,43.0
823536000,44.1
823622400,47.7
823708800,48.7
823795200,51.4
823881600,43.1
823968000,31.5
824054400,35.0
