timestamp,value
788889600,34.1
788976000,21.2
789062400,20.6
789148800,12.5
789235200,8.1
789321600,20.6
789408000,25.1
789494400,18.9
789580800,18.6
789667200,20.3
789753600,30.7
789840000,42.2
789926400,53.5
790012800,52.7
790099200,42.8
790185600,31.5
790272000,30.8
790358400,35.2
790444800,37.5
790531200,39.7
790617600,32.2
790704000,25.8
790790400,25.8
790876800,31.3
790963200,26.9
791049600,26.5
791136000,23.0
791222400,23.9
791308800,21.6
791395200,22.7
791481600,26.6
791568000,35.6
791654400,30.7
791740800,21.9
791827200,24.5
791913600,6.8
792000000,11.1
792086400,16.7
792172800,14.8
792259200,18.4
792345600,30.8
792432000,17.1
792518400,4.9
792604800,16.3
792691200,16.8
792777600,28.5
792864000,33.6
792950400,28.4
793036800,34.0
793123200,37.3
793209600,32.6
793296000,29.8
793382400,28.0
793468800,39.3
793555200,29.4
793641600,28.4
793728000,20.8
793814400,28.6
793900800,31.9
793987200,25.2
794073600,19.3
794160000,20.2
794246400,25.3
794332800,31.3
794419200,35.9
794505600,37.9
794592000,27.1
794678400,21.0
794764800,25.9
794851200,42.5
794937600,48.7
795024000,52.5
795110400,54.1
795196800,53.7
795283200,55.7
795369600,44.1
795456000,37.1
795542400,41.5
795628800,47.6
795715200,45.6
795801600,42.4
795888000,37.1
795974400,38.9
796060800,42.5
796147200,43.4
796233600,40.2
796320000,37.5
796406400,40.4
796492800,40.1
796579200,36.3
796665600,38.6
796752000,40.5
796838400,45.3
796924800,35.8
797011200,25.3
797097600,43.4
797184000,41.6
797270400,38.9
797356800,37.3
797443200,34.7
797529600,44.3
797616000,52.8
797702400,42.2
797788800,43.9
797875200,43.1
797961600,45.5
798048000,47.8
798134400,48.8
798220800,56.2
798307200,43.2
798393600,53.6
798480000,48.4
798566400,46.5
798652800,45.3
798739200,46.2
798825600,45.0
798912000,52.0
798998400,48.5
799084800,52.3
799171200,48.3
799257600,49.6
799344000,53.4
799430400,54.5
799516800,55.6
799603200,55.0
799689600,54.1
799776000,57.9
799862400,52.1
799948800,50.6
800035200,59.1
800121600,56.2
800208000,59.8
800294400,60.2
800380800,66.5
800467200,62.7
800553600,64.0
800640000,68.3
800726400,53.3
800812800,60.2
800899200,65.1
800985600,63.1
801072000,60.0
801158400,64.8
801244800,59.9
801331200,53.8
801417600,60.8
801504000,60.6
801590400,66.3
801676800,63.9
801763200,62.6
801849600,66.6
801936000,67.3
802022400,67.3
802108800,68.0
802195200,67.1
802281600,68.8
802368000,71.9
802454400,74.7
802540800,59.8
802627200,58.8
802713600,65.8
802800000,65.8
802886400,62.2
802972800,63.1
803059200,70.6
803145600,68.0
803232000,70.2
803318400,75.1
803404800,78.6
803491200,82.7
803577600,84.9
803664000,79.2
803750400,77.4
803836800,76.0
803923200,75.4
804009600,73.7
804096000,73.9
804182400,73.3
804268800,74.3
804355200,71.2
804441600,72.0
804528000,69.3
804614400,63.0
804700800,64.6
804787200,72.5
804873600,76.9
804960000,78.0
805046400,70.5
805132800,63.4
805219200,67.2
805305600,70.2
805392000,75.8
805478400,74.3
805564800,81.5
805651200,83.3
805737600,86.0
805824000,78.4
805910400,76.8
805996800,75.2
806083200,72.3
806169600,72.4
806256000,72.3
806342400,76.7
806428800,76.7
806515200,76.2
806601600,74.2
806688000,75.2
806774400,74.1
806860800,78.5
806947200,80.2
807033600,75.6
807120000,78.5
807206400,77.7
807292800,74.9
807379200,78.6
807465600,75.9
807552000,75.8
807638400,75.4
807724800,75.1
807811200,73.1
807897600,73.4
807984000,76.2
808070400,81.2
808156800,83.2
808243200,82.3
808329600,82.2
808416000,82.7
808502400,80.1
808588800,77.1
808675200,78.0
808761600,79.2
808848000,78.1
808934400,78.2
809020800,71.7
809107200,70.8
809193600,73.2
809280000,68.5
809366400,73.4
809452800,74.0
809539200,72.5
809625600,74.6
809712000,73.9
809798400,79.9
809884800,70.5
809971200,66.6
810057600,70.4
810144000,70.7
810230400,73.2
810316800,76.5
810403200,71.6
810489600,52.1
810576000,59.6
810662400,58.8
810748800,57.2
810835200,62.0
810921600,74.0
811008000,69.2
811094400,59.4
811180800,64.2
811267200,64.4
811353600,57.1
811440000,58.4
811526400,59.9
811612800,57.3
811699200,49.4
811785600,46.0
811872000,50.2
811958400,54.2
812044800,58.4
812131200,61.4
812217600,63.6
812304000,64.3
812390400,68.2
812476800,69.6
812563200,64.0
812649600,57.5
812736000,56.7
812822400,56.9
812908800,59.2
812995200,57.0
813081600,53.1
813168000,53.9
813254400,60.3
813340800,59.6
813427200,64.4
813513600,65.5
813600000,62.1
813686400,47.7
813772800,47.9
813859200,48.2
813945600,60.9
814032000,61.2
814118400,58.5
814204800,45.0
814291200,46.5
814377600,54.8
814464000,53.1
814550400,49.3
814636800,47.7
814723200,54.4
814809600,50.7
814896000,45.9
814982400,43.5
815068800,42.8
815155200,51.9
815241600,61.9
815328000,39.8
815414400,32.6
815500800,29.1
815587200,33.6
815673600,44.2
815760000,33.7
815846400,27.5
815932800,43.4
816019200,45.6
816105600,28.4
816192000,32.0
816278400,29.3
816364800,31.2
816451200,30.6
816537600,31.5
816624000,35.5
816710400,37.3
816796800,40.2
816883200,37.1
816969600,30.3
817056000,33.9
817142400,25.3
817228800,32.8
817315200,35.7
817401600,41.7
817488000,31.8
817574400,28.1
817660800,29.1
817747200,44.2
817833600,32.4
817920000,44.3
818006400,37.1
818092800,37.2
818179200,28.9
818265600,25.6
818352000,19.1
818438400,16.6
818524800,7.4
818611200,9.9
818697600,13.2
818784000,19.8
818870400,35.1
818956800,35.8
819043200,29.5
819129600,25.1
819216000,28.5
819302400,26.7
819388800,21.0
819475200,20.7
819561600,21.7
819648000,27.0
819734400,28.3
819820800,25.8
819907200,21.4
819993600,17.5
820080000,23.8
820166400,22.1
820252800,22.7
820339200,31.7
820425600,34.4
820512000,27.9
820598400,18.8
820684800,11.5
820771200,13.3
820857600,15.9
820944000,17.1
821030400,14.9
821116800,20.3
821203200,17.9
821289600,12.2
821376000,20.2
821462400,28.0
821548800,33.5
821635200,23.3
821721600,21.7
821808000,43.7
821894400,49.1
821980800,29.2
822067200,14.9
822153600,22.2
