timestamp,value
788889600,65.4
788976000,62.2
789062400,63.0
789148800,65.5
789235200,65.3
789321600,64.2
789408000,63.4
789494400,65.1
789580800,63.5
789667200,65.5
789753600,65.4
789840000,69.0
789926400,66.9
790012800,66.8
790099200,65.1
790185600,64.6
790272000,66.1
790358400,70.4
790444800,69.6
790531200,66.0
790617600,64.1
790704000,62.6
790790400,62.3
790876800,63.5
790963200,63.0
791049600,60.3
791136000,60.6
791222400,62.5
791308800,62.9
791395200,64.5
791481600,63.0
791568000,65.8
791654400,67.4
791740800,70.0
791827200,70.3
791913600,73.2
792000000,72.1
792086400,71.9
792172800,69.8
792259200,65.1
792345600,61.2
792432000,60.7
792518400,61.5
792604800,63.5
792691200,62.8
792777600,65.6
792864000,66.6
792950400,66.1
793036800,67.3
793123200,65.9
793209600,65.3
793296000,64.2
793382400,64.3
793468800,71.1
793555200,64.4
793641600,64.3
793728000,64.3
793814400,65.8
793900800,65.9
793987200,64.9
794073600,65.9
794160000,68.2
794246400,68.9
794332800,69.8
794419200,69.4
794505600,68.6
794592000,68.6
794678400,70.6
794764800,72.0
794851200,70.8
794937600,71.2
795024000,66.4
795110400,66.5
795196800,67.4
795283200,68.3
795369600,69.7
795456000,70.0
795542400,70.3
795628800,70.3
795715200,68.6
795801600,68.0
795888000,69.6
795974400,71.2
796060800,71.7
796147200,73.1
796233600,68.3
796320000,65.1
796406400,68.7
796492800,71.0
796579200,75.0
796665600,75.9
796752000,71.8
796838400,73.6
796924800,79.7
797011200,76.8
797097600,70.2
797184000,70.6
797270400,72.9
797356800,73.0
797443200,73.6
797529600,74.1
797616000,75.8
797702400,78.0
797788800,80.9
797875200,83.5
797961600,80.7
798048000,82.3
798134400,80.8
798220800,81.8
798307200,79.9
798393600,79.5
798480000,82.1
798566400,81.3
798652800,76.3
798739200,77.4
798825600,78.4
798912000,78.4
798998400,79.8
799084800,82.7
799171200,82.2
799257600,81.2
799344000,81.9
799430400,84.6
799516800,86.2
799603200,88.9
799689600,89.3
799776000,87.3
799862400,91.1
799948800,83.8
800035200,81.4
800121600,82.9
800208000,84.3
800294400,86.2
800380800,88.3
800467200,88.9
800553600,89.3
800640000,87.4
800726400,87.6
800812800,88.3
800899200,88.0
800985600,95.6
801072000,95.7
801158400,89.4
801244800,87.2
801331200,88.5
801417600,91.2
801504000,88.2
801590400,90.4
801676800,91.5
801763200,91.1
801849600,90.0
801936000,94.3
