timestamp,value
788889600,67.7
788976000,66.9
789062400,65.7
789148800,66.8
789235200,68.5
789321600,67.6
789408000,66.1
789494400,66.1
789580800,65.1
789667200,65.6
789753600,67.3
789840000,68.2
789926400,68.9
790012800,66.9
790099200,67.6
790185600,68.2
790272000,69.3
790358400,70.0
790444800,70.0
790531200,68.7
790617600,66.7
790704000,65.5
790790400,65.8
790876800,64.8
790963200,67.0
791049600,68.4
791136000,65.0
791222400,65.1
791308800,64.8
791395200,64.4
791481600,65.0
791568000,66.5
791654400,67.8
791740800,67.7
791827200,73.4
791913600,77.5
792000000,76.4
792086400,77.1
792172800,76.0
792259200,72.2
792345600,68.8
792432000,67.2
792518400,64.0
792604800,65.5
792691200,65.9
792777600,69.1
792864000,69.2
792950400,67.1
793036800,67.5
793123200,70.8
793209600,63.5
793296000,65.4
793382400,66.4
793468800,72.1
793555200,69.3
793641600,68.2
793728000,68.2
793814400,69.6
793900800,69.1
793987200,67.6
794073600,70.3
794160000,68.7
794246400,70.6
794332800,69.5
794419200,70.2
794505600,69.8
794592000,69.6
794678400,69.9
794764800,69.7
794851200,73.3
794937600,66.1
795024000,65.5
795110400,65.5
795196800,67.4
795283200,68.0
795369600,72.3
795456000,75.9
795542400,76.7
795628800,75.9
795715200,74.8
795801600,73.0
795888000,72.2
795974400,72.8
796060800,73.1
796147200,74.4
796233600,72.7
796320000,70.1
796406400,70.1
796492800,69.5
796579200,70.1
796665600,71.7
796752000,73.3
796838400,79.3
796924800,79.2
797011200,80.0
797097600,74.3
797184000,72.2
797270400,70.0
797356800,70.7
797443200,72.5
797529600,80.3
797616000,80.1
797702400,81.3
797788800,79.0
797875200,79.5
797961600,79.1
798048000,73.7
798134400,78.1
798220800,85.3
798307200,86.6
798393600,87.5
798480000,87.1
798566400,85.7
798652800,79.2
798739200,76.2
798825600,75.5
798912000,77.5
798998400,79.3
799084800,81.9
799171200,80.3
799257600,78.0
799344000,81.0
799430400,82.6
799516800,85.6
799603200,83.0
799689600,84.2
799776000,86.6
799862400,86.5
799948800,87.1
800035200,81.7
800121600,79.4
800208000,83.8
800294400,88.7
800380800,87.9
800467200,82.7
800553600,81.2
800640000,82.2
800726400,84.2
800812800,86.6
800899200,88.6
800985600,88.6
801072000,86.1
801158400,85.8
801244800,94.4
801331200,94.6
801417600,91.3
801504000,90.8
801590400,91.2
801676800,92.0
801763200,88.6
801849600,89.1
801936000,89.1
802022400,89.7
802108800,91.7
802195200,93.5
802281600,88.8
802368000,86.5
802454400,86.7
802540800,88.6
802627200,88.5
802713600,91.6
802800000,91.2
802886400,89.5
802972800,89.4
803059200,88.2
803145600,88.6
803232000,87.6
803318400,87.1
803404800,87.5
803491200,90.1
803577600,91.5
803664000,96.8
803750400,95.8
803836800,92.6
803923200,87.7
804009600,88.8
804096000,89.7
804182400,88.9
804268800,91.7
804355200,91.2
804441600,89.4
804528000,89.6
804614400,89.9
804700800,90.0
804787200,95.4
804873600,93.3
804960000,91.8
805046400,91.3
805132800,90.1
805219200,92.2
805305600,92.0
805392000,91.6
805478400,91.5
805564800,91.6
805651200,91.8
805737600,90.4
805824000,89.9
805910400,90.8
805996800,90.4
806083200,90.9
806169600,91.7
806256000,94.7
806342400,86.9
806428800,82.6
806515200,85.0
806601600,91.6
806688000,93.9
806774400,92.3
806860800,93.9
806947200,94.2
807033600,97.1
807120000,95.3
807206400,97.5
807292800,97.1
807379200,95.2
807465600,98.2
807552000,101.7
807638400,98.5
807724800,96.5
807811200,92.1
807897600,96.8
807984000,98.0
808070400,96.2
808156800,95.0
808243200,95.6
808329600,93.3
808416000,96.4
808502400,100.2
808588800,98.7
808675200,96.3
808761600,94.6
808848000,94.5
808934400,90.6
809020800,95.4
809107200,95.5
809193600,92.6
809280000,93.1
809366400,92.6
809452800,93.5
809539200,94.9
809625600,94.5
809712000,95.0
809798400,92.6
809884800,91.9
809971200,93.3
810057600,93.6
810144000,92.2
810230400,91.5
810316800,89.6
810403200,89.8
810489600,90.4
810576000,92.3
810662400,90.6
810748800,89.1
810835200,89.8
810921600,90.7
811008000,91.0
811094400,89.8
811180800,89.7
811267200,91.8
811353600,93.3
811440000,93.1
811526400,91.4
811612800,90.7
811699200,88.5
811785600,87.7
811872000,86.8
811958400,87.4
812044800,88.1
812131200,88.3
812217600,87.5
812304000,85.9
812390400,85.6
812476800,86.7
812563200,88.7
812649600,87.4
812736000,88.8
812822400,86.3
812908800,85.0
812995200,86.2
813081600,85.2
813168000,88.6
813254400,87.8
813340800,88.4
813427200,86.4
813513600,86.2
813600000,85.5
813686400,87.1
813772800,85.1
813859200,84.8
813945600,85.3
814032000,83.2
814118400,84.9
814204800,83.6
814291200,88.9
814377600,86.9
814464000,83.5
814550400,82.5
814636800,83.8
814723200,83.6
814809600,82.4
814896000,81.5
814982400,80.2
815068800,78.6
815155200,79.8
815241600,78.8
815328000,79.4
815414400,79.8
815500800,83.5
815587200,80.7
815673600,80.1
815760000,80.6
815846400,78.7
815932800,80.2
816019200,79.2
816105600,78.6
816192000,77.1
816278400,77.3
816364800,76.6
816451200,75.6
816537600,78.3
816624000,75.4
816710400,75.6
816796800,74.1
816883200,74.4
816969600,73.8
817056000,74.1
817142400,74.4
817228800,76.0
817315200,74.9
817401600,71.8
817488000,70.0
817574400,70.5
817660800,72.7
817747200,72.3
817833600,73.1
817920000,74.1
818006400,75.5
818092800,75.7
818179200,76.1
818265600,73.6
818352000,72.0
818438400,69.6
818524800,69.4
818611200,69.2
818697600,73.6
818784000,71.2
818870400,68.7
818956800,65.2
819043200,62.6
819129600,63.3
819216000,65.3
819302400,65.6
819388800,68.9
819475200,67.1
819561600,68.2
819648000,70.1
819734400,70.3
819820800,68.1
819907200,68.9
819993600,67.4
820080000,66.3
820166400,66.3
820252800,66.0
820339200,67.6
820425600,68.7
820512000,68.2
820598400,70.3
820684800,70.0
820771200,69.1
820857600,69.9
820944000,70.6
821030400,70.1
821116800,68.4
821203200,68.8
821289600,68.6
821376000,69.0
821462400,66.7
821548800,63.9
821635200,61.5
821721600,62.6
821808000,64.5
821894400,66.5
821980800,67.5
822067200,67.5
822153600,67.3
822240000,67.7
822326400,65.5
822412800,63.9
822499200,64.5
822585600,63.4
822672000,62.8
