timestamp,value
788889600,34.3
788976000,34.8
789062400,40.1
789148800,45.1
789235200,46.3
789321600,38.5
789408000,49.6
789494400,43.0
789580800,46.6
789667200,48.7
789753600,38.8
789840000,35.1
789926400,44.9
790012800,44.3
790099200,45.4
790185600,43.1
790272000,40.9
790358400,36.4
790444800,35.3
790531200,35.6
790617600,37.9
790704000,35.0
790790400,39.1
790876800,37.5
790963200,37.6
791049600,34.7
791136000,40.7
791222400,43.7
791308800,41.8
791395200,39.9
791481600,50.3
791568000,41.9
791654400,40.8
791740800,48.5
791827200,47.0
791913600,50.0
792000000,50.1
792086400,46.4
792172800,39.5
792259200,40.7
792345600,43.7
792432000,45.5
792518400,44.5
792604800,43.1
792691200,44.5
792777600,42.0
792864000,39.6
792950400,38.0
793036800,41.1
793123200,41.3
793209600,41.2
793296000,38.7
793382400,40.1
793468800,37.6
793555200,39.2
793641600,37.5
793728000,36.6
793814400,46.4
793900800,50.4
793987200,36.2
794073600,32.7
794160000,32.5
794246400,35.0
794332800,39.8
794419200,35.8
794505600,35.8
794592000,37.6
794678400,39.8
794764800,47.9
794851200,43.6
794937600,42.7
795024000,49.5
795110400,43.5
795196800,35.3
795283200,40.5
795369600,40.6
795456000,38.7
795542400,36.9
795628800,39.3
795715200,42.3
795801600,43.7
795888000,45.2
795974400,45.4
796060800,48.1
796147200,47.5
796233600,39.6
796320000,42.4
796406400,39.1
796492800,49.5
796579200,53.6
796665600,55.6
796752000,53.5
796838400,50.4
796924800,51.0
797011200,51.0
797097600,54.4
797184000,51.1
797270400,43.6
797356800,47.8
797443200,50.0
797529600,48.3
797616000,44.5
797702400,46.0
797788800,50.5
797875200,48.5
797961600,47.4
798048000,47.9
798134400,38.7
798220800,37.4
798307200,37.1
798393600,39.3
798480000,40.8
798566400,45.5
798652800,47.5
798739200,49.4
798825600,45.7
798912000,43.5
798998400,44.9
799084800,46.8
799171200,52.5
799257600,52.6
799344000,55.0
799430400,55.4
799516800,59.6
799603200,52.3
799689600,55.8
799776000,56.2
799862400,51.1
799948800,46.8
800035200,45.2
800121600,44.9
800208000,39.7
800294400,41.8
800380800,44.6
800467200,44.3
800553600,46.1
800640000,43.8
800726400,43.5
800812800,48.1
800899200,50.6
800985600,50.8
801072000,51.6
801158400,54.0
801244800,54.0
801331200,52.3
801417600,52.4
801504000,55.1
801590400,55.9
801676800,54.1
801763200,52.8
801849600,52.1
801936000,52.5
802022400,52.0
802108800,56.1
802195200,51.6
802281600,51.9
802368000,57.2
802454400,52.9
802540800,49.0
802627200,54.0
802713600,54.1
802800000,52.4
802886400,49.6
802972800,50.8
803059200,56.5
803145600,56.0
803232000,51.8
803318400,56.2
803404800,56.5
803491200,61.7
803577600,58.1
803664000,54.9
803750400,58.0
803836800,58.9
803923200,59.1
804009600,60.8
804096000,61.4
804182400,62.7
804268800,62.5
804355200,66.9
804441600,64.7
804528000,57.5
804614400,54.9
804700800,53.7
804787200,60.0
804873600,62.7
804960000,63.5
805046400,61.9
805132800,57.3
805219200,60.3
805305600,62.3
805392000,61.6
805478400,60.1
805564800,61.3
