timestamp,value
788889600,8.2
788976000,5.6
789062400,-4.2
789148800,-11.4
789235200,3.7
789321600,16.6
789408000,-1.7
789494400,3.9
789580800,-1.1
789667200,11.1
789753600,23.4
789840000,31.0
789926400,30.0
790012800,22.4
790099200,12.9
790185600,23.1
790272000,29.7
790358400,19.5
790444800,13.1
790531200,11.3
790617600,15.8
790704000,13.7
790790400,11.7
790876800,7.8
790963200,9.6
791049600,12.9
791136000,23.1
791222400,24.9
791308800,23.7
791395200,16.6
791481600,29.2
791568000,24.4
791654400,22.5
791740800,23.5
791827200,7.8
791913600,-4.6
792000000,0.9
792086400,6.7
792172800,2.0
792259200,24.6
792345600,14.1
792432000,-12.6
792518400,-3.5
792604800,-4.4
792691200,-1.8
792777600,16.0
792864000,2.6
792950400,14.6
793036800,27.0
793123200,26.9
793209600,27.6
793296000,13.2
793382400,25.4
793468800,30.5
793555200,19.0
793641600,19.5
793728000,15.6
793814400,18.7
793900800,6.4
793987200,-2.3
794073600,-0.1
794160000,17.7
794246400,16.2
794332800,18.3
794419200,16.7
794505600,17.6
794592000,9.8
794678400,11.1
794764800,25.4
794851200,34.6
794937600,42.0
795024000,49.5
795110400,48.1
795196800,45.3
795283200,38.2
795369600,32.5
795456000,30.1
795542400,32.5
795628800,34.1
795715200,35.9
795801600,34.4
795888000,29.9
795974400,31.2
796060800,32.1
796147200,33.3
796233600,33.1
796320000,32.5
796406400,28.8
796492800,25.5
796579200,31.2
796665600,32.3
796752000,31.5
796838400,36.2
796924800,6.4
797011200,15.9
797097600,26.8
797184000,31.7
797270400,32.9
797356800,26.5
797443200,29.2
797529600,30.7
797616000,33.5
797702400,38.2
797788800,39.0
797875200,33.0
797961600,32.1
798048000,32.3
798134400,33.3
798220800,38.1
798307200,39.2
798393600,37.7
798480000,43.1
798566400,43.9
798652800,39.2
798739200,38.1
798825600,37.9
798912000,39.0
798998400,42.7
799084800,42.8
799171200,41.7
799257600,40.2
799344000,45.4
799430400,51.8
799516800,53.3
799603200,48.8
799689600,51.4
799776000,50.7
799862400,48.4
799948800,39.3
800035200,45.7
800121600,56.5
800208000,59.5
800294400,50.6
800380800,49.9
800467200,55.1
800553600,49.6
800640000,48.2
800726400,55.9
800812800,62.7
800899200,52.1
800985600,51.4
801072000,53.8
801158400,50.5
801244800,47.7
801331200,46.4
801417600,49.0
801504000,52.7
801590400,48.3
801676800,57.6
801763200,66.7
801849600,70.4
801936000,68.8
802022400,66.9
802108800,59.5
802195200,60.9
802281600,66.6
802368000,64.2
802454400,49.4
802540800,43.8
802627200,49.4
802713600,50.9
802800000,56.4
802886400,62.7
802972800,66.9
803059200,63.2
803145600,64.9
803232000,69.5
803318400,75.9
803404800,82.7
803491200,81.2
803577600,76.2
803664000,67.5
803750400,69.9
803836800,73.9
803923200,73.0
804009600,63.6
804096000,61.1
804182400,63.7
804268800,63.8
804355200,64.5
