timestamp,value
788889600,39.9
788976000,37.0
789062400,41.3
789148800,40.1
789235200,40.9
789321600,47.3
789408000,47.6
789494400,47.7
789580800,50.2
789667200,49.1
789753600,52.9
789840000,54.3
789926400,51.9
790012800,49.5
790099200,53.9
790185600,58.9
790272000,44.2
790358400,40.4
790444800,40.1
790531200,45.8
790617600,47.8
790704000,52.4
790790400,43.9
790876800,46.2
790963200,48.0
791049600,51.8
791136000,50.4
791222400,48.1
791308800,44.1
791395200,40.3
791481600,42.0
791568000,49.4
791654400,53.8
791740800,54.7
791827200,52.2
791913600,52.9
792000000,55.5
792086400,59.0
792172800,49.6
792259200,56.9
792345600,60.3
792432000,50.5
792518400,54.8
792604800,59.1
792691200,61.5
792777600,56.6
792864000,54.4
792950400,49.8
793036800,53.4
793123200,56.0
793209600,54.5
793296000,59.1
793382400,57.7
793468800,60.8
793555200,56.9
793641600,59.3
793728000,61.3
793814400,62.7
793900800,62.2
793987200,49.9
794073600,46.6
794160000,56.5
794246400,65.8
794332800,65.6
794419200,62.2
794505600,49.7
794592000,45.3
794678400,53.2
794764800,58.3
794851200,68.6
794937600,60.7
795024000,59.8
795110400,62.5
795196800,61.0
795283200,59.8
795369600,63.9
795456000,66.0
795542400,69.4
795628800,69.7
795715200,72.9
795801600,70.9
795888000,64.6
795974400,69.2
796060800,62.3
796147200,54.9
796233600,53.2
796320000,61.6
796406400,55.8
796492800,57.8
796579200,55.2
796665600,58.4
796752000,62.4
796838400,64.0
796924800,57.1
797011200,60.0
797097600,69.7
797184000,71.6
797270400,72.4
797356800,72.6
797443200,58.9
797529600,54.0
797616000,63.7
797702400,67.9
797788800,77.3
797875200,72.8
797961600,71.5
798048000,64.9
798134400,56.4
798220800,58.5
798307200,52.2
798393600,63.6
798480000,63.7
798566400,56.8
798652800,62.1
798739200,65.7
798825600,75.6
798912000,68.4
798998400,69.9
799084800,77.6
799171200,79.7
799257600,78.0
799344000,74.2
799430400,74.2
799516800,74.1
799603200,77.3
799689600,71.5
799776000,66.8
799862400,58.7
799948800,68.8
800035200,73.2
800121600,75.7
800208000,80.1
800294400,77.5
800380800,79.1
800467200,81.7
800553600,83.2
800640000,69.4
800726400,69.1
800812800,74.6
800899200,76.5
800985600,83.2
801072000,84.6
801158400,81.9
801244800,76.6
801331200,77.1
801417600,78.5
801504000,74.5
801590400,77.3
801676800,77.5
801763200,76.9
801849600,79.5
801936000,81.3
802022400,84.5
802108800,81.7
802195200,77.1
802281600,82.0
802368000,85.2
802454400,81.4
802540800,80.9
802627200,78.0
802713600,78.1
802800000,75.8
802886400,78.0
802972800,84.5
803059200,85.3
803145600,85.2
803232000,85.8
803318400,79.3
803404800,76.7
803491200,81.0
803577600,78.1
803664000,81.7
803750400,84.2
803836800,85.6
803923200,82.8
804009600,82.3
804096000,75.8
804182400,77.1
804268800,80.8
804355200,83.7
804441600,78.4
804528000,72.7
804614400,77.4
804700800,84.0
804787200,84.4
804873600,85.1
804960000,83.6
805046400,83.4
805132800,81.9
805219200,82.5
805305600,83.6
805392000,84.4
805478400,84.8
805564800,84.4
805651200,86.0
805737600,82.8
805824000,77.1
805910400,76.0
805996800,75.8
806083200,82.7
806169600,82.9
806256000,78.7
806342400,82.0
806428800,89.7
806515200,88.2
806601600,85.9
806688000,89.1
806774400,90.2
806860800,89.2
806947200,87.1
807033600,88.3
807120000,84.1
807206400,77.4
807292800,80.1
807379200,86.1
807465600,85.4
807552000,86.1
807638400,83.9
807724800,86.6
807811200,86.5
807897600,85.7
807984000,87.1
808070400,86.4
808156800,87.8
808243200,85.5
808329600,80.2
808416000,75.8
808502400,78.6
808588800,75.3
808675200,74.9
808761600,79.3
808848000,77.9
808934400,79.6
809020800,84.6
809107200,80.3
809193600,79.9
809280000,82.5
809366400,83.7
809452800,81.2
809539200,84.2
809625600,83.3
809712000,81.3
809798400,80.9
809884800,83.8
809971200,81.3
810057600,81.2
810144000,81.8
810230400,81.3
810316800,84.3
810403200,86.3
810489600,80.5
810576000,77.4
810662400,72.8
810748800,73.1
810835200,76.2
810921600,77.7
811008000,72.6
811094400,62.1
811180800,65.3
811267200,71.3
811353600,77.1
811440000,71.9
811526400,72.9
811612800,72.8
811699200,52.7
811785600,59.1
811872000,74.1
811958400,74.5
812044800,74.0
812131200,76.9
812217600,72.1
812304000,69.1
812390400,73.4
812476800,68.6
812563200,71.8
812649600,68.4
812736000,71.3
812822400,68.4
