timestamp,value
788889600,46.5
788976000,21.4
789062400,20.7
789148800,16.6
789235200,11.0
789321600,21.6
789408000,34.2
789494400,28.8
789580800,32.0
789667200,35.4
789753600,40.5
789840000,57.2
789926400,52.5
790012800,64.3
790099200,60.2
790185600,35.6
790272000,37.3
790358400,36.7
790444800,41.3
790531200,32.8
790617600,25.5
790704000,22.9
790790400,25.8
790876800,20.1
790963200,23.2
791049600,19.4
791136000,22.6
791222400,32.3
791308800,32.3
791395200,32.1
791481600,30.4
791568000,38.3
791654400,33.2
791740800,31.2
791827200,24.9
791913600,10.6
792000000,9.7
792086400,13.9
792172800,12.1
792259200,19.6
792345600,32.5
792432000,30.0
792518400,7.3
792604800,16.0
792691200,24.7
792777600,36.3
792864000,37.5
792950400,37.6
793036800,40.3
793123200,43.1
793209600,44.4
793296000,31.5
793382400,32.9
793468800,54.3
793555200,29.6
793641600,32.0
793728000,51.9
793814400,49.7
793900800,50.6
793987200,33.9
794073600,30.2
794160000,33.9
794246400,39.3
794332800,44.0
794419200,54.4
794505600,64.2
794592000,35.2
794678400,19.6
794764800,26.7
794851200,47.1
794937600,59.4
795024000,63.9
795110400,59.7
795196800,62.3
795283200,59.8
795369600,57.8
795456000,48.8
795542400,56.8
795628800,63.4
795715200,47.3
795801600,48.9
795888000,42.6
795974400,41.7
796060800,42.4
796147200,53.0
796233600,54.8
796320000,44.0
796406400,46.1
796492800,40.4
796579200,38.0
796665600,40.2
796752000,37.5
796838400,52.9
796924800,53.0
797011200,30.4
797097600,54.2
797184000,57.8
797270400,66.5
797356800,66.3
797443200,53.3
797529600,62.5
797616000,57.6
797702400,43.4
797788800,42.5
797875200,46.0
797961600,53.7
798048000,52.9
798134400,61.2
798220800,75.7
798307200,54.9
798393600,68.1
798480000,62.0
798566400,48.1
798652800,41.7
798739200,48.4
798825600,52.4
798912000,63.8
798998400,50.5
799084800,56.2
799171200,56.2
799257600,53.4
799344000,47.9
799430400,53.8
799516800,52.7
799603200,50.0
799689600,54.2
799776000,56.4
799862400,62.4
799948800,69.6
800035200,71.2
800121600,58.4
800208000,57.0
800294400,60.5
800380800,68.4
800467200,65.5
800553600,66.9
800640000,65.3
800726400,69.1
800812800,54.8
800899200,63.8
800985600,61.4
801072000,61.6
801158400,69.5
801244800,75.9
801331200,71.8
801417600,70.9
801504000,67.2
801590400,59.0
801676800,73.9
801763200,57.5
801849600,67.3
801936000,64.0
802022400,73.4
802108800,70.7
802195200,67.5
802281600,72.0
802368000,71.5
802454400,74.3
802540800,78.1
802627200,78.6
802713600,75.6
802800000,73.0
802886400,57.9
802972800,60.2
803059200,66.3
803145600,68.7
803232000,70.4
803318400,70.9
803404800,71.5
803491200,74.5
803577600,76.7
803664000,78.2
803750400,72.9
803836800,70.4
803923200,74.6
804009600,76.9
804096000,71.2
804182400,78.0
804268800,73.8
804355200,72.6
804441600,73.8
804528000,71.2
804614400,67.5
804700800,66.6
804787200,72.8
804873600,76.7
804960000,77.6
805046400,75.5
805132800,66.0
805219200,68.8
805305600,73.3
805392000,75.9
805478400,77.4
805564800,79.3
805651200,82.5
805737600,88.1
805824000,78.0
805910400,77.3
805996800,76.8
806083200,73.7
806169600,75.3
806256000,76.0
806342400,77.2
806428800,78.6
806515200,76.2
806601600,79.7
806688000,76.4
806774400,75.5
806860800,76.9
806947200,75.9
807033600,77.7
807120000,76.2
807206400,80.2
807292800,82.5
807379200,82.9
807465600,81.6
807552000,82.7
807638400,70.8
807724800,74.1
807811200,69.7
807897600,70.3
807984000,74.1
808070400,75.6
808156800,77.4
808243200,83.1
808329600,83.0
808416000,78.3
808502400,80.2
808588800,78.4
808675200,78.4
808761600,78.4
808848000,78.4
808934400,78.4
809020800,78.4
809107200,69.7
809193600,74.4
809280000,75.2
809366400,78.8
809452800,72.3
809539200,72.3
809625600,70.3
809712000,70.3
809798400,78.3
809884800,74.1
809971200,61.8
810057600,62.3
810144000,66.6
810230400,64.6
810316800,67.4
810403200,73.6
810489600,69.1
810576000,68.6
810662400,65.4
810748800,62.5
810835200,65.5
810921600,68.9
811008000,72.2
811094400,63.7
811180800,61.6
811267200,61.2
811353600,56.8
811440000,60.7
811526400,64.0
811612800,67.0
811699200,58.3
811785600,47.7
811872000,52.1
811958400,59.6
812044800,56.1
812131200,56.1
812217600,56.8
812304000,58.0
812390400,59.0
812476800,61.8
812563200,65.9
812649600,61.3
812736000,65.8
812822400,69.1
812908800,72.8
812995200,63.6
813081600,55.4
813168000,55.2
813254400,57.1
813340800,58.3
813427200,56.6
813513600,58.1
813600000,64.2
813686400,48.1
813772800,45.6
813859200,44.9
813945600,53.5
814032000,55.3
814118400,61.8
814204800,43.1
814291200,50.2
814377600,51.2
814464000,55.7
814550400,43.1
814636800,41.8
814723200,57.3
814809600,49.6
814896000,44.2
814982400,42.6
815068800,52.9
815155200,59.6
815241600,65.0
815328000,52.0
815414400,31.2
815500800,30.2
815587200,35.5
815673600,50.2
815760000,34.2
815846400,26.3
815932800,42.7
816019200,52.5
816105600,25.6
816192000,29.3
816278400,33.5
816364800,29.5
816451200,29.3
816537600,33.5
816624000,40.8
816710400,35.3
816796800,33.9
816883200,36.6
816969600,25.6
817056000,33.8
817142400,33.1
817228800,31.7
817315200,40.0
817401600,44.5
817488000,45.6
817574400,31.7
817660800,29.7
817747200,48.8
817833600,43.1
817920000,42.7
818006400,42.6
818092800,38.0
818179200,31.6
818265600,29.0
818352000,25.6
818438400,32.4
818524800,13.0
818611200,15.6
818697600,24.3
818784000,29.9
818870400,44.9
818956800,53.6
819043200,41.3
819129600,30.0
819216000,36.0
819302400,40.8
819388800,21.1
819475200,21.6
819561600,19.4
819648000,20.5
819734400,20.3
819820800,22.2
819907200,19.9
819993600,19.5
820080000,17.8
820166400,23.1
820252800,18.9
820339200,32.4
820425600,37.2
820512000,39.9
820598400,31.0
820684800,19.4
820771200,21.6
820857600,20.9
820944000,19.4
821030400,13.8
821116800,19.8
821203200,23.1
821289600,13.1
821376000,28.1
821462400,25.1
821548800,35.2
821635200,35.9
821721600,40.0
821808000,43.2
821894400,53.2
821980800,34.8
822067200,16.7
822153600,29.8
822240000,31.2
822326400,35.4
822412800,41.1
822499200,23.8
822585600,33.5
822672000,41.1
822758400,24.1
822844800,32.3
822931200,36.9
823017600,21.3
823104000,18.7
823190400,17.9
823276800,7.4
823363200,-1.1
823449600,2.7
823536000,22.5
823622400,27.9
823708800,43.2
823795200,38.4
823881600,45.2
823968000,40.1
824054400,23.1
824140800,19.1
824227200,35.3
824313600,29.5
824400000,22.4
824486400,19.0
824572800,22.4
824659200,29.7
824745600,46.8
824832000,45.9
824918400,46.7
825004800,51.0
825091200,48.8
825177600,51.7
825264000,46.0
825350400,58.5
825436800,49.5
825523200,19.8
825609600,26.5
825696000,32.1
825782400,20.5
825868800,19.4
825955200,47.4
826041600,52.1
826128000,33.8
826214400,11.9
826300800,11.1
826387200,19.0
826473600,26.2
826560000,36.5
826646400,40.5
826732800,48.3
826819200,52.9
826905600,45.2
826992000,44.5
827078400,49.1
827164800,45.1
827251200,33.0
827337600,28.6
827424000,25.6
827510400,30.8
827596800,40.9
827683200,56.6
827769600,40.3
827856000,37.6
827942400,42.3
828028800,40.8
828115200,51.3
828201600,51.1
828288000,45.5
828374400,38.1
828460800,53.2
828547200,66.4
828633600,38.3
828720000,33.2
828806400,33.1
828892800,32.6
828979200,32.1
829065600,35.0
829152000,51.4
829238400,67.6
829324800,65.0
829411200,49.8
829497600,57.0
829584000,41.0
829670400,42.3
829756800,55.3
829843200,63.0
829929600,67.4
830016000,67.1
830102400,66.3
830188800,63.9
830275200,45.2
830361600,63.0
830448000,57.1
830534400,44.0
830620800,54.9
830707200,74.4
830793600,53.5
830880000,46.6
830966400,45.5
831052800,45.5
831139200,61.0
831225600,59.5
831312000,59.6
831398400,59.6
831484800,58.2
831571200,63.9
831657600,63.9
831744000,61.9
831830400,40.9
831916800,38.2
832003200,38.2
