timestamp,value
788889600,39.2
788976000,24.4
789062400,21.0
789148800,16.2
789235200,13.2
789321600,22.0
789408000,30.4
789494400,25.0
789580800,23.9
789667200,21.1
789753600,30.1
789840000,46.0
789926400,60.5
790012800,59.2
790099200,53.7
790185600,35.3
790272000,34.4
790358400,39.6
790444800,43.1
790531200,43.9
790617600,34.4
790704000,25.7
790790400,24.2
790876800,28.3
790963200,28.4
791049600,28.3
791136000,25.9
791222400,23.3
791308800,17.9
791395200,22.3
791481600,27.5
791568000,33.3
791654400,27.4
791740800,18.5
791827200,25.9
791913600,11.8
792000000,12.3
792086400,17.0
792172800,14.1
792259200,15.2
792345600,29.3
792432000,23.6
792518400,7.3
792604800,14.5
792691200,18.0
792777600,27.6
792864000,34.3
792950400,26.4
793036800,33.1
793123200,39.6
793209600,32.0
793296000,30.3
793382400,20.3
793468800,37.4
793555200,28.5
793641600,24.2
793728000,19.5
793814400,32.5
793900800,32.0
793987200,28.1
794073600,23.2
794160000,19.5
794246400,22.6
794332800,35.1
794419200,39.0
794505600,50.6
794592000,30.4
794678400,19.6
794764800,19.1
794851200,45.7
794937600,56.9
795024000,56.0
795110400,53.8
795196800,47.7
795283200,47.4
795369600,39.4
795456000,33.2
795542400,41.0
795628800,58.5
795715200,46.1
795801600,37.8
795888000,35.8
795974400,35.5
796060800,36.2
796147200,38.1
796233600,37.0
796320000,41.5
796406400,36.7
796492800,38.9
796579200,35.3
796665600,33.3
796752000,36.0
796838400,43.0
796924800,39.6
797011200,24.2
797097600,36.5
797184000,36.2
797270400,37.7
797356800,36.8
797443200,32.5
797529600,48.9
797616000,55.7
797702400,42.5
797788800,38.3
797875200,36.9
797961600,38.3
798048000,43.1
798134400,49.0
798220800,57.7
798307200,43.1
798393600,56.8
798480000,45.8
798566400,40.5
798652800,41.1
798739200,42.0
798825600,46.6
798912000,57.4
798998400,48.1
799084800,50.5
799171200,46.7
799257600,47.0
799344000,51.5
799430400,50.2
799516800,52.1
799603200,53.0
799689600,50.4
799776000,50.4
799862400,49.3
799948800,55.7
800035200,62.8
800121600,55.6
800208000,54.9
800294400,57.3
800380800,67.4
800467200,58.7
800553600,61.3
800640000,65.0
800726400,51.9
800812800,53.0
800899200,59.0
800985600,64.2
801072000,54.3
801158400,62.0
801244800,64.7
801331200,55.5
801417600,57.8
801504000,58.3
801590400,64.2
801676800,63.1
801763200,58.3
801849600,62.3
801936000,65.6
802022400,71.4
802108800,68.9
802195200,64.9
802281600,66.9
802368000,73.3
802454400,75.1
802540800,61.0
802627200,58.7
802713600,66.8
802800000,70.3
802886400,60.2
802972800,59.1
803059200,64.5
803145600,63.1
803232000,62.6
803318400,69.7
803404800,76.7
803491200,78.4
803577600,78.3
803664000,74.6
803750400,73.3
803836800,74.7
803923200,72.1
804009600,72.9
804096000,75.0
804182400,75.6
804268800,74.8
804355200,75.7
804441600,72.1
804528000,71.3
804614400,65.4
804700800,63.1
804787200,72.2
804873600,80.5
804960000,76.6
805046400,71.1
805132800,61.4
805219200,61.8
805305600,68.0
805392000,70.5
805478400,70.0
805564800,79.9
805651200,80.1
805737600,86.0
805824000,78.8
805910400,76.4
805996800,75.5
806083200,74.0
806169600,73.6
806256000,72.0
806342400,73.5
806428800,75.5
806515200,75.4
806601600,75.3
806688000,74.7
806774400,75.7
806860800,79.1
806947200,78.7
807033600,75.5
807120000,75.4
807206400,79.4
807292800,77.1
807379200,78.1
807465600,77.9
807552000,74.3
807638400,72.5
807724800,72.6
807811200,73.9
807897600,72.7
807984000,74.9
808070400,75.6
808156800,78.1
808243200,76.0
808329600,79.1
808416000,81.6
808502400,78.7
808588800,75.6
808675200,78.3
808761600,70.9
808848000,74.9
808934400,77.1
809020800,72.6
809107200,69.6
809193600,72.7
809280000,66.7
809366400,69.4
809452800,67.1
809539200,68.1
809625600,68.2
809712000,68.5
809798400,78.3
809884800,71.3
809971200,66.6
810057600,66.5
810144000,67.0
810230400,65.6
810316800,72.1
810403200,73.8
810489600,59.3
810576000,61.6
810662400,58.1
810748800,54.8
810835200,67.0
810921600,71.8
811008000,67.5
811094400,59.7
811180800,65.3
811267200,63.9
811353600,57.8
811440000,54.8
811526400,62.1
811612800,62.1
811699200,57.7
811785600,51.7
811872000,48.6
811958400,54.4
812044800,54.9
812131200,60.3
812217600,58.9
812304000,64.0
812390400,66.4
812476800,66.4
812563200,66.0
812649600,56.6
812736000,59.9
812822400,57.1
812908800,63.6
812995200,58.9
813081600,53.6
813168000,54.0
813254400,57.0
813340800,58.0
813427200,63.1
813513600,65.4
813600000,63.0
813686400,47.6
813772800,49.7
813859200,51.5
813945600,59.8
814032000,59.6
814118400,63.5
814204800,46.9
814291200,47.9
814377600,61.1
814464000,59.4
814550400,49.6
814636800,47.5
814723200,55.4
814809600,52.7
814896000,46.1
814982400,45.0
815068800,46.3
815155200,54.6
815241600,62.6
815328000,49.3
815414400,33.5
815500800,32.0
815587200,32.9
815673600,42.9
815760000,38.2
815846400,30.9
815932800,42.9
816019200,51.0
816105600,31.8
816192000,31.6
816278400,36.9
816364800,34.4
816451200,31.8
816537600,33.2
816624000,35.5
816710400,38.4
816796800,38.8
816883200,37.4
816969600,32.5
817056000,32.6
817142400,30.2
817228800,28.8
817315200,37.6
817401600,45.7
817488000,41.3
817574400,31.7
817660800,32.3
817747200,42.2
817833600,36.1
817920000,42.8
818006400,38.2
818092800,35.4
818179200,33.4
818265600,29.4
818352000,25.9
818438400,25.3
818524800,9.0
818611200,14.6
818697600,17.3
818784000,18.9
818870400,36.0
818956800,36.9
819043200,32.1
819129600,30.7
819216000,28.3
819302400,25.8
819388800,19.7
819475200,23.3
819561600,25.6
819648000,27.9
819734400,25.8
819820800,25.6
819907200,21.9
819993600,22.9
820080000,24.9
820166400,24.6
820252800,26.4
820339200,33.8
820425600,34.1
820512000,25.5
820598400,17.6
820684800,8.8
820771200,16.1
820857600,8.1
820944000,15.0
821030400,17.5
821116800,19.1
821203200,18.1
821289600,6.7
821376000,21.1
821462400,22.8
821548800,34.1
821635200,23.2
821721600,26.9
821808000,47.8
821894400,54.0
821980800,36.6
822067200,16.7
822153600,23.1
822240000,31.7
822326400,38.2
822412800,37.4
822499200,21.8
822585600,32.8
822672000,36.3
822758400,23.8
822844800,28.1
822931200,23.0
823017600,11.9
823104000,8.7
823190400,8.6
823276800,2.5
823363200,1.3
823449600,5.2
823536000,13.3
823622400,28.9
823708800,40.5
823795200,35.5
823881600,39.1
823968000,37.9
824054400,16.0
824140800,15.0
824227200,24.2
824313600,18.1
824400000,13.5
824486400,15.0
824572800,14.3
824659200,21.3
824745600,41.7
824832000,44.8
824918400,34.6
825004800,39.7
825091200,45.0
825177600,43.4
825264000,37.6
825350400,41.0
825436800,36.1
825523200,19.6
825609600,22.6
825696000,30.9
825782400,18.8
825868800,18.2
825955200,31.7
826041600,26.9
826128000,16.6
826214400,11.1
826300800,12.0
826387200,17.1
826473600,23.9
826560000,31.1
826646400,39.3
826732800,49.1
826819200,40.1
826905600,29.2
826992000,33.3
827078400,36.5
827164800,36.5
827251200,34.1
827337600,28.0
827424000,24.4
827510400,28.9
827596800,33.2
827683200,52.9
827769600,28.2
827856000,21.1
827942400,28.7
828028800,38.7
828115200,37.7
828201600,42.9
828288000,36.5
828374400,32.8
828460800,37.7
828547200,33.6
828633600,30.9
828720000,33.5
828806400,30.3
828892800,29.9
828979200,30.4
829065600,34.2
829152000,46.0
829238400,58.7
829324800,45.8
829411200,37.7
829497600,46.1
829584000,41.1
829670400,37.9
829756800,52.4
829843200,64.3
829929600,66.1
830016000,53.5
830102400,55.2
830188800,46.6
830275200,43.3
830361600,57.8
830448000,56.5
830534400,40.9
830620800,46.7
830707200,47.1
830793600,49.7
830880000,46.6
830966400,49.1
831052800,54.9
831139200,51.0
831225600,48.0
831312000,47.9
831398400,50.1
831484800,52.9
831571200,56.3
831657600,66.8
831744000,47.5
831830400,41.9
831916800,43.1
832003200,45.2
832089600,52.8
832176000,51.8
832262400,59.9
832348800,74.5
832435200,79.9
832521600,78.9
832608000,64.5
832694400,60.0
832780800,61.8
832867200,55.3
832953600,52.8
833040000,55.2
833126400,56.5
833212800,56.1
833299200,52.5
833385600,50.0
833472000,54.6
833558400,61.9
833644800,67.9
833731200,65.4
833817600,60.4
833904000,58.2
833990400,62.5
834076800,68.2
834163200,66.0
834249600,65.4
834336000,72.3
834422400,68.3
834508800,64.8
834595200,67.5
834681600,71.8
834768000,70.5
834854400,68.8
834940800,69.4
835027200,66.6
835113600,73.4
835200000,70.6
835286400,68.3
835372800,71.7
835459200,62.9
835545600,67.9
835632000,66.0
835718400,62.6
835804800,64.9
835891200,70.8
835977600,76.3
836064000,80.7
836150400,75.2
836236800,70.3
836323200,65.3
836409600,65.5
836496000,64.7
836582400,70.9
836668800,73.9
836755200,72.7
836841600,65.6
836928000,63.7
837014400,63.0
837100800,71.1
837187200,74.1
837273600,73.7
837360000,70.9
837446400,72.3
837532800,74.9
837619200,75.0
837705600,73.5
837792000,64.4
837878400,66.9
837964800,68.8
838051200,69.0
838137600,70.7
838224000,70.3
838310400,68.5
838396800,66.6
838483200,66.2
838569600,69.9
838656000,70.9
838742400,68.6
838828800,65.3
838915200,66.6
839001600,67.8
839088000,70.4
839174400,74.8
839260800,77.0
839347200,79.8
839433600,79.7
839520000,70.4
839606400,67.7
839692800,64.9
839779200,67.1
839865600,69.2
839952000,70.2
840038400,74.0
840124800,67.7
840211200,67.4
840297600,66.5
840384000,69.2
840470400,75.4
840556800,72.9
840643200,72.1
840729600,75.7
840816000,71.8
840902400,69.3
840988800,71.4
841075200,71.2
841161600,69.7
841248000,66.8
841334400,66.8
841420800,65.9
841507200,70.1
841593600,69.1
841680000,67.7
841766400,70.2
841852800,71.2
841939200,74.4
842025600,70.6
842112000,67.5
842198400,67.5
842284800,68.8
842371200,67.4
842457600,66.2
842544000,57.3
842630400,54.7
842716800,55.2
842803200,59.8
842889600,60.0
842976000,63.4
843062400,59.9
843148800,57.9
843235200,62.3
843321600,62.4
843408000,58.5
843494400,55.1
843580800,58.6
843667200,56.5
843753600,64.6
843840000,61.5
843926400,57.3
844012800,57.7
844099200,65.0
844185600,67.0
844272000,48.6
844358400,45.9
844444800,49.4
844531200,54.5
844617600,59.0
844704000,55.0
844790400,54.1
844876800,48.9
844963200,45.0
845049600,48.4
845136000,61.9
845222400,59.3
845308800,47.2
845395200,63.9
845481600,63.9
845568000,59.8
845654400,45.8
845740800,51.4
845827200,49.3
845913600,49.7
846000000,55.2
846086400,47.4
846172800,50.3
846259200,53.6
846345600,61.7
846432000,56.2
846518400,46.7
846604800,55.0
846691200,43.6
846777600,39.6
846864000,36.7
846950400,36.2
847036800,40.7
847123200,48.3
847209600,54.2
847296000,64.8
847382400,49.4
847468800,40.5
847555200,32.9
847641600,31.4
847728000,32.2
847814400,27.4
847900800,26.6
847987200,26.9
848073600,32.9
848160000,41.2
848246400,43.7
848332800,37.3
848419200,34.9
848505600,33.9
848592000,36.5
848678400,34.2
848764800,36.4
848851200,35.6
848937600,34.3
849024000,27.8
849110400,23.9
849196800,32.1
849283200,40.3
849369600,50.3
849456000,34.6
849542400,37.5
849628800,37.6
849715200,34.7
849801600,35.6
849888000,37.3
849974400,31.9
850060800,32.0
850147200,33.0
850233600,37.0
850320000,40.5
850406400,39.9
850492800,36.9
850579200,33.6
850665600,38.3
850752000,42.5
850838400,33.3
850924800,22.1
851011200,15.0
851097600,19.6
851184000,32.8
851270400,39.5
851356800,43.5
851443200,23.3
851529600,23.2
851616000,33.2
851702400,44.9
851788800,42.8
851875200,35.5
851961600,30.5
852048000,26.6
852134400,42.5
852220800,47.6
852307200,46.2
852393600,53.9
852480000,28.1
852566400,23.7
852652800,25.2
852739200,25.9
852825600,28.5
852912000,12.3
852998400,9.9
853084800,11.9
853171200,14.5
853257600,22.7
853344000,30.7
853430400,7.2
853516800,4.0
853603200,7.0
853689600,25.2
853776000,22.4
853862400,44.5
853948800,33.3
854035200,24.7
854121600,34.7
854208000,20.2
854294400,25.1
854380800,26.6
854467200,15.3
854553600,21.3
854640000,35.1
854726400,35.3
854812800,34.7
854899200,34.5
854985600,34.4
855072000,36.1
855158400,29.6
855244800,29.4
855331200,25.3
855417600,21.4
855504000,25.2
855590400,27.5
855676800,27.0
855763200,14.0
855849600,28.7
855936000,29.0
856022400,22.0
856108800,17.3
856195200,44.8
