timestamp,value
788889600,36.5
788976000,33.4
789062400,34.0
789148800,34.7
789235200,34.0
789321600,36.0
789408000,38.2
789494400,47.6
789580800,51.0
789667200,50.3
789753600,47.4
789840000,48.0
789926400,50.5
790012800,51.5
790099200,45.2
790185600,42.9
790272000,38.4
790358400,46.4
790444800,44.4
790531200,40.6
790617600,40.0
790704000,41.1
790790400,39.9
790876800,40.0
790963200,40.6
791049600,45.5
791136000,47.0
791222400,47.7
791308800,55.6
791395200,57.2
791481600,58.9
791568000,57.3
791654400,49.1
791740800,48.1
791827200,46.8
791913600,49.0
792000000,49.5
792086400,49.4
792172800,47.7
792259200,43.8
792345600,43.8
792432000,48.5
792518400,44.5
792604800,31.1
792691200,28.6
792777600,37.3
792864000,42.7
792950400,50.1
793036800,56.0
793123200,62.5
793209600,56.9
793296000,54.4
793382400,46.3
793468800,46.5
793555200,50.6
793641600,50.7
793728000,49.2
793814400,44.3
793900800,40.4
793987200,37.4
794073600,43.3
794160000,46.4
794246400,44.7
794332800,43.9
794419200,39.6
794505600,38.4
794592000,47.8
794678400,55.1
794764800,49.6
794851200,52.3
794937600,50.5
795024000,54.0
795110400,54.8
795196800,50.4
795283200,47.0
795369600,51.1
795456000,53.1
795542400,46.3
795628800,49.6
795715200,44.1
795801600,43.9
795888000,39.0
795974400,43.2
796060800,43.5
796147200,44.3
796233600,45.8
796320000,50.7
796406400,51.8
796492800,54.9
796579200,53.4
796665600,51.2
796752000,47.8
796838400,53.3
796924800,51.7
797011200,51.5
797097600,51.8
797184000,52.9
797270400,43.9
797356800,44.1
797443200,47.4
797529600,51.8
797616000,50.1
797702400,48.4
797788800,43.5
797875200,44.4
797961600,46.2
798048000,49.8
798134400,43.5
798220800,42.4
798307200,44.3
798393600,46.8
798480000,47.6
798566400,55.4
798652800,58.4
798739200,54.7
798825600,53.0
798912000,49.1
798998400,52.4
799084800,52.1
799171200,54.0
799257600,56.0
799344000,54.0
799430400,53.7
799516800,53.7
799603200,49.6
799689600,51.9
799776000,51.4
799862400,53.6
799948800,55.3
800035200,53.1
800121600,50.7
800208000,50.1
800294400,50.4
800380800,57.9
800467200,62.7
800553600,56.7
800640000,56.4
800726400,51.6
800812800,52.1
800899200,60.3
800985600,61.9
801072000,59.0
801158400,60.5
801244800,58.5
801331200,64.6
801417600,63.5
801504000,58.5
801590400,62.3
801676800,69.5
801763200,66.7
801849600,63.4
801936000,63.2
802022400,63.1
802108800,59.2
802195200,59.2
802281600,52.0
802368000,50.7
802454400,55.1
802540800,58.7
802627200,61.7
802713600,58.2
802800000,54.5
802886400,58.4
802972800,55.7
803059200,54.4
803145600,56.8
803232000,57.9
803318400,57.7
803404800,53.7
803491200,54.2
803577600,54.8
803664000,57.3
803750400,59.3
803836800,66.4
803923200,69.0
804009600,67.6
804096000,68.2
804182400,69.2
804268800,73.2
804355200,73.6
804441600,73.7
804528000,68.3
804614400,68.8
804700800,66.6
804787200,66.8
804873600,67.3
804960000,64.0
805046400,64.0
805132800,68.4
805219200,66.3
805305600,60.4
805392000,64.1
805478400,64.3
805564800,64.5
805651200,65.7
805737600,67.0
805824000,71.6
805910400,77.6
805996800,77.4
806083200,77.5
806169600,69.6
806256000,68.6
806342400,67.9
806428800,66.5
806515200,67.5
806601600,67.8
806688000,65.8
806774400,68.7
806860800,69.0
806947200,63.2
807033600,61.7
807120000,69.5
807206400,72.8
807292800,69.5
807379200,69.9
807465600,73.2
807552000,74.6
807638400,68.2
807724800,62.7
807811200,60.3
807897600,65.0
807984000,64.1
808070400,61.3
808156800,64.4
808243200,59.9
808329600,63.6
808416000,67.2
808502400,60.4
808588800,58.0
808675200,59.0
808761600,58.6
808848000,66.1
808934400,67.7
809020800,67.0
809107200,67.6
809193600,60.1
809280000,61.5
809366400,61.3
809452800,60.6
809539200,65.2
809625600,61.9
809712000,60.0
809798400,63.4
809884800,69.1
809971200,67.1
810057600,63.9
810144000,61.1
810230400,60.6
810316800,59.2
810403200,63.7
810489600,60.6
810576000,66.0
810662400,67.9
810748800,65.4
810835200,66.3
810921600,66.5
811008000,65.7
811094400,65.1
811180800,62.3
811267200,63.8
811353600,62.2
811440000,64.3
811526400,67.6
811612800,74.9
811699200,66.0
811785600,65.1
811872000,64.2
811958400,62.3
812044800,59.1
812131200,60.0
812217600,59.1
812304000,57.4
812390400,60.6
812476800,53.2
812563200,56.1
812649600,62.4
812736000,52.2
812822400,50.5
812908800,56.4
812995200,50.4
813081600,52.6
813168000,54.1
813254400,59.9
813340800,57.1
813427200,50.9
813513600,47.9
813600000,50.4
813686400,54.5
813772800,59.7
813859200,53.8
813945600,50.5
814032000,46.2
814118400,52.4
814204800,49.5
814291200,44.6
814377600,46.9
814464000,51.6
814550400,52.7
814636800,55.5
814723200,52.8
814809600,47.8
814896000,46.8
814982400,41.1
815068800,39.2
815155200,36.5
815241600,37.2
815328000,34.5
815414400,35.8
815500800,47.3
815587200,47.7
815673600,55.7
815760000,57.2
815846400,49.9
815932800,47.5
816019200,55.8
816105600,50.5
816192000,59.5
816278400,56.6
816364800,56.2
816451200,54.9
816537600,52.9
816624000,52.7
816710400,46.6
816796800,43.6
816883200,44.5
816969600,54.0
817056000,54.3
817142400,56.7
817228800,54.9
817315200,47.0
817401600,47.5
817488000,54.0
817574400,54.9
817660800,54.0
817747200,50.4
817833600,45.9
817920000,39.8
818006400,47.4
818092800,39.1
818179200,39.0
818265600,41.0
818352000,38.2
818438400,34.4
818524800,40.9
818611200,52.1
818697600,54.1
818784000,47.7
818870400,46.9
818956800,42.1
819043200,43.0
819129600,46.0
819216000,43.9
819302400,45.1
819388800,46.5
819475200,43.6
819561600,35.7
819648000,31.3
819734400,30.6
819820800,28.8
819907200,28.9
819993600,34.9
820080000,37.3
820166400,49.8
820252800,54.0
820339200,51.8
820425600,43.4
820512000,46.0
820598400,50.7
820684800,43.6
820771200,44.0
820857600,47.8
820944000,50.6
821030400,51.5
821116800,49.8
821203200,43.0
821289600,40.8
821376000,39.0
821462400,42.6
821548800,44.2
821635200,50.7
821721600,47.4
821808000,39.7
821894400,37.0
821980800,45.6
822067200,43.6
822153600,40.8
822240000,35.3
822326400,40.0
822412800,39.1
822499200,36.6
822585600,37.6
822672000,39.1
822758400,38.2
822844800,38.4
822931200,27.9
823017600,24.6
823104000,25.0
823190400,24.4
823276800,23.7
823363200,29.8
823449600,38.5
823536000,53.0
823622400,55.8
823708800,59.0
823795200,50.5
823881600,43.3
823968000,43.6
824054400,41.6
824140800,41.3
824227200,43.9
824313600,43.6
824400000,47.3
824486400,51.9
824572800,53.7
824659200,47.6
824745600,48.9
824832000,38.6
824918400,37.8
825004800,40.1
825091200,35.4
825177600,35.8
825264000,35.3
825350400,36.6
825436800,34.9
825523200,41.9
825609600,40.2
825696000,41.5
825782400,50.0
825868800,48.5
825955200,45.6
826041600,46.6
826128000,51.1
826214400,52.9
826300800,53.6
826387200,55.5
826473600,51.0
826560000,49.1
826646400,47.1
826732800,46.8
826819200,49.2
826905600,45.1
826992000,50.4
827078400,46.9
827164800,53.0
827251200,44.2
827337600,44.3
827424000,45.6
827510400,43.9
827596800,44.8
827683200,39.8
827769600,41.4
827856000,46.5
827942400,41.4
828028800,43.8
828115200,43.5
828201600,48.8
828288000,52.4
828374400,49.8
828460800,46.9
828547200,50.5
828633600,54.6
828720000,62.7
828806400,61.6
828892800,58.7
828979200,55.0
829065600,49.4
829152000,49.1
829238400,44.5
829324800,48.1
829411200,52.4
829497600,56.2
829584000,49.6
829670400,45.1
829756800,45.1
829843200,46.7
829929600,45.8
830016000,48.5
830102400,51.5
830188800,57.5
830275200,53.1
830361600,50.4
830448000,46.6
830534400,47.0
830620800,47.5
830707200,55.5
830793600,55.5
830880000,56.7
830966400,49.7
831052800,43.9
831139200,41.6
831225600,47.5
831312000,44.4
831398400,51.3
831484800,42.5
831571200,47.5
831657600,47.5
831744000,58.6
831830400,59.0
831916800,60.7
832003200,56.2
832089600,57.6
832176000,53.3
832262400,55.8
832348800,53.5
832435200,52.3
832521600,49.1
832608000,51.6
832694400,50.0
832780800,49.5
832867200,50.0
832953600,52.7
833040000,59.7
833126400,50.9
833212800,55.2
833299200,55.2
833385600,53.3
833472000,59.2
833558400,62.5
833644800,62.8
833731200,68.0
833817600,58.0
833904000,59.0
833990400,61.6
834076800,59.8
834163200,57.3
834249600,58.2
834336000,54.4
834422400,61.0
834508800,58.4
834595200,55.5
834681600,59.0
834768000,56.8
834854400,57.3
834940800,51.9
835027200,54.0
835113600,60.4
835200000,63.1
835286400,57.0
835372800,57.8
835459200,58.7
835545600,58.3
835632000,58.4
835718400,59.5
835804800,61.3
835891200,60.2
835977600,58.1
836064000,62.4
836150400,67.0
836236800,70.1
836323200,68.0
836409600,62.1
836496000,57.6
836582400,63.4
836668800,70.2
836755200,72.8
836841600,64.6
836928000,63.1
837014400,69.4
837100800,73.6
837187200,77.2
837273600,79.0
837360000,73.3
837446400,63.4
837532800,60.9
837619200,57.1
837705600,58.6
837792000,63.9
837878400,66.3
837964800,70.7
838051200,76.1
838137600,78.7
838224000,76.9
838310400,78.0
838396800,77.5
838483200,72.8
838569600,73.0
838656000,73.8
838742400,66.2
838828800,64.2
838915200,61.5
839001600,59.2
839088000,62.3
839174400,63.8
839260800,61.7
839347200,68.0
839433600,73.0
839520000,74.6
839606400,77.8
839692800,66.8
839779200,64.6
839865600,71.4
839952000,71.5
840038400,68.9
840124800,68.2
840211200,61.4
840297600,60.1
840384000,59.3
840470400,62.4
840556800,64.2
840643200,67.1
840729600,71.8
840816000,73.2
840902400,73.7
840988800,62.7
841075200,60.4
841161600,63.3
841248000,69.7
841334400,71.5
841420800,63.8
841507200,63.4
841593600,62.3
841680000,60.7
841766400,56.9
841852800,53.9
