timestamp,value
788889600,38.8
788976000,24.9
789062400,26.2
789148800,18.1
789235200,14.6
789321600,28.9
789408000,31.3
789494400,29.6
789580800,31.0
789667200,35.7
789753600,52.5
789840000,63.3
789926400,62.5
790012800,54.2
790099200,40.3
790185600,35.7
790272000,40.3
790358400,48.2
790444800,48.7
790531200,34.3
790617600,26.5
790704000,27.9
790790400,26.6
790876800,24.2
790963200,29.0
791049600,29.5
791136000,31.9
791222400,39.0
791308800,27.7
791395200,28.4
791481600,32.2
791568000,43.5
791654400,43.3
791740800,38.0
791827200,29.8
791913600,20.4
792000000,14.4
792086400,25.1
792172800,16.3
792259200,24.9
792345600,36.4
792432000,29.4
792518400,13.6
792604800,22.2
792691200,30.0
792777600,42.9
792864000,35.1
792950400,34.4
793036800,38.3
793123200,43.5
793209600,45.7
793296000,41.8
793382400,41.2
793468800,59.0
793555200,41.4
793641600,41.9
793728000,58.0
793814400,54.3
793900800,42.4
793987200,34.6
794073600,26.8
794160000,30.6
794246400,39.3
794332800,49.9
794419200,46.8
794505600,55.8
794592000,31.6
794678400,30.4
794764800,38.7
794851200,51.0
794937600,60.0
795024000,64.9
795110400,64.7
795196800,62.1
795283200,63.7
795369600,61.9
795456000,60.1
795542400,64.5
795628800,64.3
795715200,55.6
795801600,57.9
795888000,57.0
795974400,50.8
796060800,49.8
796147200,58.5
796233600,57.7
796320000,48.0
796406400,45.5
796492800,43.9
796579200,41.5
796665600,39.7
796752000,47.6
796838400,60.1
796924800,50.8
797011200,39.6
797097600,53.9
797184000,62.3
797270400,71.4
797356800,71.9
797443200,61.1
797529600,70.6
797616000,55.1
797702400,51.9
797788800,55.3
797875200,62.4
797961600,72.7
798048000,70.6
798134400,72.2
798220800,63.8
798307200,58.7
798393600,65.4
798480000,54.5
798566400,48.9
798652800,50.0
798739200,56.7
798825600,59.3
798912000,60.9
798998400,51.6
799084800,57.6
799171200,56.8
799257600,49.8
799344000,51.7
799430400,53.5
799516800,57.0
799603200,59.0
799689600,60.4
799776000,67.3
799862400,72.6
799948800,74.8
800035200,70.5
800121600,60.3
800208000,61.1
800294400,62.7
800380800,76.5
800467200,72.1
800553600,64.7
800640000,71.5
800726400,69.4
800812800,62.3
800899200,66.2
800985600,66.8
801072000,66.5
801158400,72.2
801244800,79.3
801331200,72.3
801417600,67.1
801504000,71.1
801590400,77.2
801676800,68.8
801763200,65.2
801849600,68.9
801936000,67.3
802022400,70.4
802108800,74.1
802195200,73.7
802281600,74.8
802368000,76.6
802454400,76.5
802540800,77.0
802627200,77.8
802713600,77.8
802800000,70.5
802886400,65.0
802972800,65.5
803059200,71.5
803145600,74.4
803232000,76.0
803318400,77.5
803404800,78.7
803491200,79.4
803577600,79.2
803664000,77.3
803750400,77.1
803836800,77.7
803923200,74.8
804009600,77.0
804096000,76.6
804182400,75.0
804268800,78.5
804355200,75.5
804441600,77.0
804528000,72.8
804614400,69.5
804700800,71.8
804787200,77.0
804873600,75.8
804960000,76.1
805046400,79.1
805132800,75.1
805219200,79.4
805305600,79.8
805392000,81.3
805478400,84.7
805564800,87.6
805651200,89.3
805737600,85.8
805824000,85.5
805910400,86.1
805996800,81.8
806083200,81.0
806169600,79.3
806256000,79.5
806342400,83.0
806428800,80.1
806515200,78.1
806601600,79.5
806688000,82.4
806774400,81.9
806860800,80.0
806947200,83.1
807033600,84.5
807120000,84.6
807206400,83.0
807292800,84.0
807379200,85.2
807465600,83.4
807552000,75.2
807638400,77.5
807724800,81.9
807811200,81.9
807897600,82.9
807984000,78.6
808070400,85.2
808156800,86.9
808243200,86.6
808329600,85.3
808416000,86.5
808502400,87.1
808588800,85.5
808675200,85.7
808761600,84.8
808848000,82.7
808934400,83.0
809020800,82.1
809107200,76.6
809193600,75.5
809280000,80.0
809366400,80.1
809452800,80.6
809539200,80.2
809625600,80.3
809712000,80.6
809798400,82.6
809884800,79.2
809971200,72.7
810057600,72.3
810144000,74.2
810230400,76.0
810316800,77.4
810403200,77.8
810489600,73.6
810576000,66.1
810662400,70.1
810748800,68.1
810835200,75.7
810921600,78.1
811008000,77.0
811094400,71.2
811180800,69.4
811267200,70.9
811353600,63.7
811440000,64.2
811526400,67.8
811612800,63.4
811699200,52.3
811785600,49.9
811872000,53.6
811958400,56.9
812044800,60.0
812131200,62.5
812217600,66.7
812304000,65.8
812390400,71.3
812476800,72.9
812563200,64.4
812649600,68.6
812736000,61.0
812822400,68.0
812908800,67.6
812995200,60.6
813081600,57.0
813168000,60.2
813254400,63.8
813340800,66.9
813427200,66.5
813513600,66.6
813600000,62.5
813686400,53.9
813772800,53.8
813859200,56.7
813945600,65.9
814032000,66.1
814118400,56.8
814204800,45.8
814291200,52.3
814377600,64.1
814464000,57.3
814550400,47.7
814636800,58.3
814723200,62.2
814809600,54.6
814896000,51.2
814982400,54.1
815068800,59.1
815155200,63.8
815241600,64.6
815328000,39.6
815414400,33.6
815500800,28.8
815587200,36.2
815673600,51.6
815760000,38.8
815846400,37.1
815932800,54.8
816019200,44.7
816105600,28.1
816192000,43.0
816278400,34.1
816364800,31.7
816451200,37.5
816537600,46.9
816624000,46.6
816710400,38.1
816796800,44.8
816883200,45.3
816969600,35.8
817056000,42.7
817142400,33.1
817228800,33.9
817315200,49.3
817401600,60.7
817488000,36.6
817574400,34.1
817660800,35.1
817747200,53.8
817833600,45.7
817920000,59.7
818006400,44.4
818092800,46.4
818179200,37.4
818265600,34.0
818352000,29.4
818438400,16.1
818524800,10.4
818611200,24.3
818697600,34.5
818784000,41.7
818870400,62.3
818956800,50.8
819043200,43.8
819129600,41.5
819216000,44.2
819302400,39.5
819388800,26.9
819475200,28.3
819561600,27.1
819648000,26.3
819734400,26.5
819820800,28.5
819907200,25.8
819993600,31.6
820080000,26.0
820166400,29.5
820252800,32.0
820339200,42.0
820425600,44.1
820512000,38.6
820598400,23.8
820684800,21.9
820771200,29.2
820857600,20.3
820944000,20.1
821030400,14.8
821116800,27.5
821203200,34.0
821289600,31.7
821376000,30.6
821462400,33.9
821548800,41.3
821635200,36.7
821721600,41.0
821808000,59.7
821894400,58.7
821980800,15.0
822067200,19.4
822153600,30.6
822240000,36.7
822326400,46.2
822412800,33.0
822499200,28.5
822585600,42.2
822672000,32.3
822758400,26.5
822844800,41.7
822931200,22.8
823017600,11.8
823104000,14.8
823190400,10.3
823276800,0.4
823363200,-0.7
823449600,12.7
823536000,23.8
823622400,38.3
823708800,48.7
823795200,42.0
823881600,48.5
823968000,41.5
824054400,32.5
824140800,32.8
824227200,44.6
824313600,34.5
824400000,28.4
824486400,27.7
824572800,30.1
824659200,38.1
824745600,46.5
824832000,49.6
824918400,52.6
825004800,61.8
825091200,49.9
825177600,53.4
825264000,64.5
825350400,65.8
825436800,35.0
825523200,25.0
825609600,29.6
825696000,36.8
825782400,23.9
825868800,33.7
825955200,56.6
826041600,47.3
826128000,25.9
826214400,14.5
826300800,20.9
826387200,27.7
826473600,30.6
826560000,38.7
826646400,48.1
826732800,58.7
826819200,57.5
826905600,44.8
826992000,42.9
827078400,42.4
827164800,37.5
827251200,30.4
827337600,30.4
827424000,30.4
827510400,41.6
827596800,44.0
827683200,49.2
827769600,30.0
827856000,33.0
827942400,41.1
828028800,43.0
828115200,49.8
828201600,54.1
828288000,38.2
828374400,47.0
828460800,57.6
828547200,48.7
828633600,35.7
828720000,35.7
828806400,36.0
828892800,40.0
828979200,43.1
829065600,38.5
829152000,51.0
829238400,51.0
829324800,52.1
829411200,45.8
829497600,52.3
829584000,43.6
829670400,49.2
829756800,63.3
829843200,67.1
829929600,66.2
830016000,66.2
830102400,66.2
830188800,55.3
830275200,49.2
830361600,66.8
830448000,57.1
830534400,44.4
830620800,51.7
830707200,56.2
830793600,47.6
830880000,57.8
830966400,56.8
831052800,61.7
831139200,71.5
831225600,69.7
831312000,61.4
831398400,62.8
831484800,67.0
831571200,72.0
831657600,74.7
831744000,61.1
831830400,55.2
831916800,51.9
832003200,51.4
832089600,63.3
832176000,75.0
832262400,72.6
832348800,75.1
832435200,78.0
832521600,78.4
832608000,71.9
832694400,69.3
832780800,70.3
832867200,81.1
832953600,67.4
833040000,69.5
833126400,70.7
833212800,69.9
833299200,62.8
833385600,63.4
833472000,70.0
833558400,70.0
833644800,67.7
833731200,69.0
833817600,62.8
833904000,63.3
833990400,69.8
834076800,67.9
834163200,67.2
834249600,64.8
834336000,62.2
834422400,67.4
834508800,70.6
834595200,71.2
834681600,80.2
834768000,76.8
834854400,76.8
834940800,77.0
835027200,78.9
835113600,79.8
835200000,71.6
835286400,75.8
835372800,79.0
835459200,84.0
835545600,86.3
835632000,76.1
835718400,71.3
835804800,72.7
835891200,76.7
835977600,79.8
836064000,83.9
836150400,87.2
836236800,82.5
836323200,74.8
836409600,68.6
836496000,72.2
836582400,74.8
836668800,80.3
836755200,75.2
836841600,72.4
836928000,70.2
837014400,70.7
837100800,72.8
837187200,79.9
837273600,74.3
837360000,73.1
837446400,77.9
837532800,78.8
837619200,83.0
837705600,84.3
837792000,74.8
837878400,77.4
837964800,72.6
838051200,72.8
838137600,76.4
838224000,73.6
838310400,72.3
838396800,72.7
838483200,74.3
838569600,75.4
838656000,72.2
838742400,72.2
838828800,70.6
838915200,71.3
839001600,71.7
839088000,74.9
839174400,78.9
839260800,81.7
839347200,80.5
839433600,80.1
839520000,74.4
839606400,70.7
839692800,71.1
839779200,72.0
839865600,72.3
839952000,74.5
840038400,74.9
840124800,75.7
840211200,77.2
840297600,76.9
840384000,77.5
840470400,79.5
840556800,78.9
840643200,79.2
840729600,80.6
840816000,75.9
840902400,74.5
840988800,70.6
841075200,71.3
841161600,72.1
841248000,73.5
841334400,72.8
841420800,73.2
841507200,70.6
841593600,71.7
841680000,74.8
841766400,73.4
841852800,73.2
841939200,73.2
842025600,74.0
842112000,72.8
842198400,72.8
842284800,73.1
842371200,70.8
842457600,66.9
842544000,59.8
842630400,57.7
842716800,54.8
842803200,63.9
842889600,62.2
842976000,61.8
843062400,60.9
843148800,62.2
843235200,65.1
843321600,64.1
843408000,65.2
843494400,65.2
843580800,59.1
843667200,66.6
843753600,65.2
843840000,56.7
843926400,56.4
844012800,58.3
844099200,61.6
844185600,68.9
844272000,58.0
844358400,51.5
844444800,54.6
844531200,59.3
844617600,57.6
844704000,54.2
844790400,52.1
844876800,54.4
844963200,50.0
845049600,55.6
845136000,61.7
845222400,64.8
845308800,63.1
845395200,61.4
845481600,63.7
845568000,54.5
845654400,47.3
845740800,45.1
845827200,59.0
845913600,63.1
846000000,49.8
846086400,51.9
846172800,51.2
846259200,58.5
846345600,64.3
