timestamp,value
788889600,6.0
788976000,0.9
789062400,10.2
789148800,3.0
789235200,-1.8
789321600,-8.4
789408000,-12.6
789494400,0.9
789580800,2.7
789667200,-2.2
789753600,-3.8
789840000,-12.5
789926400,-29.5
790012800,-20.9
790099200,-32.8
790185600,-24.4
790272000,5.6
790358400,-1.3
790444800,-3.9
790531200,-10.0
790617600,1.2
790704000,10.1
790790400,5.1
790876800,-20.3
790963200,-28.0
791049600,-36.3
791136000,-41.6
791222400,-21.1
791308800,-18.0
791395200,-6.3
791481600,-6.3
791568000,1.1
791654400,-0.3
791740800,-2.7
791827200,-7.8
791913600,17.1
792000000,24.1
792086400,14.6
792172800,15.7
792259200,7.6
792345600,18.5
792432000,14.5
792518400,15.5
792604800,6.1
792691200,-12.6
792777600,-15.9
792864000,-6.6
792950400,-6.2
793036800,-10.9
793123200,-20.1
793209600,-15.6
793296000,-2.0
793382400,-12.6
793468800,-12.6
793555200,-19.5
793641600,-22.7
793728000,4.7
793814400,16.2
793900800,12.2
793987200,13.2
794073600,22.5
794160000,28.3
794246400,26.8
794332800,26.4
794419200,19.4
794505600,8.8
794592000,4.2
794678400,2.4
794764800,7.7
794851200,-2.4
794937600,-15.3
795024000,-22.9
795110400,-23.5
795196800,-19.8
795283200,-9.0
795369600,-5.9
795456000,-2.8
795542400,4.1
795628800,7.7
795715200,-1.8
795801600,-15.1
795888000,-18.0
795974400,-17.9
796060800,-7.0
796147200,2.2
796233600,13.6
796320000,21.9
796406400,26.9
796492800,30.7
796579200,34.6
796665600,36.9
796752000,31.6
796838400,28.4
796924800,39.4
797011200,36.9
797097600,34.7
797184000,34.3
797270400,31.5
797356800,34.5
797443200,38.9
797529600,42.9
797616000,40.6
797702400,39.9
797788800,40.2
797875200,38.4
797961600,39.1
798048000,40.7
798134400,45.8
798220800,41.7
798307200,43.9
798393600,42.7
798480000,49.1
798566400,46.3
798652800,43.8
798739200,45.3
798825600,46.1
798912000,45.1
798998400,37.0
799084800,39.9
799171200,51.7
799257600,56.9
799344000,62.8
799430400,60.9
799516800,52.5
799603200,49.6
799689600,51.1
799776000,51.1
799862400,51.9
799948800,59.6
800035200,62.5
800121600,68.2
800208000,66.6
800294400,64.7
800380800,55.3
800467200,49.5
800553600,47.8
800640000,46.8
800726400,50.4
800812800,51.8
800899200,55.3
800985600,40.4
801072000,40.8
801158400,51.6
801244800,59.5
801331200,62.0
801417600,56.8
801504000,53.1
801590400,57.0
801676800,54.7
801763200,52.6
801849600,54.1
801936000,54.6
802022400,53.9
802108800,53.0
802195200,60.4
802281600,58.3
802368000,53.7
802454400,56.8
802540800,63.3
802627200,59.5
802713600,63.0
802800000,71.3
802886400,65.3
802972800,65.5
803059200,68.3
803145600,60.7
803232000,61.3
803318400,53.1
803404800,60.3
803491200,63.4
803577600,71.4
803664000,65.7
803750400,64.0
803836800,66.3
803923200,55.3
804009600,52.3
804096000,50.7
804182400,55.9
804268800,65.6
804355200,67.0
804441600,70.2
804528000,66.3
804614400,62.5
804700800,68.4
804787200,69.9
804873600,65.8
804960000,64.3
805046400,70.8
805132800,62.6
805219200,63.1
805305600,65.8
805392000,69.3
805478400,64.3
805564800,69.3
805651200,69.8
805737600,59.2
805824000,60.6
805910400,66.8
805996800,65.0
806083200,63.2
806169600,64.0
806256000,69.5
806342400,65.6
806428800,57.9
806515200,57.9
806601600,52.9
806688000,52.8
806774400,55.7
806860800,59.7
806947200,63.1
807033600,60.0
807120000,62.2
807206400,61.5
807292800,60.2
807379200,55.0
807465600,57.1
807552000,54.6
807638400,54.8
807724800,58.6
807811200,62.9
807897600,63.8
807984000,64.3
808070400,59.9
808156800,63.1
808243200,59.7
808329600,55.9
808416000,49.3
808502400,53.1
808588800,57.0
808675200,58.5
808761600,56.4
808848000,54.6
808934400,57.2
809020800,52.0
809107200,54.1
809193600,56.4
809280000,54.1
809366400,52.9
809452800,52.4
809539200,52.1
809625600,54.3
809712000,56.0
809798400,53.3
809884800,53.0
809971200,50.0
810057600,44.8
810144000,39.8
810230400,45.4
810316800,50.1
810403200,53.2
810489600,53.5
810576000,53.5
810662400,53.2
810748800,57.5
810835200,54.0
810921600,52.0
811008000,50.7
811094400,50.4
811180800,48.8
811267200,59.3
811353600,53.9
811440000,55.5
811526400,66.8
811612800,68.4
811699200,57.8
811785600,54.9
811872000,53.7
811958400,52.6
812044800,51.3
812131200,48.3
812217600,44.4
812304000,47.4
812390400,40.7
812476800,39.6
812563200,43.6
812649600,37.1
812736000,38.5
812822400,37.1
812908800,37.7
812995200,34.0
813081600,37.5
813168000,37.3
813254400,35.0
813340800,35.8
813427200,33.8
813513600,27.9
813600000,26.4
813686400,22.9
813772800,23.9
813859200,22.4
813945600,16.9
814032000,22.0
814118400,21.1
814204800,16.4
814291200,24.9
814377600,23.2
814464000,17.4
814550400,25.5
814636800,24.4
814723200,16.2
814809600,2.6
814896000,20.4
814982400,27.7
815068800,29.8
815155200,29.9
815241600,30.1
815328000,26.1
815414400,19.6
815500800,1.1
815587200,5.8
815673600,-4.9
815760000,-3.4
815846400,-4.4
815932800,-5.1
816019200,-9.4
816105600,-11.6
816192000,-16.0
816278400,-18.2
816364800,-18.1
816451200,-9.4
816537600,4.8
816624000,1.2
816710400,1.0
816796800,1.8
816883200,3.3
816969600,4.0
817056000,6.7
817142400,-3.8
817228800,-16.7
817315200,-19.5
817401600,-19.7
817488000,-18.6
817574400,-14.9
817660800,-19.1
817747200,-13.9
817833600,-23.8
817920000,-33.4
818006400,-38.4
818092800,-39.8
818179200,-39.0
818265600,-13.2
818352000,-2.9
818438400,-15.5
818524800,-21.6
818611200,-16.0
818697600,-5.6
818784000,-4.4
818870400,2.6
818956800,-0.9
819043200,0.3
819129600,-11.5
819216000,-13.9
819302400,-3.3
819388800,-4.3
819475200,-10.6
