timestamp,value
788889600,5.2
788976000,10.1
789062400,-3.8
789148800,-6.3
789235200,8.4
789321600,5.4
789408000,0.4
789494400,5.5
789580800,2.5
789667200,15.5
789753600,24.9
789840000,27.2
789926400,19.3
790012800,16.3
790099200,13.5
790185600,26.5
790272000,31.8
790358400,13.5
790444800,9.6
790531200,9.3
790617600,9.0
790704000,1.1
790790400,-5.0
790876800,4.3
790963200,4.1
791049600,10.1
791136000,23.1
791222400,20.3
791308800,7.2
791395200,10.3
791481600,30.5
791568000,26.1
791654400,21.0
791740800,26.1
791827200,8.5
791913600,1.9
792000000,8.0
792086400,8.2
792172800,6.7
792259200,26.2
792345600,11.0
792432000,-7.2
792518400,-4.2
792604800,-4.6
792691200,0.8
792777600,6.3
792864000,1.2
792950400,10.0
793036800,19.2
793123200,12.6
793209600,26.9
793296000,20.3
793382400,30.1
793468800,30.3
793555200,24.1
793641600,27.3
793728000,23.2
793814400,11.4
793900800,-5.1
793987200,-6.2
794073600,2.0
794160000,13.6
794246400,-0.5
794332800,11.2
794419200,14.1
794505600,3.2
794592000,-5.2
794678400,6.4
794764800,25.2
794851200,37.8
794937600,44.3
795024000,48.0
795110400,40.6
795196800,38.2
795283200,46.3
795369600,43.4
795456000,46.0
795542400,43.2
795628800,35.7
795715200,36.6
795801600,37.3
795888000,37.9
795974400,43.0
796060800,42.5
796147200,36.7
796233600,34.0
796320000,33.0
796406400,31.0
796492800,28.1
796579200,32.3
796665600,34.1
796752000,39.3
796838400,32.3
796924800,10.6
797011200,30.4
797097600,32.1
797184000,37.7
797270400,31.2
797356800,30.7
797443200,34.6
797529600,33.9
797616000,37.6
797702400,43.6
797788800,48.5
797875200,44.0
797961600,37.5
798048000,37.7
798134400,40.5
798220800,40.4
798307200,44.6
798393600,45.5
798480000,42.3
798566400,47.9
798652800,41.7
798739200,43.4
798825600,38.3
798912000,40.0
798998400,40.7
799084800,44.7
799171200,49.9
799257600,49.2
799344000,52.9
799430400,52.9
799516800,54.1
799603200,49.6
799689600,54.0
799776000,56.6
799862400,57.0
799948800,46.5
800035200,48.0
800121600,54.8
800208000,59.5
800294400,52.6
800380800,50.9
800467200,56.7
800553600,56.0
800640000,50.0
800726400,55.8
800812800,61.6
800899200,54.8
800985600,54.8
801072000,55.3
801158400,49.8
801244800,52.1
801331200,51.7
801417600,54.4
801504000,56.6
801590400,60.3
801676800,63.5
801763200,68.6
801849600,71.0
801936000,68.5
802022400,71.9
802108800,73.9
802195200,76.6
802281600,74.8
802368000,73.2
802454400,58.0
802540800,51.9
802627200,58.9
802713600,60.1
802800000,60.8
802886400,65.9
802972800,68.9
803059200,76.9
803145600,80.8
803232000,82.3
803318400,86.1
803404800,84.1
803491200,82.6
803577600,83.7
803664000,80.8
803750400,78.4
803836800,75.7
803923200,68.0
804009600,65.6
804096000,67.2
804182400,71.8
804268800,70.9
804355200,64.1
804441600,59.8
804528000,59.1
804614400,64.4
804700800,67.2
804787200,69.5
804873600,62.4
804960000,61.4
805046400,64.6
805132800,72.4
805219200,71.4
805305600,77.0
805392000,77.9
805478400,81.1
805564800,78.4
805651200,73.7
805737600,72.2
805824000,69.3
805910400,66.6
805996800,68.7
806083200,71.3
806169600,68.0
806256000,70.7
806342400,70.0
806428800,69.6
806515200,71.1
806601600,65.5
806688000,69.7
806774400,75.7
806860800,71.4
806947200,71.0
807033600,80.5
807120000,65.8
807206400,65.8
807292800,71.0
807379200,71.7
807465600,68.0
807552000,73.8
807638400,75.5
807724800,78.6
807811200,78.5
807897600,71.5
807984000,71.4
808070400,72.5
808156800,73.6
808243200,72.4
808329600,67.5
808416000,69.8
808502400,75.7
808588800,78.7
808675200,83.7
808761600,62.1
808848000,65.4
808934400,71.7
809020800,78.6
809107200,77.0
809193600,67.8
809280000,66.5
809366400,66.9
809452800,67.9
809539200,71.6
809625600,70.5
809712000,74.6
809798400,64.7
809884800,69.8
809971200,73.9
810057600,72.4
810144000,77.0
810230400,74.7
810316800,67.3
810403200,52.8
810489600,51.7
810576000,54.8
810662400,60.5
810748800,63.8
810835200,70.9
810921600,67.9
811008000,54.0
811094400,63.1
811180800,63.3
811267200,51.7
811353600,56.8
811440000,46.1
811526400,40.7
811612800,37.5
811699200,37.3
811785600,49.9
811872000,45.8
811958400,56.3
812044800,55.3
812131200,59.9
812217600,69.7
812304000,65.4
812390400,56.3
812476800,51.9
812563200,50.4
812649600,50.0
812736000,46.4
812822400,49.5
812908800,45.4
812995200,44.5
813081600,42.4
813168000,47.1
813254400,52.2
813340800,59.2
813427200,66.1
813513600,53.6
813600000,41.1
813686400,37.8
813772800,43.7
813859200,52.7
813945600,41.1
814032000,43.0
814118400,38.7
814204800,31.9
814291200,37.5
814377600,38.8
814464000,39.6
814550400,43.6
814636800,42.3
814723200,44.5
814809600,40.9
814896000,38.1
814982400,33.6
815068800,35.1
815155200,34.2
815241600,28.3
815328000,18.9
815414400,11.1
815500800,26.9
815587200,33.1
815673600,24.0
815760000,20.3
815846400,26.0
815932800,20.5
816019200,9.2
816105600,19.1
816192000,16.9
816278400,23.5
816364800,26.4
816451200,25.1
816537600,30.1
816624000,29.6
816710400,36.0
816796800,34.4
816883200,20.5
816969600,22.8
817056000,7.7
817142400,22.8
817228800,18.0
817315200,23.0
817401600,3.5
817488000,6.5
817574400,12.3
817660800,29.2
817747200,16.4
817833600,25.4
817920000,25.1
818006400,23.6
818092800,18.6
818179200,9.4
818265600,5.7
818352000,8.6
818438400,-9.2
818524800,-9.7
818611200,-12.7
818697600,-7.8
818784000,10.2
818870400,13.5
818956800,6.4
819043200,7.1
819129600,14.8
819216000,11.1
819302400,15.0
819388800,18.5
819475200,13.3
819561600,17.7
819648000,18.2
819734400,23.7
819820800,17.7
819907200,24.3
819993600,14.8
820080000,13.4
820166400,16.1
820252800,6.0
820339200,16.7
