timestamp,value
788889600,31.3
788976000,19.3
789062400,19.1
789148800,5.4
789235200,4.9
789321600,18.4
789408000,21.9
789494400,19.4
789580800,16.8
789667200,16.0
789753600,27.1
789840000,42.7
789926400,48.0
790012800,53.3
790099200,37.6
790185600,28.9
790272000,28.5
790358400,34.8
790444800,36.6
790531200,36.6
790617600,29.4
790704000,26.8
790790400,28.2
790876800,29.3
790963200,23.8
791049600,23.7
791136000,20.0
791222400,21.1
791308800,20.5
791395200,15.1
791481600,25.5
791568000,32.4
791654400,26.5
791740800,15.9
791827200,21.6
791913600,3.5
792000000,8.6
792086400,13.8
792172800,10.9
792259200,17.3
792345600,28.8
792432000,10.2
792518400,2.0
792604800,14.8
792691200,10.9
792777600,26.0
792864000,28.6
792950400,22.1
793036800,32.3
793123200,37.7
793209600,30.2
793296000,25.7
793382400,24.4
793468800,35.6
793555200,25.8
793641600,24.7
793728000,17.1
793814400,26.2
793900800,27.8
793987200,20.1
794073600,14.5
794160000,17.6
794246400,23.3
794332800,30.8
794419200,31.6
794505600,30.4
794592000,23.2
794678400,16.8
794764800,22.5
794851200,45.4
794937600,51.8
795024000,57.5
795110400,61.6
795196800,53.3
795283200,49.1
795369600,37.6
795456000,35.2
795542400,43.0
795628800,48.9
795715200,41.3
795801600,38.8
795888000,34.1
795974400,35.5
796060800,36.9
796147200,41.9
796233600,37.3
796320000,39.9
796406400,37.2
796492800,36.8
796579200,34.4
796665600,35.3
796752000,38.2
796838400,45.1
796924800,32.8
797011200,22.1
797097600,40.4
797184000,38.1
797270400,36.6
797356800,36.3
797443200,35.0
797529600,45.7
797616000,50.6
797702400,38.5
797788800,41.0
797875200,40.0
797961600,44.7
798048000,47.1
798134400,45.0
798220800,50.4
798307200,38.7
798393600,49.7
798480000,45.4
798566400,45.2
798652800,43.6
798739200,45.7
798825600,42.0
798912000,48.6
798998400,44.7
799084800,47.1
799171200,44.3
799257600,44.9
799344000,51.6
799430400,53.4
799516800,52.1
799603200,52.4
799689600,50.6
799776000,55.7
799862400,50.0
799948800,49.1
800035200,58.9
800121600,54.5
800208000,58.3
800294400,60.7
800380800,63.9
800467200,59.9
800553600,61.7
800640000,64.9
800726400,53.8
800812800,58.8
800899200,62.4
800985600,57.2
801072000,55.6
801158400,62.1
801244800,55.5
801331200,54.0
801417600,56.0
801504000,58.3
801590400,65.7
801676800,60.5
801763200,61.1
801849600,66.7
801936000,68.1
802022400,66.4
802108800,63.9
802195200,63.0
802281600,65.0
802368000,69.1
802454400,73.3
802540800,52.5
802627200,55.9
802713600,65.3
802800000,63.2
802886400,59.9
802972800,62.1
803059200,66.8
803145600,65.1
803232000,69.7
803318400,75.2
803404800,77.4
803491200,81.3
803577600,81.5
803664000,74.5
803750400,73.1
803836800,72.0
803923200,75.1
804009600,72.2
804096000,73.7
804182400,72.7
804268800,73.1
804355200,71.1
804441600,70.6
804528000,67.0
804614400,60.5
804700800,63.5
804787200,70.5
804873600,73.9
804960000,75.8
805046400,65.5
805132800,61.1
805219200,66.1
805305600,66.4
805392000,70.9
805478400,71.7
805564800,81.4
805651200,84.1
805737600,83.6
805824000,74.6
805910400,73.3
805996800,71.9
806083200,69.8
806169600,71.0
806256000,71.5
806342400,75.1
806428800,73.9
806515200,75.2
806601600,74.7
806688000,73.7
806774400,72.9
806860800,77.5
806947200,78.4
807033600,72.6
807120000,76.8
807206400,78.6
807292800,72.2
807379200,73.4
807465600,75.2
807552000,74.7
807638400,73.8
807724800,71.5
807811200,72.2
807897600,72.1
807984000,75.0
808070400,80.0
808156800,79.7
808243200,79.6
808329600,81.2
808416000,79.0
808502400,76.2
808588800,72.6
808675200,75.1
808761600,72.6
808848000,73.1
808934400,72.6
809020800,70.9
809107200,69.2
809193600,69.5
809280000,65.6
809366400,70.5
809452800,71.2
809539200,68.8
809625600,70.6
809712000,67.6
809798400,78.1
809884800,65.4
809971200,60.3
810057600,68.3
810144000,66.5
810230400,69.8
810316800,71.5
810403200,67.4
810489600,55.1
810576000,53.5
810662400,56.1
810748800,54.1
810835200,58.8
810921600,69.5
811008000,63.2
811094400,52.1
811180800,62.6
811267200,61.3
811353600,53.3
811440000,54.6
811526400,57.4
811612800,50.9
811699200,45.4
811785600,41.9
811872000,46.2
811958400,50.7
812044800,54.4
812131200,59.8
812217600,57.9
812304000,63.0
812390400,67.2
812476800,67.7
812563200,60.3
