timestamp,value
788889600,38.0
788976000,29.4
789062400,34.2
789148800,25.3
789235200,24.4
789321600,32.7
789408000,31.2
789494400,34.6
789580800,38.5
789667200,47.2
789753600,53.9
789840000,68.8
789926400,53.5
790012800,43.6
790099200,41.4
790185600,44.3
790272000,47.5
790358400,47.2
790444800,37.7
790531200,39.2
790617600,37.0
790704000,31.6
790790400,29.9
790876800,34.0
790963200,41.3
791049600,40.1
791136000,49.3
791222400,45.8
791308800,38.1
791395200,31.9
791481600,33.8
791568000,44.5
791654400,56.5
791740800,54.2
791827200,41.7
791913600,40.6
792000000,37.3
792086400,40.4
792172800,33.7
792259200,37.2
792345600,43.2
792432000,40.7
792518400,27.3
792604800,30.4
792691200,31.2
792777600,40.8
792864000,42.4
792950400,39.5
793036800,41.0
793123200,46.9
793209600,50.4
793296000,54.4
793382400,52.5
793468800,60.5
793555200,53.2
793641600,50.1
793728000,54.5
793814400,57.8
793900800,50.4
793987200,37.4
794073600,33.0
794160000,33.0
794246400,36.3
794332800,44.0
794419200,49.2
794505600,41.9
794592000,30.4
794678400,39.9
794764800,45.1
794851200,56.8
794937600,61.6
795024000,65.1
795110400,57.7
795196800,60.7
795283200,61.3
795369600,62.4
795456000,63.8
795542400,66.6
795628800,70.6
795715200,61.7
795801600,70.6
795888000,71.5
795974400,61.4
796060800,61.6
796147200,65.7
796233600,54.6
796320000,52.3
796406400,53.1
796492800,51.4
796579200,51.9
796665600,51.8
796752000,57.1
796838400,57.5
796924800,57.0
797011200,56.5
797097600,61.0
797184000,65.2
797270400,70.0
797356800,75.2
797443200,69.8
797529600,48.8
797616000,50.4
797702400,56.1
797788800,59.8
797875200,65.3
797961600,69.9
798048000,69.7
798134400,70.4
798220800,55.6
798307200,59.1
798393600,62.7
798480000,57.7
798566400,49.5
798652800,49.7
798739200,56.5
798825600,62.0
798912000,58.6
798998400,57.1
799084800,60.9
799171200,55.9
799257600,56.6
799344000,53.8
799430400,56.9
799516800,62.7
