timestamp,value
788889600,33.5
788976000,17.7
789062400,16.3
789148800,7.6
789235200,6.6
789321600,21.7
789408000,26.6
789494400,20.2
789580800,16.6
789667200,21.4
789753600,31.0
789840000,48.0
789926400,54.9
790012800,52.6
790099200,38.3
790185600,31.0
790272000,32.0
790358400,41.2
790444800,39.1
790531200,37.6
790617600,27.6
790704000,20.1
790790400,19.0
790876800,19.7
790963200,10.8
791049600,15.7
791136000,14.7
791222400,25.3
791308800,21.2
791395200,17.5
791481600,27.2
791568000,35.3
791654400,32.5
791740800,24.8
791827200,26.3
791913600,14.0
792000000,9.9
792086400,12.0
792172800,13.9
792259200,18.7
792345600,31.2
792432000,16.7
792518400,5.1
792604800,17.1
792691200,19.8
792777600,33.0
792864000,32.6
792950400,28.4
793036800,34.7
793123200,38.9
793209600,34.2
793296000,31.7
793382400,32.0
793468800,39.3
793555200,31.9
793641600,32.6
793728000,30.1
793814400,31.4
793900800,32.5
793987200,25.2
794073600,20.1
794160000,22.9
794246400,28.1
794332800,37.0
794419200,36.8
794505600,42.5
794592000,28.9
794678400,24.3
794764800,30.2
794851200,50.2
794937600,52.7
795024000,58.6
795110400,61.2
795196800,57.5
795283200,56.3
795369600,51.1
795456000,43.6
795542400,51.3
795628800,52.5
795715200,45.0
795801600,43.1
795888000,42.3
795974400,39.7
796060800,43.6
796147200,44.2
796233600,42.4
796320000,38.0
796406400,39.7
796492800,39.5
796579200,36.8
796665600,35.6
796752000,39.0
796838400,48.0
796924800,39.0
797011200,27.8
797097600,49.2
797184000,47.6
797270400,45.4
797356800,40.7
797443200,34.6
797529600,47.9
797616000,51.3
797702400,44.1
797788800,44.8
797875200,48.0
797961600,52.8
798048000,54.7
798134400,58.4
798220800,52.9
798307200,41.8
798393600,57.5
798480000,47.9
798566400,44.3
798652800,47.5
798739200,48.9
798825600,52.8
798912000,54.4
798998400,48.3
799084800,52.8
799171200,51.5
799257600,46.5
799344000,53.2
799430400,51.3
799516800,53.3
799603200,52.3
799689600,55.0
799776000,59.8
799862400,56.7
799948800,59.4
800035200,63.1
800121600,54.3
800208000,56.5
800294400,59.3
800380800,65.3
800467200,61.5
800553600,62.3
800640000,66.4
800726400,52.3
800812800,56.8
800899200,61.3
800985600,60.8
801072000,60.0
801158400,66.6
801244800,65.2
801331200,54.2
801417600,60.0
801504000,59.0
801590400,69.0
801676800,60.3
801763200,62.8
801849600,66.1
801936000,67.0
802022400,65.7
802108800,64.9
802195200,65.9
802281600,68.6
802368000,73.7
802454400,75.1
802540800,65.6
802627200,62.0
802713600,67.3
802800000,66.8
802886400,61.2
802972800,63.2
803059200,68.6
803145600,72.0
803232000,75.0
803318400,76.0
803404800,76.8
803491200,78.6
803577600,82.4
803664000,81.1
803750400,76.4
803836800,76.7
803923200,70.8
804009600,73.1
804096000,74.1
804182400,68.4
804268800,71.1
804355200,70.2
804441600,72.7
804528000,66.7
804614400,62.2
804700800,65.3
804787200,72.7
804873600,75.2
804960000,75.7
805046400,70.5
805132800,66.3
805219200,68.4
805305600,69.7
805392000,76.6
805478400,79.5
805564800,84.6
805651200,87.5
805737600,82.9
805824000,77.5
805910400,76.0
805996800,72.9
806083200,72.4
806169600,71.6
806256000,71.8
806342400,74.5
806428800,74.1
806515200,74.4
806601600,73.0
806688000,73.9
806774400,77.2
806860800,78.8
806947200,79.6
807033600,80.4
807120000,81.1
807206400,79.8
807292800,79.1
807379200,77.0
807465600,74.7
807552000,71.5
807638400,75.0
807724800,74.5
807811200,75.0
807897600,74.5
807984000,76.3
808070400,79.8
808156800,81.5
808243200,84.5
808329600,82.3
808416000,81.3
808502400,80.2
808588800,79.1
808675200,76.5
808761600,78.0
808848000,79.8
808934400,77.9
809020800,75.6
809107200,70.8
809193600,71.5
809280000,70.8
809366400,72.8
809452800,74.8
809539200,73.9
809625600,76.8
809712000,75.3
809798400,78.3
809884800,71.4
809971200,67.3
810057600,69.1
810144000,72.5
810230400,72.5
810316800,73.6
810403200,72.2
810489600,54.7
810576000,59.4
810662400,60.3
810748800,56.7
810835200,65.7
810921600,73.5
811008000,68.8
811094400,63.8
811180800,65.6
811267200,64.3
811353600,57.5
811440000,60.5
811526400,62.8
811612800,57.6
811699200,49.0
811785600,44.7
811872000,49.6
811958400,55.0
812044800,56.6
812131200,61.8
812217600,66.7
812304000,63.2
812390400,68.5
812476800,68.8
812563200,63.1
812649600,58.1
812736000,55.4
812822400,56.7
812908800,59.4
812995200,54.2
813081600,54.9
813168000,56.0
813254400,60.2
813340800,58.2
813427200,64.0
813513600,65.0
813600000,58.5
813686400,46.6
813772800,44.3
813859200,48.1
813945600,64.8
814032000,63.2
814118400,54.2
814204800,41.2
814291200,46.8
814377600,56.5
814464000,51.3
814550400,45.4
814636800,48.0
814723200,55.6
814809600,48.6
814896000,45.1
814982400,44.0
815068800,46.3
815155200,54.9
815241600,61.5
815328000,34.2
815414400,30.1
815500800,24.7
815587200,32.8
815673600,45.4
815760000,32.3
815846400,24.5
815932800,46.2
816019200,44.1
816105600,23.6
816192000,32.4
816278400,31.7
816364800,30.4
816451200,31.2
816537600,29.0
816624000,37.5
816710400,38.2
816796800,40.6
816883200,34.9
816969600,30.4
817056000,33.5
817142400,29.0
817228800,33.5
817315200,39.8
817401600,50.5
817488000,34.7
817574400,30.7
817660800,30.5
817747200,47.7
817833600,35.7
817920000,50.5
818006400,34.4
818092800,37.5
818179200,28.2
818265600,25.2
818352000,18.6
818438400,10.0
818524800,5.3
818611200,9.8
818697600,13.6
818784000,20.7
818870400,41.8
818956800,36.1
819043200,32.7
819129600,28.1
819216000,30.8
819302400,27.2
819388800,18.4
819475200,22.3
819561600,20.9
819648000,17.8
819734400,24.1
819820800,25.2
819907200,17.1
819993600,19.1
820080000,23.5
820166400,14.4
820252800,17.8
820339200,34.3
820425600,33.7
820512000,30.1
820598400,16.9
820684800,2.4
820771200,10.7
820857600,13.3
820944000,17.1
821030400,13.1
821116800,21.6
821203200,24.8
821289600,16.7
821376000,20.7
821462400,27.3
821548800,34.0
821635200,27.0
821721600,23.9
821808000,43.0
821894400,49.8
821980800,18.7
822067200,13.4
822153600,24.2
822240000,32.6
822326400,36.5
822412800,34.0
822499200,19.4
822585600,32.6
822672000,27.0
822758400,18.2
822844800,28.9
822931200,15.4
823017600,8.4
823104000,3.4
823190400,3.7
823276800,-0.6
823363200,-2.4
823449600,7.1
823536000,15.8
823622400,33.1
823708800,42.1
823795200,38.1
823881600,44.6
823968000,35.5
824054400,23.8
824140800,23.6
824227200,32.0
824313600,26.4
824400000,20.9
824486400,23.0
824572800,17.7
824659200,30.9
824745600,41.7
824832000,40.6
824918400,35.3
825004800,39.7
825091200,44.8
825177600,43.3
825264000,46.9
825350400,53.2
825436800,29.6
825523200,18.9
825609600,22.9
825696000,29.1
825782400,14.4
825868800,21.3
825955200,38.3
826041600,28.8
826128000,17.2
826214400,13.0
826300800,15.7
826387200,24.8
826473600,30.0
826560000,37.1
826646400,42.7
826732800,47.8
826819200,47.2
826905600,36.3
826992000,35.8
827078400,41.3
827164800,40.5
827251200,32.6
827337600,29.0
827424000,29.0
827510400,31.5
827596800,46.0
827683200,49.0
827769600,49.0
827856000,21.2
827942400,35.7
828028800,35.7
828115200,45.6
828201600,51.2
828288000,39.5
828374400,40.0
828460800,55.4
828547200,55.4
828633600,55.4
828720000,55.4
828806400,55.4
828892800,27.0
828979200,30.2
829065600,35.5
829152000,46.6
829238400,64.0
829324800,64.0
829411200,37.8
829497600,45.3
829584000,39.0
829670400,39.0
829756800,55.6
829843200,55.6
829929600,55.6
830016000,55.6
830102400,57.7
830188800,57.7
830275200,46.2
830361600,59.6
830448000,51.8
830534400,35.2
830620800,49.2
830707200,49.2
830793600,49.2
830880000,50.4
830966400,50.2
831052800,58.0
831139200,57.5
831225600,57.5
831312000,53.4
831398400,53.4
831484800,53.0
831571200,65.0
831657600,65.0
831744000,65.0
831830400,38.5
831916800,39.8
832003200,47.5
832089600,51.9
832176000,51.9
832262400,51.9
832348800,74.3
832435200,78.0
832521600,81.0
832608000,68.4
832694400,62.8
832780800,63.6
832867200,59.8
832953600,53.6
833040000,56.3
833126400,56.3
833212800,56.4
833299200,55.2
833385600,56.6
833472000,62.4
833558400,62.8
833644800,62.8
833731200,66.3
833817600,59.0
833904000,58.7
833990400,62.6
834076800,66.0
834163200,64.3
834249600,64.3
834336000,64.3
834422400,64.3
834508800,64.3
834595200,70.7
834681600,76.5
834768000,74.3
834854400,78.3
834940800,78.8
835027200,78.8
835113600,78.8
835200000,71.7
835286400,74.0
835372800,78.2
835459200,71.0
835545600,80.6
835632000,66.6
835718400,70.4
835804800,74.8
835891200,78.3
835977600,79.8
836064000,82.8
836150400,82.3
836236800,71.6
836323200,66.9
836409600,65.3
836496000,67.8
836582400,72.8
836668800,77.5
836755200,71.8
836841600,67.5
836928000,62.7
837014400,67.1
837100800,71.2
837187200,75.5
837273600,71.9
837360000,68.0
837446400,72.0
837532800,75.5
837619200,73.0
837705600,81.5
837792000,69.1
837878400,61.4
837964800,64.8
838051200,70.7
838137600,70.0
838224000,68.3
838310400,68.3
838396800,67.5
838483200,67.9
838569600,70.6
838656000,67.9
838742400,65.8
838828800,64.6
838915200,68.1
839001600,69.9
839088000,73.1
839174400,76.3
839260800,79.3
839347200,80.4
839433600,76.6
839520000,68.5
839606400,67.5
839692800,67.3
839779200,69.4
839865600,70.0
839952000,72.3
840038400,73.0
840124800,65.3
840211200,66.9
840297600,70.4
840384000,73.6
840470400,76.1
840556800,74.8
840643200,74.0
840729600,74.6
840816000,71.4
840902400,68.5
840988800,69.3
841075200,69.2
841161600,69.8
841248000,69.5
841334400,69.1
841420800,67.8
841507200,68.1
841593600,68.8
841680000,71.1
841766400,71.9
841852800,70.7
841939200,73.4
842025600,72.5
842112000,69.9
842198400,70.9
842284800,66.9
842371200,66.5
842457600,63.8
842544000,57.0
842630400,54.7
842716800,56.4
842803200,55.6
842889600,61.8
842976000,60.4
843062400,60.0
843148800,57.7
843235200,59.0
843321600,60.0
843408000,56.9
843494400,61.7
843580800,52.6
843667200,58.0
843753600,65.8
843840000,53.9
843926400,54.6
844012800,59.1
844099200,61.2
844185600,65.9
844272000,46.7
844358400,44.0
844444800,48.9
844531200,56.5
844617600,58.1
844704000,51.8
844790400,48.6
844876800,46.1
844963200,41.9
845049600,52.0
845136000,62.0
845222400,61.4
845308800,56.4
845395200,61.8
845481600,65.0
845568000,52.2
845654400,43.1
845740800,47.8
845827200,51.0
845913600,57.1
846000000,48.9
846086400,47.5
846172800,49.1
846259200,55.7
846345600,61.2
846432000,56.3
846518400,45.2
846604800,55.6
846691200,35.8
846777600,34.8
846864000,31.0
846950400,31.4
847036800,36.3
847123200,46.7
847209600,55.1
847296000,53.6
847382400,39.4
847468800,36.1
847555200,30.5
847641600,26.9
847728000,25.6
847814400,26.4
847900800,23.1
847987200,25.9
848073600,36.8
848160000,45.4
848246400,34.1
848332800,31.7
848419200,30.5
848505600,29.3
848592000,31.2
848678400,32.7
848764800,36.5
848851200,32.3
848937600,28.0
849024000,25.3
849110400,27.5
849196800,30.4
849283200,43.8
849369600,43.3
849456000,30.9
849542400,33.6
849628800,31.1
849715200,30.3
849801600,32.7
849888000,33.1
849974400,29.7
850060800,28.2
850147200,34.2
850233600,38.5
850320000,36.7
850406400,37.1
850492800,36.4
850579200,39.2
850665600,30.9
850752000,30.3
850838400,18.7
850924800,3.7
851011200,6.7
851097600,15.0
851184000,35.1
851270400,40.0
851356800,31.3
851443200,15.0
851529600,20.2
851616000,30.7
851702400,39.9
851788800,39.2
851875200,32.0
851961600,36.2
852048000,34.7
852134400,50.0
852220800,54.9
852307200,54.7
852393600,42.1
852480000,20.8
852566400,18.9
852652800,17.0
852739200,24.2
852825600,16.9
852912000,2.4
852998400,-2.6
853084800,-0.6
853171200,4.8
853257600,17.9
853344000,18.4
853430400,-3.8
853516800,-1.8
853603200,3.2
853689600,27.1
853776000,28.4
853862400,42.2
853948800,29.3
854035200,27.9
854121600,22.3
854208000,10.4
854294400,25.7
854380800,16.1
854467200,5.5
854553600,19.5
854640000,31.4
854726400,35.0
854812800,35.2
854899200,33.4
854985600,35.5
855072000,33.1
855158400,28.6
855244800,27.6
855331200,28.6
855417600,27.7
855504000,29.5
855590400,27.8
855676800,27.0
855763200,16.0
855849600,23.8
855936000,26.8
856022400,23.6
856108800,19.3
856195200,43.7
856281600,44.4
856368000,33.0
856454400,54.4
856540800,35.0
856627200,31.7
856713600,27.3
856800000,23.5
856886400,33.5
856972800,40.5
857059200,36.4
857145600,49.6
857232000,43.0
857318400,33.1
857404800,37.9
857491200,39.0
857577600,30.8
857664000,28.6
857750400,41.9
857836800,34.6
857923200,40.8
858009600,43.7
858096000,34.7
858182400,35.8
858268800,32.6
858355200,23.3
858441600,24.1
858528000,39.0
858614400,37.9
858700800,33.0
858787200,42.7
858873600,50.5
858960000,45.5
859046400,36.8
859132800,32.2
859219200,45.1
859305600,39.8
859392000,52.0
859478400,54.8
859564800,48.7
859651200,43.5
859737600,33.9
859824000,38.8
859910400,46.3
859996800,53.6
860083200,60.0
860169600,59.7
860256000,62.0
860342400,37.1
860428800,33.2
860515200,25.9
860601600,29.8
860688000,38.7
860774400,40.1
860860800,37.1
860947200,37.7
861033600,45.6
861120000,51.2
861206400,37.3
861292800,38.8
861379200,45.7
861465600,46.5
861552000,49.3
861638400,46.9
861724800,47.2
861811200,48.6
861897600,48.7
861984000,48.4
862070400,53.2
862156800,48.6
862243200,52.5
862329600,59.2
862416000,48.7
862502400,47.3
862588800,48.5
862675200,49.9
862761600,51.5
862848000,54.7
862934400,51.1
863020800,54.9
863107200,50.1
863193600,47.4
863280000,53.5
863366400,55.1
863452800,48.6
863539200,51.4
863625600,45.9
863712000,46.0
863798400,60.4
863884800,65.7
863971200,65.7
864057600,51.4
864144000,49.8
864230400,51.9
864316800,57.0
864403200,64.1
864489600,61.9
864576000,52.2
864662400,54.4
864748800,56.1
864835200,58.1
864921600,59.3
865008000,58.5
865094400,57.7
865180800,57.9
865267200,59.2
865353600,59.5
865440000,62.3
865526400,63.8
865612800,60.0
865699200,60.2
865785600,63.7
865872000,67.1
865958400,69.5
866044800,66.0
866131200,68.2
866217600,69.7
866304000,66.3
866390400,68.9
866476800,66.8
866563200,68.4
866649600,74.7
866736000,78.6
866822400,77.1
866908800,73.1
866995200,77.6
867081600,80.9
867168000,82.0
867254400,74.0
867340800,71.5
867427200,74.6
867513600,77.2
867600000,75.2
867686400,72.8
867772800,76.7
867859200,69.8
867945600,63.9
868032000,61.4
868118400,66.1
868204800,67.9
868291200,73.8
868377600,67.1
868464000,64.2
868550400,67.0
868636800,70.7
868723200,73.9
868809600,79.9
868896000,75.0
868982400,76.7
869068800,79.6
869155200,78.5
869241600,73.6
869328000,69.4
869414400,70.8
869500800,68.8
869587200,68.6
869673600,72.2
869760000,73.6
869846400,79.9
869932800,79.7
870019200,76.7
870105600,69.9
870192000,66.2
870278400,67.0
870364800,69.6
870451200,74.5
870537600,74.6
870624000,73.5
870710400,66.6
870796800,62.1
870883200,66.3
870969600,67.9
871056000,69.1
871142400,69.9
871228800,67.3
871315200,67.3
871401600,70.9
871488000,64.6
871574400,73.0
871660800,80.8
871747200,70.7
871833600,63.7
871920000,64.4
872006400,64.4
872092800,64.6
872179200,61.5
872265600,61.2
872352000,63.0
872438400,65.0
872524800,66.2
872611200,71.9
872697600,69.8
872784000,64.0
872870400,63.6
872956800,69.8
873043200,68.9
873129600,70.2
873216000,62.5
873302400,54.7
873388800,58.0
873475200,67.2
873561600,68.8
873648000,66.7
873734400,64.8
873820800,62.8
873907200,61.7
873993600,58.7
874080000,60.5
874166400,63.9
874252800,68.9
874339200,70.5
874425600,71.6
874512000,64.4
874598400,67.1
874684800,68.4
874771200,54.6
874857600,53.5
874944000,57.8
875030400,55.5
875116800,57.0
875203200,58.3
875289600,57.1
875376000,59.7
875462400,60.7
875548800,61.7
875635200,52.5
875721600,50.3
875808000,65.8
875894400,70.7
875980800,69.7
876067200,70.2
876153600,68.1
876240000,67.6
876326400,69.0
876412800,58.9
876499200,54.2
876585600,60.2
876672000,65.6
876758400,48.7
876844800,43.7
876931200,45.8
877017600,47.4
877104000,43.5
877190400,45.3
877276800,50.6
877363200,40.9
877449600,36.6
877536000,35.7
877622400,43.2
877708800,47.3
877795200,41.4
877881600,36.7
877968000,36.0
878054400,42.1
878140800,46.2
878227200,55.1
878313600,53.1
878400000,42.5
878486400,35.4
878572800,35.8
878659200,39.2
878745600,42.6
878832000,44.0
878918400,43.3
879004800,38.9
879091200,40.4
879177600,32.4
879264000,28.9
879350400,27.1
879436800,32.2
879523200,31.2
879609600,27.8
879696000,21.3
879782400,22.7
879868800,31.0
