timestamp,value
788889600,45.3
788976000,42.8
789062400,49.0
789148800,49.2
789235200,50.2
789321600,44.8
789408000,54.0
789494400,52.1
789580800,58.7
789667200,59.4
789753600,53.7
789840000,55.1
789926400,58.9
790012800,60.2
790099200,52.0
790185600,47.4
790272000,43.7
790358400,44.0
790444800,43.8
790531200,47.4
790617600,49.5
790704000,51.2
790790400,52.4
790876800,52.9
790963200,52.0
791049600,50.1
791136000,53.3
791222400,54.3
791308800,52.4
791395200,52.3
791481600,54.8
791568000,52.0
791654400,53.0
791740800,53.7
791827200,52.1
791913600,49.9
792000000,51.0
792086400,52.1
792172800,54.1
792259200,51.2
792345600,51.0
792432000,49.8
792518400,53.3
792604800,51.7
792691200,49.7
792777600,48.3
792864000,49.0
792950400,49.6
793036800,51.6
793123200,53.5
793209600,55.1
793296000,57.6
793382400,54.1
793468800,54.4
793555200,55.3
793641600,56.2
793728000,56.5
793814400,57.0
793900800,58.8
793987200,56.7
794073600,56.7
794160000,58.2
794246400,52.9
794332800,55.1
794419200,53.1
794505600,52.5
794592000,55.4
794678400,58.3
794764800,59.0
794851200,55.6
794937600,56.9
795024000,59.2
795110400,62.3
795196800,60.6
795283200,56.9
795369600,58.9
795456000,59.8
795542400,57.3
795628800,59.5
795715200,51.5
795801600,49.8
795888000,49.6
795974400,46.1
796060800,47.4
796147200,51.3
796233600,52.7
796320000,54.9
796406400,56.4
796492800,58.8
796579200,60.8
796665600,61.4
796752000,57.7
796838400,61.9
796924800,64.7
797011200,65.2
797097600,64.2
797184000,64.2
797270400,59.5
797356800,53.0
797443200,54.7
797529600,61.6
797616000,65.2
797702400,61.6
797788800,50.9
797875200,53.4
797961600,49.4
798048000,53.5
798134400,51.7
798220800,52.5
798307200,53.7
798393600,51.4
798480000,59.7
798566400,65.0
798652800,69.7
798739200,70.3
798825600,66.1
798912000,67.0
798998400,65.3
799084800,64.9
799171200,67.4
799257600,69.5
799344000,61.7
799430400,63.5
799516800,64.0
799603200,58.2
799689600,53.4
799776000,58.8
799862400,62.7
799948800,64.8
800035200,62.9
800121600,64.7
800208000,59.1
800294400,58.0
800380800,56.5
800467200,59.5
800553600,58.3
800640000,66.6
800726400,71.3
800812800,74.7
800899200,75.8
800985600,67.7
801072000,62.9
801158400,65.1
801244800,68.1
801331200,65.5
801417600,71.4
801504000,72.5
801590400,74.1
801676800,79.3
801763200,81.2
801849600,81.9
801936000,80.1
802022400,68.9
802108800,66.5
802195200,73.8
802281600,68.8
802368000,64.9
802454400,63.0
802540800,63.8
802627200,69.8
802713600,73.4
802800000,74.8
802886400,74.5
802972800,76.8
803059200,72.7
803145600,63.7
803232000,57.4
803318400,65.5
803404800,68.7
803491200,66.2
803577600,69.0
803664000,71.9
803750400,78.4
803836800,83.1
803923200,86.9
804009600,89.0
804096000,91.3
804182400,88.3
804268800,85.0
804355200,82.8
804441600,80.5
804528000,77.1
804614400,77.5
804700800,78.8
804787200,78.6
804873600,84.4
804960000,83.8
805046400,83.0
805132800,84.7
805219200,83.4
805305600,77.0
805392000,74.7
805478400,70.0
805564800,72.0
805651200,78.6
805737600,85.4
805824000,86.3
805910400,86.1
805996800,82.6
806083200,83.8
806169600,80.3
806256000,78.9
806342400,77.6
806428800,76.0
806515200,78.3
806601600,78.3
806688000,81.3
806774400,86.2
806860800,88.6
806947200,83.8
807033600,83.2
807120000,87.0
807206400,88.9
807292800,90.2
807379200,89.1
807465600,87.8
807552000,84.6
807638400,84.1
807724800,86.2
807811200,81.4
807897600,83.4
807984000,84.6
808070400,76.4
808156800,81.2
808243200,85.2
808329600,86.8
808416000,88.1
808502400,84.2
808588800,79.1
808675200,75.8
808761600,79.8
808848000,82.2
808934400,86.2
809020800,86.2
809107200,86.9
809193600,83.3
809280000,78.8
809366400,76.0
809452800,76.8
809539200,75.6
809625600,74.5
809712000,78.4
809798400,78.3
809884800,80.5
809971200,80.8
810057600,78.3
810144000,74.4
810230400,75.0
810316800,80.2
810403200,79.4
810489600,88.7
810576000,76.8
810662400,72.7
810748800,74.9
810835200,78.2
810921600,78.3
811008000,78.4
811094400,79.8
811180800,79.0
