timestamp,value
788889600,37.4
788976000,29.0
789062400,29.4
789148800,26.8
789235200,19.4
789321600,21.8
789408000,28.2
789494400,30.1
789580800,30.4
789667200,35.4
789753600,38.9
789840000,32.1
789926400,30.0
790012800,28.4
790099200,25.7
790185600,25.8
790272000,28.0
790358400,37.9
790444800,38.1
790531200,36.3
790617600,38.3
790704000,44.1
790790400,46.7
790876800,40.5
790963200,48.0
791049600,45.4
791136000,38.9
791222400,43.4
791308800,45.2
791395200,44.4
791481600,38.3
791568000,37.7
791654400,44.0
791740800,41.8
791827200,38.7
791913600,41.2
792000000,39.9
792086400,37.0
792172800,46.0
792259200,43.7
792345600,39.8
792432000,45.1
792518400,46.6
792604800,47.2
792691200,44.1
792777600,44.6
792864000,48.4
792950400,45.5
793036800,38.3
793123200,39.2
793209600,47.1
793296000,47.0
793382400,40.4
793468800,38.7
793555200,43.4
793641600,46.6
793728000,40.6
793814400,38.5
793900800,36.7
793987200,41.9
794073600,44.3
794160000,39.5
794246400,36.2
794332800,32.3
794419200,37.8
794505600,37.6
794592000,36.2
794678400,38.8
794764800,36.9
794851200,41.6
794937600,45.3
795024000,45.2
795110400,42.2
795196800,41.7
795283200,40.5
795369600,45.4
795456000,50.1
795542400,50.1
795628800,39.1
795715200,36.9
795801600,39.5
795888000,40.6
795974400,45.4
796060800,48.4
796147200,49.9
796233600,42.7
796320000,35.1
796406400,37.4
796492800,36.2
796579200,36.7
796665600,44.8
796752000,53.1
796838400,54.0
796924800,59.0
797011200,56.2
797097600,55.6
797184000,54.5
797270400,52.2
797356800,45.8
797443200,42.4
797529600,47.1
797616000,53.5
797702400,49.2
797788800,45.9
797875200,46.8
797961600,45.3
798048000,48.1
798134400,55.7
798220800,49.0
798307200,41.4
798393600,47.1
798480000,46.2
798566400,49.0
798652800,52.3
798739200,48.4
798825600,46.8
798912000,48.9
798998400,53.0
799084800,54.2
799171200,52.0
799257600,53.6
799344000,54.6
799430400,58.2
799516800,61.4
799603200,61.5
799689600,62.6
799776000,62.6
799862400,63.0
799948800,61.4
800035200,55.8
800121600,54.7
800208000,55.0
800294400,41.3
800380800,42.4
800467200,45.6
800553600,53.4
800640000,56.1
800726400,53.3
800812800,49.1
800899200,49.7
800985600,53.1
801072000,54.0
801158400,60.0
801244800,62.1
801331200,61.3
801417600,57.3
801504000,62.1
801590400,63.3
801676800,62.2
801763200,57.9
801849600,54.1
801936000,53.2
802022400,54.6
802108800,58.4
802195200,59.3
802281600,57.6
802368000,57.2
802454400,58.7
802540800,61.7
802627200,59.0
802713600,55.6
802800000,52.8
802886400,53.0
802972800,52.4
803059200,54.0
803145600,56.3
803232000,57.4
803318400,61.8
803404800,64.6
803491200,67.3
803577600,73.1
803664000,69.4
803750400,66.4
803836800,57.8
803923200,57.6
804009600,62.4
804096000,68.3
804182400,69.5
804268800,71.1
804355200,70.0
804441600,71.2
804528000,74.0
804614400,71.0
804700800,62.2
804787200,64.3
804873600,65.1
804960000,66.0
805046400,69.7
805132800,73.4
805219200,75.6
805305600,75.9
805392000,70.9
805478400,70.7
805564800,74.8
805651200,70.2
805737600,70.3
805824000,67.1
805910400,66.2
805996800,70.6
806083200,73.4
806169600,76.5
806256000,81.2
806342400,75.0
806428800,67.6
806515200,68.7
806601600,71.2
806688000,78.8
806774400,76.0
806860800,72.0
806947200,72.1
807033600,72.2
807120000,70.5
807206400,73.4
807292800,75.6
807379200,72.3
807465600,72.9
807552000,72.0
807638400,71.8
