timestamp,value
788889600,11.0
788976000,16.6
789062400,13.3
789148800,6.5
789235200,21.7
789321600,22.7
789408000,21.5
789494400,35.3
789580800,36.9
789667200,39.7
789753600,43.2
789840000,38.4
789926400,34.1
790012800,36.4
790099200,43.6
790185600,45.9
790272000,29.5
790358400,30.4
790444800,28.6
790531200,35.5
790617600,26.3
790704000,27.1
790790400,27.0
790876800,33.9
790963200,31.1
791049600,34.1
791136000,36.3
791222400,32.6
791308800,30.4
791395200,32.6
791481600,39.6
791568000,45.4
791654400,47.0
791740800,41.4
791827200,41.3
791913600,38.2
792000000,37.8
792086400,31.1
792172800,28.1
792259200,35.2
792345600,32.8
792432000,17.4
792518400,12.0
792604800,9.9
792691200,21.3
792777600,22.4
792864000,26.2
792950400,37.7
793036800,41.7
793123200,41.0
793209600,47.7
793296000,52.4
793382400,47.3
793468800,43.1
793555200,43.9
793641600,53.2
793728000,48.7
793814400,34.2
793900800,19.7
793987200,14.5
794073600,8.8
794160000,17.1
794246400,28.3
794332800,31.4
794419200,24.8
794505600,7.4
794592000,17.4
794678400,39.9
794764800,48.6
794851200,58.5
794937600,60.3
795024000,53.4
795110400,48.5
795196800,45.8
795283200,51.5
795369600,52.0
795456000,52.6
795542400,55.8
795628800,47.7
795715200,59.1
795801600,62.6
795888000,45.9
795974400,52.7
796060800,50.9
796147200,36.6
796233600,30.9
796320000,30.3
796406400,29.0
796492800,29.4
796579200,36.3
796665600,44.2
796752000,52.7
796838400,47.1
796924800,42.2
797011200,56.0
797097600,51.8
797184000,59.8
797270400,53.1
797356800,43.7
797443200,26.7
797529600,22.8
797616000,35.6
797702400,51.4
797788800,62.9
797875200,45.9
797961600,45.1
798048000,37.8
798134400,36.8
798220800,34.3
798307200,38.4
798393600,36.2
798480000,37.2
798566400,43.3
798652800,42.3
798739200,51.3
798825600,43.0
798912000,41.7
798998400,50.3
799084800,48.2
799171200,43.3
799257600,43.1
799344000,41.8
799430400,46.3
799516800,46.8
799603200,48.3
799689600,53.3
799776000,57.5
799862400,52.0
799948800,48.3
800035200,50.6
800121600,52.3
800208000,58.1
800294400,55.5
800380800,47.4
800467200,60.8
800553600,65.8
800640000,49.8
800726400,45.1
800812800,59.1
800899200,52.0
800985600,53.7
801072000,57.9
801158400,42.8
801244800,44.6
801331200,44.9
801417600,54.3
801504000,53.8
801590400,52.6
801676800,52.0
801763200,52.0
801849600,55.4
801936000,60.3
802022400,65.3
802108800,63.0
802195200,61.4
802281600,63.8
802368000,71.5
802454400,66.2
802540800,56.8
802627200,51.5
802713600,53.5
802800000,53.5
802886400,63.0
802972800,69.8
803059200,73.5
803145600,77.2
803232000,75.8
803318400,74.0
803404800,71.0
803491200,71.9
803577600,75.1
803664000,74.9
803750400,73.1
803836800,68.8
803923200,62.5
804009600,61.3
804096000,64.5
804182400,70.9
804268800,70.6
804355200,61.3
804441600,59.6
804528000,57.8
804614400,60.7
804700800,68.7
804787200,58.8
804873600,62.8
804960000,72.6
805046400,78.0
805132800,78.8
805219200,78.9
805305600,80.7
805392000,87.2
805478400,84.2
805564800,84.4
805651200,76.9
805737600,72.8
805824000,71.6
805910400,68.4
805996800,65.6
806083200,71.5
806169600,67.1
806256000,71.3
806342400,69.4
806428800,71.9
806515200,72.5
806601600,74.6
806688000,75.9
806774400,80.0
806860800,76.3
806947200,81.7
807033600,79.1
807120000,68.0
807206400,58.0
807292800,67.6
807379200,73.4
807465600,74.0
807552000,73.9
807638400,74.1
807724800,82.6
807811200,85.4
807897600,79.7
807984000,77.7
808070400,82.8
808156800,82.1
808243200,81.2
808329600,69.5
808416000,68.7
808502400,78.1
808588800,80.3
808675200,81.4
808761600,68.4
808848000,69.5
808934400,77.1
809020800,85.7
809107200,81.0
809193600,79.2
809280000,77.0
809366400,74.4
809452800,75.3
809539200,77.5
809625600,80.6
809712000,77.3
809798400,72.4
809884800,72.1
809971200,82.8
810057600,76.6
810144000,77.0
810230400,75.5
810316800,76.8
810403200,60.9
810489600,56.4
810576000,60.9
810662400,58.7
810748800,65.2
810835200,64.0
810921600,66.7
811008000,64.1
811094400,69.3
811180800,70.4
811267200,65.3
811353600,70.4
811440000,54.6
811526400,46.7
811612800,34.3
811699200,41.2
811785600,52.5
811872000,49.7
811958400,49.9
812044800,55.0
812131200,59.2
812217600,61.8
812304000,65.7
812390400,57.5
812476800,56.2
812563200,52.9
812649600,54.1
812736000,56.2
812822400,46.1
812908800,46.0
812995200,46.8
813081600,52.2
813168000,50.8
813254400,57.9
813340800,66.8
813427200,68.4
813513600,57.0
813600000,44.3
813686400,58.6
813772800,65.5
813859200,61.4
813945600,58.1
814032000,51.7
814118400,43.0
814204800,50.2
814291200,47.3
814377600,36.9
814464000,36.2
814550400,38.9
814636800,47.7
814723200,45.6
814809600,39.5
814896000,43.9
814982400,36.0
815068800,35.5
815155200,35.2
815241600,24.5
815328000,25.4
815414400,27.6
815500800,43.2
815587200,46.4
815673600,40.0
815760000,40.2
815846400,52.4
815932800,36.3
816019200,25.5
816105600,49.1
816192000,42.5
816278400,46.8
816364800,43.0
816451200,49.0
816537600,48.9
816624000,52.6
816710400,46.8
816796800,38.3
816883200,38.7
816969600,47.7
817056000,42.1
817142400,49.0
817228800,50.0
817315200,50.7
817401600,31.8
817488000,23.7
817574400,40.6
817660800,50.6
817747200,47.8
817833600,52.0
817920000,39.6
818006400,38.3
818092800,38.5
818179200,28.5
818265600,25.1
818352000,22.4
818438400,9.6
818524800,31.5
818611200,31.2
818697600,34.0
818784000,41.4
818870400,38.4
818956800,36.5
819043200,42.3
819129600,34.0
819216000,24.2
819302400,28.1
819388800,24.9
819475200,19.9
819561600,18.7
819648000,19.7
819734400,22.4
819820800,29.5
819907200,34.0
819993600,24.0
820080000,22.8
820166400,31.0
820252800,28.6
820339200,31.1
820425600,29.4
820512000,18.7
820598400,24.9
820684800,26.9
820771200,9.1
820857600,6.4
820944000,6.4
821030400,35.2
821116800,35.7
821203200,38.0
821289600,37.1
821376000,43.4
821462400,48.7
821548800,40.4
821635200,29.3
821721600,41.8
821808000,31.9
821894400,4.5
821980800,12.9
822067200,28.8
822153600,37.1
822240000,27.9
822326400,15.4
822412800,25.4
822499200,24.2
822585600,7.8
822672000,19.4
822758400,36.3
822844800,18.7
822931200,0.3
823017600,5.4
823104000,9.3
823190400,-5.2
823276800,-5.6
823363200,13.5
823449600,35.5
823536000,44.1
823622400,46.2
823708800,45.2
823795200,50.2
823881600,43.8
823968000,31.1
824054400,35.5
824140800,42.9
824227200,43.9
824313600,31.8
824400000,27.6
824486400,42.2
824572800,45.2
824659200,46.4
824745600,46.6
824832000,44.6
824918400,50.3
825004800,46.2
825091200,43.0
825177600,47.2
825264000,22.2
825350400,15.9
825436800,13.3
825523200,14.5
825609600,28.9
825696000,33.3
825782400,32.1
825868800,40.3
825955200,29.0
826041600,18.2
826128000,11.7
826214400,14.2
826300800,31.4
826387200,44.6
826473600,50.4
826560000,49.0
826646400,45.9
826732800,43.6
826819200,41.2
826905600,43.9
826992000,36.5
827078400,30.3
827164800,29.9
827251200,25.0
827337600,36.7
827424000,40.2
827510400,47.1
827596800,32.5
827683200,10.3
827769600,22.5
827856000,35.6
827942400,36.0
828028800,43.7
828115200,38.5
828201600,37.4
828288000,47.3
828374400,64.6
828460800,58.0
828547200,38.2
828633600,40.6
828720000,40.6
828806400,54.5
828892800,54.5
828979200,49.2
829065600,59.0
829152000,69.5
829238400,36.7
829324800,42.9
829411200,33.5
829497600,32.2
829584000,49.6
829670400,67.6
829756800,67.6
829843200,52.0
829929600,45.6
830016000,45.6
830102400,42.2
830188800,42.2
830275200,69.4
830361600,62.8
830448000,59.1
830534400,54.5
830620800,41.6
830707200,43.3
830793600,52.4
830880000,56.2
830966400,53.4
831052800,56.6
831139200,50.8
831225600,48.4
831312000,51.3
831398400,46.9
831484800,56.2
831571200,59.2
831657600,46.9
831744000,52.4
831830400,59.7
831916800,50.4
832003200,55.7
832089600,65.3
832176000,70.6
832262400,75.2
832348800,66.6
832435200,70.0
832521600,66.4
832608000,62.8
832694400,66.1
832780800,65.8
832867200,59.2
832953600,50.2
833040000,52.1
833126400,45.8
833212800,45.4
833299200,46.3
833385600,58.1
833472000,63.0
833558400,59.9
833644800,59.8
833731200,62.0
833817600,67.1
833904000,65.1
833990400,66.1
834076800,58.6
834163200,54.4
834249600,66.0
834336000,67.8
834422400,75.6
834508800,71.2
834595200,72.0
834681600,71.5
834768000,66.7
834854400,66.4
834940800,71.8
835027200,75.1
835113600,82.8
835200000,66.2
835286400,74.3
835372800,68.8
835459200,66.6
835545600,70.3
835632000,71.3
835718400,75.0
835804800,77.6
835891200,77.2
835977600,74.8
836064000,70.5
836150400,77.6
836236800,80.0
836323200,83.0
836409600,84.6
836496000,81.8
836582400,79.6
836668800,76.4
836755200,67.8
836841600,63.3
836928000,61.1
837014400,66.6
837100800,70.7
837187200,68.7
837273600,67.0
837360000,72.6
837446400,76.4
837532800,78.2
837619200,81.0
837705600,73.7
837792000,75.2
837878400,79.4
837964800,76.1
838051200,69.4
838137600,67.0
838224000,66.3
838310400,63.1
838396800,71.3
838483200,75.5
838569600,70.0
838656000,66.3
838742400,67.9
838828800,70.0
838915200,74.0
839001600,73.2
839088000,76.7
839174400,70.4
839260800,77.5
839347200,71.1
839433600,69.7
839520000,66.9
839606400,68.5
839692800,69.5
839779200,68.2
839865600,72.8
839952000,72.9
840038400,71.2
840124800,69.2
840211200,69.3
840297600,69.6
840384000,73.5
840470400,70.3
840556800,74.7
840643200,68.0
840729600,66.2
840816000,70.0
840902400,70.1
840988800,69.0
841075200,67.9
841161600,69.3
841248000,70.1
841334400,64.1
841420800,65.0
841507200,67.6
841593600,68.1
841680000,70.9
841766400,70.9
841852800,73.2
841939200,68.5
842025600,61.7
842112000,63.3
842198400,68.6
842284800,75.1
842371200,71.1
842457600,63.3
842544000,59.4
842630400,55.7
842716800,54.6
842803200,55.6
842889600,58.6
842976000,57.1
843062400,53.4
843148800,56.1
843235200,58.7
843321600,64.6
843408000,59.7
843494400,53.2
843580800,58.9
843667200,43.8
843753600,42.3
843840000,53.3
843926400,62.0
844012800,63.0
844099200,66.6
844185600,53.9
844272000,45.6
844358400,57.5
844444800,63.1
844531200,61.5
844617600,54.5
844704000,54.6
844790400,53.8
844876800,50.5
844963200,63.7
845049600,70.2
845136000,66.0
845222400,63.4
845308800,55.9
845395200,59.6
845481600,43.8
845568000,40.5
845654400,54.6
845740800,50.8
845827200,39.2
845913600,36.3
846000000,44.4
846086400,46.7
846172800,52.4
846259200,50.2
846345600,39.2
846432000,42.7
846518400,49.0
846604800,38.3
846691200,29.7
846777600,38.4
846864000,39.3
846950400,49.1
847036800,52.3
847123200,46.5
847209600,40.8
847296000,33.5
847382400,34.5
847468800,44.9
847555200,38.9
847641600,29.8
847728000,26.6
847814400,30.1
847900800,27.4
847987200,31.0
848073600,26.8
848160000,21.5
848246400,35.0
848332800,47.4
848419200,46.5
848505600,32.2
848592000,32.3
848678400,31.1
848764800,14.9
848851200,26.4
848937600,21.0
849024000,23.9
849110400,34.7
849196800,40.1
849283200,31.7
849369600,29.0
849456000,33.7
849542400,26.0
849628800,25.7
849715200,30.2
849801600,39.8
849888000,35.2
849974400,39.1
850060800,49.3
850147200,50.5
850233600,44.6
850320000,41.6
850406400,43.4
850492800,38.1
850579200,25.4
850665600,29.0
850752000,13.5
850838400,6.4
850924800,6.3
851011200,28.1
851097600,34.1
851184000,24.5
851270400,14.7
851356800,17.5
851443200,15.1
851529600,6.2
851616000,32.8
851702400,38.2
851788800,42.7
851875200,47.1
851961600,43.1
852048000,50.7
852134400,51.3
852220800,40.6
852307200,40.0
852393600,25.9
852480000,19.7
852566400,22.6
852652800,29.2
852739200,24.2
852825600,11.7
852912000,0.8
852998400,0.6
853084800,-3.5
853171200,10.0
853257600,20.0
853344000,14.0
853430400,17.4
853516800,32.8
853603200,41.2
853689600,48.5
853776000,39.9
853862400,37.8
853948800,30.7
854035200,27.8
854121600,9.9
854208000,15.3
854294400,15.6
854380800,26.9
854467200,38.2
854553600,41.8
854640000,49.4
854726400,50.2
854812800,33.7
854899200,38.7
854985600,31.5
855072000,22.0
855158400,23.2
855244800,22.1
855331200,15.9
855417600,25.3
855504000,26.1
855590400,28.7
855676800,24.6
855763200,23.8
855849600,29.6
855936000,39.3
856022400,41.3
856108800,46.5
856195200,49.4
856281600,40.3
856368000,41.5
