timestamp,value
788889600,24.1
788976000,26.2
789062400,22.3
789148800,30.4
789235200,32.3
789321600,32.0
789408000,30.1
789494400,31.2
789580800,36.0
789667200,37.2
789753600,42.5
789840000,36.5
789926400,37.6
790012800,42.4
790099200,39.9
790185600,36.0
790272000,29.2
790358400,27.5
790444800,27.4
790531200,28.6
790617600,30.8
790704000,26.8
790790400,25.4
790876800,27.5
790963200,36.1
791049600,38.1
791136000,36.0
791222400,35.5
791308800,34.5
791395200,31.3
791481600,33.7
791568000,38.7
791654400,41.5
791740800,41.8
791827200,41.1
791913600,40.7
792000000,40.7
792086400,41.7
792172800,41.9
792259200,37.9
792345600,38.1
792432000,38.9
792518400,34.7
792604800,39.7
792691200,47.2
792777600,32.2
792864000,32.8
792950400,36.9
793036800,39.5
793123200,44.4
793209600,44.9
793296000,47.6
793382400,46.4
793468800,49.0
793555200,48.7
793641600,46.3
793728000,48.4
793814400,48.2
793900800,48.5
793987200,42.4
794073600,42.5
794160000,42.8
794246400,46.4
794332800,44.0
794419200,40.1
794505600,33.9
794592000,38.0
794678400,45.5
794764800,48.9
794851200,56.6
794937600,50.7
795024000,47.2
795110400,49.2
795196800,52.9
795283200,54.7
795369600,54.8
795456000,52.7
795542400,54.3
795628800,46.1
795715200,59.5
795801600,53.7
795888000,48.2
795974400,49.1
796060800,39.7
796147200,40.8
796233600,39.2
796320000,41.3
796406400,37.5
796492800,36.2
796579200,38.7
796665600,45.9
796752000,48.1
796838400,51.7
796924800,51.3
797011200,54.9
797097600,56.8
797184000,59.4
797270400,59.9
797356800,44.8
797443200,43.2
797529600,40.8
797616000,51.2
797702400,59.8
797788800,57.9
797875200,48.3
797961600,46.5
798048000,48.1
798134400,43.6
798220800,46.5
798307200,45.1
798393600,44.2
798480000,45.5
798566400,47.4
798652800,42.2
798739200,51.4
798825600,51.1
798912000,54.5
798998400,61.1
799084800,54.9
799171200,58.7
799257600,52.0
799344000,53.9
799430400,49.2
799516800,53.3
799603200,60.6
799689600,52.8
799776000,49.5
799862400,49.8
799948800,52.3
800035200,57.0
800121600,54.5
800208000,50.7
800294400,48.8
800380800,58.9
800467200,67.5
800553600,63.3
800640000,52.9
800726400,55.9
800812800,59.6
800899200,63.7
800985600,65.4
801072000,68.0
801158400,64.3
801244800,57.9
801331200,52.9
801417600,52.7
801504000,52.2
801590400,53.7
801676800,53.2
801763200,54.8
801849600,60.7
801936000,66.1
802022400,70.1
802108800,61.4
802195200,57.8
802281600,62.8
802368000,67.9
802454400,62.4
802540800,66.3
802627200,54.3
802713600,59.6
802800000,66.5
802886400,72.4
802972800,77.5
803059200,79.1
803145600,79.8
803232000,73.5
803318400,55.4
803404800,56.4
803491200,65.5
803577600,71.6
803664000,73.6
803750400,69.1
803836800,70.3
803923200,71.3
804009600,73.1
804096000,74.4
804182400,76.6
804268800,75.3
804355200,71.1
804441600,65.3
804528000,65.9
804614400,64.8
804700800,62.9
804787200,60.1
804873600,67.6
804960000,74.1
805046400,79.1
805132800,82.1
805219200,82.9
805305600,83.7
805392000,85.3
805478400,84.2
805564800,78.4
805651200,66.1
805737600,71.8
805824000,76.5
805910400,78.7
805996800,71.3
806083200,73.7
806169600,70.7
806256000,75.5
806342400,75.0
806428800,76.7
806515200,75.3
806601600,79.2
806688000,81.0
806774400,81.3
806860800,79.5
806947200,86.0
807033600,88.0
807120000,79.8
807206400,74.9
807292800,77.7
807379200,80.7
807465600,82.7
807552000,83.2
807638400,83.5
807724800,83.9
807811200,88.6
807897600,83.5
807984000,81.6
808070400,76.4
808156800,74.4
808243200,75.1
808329600,76.2
808416000,74.7
808502400,77.9
808588800,75.9
808675200,77.8
808761600,74.6
808848000,69.8
808934400,74.5
809020800,78.4
809107200,77.5
809193600,75.2
809280000,73.0
809366400,77.5
809452800,79.0
809539200,76.3
809625600,77.4
809712000,75.6
809798400,77.9
809884800,80.7
809971200,83.2
810057600,81.7
810144000,83.7
810230400,80.5
810316800,76.6
810403200,73.3
810489600,72.8
810576000,68.8
810662400,69.4
810748800,69.5
810835200,71.8
810921600,69.5
811008000,73.3
811094400,72.6
811180800,72.3
811267200,74.1
811353600,64.9
811440000,62.1
811526400,67.2
811612800,56.7
811699200,51.9
811785600,55.4
811872000,59.9
811958400,54.1
812044800,59.7
812131200,66.5
812217600,66.5
812304000,56.9
812390400,51.5
812476800,55.4
812563200,55.1
812649600,55.5
812736000,56.1
812822400,48.0
812908800,46.6
812995200,49.9
813081600,55.1
813168000,54.9
813254400,58.2
813340800,60.1
813427200,66.9
813513600,57.3
813600000,48.7
813686400,54.5
813772800,58.6
813859200,58.5
813945600,59.8
814032000,55.4
814118400,48.5
814204800,49.9
814291200,46.0
814377600,35.9
814464000,39.7
814550400,43.5
814636800,48.2
814723200,52.4
814809600,51.5
814896000,50.6
814982400,56.2
815068800,55.9
815155200,53.1
815241600,41.3
815328000,35.3
815414400,39.1
815500800,40.2
815587200,47.9
815673600,54.9
815760000,48.2
815846400,47.1
815932800,45.4
816019200,34.7
816105600,37.7
816192000,42.4
816278400,47.6
816364800,49.1
816451200,46.8
816537600,47.1
816624000,44.8
816710400,44.2
816796800,45.5
816883200,43.4
816969600,44.5
817056000,45.6
817142400,42.6
817228800,40.1
817315200,41.5
817401600,34.4
817488000,30.4
817574400,35.4
817660800,39.0
817747200,40.7
817833600,40.9
817920000,40.5
818006400,41.7
818092800,49.6
818179200,46.9
818265600,37.6
818352000,38.6
818438400,36.9
818524800,37.8
818611200,37.1
818697600,44.6
818784000,51.2
818870400,40.6
818956800,35.2
819043200,35.5
819129600,36.6
819216000,32.3
819302400,28.1
819388800,29.7
819475200,26.7
819561600,26.5
819648000,23.2
819734400,22.1
819820800,23.6
819907200,24.5
819993600,24.3
820080000,23.9
820166400,27.9
820252800,29.1
820339200,31.4
820425600,30.4
820512000,24.9
820598400,24.6
820684800,26.7
820771200,30.1
820857600,26.8
820944000,27.3
821030400,28.9
821116800,30.8
821203200,35.2
821289600,33.2
821376000,33.3
821462400,34.7
821548800,34.1
821635200,32.9
821721600,36.0
821808000,37.8
821894400,22.9
821980800,27.7
822067200,26.9
822153600,31.3
822240000,35.5
822326400,23.7
822412800,23.1
822499200,29.9
822585600,21.1
822672000,22.1
822758400,24.5
822844800,28.5
822931200,35.9
823017600,37.0
823104000,35.8
823190400,29.6
823276800,23.6
823363200,24.2
823449600,36.1
823536000,41.7
823622400,39.6
823708800,40.9
823795200,42.1
823881600,43.1
823968000,42.8
824054400,40.0
824140800,39.2
824227200,41.0
824313600,44.1
824400000,45.5
824486400,43.4
824572800,47.6
824659200,45.7
824745600,49.8
824832000,42.2
824918400,45.7
825004800,34.3
825091200,34.8
825177600,46.6
825264000,40.1
825350400,29.1
825436800,28.6
825523200,30.3
825609600,30.7
825696000,33.4
825782400,38.6
825868800,45.5
825955200,47.3
826041600,38.4
826128000,34.9
826214400,39.6
826300800,43.2
826387200,46.7
826473600,48.0
826560000,53.5
826646400,51.0
826732800,44.5
826819200,44.0
826905600,46.5
826992000,46.8
827078400,38.6
827164800,39.8
827251200,43.3
827337600,49.8
827424000,55.0
827510400,57.5
827596800,34.2
827683200,35.4
827769600,37.5
827856000,42.1
827942400,50.3
828028800,54.3
828115200,45.9
828201600,51.4
828288000,55.5
828374400,59.1
828460800,51.9
828547200,48.8
828633600,46.1
828720000,52.3
828806400,53.8
828892800,58.4
828979200,62.2
829065600,61.6
829152000,48.7
829238400,46.9
829324800,41.1
829411200,41.2
829497600,43.5
829584000,51.9
829670400,57.3
829756800,48.0
829843200,41.3
829929600,42.7
830016000,43.1
830102400,44.5
830188800,56.2
830275200,63.4
830361600,63.7
830448000,56.3
830534400,64.0
830620800,46.1
830707200,41.8
830793600,54.8
830880000,60.6
830966400,61.1
831052800,63.6
831139200,62.4
831225600,61.9
831312000,67.1
831398400,68.2
831484800,66.9
831571200,65.3
