timestamp,value
788889600,31.1
788976000,18.9
789062400,20.5
789148800,8.1
789235200,6.3
789321600,18.3
789408000,23.6
789494400,21.8
789580800,18.7
789667200,19.0
789753600,27.4
789840000,39.4
789926400,39.2
790012800,42.3
790099200,34.1
790185600,29.2
790272000,31.4
790358400,39.4
790444800,35.6
790531200,35.5
790617600,31.0
790704000,28.2
790790400,29.8
790876800,28.9
790963200,25.9
791049600,25.9
791136000,22.1
791222400,23.6
791308800,21.2
791395200,18.7
791481600,28.7
791568000,34.5
791654400,28.9
791740800,22.0
791827200,25.2
791913600,8.7
792000000,12.6
792086400,16.7
792172800,14.7
792259200,19.8
792345600,29.7
792432000,9.8
792518400,5.7
792604800,17.3
792691200,16.9
792777600,26.5
792864000,29.5
792950400,25.3
793036800,34.6
793123200,39.2
793209600,32.8
793296000,28.1
793382400,29.8
793468800,34.6
793555200,26.8
793641600,27.9
793728000,18.6
793814400,24.9
793900800,29.3
793987200,19.9
794073600,12.1
794160000,18.1
794246400,23.0
794332800,30.1
794419200,32.1
794505600,29.9
794592000,24.3
794678400,19.1
794764800,26.7
794851200,47.5
794937600,54.2
795024000,59.6
795110400,60.4
795196800,55.1
795283200,49.0
795369600,40.8
795456000,40.9
795542400,46.7
795628800,47.2
795715200,39.3
795801600,41.5
795888000,38.3
795974400,38.9
796060800,40.1
796147200,43.1
796233600,38.2
796320000,34.5
796406400,36.7
796492800,35.7
796579200,33.3
796665600,32.9
796752000,35.8
796838400,46.8
796924800,31.3
797011200,23.4
797097600,42.4
797184000,37.4
797270400,38.7
797356800,37.0
797443200,36.2
797529600,45.4
797616000,46.0
797702400,40.0
797788800,41.0
797875200,40.4
797961600,47.9
798048000,50.2
798134400,48.2
798220800,47.7
798307200,37.4
798393600,44.0
798480000,45.1
798566400,43.5
798652800,45.6
798739200,45.8
798825600,44.8
798912000,46.9
798998400,43.7
799084800,49.7
799171200,49.2
799257600,45.2
799344000,51.5
799430400,52.8
799516800,51.7
799603200,51.9
799689600,51.1
799776000,54.9
799862400,53.5
799948800,52.8
800035200,56.6
800121600,53.8
800208000,54.9
800294400,60.9
800380800,62.8
800467200,59.0
800553600,63.9
800640000,63.7
800726400,54.3
800812800,59.3
800899200,60.0
800985600,56.0
801072000,57.6
801158400,61.2
801244800,54.3
801331200,55.3
801417600,55.6
801504000,57.9
801590400,65.1
801676800,56.7
801763200,60.8
801849600,65.6
801936000,68.6
802022400,68.1
802108800,63.9
802195200,64.7
802281600,67.6
802368000,72.2
802454400,73.5
802540800,57.4
802627200,55.5
802713600,65.5
802800000,62.1
802886400,60.2
802972800,61.3
803059200,67.1
803145600,67.6
803232000,73.2
803318400,76.0
803404800,77.1
803491200,80.0
803577600,84.1
803664000,75.9
803750400,76.3
803836800,74.1
803923200,74.9
804009600,75.3
804096000,71.2
804182400,69.8
804268800,70.7
804355200,70.5
804441600,69.6
804528000,65.0
804614400,60.5
804700800,64.1
804787200,69.0
804873600,73.8
804960000,73.7
805046400,62.8
805132800,62.4
805219200,67.5
805305600,67.2
805392000,71.8
805478400,74.0
805564800,85.5
805651200,88.9
805737600,85.8
805824000,76.5
805910400,74.0
805996800,71.8
806083200,71.7
806169600,71.6
806256000,68.4
806342400,72.8
806428800,73.5
806515200,74.8
806601600,76.2
806688000,73.7
806774400,72.6
806860800,75.0
806947200,77.4
807033600,72.2
807120000,80.1
807206400,77.8
807292800,72.1
807379200,72.2
807465600,75.2
807552000,74.8
807638400,71.9
807724800,73.6
807811200,73.2
807897600,72.6
807984000,74.8
808070400,78.0
808156800,80.2
808243200,82.3
808329600,84.0
808416000,77.9
808502400,75.2
808588800,74.1
808675200,75.5
808761600,72.9
808848000,77.5
808934400,72.1
809020800,71.6
809107200,70.2
809193600,71.8
809280000,65.6
809366400,70.8
809452800,70.5
809539200,68.4
809625600,72.1
809712000,69.2
809798400,77.8
809884800,65.3
809971200,64.9
810057600,69.3
810144000,69.3
810230400,69.9
810316800,71.7
810403200,67.4
810489600,54.5
810576000,56.2
810662400,54.1
810748800,53.9
810835200,60.4
810921600,69.2
811008000,64.4
811094400,55.2
811180800,65.1
811267200,60.9
811353600,50.9
811440000,53.7
811526400,55.3
811612800,48.5
811699200,44.6
811785600,43.2
811872000,46.9
811958400,51.4
812044800,53.9
812131200,59.1
812217600,58.6
812304000,63.7
812390400,69.1
812476800,65.7
812563200,57.7
812649600,50.7
812736000,52.2
812822400,51.7
812908800,54.7
812995200,51.4
813081600,51.2
813168000,51.6
813254400,56.2
813340800,56.7
813427200,64.9
813513600,66.3
813600000,54.5
813686400,44.1
813772800,44.8
813859200,48.1
813945600,60.8
814032000,60.2
814118400,53.0
814204800,42.0
814291200,42.8
814377600,50.8
814464000,50.5
814550400,45.7
814636800,48.5
814723200,51.9
814809600,47.3
814896000,41.8
814982400,42.0
815068800,38.5
815155200,45.5
815241600,54.1
815328000,33.8
815414400,28.6
815500800,27.4
815587200,35.1
815673600,40.8
815760000,30.4
815846400,27.2
815932800,43.3
816019200,38.1
816105600,24.8
816192000,27.1
816278400,26.4
816364800,27.5
816451200,31.4
816537600,26.7
816624000,32.4
816710400,31.3
816796800,39.9
816883200,31.2
816969600,28.0
817056000,30.7
817142400,23.4
817228800,33.6
817315200,32.0
817401600,33.9
817488000,25.9
817574400,25.8
817660800,26.6
817747200,40.6
817833600,32.0
817920000,41.5
818006400,35.4
818092800,35.7
818179200,27.0
818265600,22.7
818352000,14.4
818438400,12.4
818524800,10.4
818611200,9.0
