timestamp,value
788889600,16.7
788976000,13.7
789062400,-0.4
789148800,4.5
789235200,13.4
789321600,7.4
789408000,19.7
789494400,24.4
789580800,40.4
789667200,48.1
789753600,40.7
789840000,37.4
789926400,36.6
790012800,39.0
790099200,34.5
790185600,21.8
790272000,23.9
790358400,29.9
790444800,40.2
790531200,25.9
790617600,24.4
790704000,23.0
790790400,28.4
790876800,23.6
790963200,32.8
791049600,37.1
791136000,35.5
791222400,33.7
791308800,33.0
791395200,43.4
791481600,46.5
791568000,48.6
791654400,43.2
791740800,33.6
791827200,39.2
791913600,31.1
792000000,30.5
792086400,28.7
792172800,27.4
792259200,31.5
792345600,16.8
792432000,-2.5
792518400,-4.5
792604800,-9.5
792691200,-4.0
792777600,16.3
792864000,30.5
792950400,33.3
793036800,40.9
793123200,52.1
793209600,51.7
793296000,55.1
793382400,46.3
793468800,37.3
793555200,53.5
793641600,53.1
793728000,25.4
793814400,11.1
793900800,4.8
793987200,3.1
794073600,9.0
794160000,16.7
794246400,12.6
794332800,0.2
794419200,-0.7
794505600,-1.1
794592000,7.7
794678400,46.9
794764800,54.6
794851200,53.9
794937600,47.7
795024000,39.4
795110400,49.1
795196800,51.6
795283200,40.2
795369600,37.0
795456000,46.6
795542400,46.6
795628800,38.9
795715200,48.5
795801600,35.6
795888000,43.6
795974400,38.6
796060800,29.2
796147200,24.6
796233600,23.4
796320000,23.6
796406400,19.5
796492800,32.4
796579200,43.8
796665600,48.6
796752000,43.7
796838400,38.3
796924800,33.4
797011200,45.4
797097600,45.6
797184000,46.2
797270400,42.3
797356800,26.8
797443200,22.1
797529600,36.2
797616000,41.6
797702400,48.2
797788800,43.3
797875200,34.7
797961600,34.8
798048000,38.1
798134400,40.7
798220800,41.8
798307200,44.4
798393600,42.6
798480000,41.3
798566400,38.6
798652800,43.7
798739200,39.7
798825600,35.3
798912000,38.8
798998400,39.1
799084800,34.1
799171200,39.5
799257600,41.4
799344000,46.0
799430400,45.5
799516800,46.6
799603200,48.0
799689600,49.6
799776000,43.6
799862400,46.2
799948800,49.0
800035200,53.7
800121600,54.5
800208000,46.2
800294400,37.5
800380800,46.0
800467200,56.5
800553600,52.3
800640000,57.4
800726400,53.4
800812800,46.8
800899200,50.6
800985600,48.1
801072000,45.2
801158400,47.7
801244800,47.1
801331200,46.0
801417600,34.2
801504000,42.5
801590400,54.2
801676800,58.0
801763200,63.8
801849600,66.1
801936000,64.6
802022400,63.9
802108800,63.2
802195200,58.5
802281600,60.5
802368000,49.5
802454400,42.6
802540800,42.8
802627200,44.5
802713600,48.3
802800000,60.9
802886400,62.4
802972800,65.6
803059200,62.7
803145600,62.8
803232000,60.8
803318400,62.5
803404800,61.0
803491200,57.5
803577600,53.0
803664000,53.1
803750400,54.3
803836800,55.5
803923200,61.0
804009600,66.6
804096000,63.6
804182400,50.5
804268800,48.8
804355200,54.8
804441600,55.3
804528000,62.3
804614400,64.0
804700800,56.9
804787200,55.6
804873600,58.5
804960000,64.1
805046400,67.0
805132800,71.0
805219200,72.1
805305600,72.6
805392000,62.0
805478400,59.9
805564800,57.9
805651200,58.9
805737600,62.2
805824000,58.4
805910400,62.9
805996800,65.4
806083200,65.3
806169600,68.0
806256000,60.3
806342400,60.4
806428800,65.1
806515200,65.4
806601600,66.4
806688000,67.8
806774400,67.8
806860800,63.7
806947200,69.7
807033600,56.0
807120000,58.6
807206400,66.3
807292800,60.9
807379200,62.9
807465600,68.3
807552000,73.5
807638400,77.0
807724800,70.3
807811200,57.2
807897600,59.1
807984000,60.0
808070400,62.4
808156800,63.8
808243200,55.9
808329600,56.4
808416000,63.3
808502400,64.1
808588800,58.7
808675200,56.5
808761600,48.7
808848000,60.2
808934400,66.2
809020800,80.7
809107200,76.0
809193600,71.6
809280000,63.4
809366400,67.9
809452800,61.4
809539200,65.3
809625600,67.4
809712000,50.9
809798400,56.2
809884800,64.5
809971200,74.2
810057600,71.1
810144000,74.0
810230400,61.9
810316800,59.6
810403200,60.1
810489600,53.1
810576000,53.2
810662400,57.1
810748800,63.3
810835200,67.4
810921600,60.9
811008000,60.5
811094400,63.3
811180800,53.9
811267200,54.0
811353600,49.2
811440000,37.1
811526400,39.8
811612800,34.0
811699200,50.5
811785600,48.3
811872000,48.1
811958400,54.0
812044800,54.8
812131200,57.7
812217600,56.8
812304000,51.7
812390400,49.9
812476800,46.8
812563200,42.0
812649600,48.9
812736000,40.8
812822400,39.1
812908800,46.5
812995200,47.5
813081600,44.9
813168000,49.1
813254400,55.2
813340800,60.8
813427200,48.6
813513600,42.9
813600000,51.5
813686400,61.8
813772800,57.4
813859200,48.2
813945600,49.2
814032000,39.2
814118400,48.9
814204800,45.0
814291200,36.6
814377600,36.5
814464000,46.7
814550400,43.1
814636800,48.4
814723200,42.1
814809600,33.5
814896000,28.9
814982400,21.1
815068800,14.4
815155200,17.2
815241600,11.5
815328000,19.6
815414400,28.9
815500800,40.8
815587200,32.4
815673600,20.4
815760000,32.7
815846400,31.6
815932800,7.0
816019200,29.8
816105600,42.0
816192000,41.1
816278400,53.0
816364800,48.5
816451200,51.2
816537600,49.2
816624000,55.0
