timestamp,value
788889600,20.6
788976000,12.9
789062400,13.5
789148800,-0.1
789235200,6.1
789321600,21.1
789408000,14.1
789494400,9.7
789580800,4.9
789667200,18.9
789753600,29.7
789840000,35.4
789926400,35.6
790012800,34.3
790099200,30.9
790185600,27.0
790272000,32.5
790358400,30.2
790444800,26.8
790531200,28.1
790617600,27.4
790704000,24.1
790790400,23.1
790876800,21.8
790963200,14.8
791049600,15.7
791136000,16.4
791222400,24.1
791308800,18.8
791395200,26.9
791481600,28.1
791568000,35.1
791654400,25.7
791740800,26.6
791827200,21.0
791913600,5.9
792000000,8.1
792086400,13.2
792172800,10.8
792259200,23.9
792345600,26.9
792432000,-0.4
792518400,0.8
792604800,6.3
792691200,6.1
792777600,27.3
792864000,18.2
792950400,23.5
793036800,35.7
793123200,36.2
793209600,34.3
793296000,24.3
793382400,29.8
793468800,30.8
793555200,27.7
793641600,25.3
793728000,20.1
793814400,26.6
793900800,25.8
793987200,10.8
794073600,9.2
794160000,18.3
794246400,26.0
794332800,30.3
794419200,20.1
794505600,23.2
794592000,19.8
794678400,16.1
794764800,30.6
794851200,44.2
794937600,52.8
795024000,58.2
795110400,59.2
795196800,54.3
795283200,45.5
795369600,33.4
795456000,37.5
795542400,36.0
795628800,36.0
795715200,39.5
795801600,40.0
795888000,35.0
795974400,35.9
796060800,35.6
796147200,40.3
796233600,37.8
796320000,36.2
796406400,36.6
796492800,33.1
796579200,32.5
796665600,33.9
796752000,37.2
796838400,47.7
796924800,22.9
797011200,21.0
797097600,35.1
797184000,34.4
797270400,36.7
797356800,33.6
797443200,35.0
797529600,42.1
797616000,43.7
797702400,43.2
797788800,40.6
797875200,39.0
797961600,43.5
798048000,45.2
798134400,42.4
798220800,42.6
798307200,38.4
798393600,38.7
798480000,46.2
798566400,44.9
798652800,45.8
798739200,43.8
798825600,44.5
798912000,43.6
798998400,46.5
799084800,48.1
799171200,46.0
799257600,45.2
799344000,50.3
799430400,51.9
799516800,50.8
799603200,51.3
799689600,56.1
799776000,57.2
799862400,51.0
799948800,46.5
800035200,47.7
800121600,56.6
800208000,59.1
800294400,58.0
800380800,59.4
800467200,61.0
800553600,62.8
800640000,58.7
800726400,56.5
800812800,62.6
800899200,61.8
800985600,57.4
801072000,59.0
801158400,60.4
801244800,53.3
801331200,52.9
801417600,56.6
801504000,58.2
801590400,53.3
801676800,54.9
801763200,62.6
801849600,68.9
801936000,70.7
802022400,68.3
802108800,67.9
802195200,69.5
802281600,71.3
802368000,71.4
802454400,67.0
802540800,48.7
802627200,56.5
802713600,54.8
802800000,58.6
802886400,60.1
802972800,66.1
803059200,68.4
803145600,69.9
803232000,74.1
803318400,77.7
803404800,82.7
803491200,84.6
803577600,83.6
803664000,79.2
803750400,77.7
803836800,78.6
803923200,77.8
804009600,75.7
804096000,74.7
804182400,73.9
804268800,73.8
804355200,72.3
804441600,70.8
804528000,61.0
804614400,62.3
804700800,67.9
804787200,71.3
804873600,73.0
804960000,67.0
805046400,63.8
805132800,64.0
805219200,69.4
805305600,71.5
805392000,75.0
805478400,76.2
805564800,85.7
805651200,91.3
805737600,79.2
805824000,71.7
805910400,70.9
805996800,69.9
806083200,67.3
806169600,70.5
806256000,72.2
806342400,75.4
806428800,72.5
806515200,74.4
806601600,77.4
806688000,73.5
806774400,72.0
806860800,74.4
806947200,76.7
807033600,77.8
807120000,83.9
807206400,66.9
807292800,68.3
807379200,74.7
807465600,76.0
807552000,74.1
807638400,73.6
807724800,74.2
807811200,77.4
807897600,75.1
807984000,78.2
808070400,76.4
808156800,73.2
808243200,75.3
808329600,75.9
808416000,70.2
808502400,71.7
808588800,74.8
808675200,74.8
808761600,74.9
808848000,69.6
808934400,72.7
809020800,74.7
809107200,74.4
809193600,69.0
809280000,68.3
809366400,72.6
809452800,68.6
809539200,72.2
809625600,74.8
809712000,71.7
809798400,75.2
809884800,65.3
809971200,66.5
810057600,68.4
810144000,68.1
810230400,71.1
810316800,71.0
810403200,61.7
810489600,52.0
810576000,54.2
810662400,52.3
810748800,55.2
810835200,62.7
810921600,68.8
811008000,58.7
811094400,53.7
811180800,64.8
811267200,56.8
811353600,53.7
811440000,54.5
811526400,50.6
811612800,47.0
811699200,43.0
811785600,41.8
811872000,45.3
811958400,51.3
812044800,53.1
812131200,57.4
812217600,61.4
812304000,62.5
812390400,69.0
812476800,62.0
812563200,53.0
812649600,51.7
812736000,53.3
812822400,53.6
812908800,51.5
812995200,48.4
813081600,49.8
813168000,53.9
813254400,54.9
813340800,57.5
813427200,63.8
813513600,67.2
813600000,51.7
813686400,44.0
813772800,44.1
813859200,53.1
813945600,54.1
814032000,55.1
814118400,47.5
814204800,37.4
814291200,39.3
814377600,44.9
814464000,47.1
814550400,41.8
814636800,45.1
814723200,48.0
814809600,43.9
814896000,39.7
814982400,35.6
815068800,36.8
815155200,41.2
815241600,43.7
815328000,30.0
815414400,26.3
815500800,30.4
815587200,37.4
815673600,34.8
815760000,27.0
815846400,22.1
815932800,40.3
816019200,28.6
816105600,20.5
816192000,24.9
816278400,23.8
816364800,26.4
816451200,30.8
816537600,25.7
816624000,31.5
816710400,29.0
816796800,34.5
816883200,28.2
816969600,22.2
817056000,23.2
817142400,16.8
817228800,31.9
817315200,30.5
817401600,28.9
817488000,19.1
817574400,12.6
817660800,23.1
817747200,35.3
817833600,28.4
817920000,33.8
818006400,29.4
818092800,33.0
818179200,18.6
818265600,11.4
818352000,11.3
818438400,1.3
818524800,-2.1
818611200,-3.9
818697600,3.3
818784000,15.9
818870400,31.6
818956800,26.2
819043200,13.9
819129600,17.2
819216000,28.0
819302400,25.6
819388800,19.3
819475200,22.8
819561600,24.2
819648000,26.4
819734400,21.6
819820800,22.8
819907200,12.8
819993600,13.7
820080000,12.7
820166400,14.7
820252800,28.3
820339200,29.4
820425600,29.4
820512000,16.1
820598400,10.5
820684800,11.8
820771200,3.8
820857600,3.7
820944000,3.8
821030400,9.2
821116800,22.9
821203200,12.3
821289600,22.6
821376000,27.8
821462400,29.2
821548800,25.8
821635200,9.4
821721600,23.4
821808000,34.4
821894400,41.6
821980800,8.7
822067200,-1.1
822153600,14.7
822240000,29.3
822326400,15.7
822412800,14.6
822499200,1.1
822585600,12.4
822672000,22.4
822758400,6.0
822844800,19.6
822931200,-4.2
823017600,-12.4
823104000,-8.5
823190400,-19.0
823276800,-21.2
823363200,-14.1
823449600,-1.6
823536000,6.4
823622400,31.8
823708800,38.3
823795200,34.2
823881600,36.9
823968000,30.7
824054400,17.0
824140800,20.4
824227200,23.7
824313600,17.4
824400000,13.4
824486400,20.0
824572800,7.8
824659200,25.3
824745600,36.9
824832000,21.7
824918400,25.3
825004800,33.3
825091200,40.0
825177600,34.2
825264000,25.4
825350400,29.9
825436800,18.6
825523200,10.1
825609600,17.8
825696000,17.1
825782400,5.2
825868800,16.0
825955200,19.8
826041600,12.4
826128000,6.4
826214400,4.5
826300800,14.8
