timestamp,value
788889600,41.3
788976000,42.2
789062400,30.3
789148800,32.1
789235200,24.8
789321600,23.2
789408000,38.8
789494400,36.0
789580800,38.3
789667200,37.8
789753600,45.4
789840000,51.8
789926400,55.1
790012800,62.5
790099200,62.1
790185600,51.2
790272000,45.2
790358400,45.1
790444800,46.4
790531200,43.2
790617600,40.3
790704000,33.9
790790400,33.9
790876800,30.3
790963200,32.4
791049600,38.0
791136000,34.7
791222400,40.5
791308800,29.3
791395200,29.9
791481600,34.4
791568000,37.9
791654400,45.4
791740800,43.0
791827200,40.4
791913600,28.6
792000000,21.9
792086400,26.0
792172800,27.6
792259200,22.1
792345600,33.4
792432000,41.7
792518400,35.9
792604800,28.0
792691200,35.8
792777600,35.7
792864000,42.2
792950400,42.7
793036800,40.2
793123200,45.3
793209600,52.4
793296000,47.3
793382400,37.1
793468800,51.7
793555200,52.0
793641600,38.0
793728000,49.3
793814400,50.2
793900800,55.1
793987200,51.7
794073600,44.4
794160000,37.8
794246400,34.2
794332800,41.8
794419200,48.3
794505600,60.3
794592000,59.6
794678400,35.4
794764800,34.3
794851200,45.9
794937600,56.8
795024000,59.5
795110400,62.9
795196800,58.9
795283200,59.8
795369600,63.4
795456000,56.8
795542400,49.2
795628800,53.3
795715200,60.0
795801600,62.6
795888000,60.5
795974400,54.4
796060800,51.8
796147200,56.1
796233600,57.2
796320000,57.8
796406400,52.2
796492800,54.3
796579200,52.1
796665600,49.5
796752000,49.9
796838400,50.7
796924800,58.8
797011200,53.9
797097600,51.7
797184000,60.4
797270400,66.4
797356800,69.1
797443200,64.4
797529600,50.8
797616000,60.7
797702400,63.1
797788800,56.4
797875200,56.3
797961600,62.8
798048000,67.2
798134400,65.5
798220800,73.9
798307200,75.0
798393600,71.0
798480000,69.5
798566400,55.6
798652800,45.4
798739200,51.6
798825600,55.7
798912000,60.2
798998400,63.3
799084800,60.3
799171200,65.6
799257600,59.6
799344000,53.1
799430400,52.2
799516800,56.4
799603200,60.6
799689600,60.5
799776000,61.6
799862400,64.2
799948800,65.1
800035200,69.9
800121600,71.3
800208000,68.5
800294400,66.6
800380800,68.3
800467200,73.3
800553600,70.0
800640000,72.9
800726400,77.7
800812800,73.3
800899200,63.8
800985600,66.8
801072000,69.9
801158400,69.8
801244800,71.4
801331200,74.9
801417600,75.4
801504000,67.7
801590400,59.7
801676800,69.6
801763200,73.8
801849600,67.4
801936000,70.9
802022400,71.8
802108800,71.4
802195200,76.1
802281600,72.5
802368000,66.9
802454400,72.1
802540800,78.8
802627200,78.0
802713600,77.4
802800000,75.7
802886400,71.7
802972800,64.4
803059200,66.6
803145600,70.4
803232000,70.1
803318400,68.6
803404800,69.2
803491200,65.9
803577600,70.6
803664000,72.3
803750400,71.0
803836800,71.5
803923200,72.7
804009600,73.5
804096000,74.7
804182400,74.9
804268800,74.6
804355200,70.4
804441600,72.9
804528000,75.4
804614400,73.5
804700800,73.9
804787200,75.5
804873600,77.5
804960000,78.0
805046400,73.0
805132800,75.0
805219200,72.4
805305600,75.2
805392000,79.8
805478400,78.9
805564800,79.3
805651200,78.8
805737600,81.1
805824000,80.2
805910400,78.3
805996800,81.4
806083200,81.0
806169600,79.0
806256000,80.4
806342400,81.8
806428800,82.3
806515200,81.4
806601600,79.2
806688000,79.2
806774400,79.7
806860800,78.5
806947200,80.2
807033600,80.3
807120000,81.0
807206400,79.5
807292800,80.7
807379200,80.4
807465600,79.7
807552000,80.3
807638400,80.9
807724800,74.9
807811200,70.1
807897600,70.9
807984000,74.1
808070400,76.2
808156800,81.4
808243200,85.3
808329600,86.3
808416000,84.4
808502400,82.7
808588800,84.4
808675200,83.4
808761600,74.7
808848000,75.8
808934400,76.0
809020800,82.8
809107200,78.8
809193600,77.1
809280000,78.4
809366400,71.4
809452800,72.0
809539200,73.4
809625600,74.9
809712000,75.6
809798400,76.5
809884800,75.7
809971200,70.7
810057600,67.7
810144000,69.5
810230400,70.9
810316800,71.7
810403200,71.2
810489600,75.5
810576000,73.7
810662400,74.1
810748800,68.7
810835200,70.2
810921600,71.9
811008000,75.3
811094400,72.5
811180800,66.5
811267200,70.0
811353600,68.5
811440000,67.0
811526400,67.2
811612800,71.4
811699200,72.6
811785600,53.8
811872000,51.6
811958400,56.7
812044800,63.4
812131200,65.1
812217600,64.3
812304000,62.0
812390400,62.0
812476800,63.8
812563200,68.0
812649600,69.3
812736000,66.0
812822400,71.8
812908800,71.3
812995200,72.3
813081600,62.2
813168000,59.0
813254400,59.2
813340800,63.6
813427200,64.3
813513600,64.9
813600000,69.6
813686400,57.7
813772800,53.4
813859200,52.4
813945600,52.3
814032000,58.8
814118400,57.9
814204800,52.3
814291200,49.9
814377600,53.2
814464000,61.9
814550400,59.4
814636800,52.2
814723200,59.7
814809600,60.0
814896000,51.1
814982400,48.4
815068800,50.9
815155200,55.0
815241600,62.6
815328000,64.6
815414400,44.5
815500800,35.3
815587200,40.1
815673600,49.7
815760000,46.1
815846400,34.5
815932800,40.6
816019200,54.2
816105600,38.3
816192000,38.8
816278400,40.5
816364800,37.1
816451200,34.5
816537600,38.0
816624000,42.4
816710400,47.4
816796800,44.1
816883200,47.9
816969600,38.9
817056000,40.5
817142400,44.5
817228800,38.2
817315200,45.6
817401600,52.4
817488000,60.6
817574400,49.3
817660800,38.1
817747200,44.9
817833600,53.6
817920000,50.2
818006400,54.6
818092800,39.5
818179200,44.1
818265600,38.1
818352000,32.5
818438400,36.4
818524800,27.9
818611200,26.1
818697600,30.6
818784000,39.7
818870400,41.7
818956800,52.2
819043200,54.5
819129600,40.4
819216000,36.1
819302400,35.8
819388800,34.6
819475200,28.4
819561600,29.3
819648000,26.8
819734400,27.3
819820800,27.5
819907200,29.0
819993600,32.0
820080000,28.3
820166400,30.7
820252800,35.5
820339200,42.3
820425600,44.9
820512000,40.1
820598400,42.9
820684800,31.6
820771200,36.5
820857600,32.9
820944000,20.9
821030400,23.5
821116800,26.8
821203200,34.4
821289600,25.5
821376000,26.1
821462400,34.3
821548800,37.2
821635200,44.6
821721600,37.3
821808000,35.5
821894400,46.1
821980800,54.4
822067200,24.3
822153600,27.4
822240000,31.7
822326400,37.6
822412800,51.4
822499200,34.2
822585600,33.9
822672000,48.7
822758400,32.9
822844800,32.2
822931200,37.7
823017600,39.8
823104000,30.0
823190400,29.5
823276800,22.5
823363200,15.3
823449600,10.8
823536000,21.8
823622400,29.6
823708800,41.7
823795200,50.7
823881600,44.8
823968000,53.2
824054400,36.2
824140800,30.7
824227200,43.8
824313600,46.1
824400000,33.4
824486400,25.5
824572800,33.4
824659200,36.6
824745600,49.2
824832000,49.3
824918400,51.5
825004800,55.1
825091200,58.4
825177600,55.0
825264000,60.7
825350400,61.1
825436800,64.4
825523200,42.1
825609600,34.4
825696000,40.2
825782400,43.8
825868800,37.7
825955200,50.2
826041600,59.3
826128000,56.6
826214400,29.3
826300800,20.9
826387200,25.8
826473600,29.3
826560000,38.9
826646400,43.7
826732800,54.5
826819200,58.0
826905600,57.2
826992000,47.4
827078400,45.4
827164800,46.7
827251200,37.9
827337600,37.2
827424000,36.1
827510400,41.6
827596800,43.8
827683200,56.2
827769600,57.3
827856000,52.6
827942400,37.8
828028800,35.6
828115200,47.2
828201600,51.5
828288000,51.3
828374400,46.4
828460800,55.6
828547200,55.6
828633600,59.4
828720000,38.8
828806400,36.8
828892800,36.8
828979200,41.1
829065600,40.6
829152000,47.0
829238400,53.0
829324800,53.0
829411200,62.4
829497600,58.3
829584000,57.9
829670400,53.4
829756800,53.4
829843200,66.6
829929600,65.6
830016000,59.8
830102400,68.0
830188800,69.9
830275200,55.7
830361600,63.3
830448000,58.7
830534400,55.8
830620800,64.1
830707200,69.4
830793600,61.6
830880000,54.0
830966400,59.3
831052800,67.7
831139200,72.2
831225600,72.5
831312000,72.1
831398400,59.8
831484800,57.9
831571200,70.2
831657600,70.2
831744000,72.6
831830400,63.3
831916800,51.8
832003200,49.1
832089600,50.7
832176000,56.2
832262400,69.8
832348800,74.6
832435200,77.7
832521600,82.0
832608000,82.0
832694400,73.8
832780800,67.6
832867200,71.5
832953600,70.5
833040000,60.4
833126400,64.8
833212800,59.2
833299200,62.5
833385600,61.5
833472000,62.4
833558400,60.0
833644800,66.2
833731200,66.0
833817600,69.1
833904000,67.8
833990400,66.7
834076800,73.0
834163200,72.3
834249600,69.8
834336000,72.5
