timestamp,value
788889600,56.8
788976000,57.6
789062400,48.2
789148800,50.2
789235200,51.5
789321600,51.9
789408000,55.1
789494400,60.9
789580800,64.4
789667200,63.3
789753600,58.2
789840000,51.2
789926400,52.5
790012800,53.1
790099200,53.4
790185600,55.6
790272000,57.8
790358400,61.8
790444800,67.7
790531200,66.1
790617600,68.8
790704000,70.5
790790400,53.5
790876800,49.1
790963200,52.7
791049600,50.5
791136000,48.1
791222400,50.4
791308800,50.8
791395200,48.4
791481600,53.1
791568000,53.5
791654400,54.8
791740800,52.1
791827200,52.8
791913600,52.6
792000000,53.8
792086400,57.4
792172800,57.3
792259200,62.5
792345600,63.7
792432000,64.4
792518400,67.3
792604800,63.6
792691200,56.1
792777600,58.2
792864000,55.9
792950400,59.7
793036800,61.4
793123200,57.8
793209600,55.5
793296000,52.5
793382400,50.9
793468800,50.2
793555200,50.8
793641600,51.4
793728000,53.6
793814400,56.5
793900800,61.8
793987200,55.9
794073600,59.5
794160000,61.3
794246400,60.1
794332800,61.1
794419200,61.0
794505600,63.2
794592000,68.8
794678400,65.0
794764800,68.0
794851200,61.3
794937600,56.5
795024000,56.2
795110400,60.2
795196800,67.0
795283200,71.9
795369600,56.2
795456000,54.6
795542400,55.9
795628800,61.1
795715200,67.0
795801600,71.5
795888000,71.3
795974400,72.9
796060800,57.9
796147200,61.4
796233600,61.8
796320000,64.2
796406400,67.9
796492800,69.9
796579200,62.3
796665600,61.7
796752000,60.9
796838400,61.3
796924800,60.8
797011200,63.9
797097600,65.2
797184000,65.0
797270400,70.4
797356800,74.2
797443200,73.5
797529600,73.4
797616000,71.1
797702400,74.0
797788800,77.6
797875200,78.5
797961600,80.5
798048000,79.1
798134400,78.8
798220800,72.8
798307200,72.7
798393600,76.3
798480000,80.5
798566400,80.7
798652800,79.7
798739200,75.7
798825600,76.8
798912000,79.1
798998400,79.3
799084800,80.4
799171200,78.9
799257600,81.6
799344000,82.5
799430400,77.2
799516800,71.2
799603200,71.1
799689600,76.8
799776000,75.6
799862400,76.8
799948800,77.2
800035200,79.6
800121600,77.3
800208000,78.0
800294400,80.3
800380800,82.1
800467200,70.5
800553600,66.0
800640000,74.0
800726400,80.0
800812800,85.8
800899200,85.6
800985600,78.5
801072000,71.0
801158400,75.2
801244800,80.2
801331200,83.3
801417600,82.8
801504000,82.5
801590400,84.1
801676800,86.4
801763200,86.5
801849600,85.5
801936000,84.9
802022400,84.6
802108800,85.0
802195200,84.7
802281600,82.9
802368000,81.2
802454400,82.0
802540800,80.0
802627200,81.9
802713600,83.1
802800000,79.6
802886400,84.4
802972800,84.5
803059200,80.1
803145600,84.6
803232000,82.8
803318400,80.8
803404800,81.6
803491200,86.1
803577600,87.4
803664000,86.8
803750400,87.5
803836800,87.6
803923200,87.4
804009600,87.2
804096000,87.4
804182400,81.0
804268800,79.7
804355200,82.2
804441600,85.0
804528000,83.6
804614400,81.3
804700800,78.2
804787200,80.3
804873600,84.1
804960000,82.5
805046400,83.3
805132800,85.6
805219200,84.7
805305600,86.7
805392000,85.0
805478400,81.6
805564800,80.2
805651200,81.6
805737600,78.3
805824000,82.4
805910400,85.7
805996800,86.6
806083200,87.8
806169600,87.6
806256000,89.4
806342400,89.8
806428800,88.5
806515200,84.6
806601600,81.4
806688000,80.1
806774400,78.1
806860800,80.7
806947200,87.4
807033600,88.8
807120000,83.7
807206400,83.6
807292800,79.6
807379200,78.3
807465600,77.5
807552000,77.9
807638400,78.7
807724800,79.8
807811200,80.5
807897600,84.8
807984000,87.1
808070400,82.3
808156800,78.1
808243200,79.5
808329600,77.5
808416000,81.1
808502400,80.1
808588800,80.7
808675200,83.8
808761600,83.6
808848000,84.9
808934400,86.8
809020800,86.3
809107200,87.7
809193600,84.2
809280000,87.6
809366400,83.7
809452800,80.1
809539200,82.2
809625600,82.1
809712000,86.8
809798400,83.3
809884800,80.4
809971200,83.6
810057600,85.5
810144000,86.7
810230400,87.1
810316800,85.5
810403200,83.5
810489600,86.9
810576000,87.3
810662400,85.4
810748800,83.8
810835200,85.0
810921600,86.3
811008000,86.1
811094400,84.8
811180800,83.7
811267200,83.0
811353600,80.6
811440000,81.0
811526400,72.3
811612800,78.0
811699200,80.2
811785600,79.0
811872000,81.5
811958400,81.4
812044800,82.5
812131200,82.8
