timestamp,value
788889600,80.5
788976000,83.5
789062400,82.0
789148800,81.8
789235200,77.2
789321600,76.1
789408000,80.0
789494400,78.9
789580800,79.5
789667200,77.5
789753600,78.6
789840000,79.5
789926400,79.4
790012800,80.5
790099200,79.9
790185600,78.7
790272000,78.6
790358400,79.8
790444800,80.5
790531200,79.2
790617600,79.5
790704000,79.3
790790400,79.3
790876800,82.7
790963200,82.2
791049600,80.1
791136000,79.3
791222400,80.4
791308800,77.1
791395200,77.1
791481600,77.1
791568000,80.3
791654400,79.8
791740800,77.5
791827200,77.3
791913600,73.9
792000000,81.1
792086400,83.3
792172800,81.8
792259200,79.9
792345600,77.4
792432000,82.7
792518400,83.8
792604800,82.2
792691200,82.1
792777600,78.3
792864000,76.4
792950400,77.5
793036800,76.9
793123200,78.4
793209600,78.4
793296000,79.2
793382400,80.7
793468800,79.3
793555200,81.8
793641600,79.3
793728000,80.1
793814400,81.1
793900800,77.4
793987200,80.6
794073600,80.0
794160000,80.0
794246400,80.0
794332800,86.3
794419200,82.4
794505600,80.7
794592000,81.9
794678400,80.6
794764800,82.4
794851200,76.5
794937600,80.4
795024000,82.8
795110400,82.5
795196800,83.8
795283200,84.0
795369600,84.9
795456000,81.9
795542400,81.2
795628800,78.7
795715200,76.9
795801600,80.8
795888000,78.8
795974400,81.1
796060800,81.8
796147200,84.5
796233600,81.8
796320000,79.5
796406400,79.0
796492800,81.4
796579200,81.6
796665600,80.8
796752000,80.9
796838400,82.7
796924800,84.6
797011200,83.0
797097600,81.0
797184000,81.4
797270400,81.4
797356800,81.4
797443200,81.4
797529600,81.4
797616000,81.4
797702400,81.4
797788800,81.4
797875200,81.4
797961600,81.4
798048000,81.4
798134400,84.0
798220800,82.2
798307200,81.6
798393600,81.7
798480000,80.7
798566400,78.9
798652800,79.2
798739200,82.2
798825600,81.9
798912000,81.6
798998400,82.0
799084800,80.2
799171200,79.1
799257600,80.5
799344000,80.0
799430400,81.3
799516800,79.1
799603200,80.3
799689600,82.5
799776000,81.2
799862400,80.9
799948800,80.4
800035200,78.6
800121600,78.7
800208000,80.9
