timestamp,value
788889600,58.4
788976000,54.6
789062400,53.1
789148800,58.3
789235200,58.4
789321600,57.9
789408000,61.8
789494400,63.4
789580800,65.7
789667200,69.1
789753600,69.1
789840000,58.2
789926400,57.6
790012800,56.1
790099200,57.1
790185600,59.2
790272000,61.1
790358400,65.3
790444800,69.4
790531200,69.5
790617600,71.8
790704000,73.0
790790400,60.3
790876800,53.2
790963200,52.6
791049600,54.0
791136000,54.7
791222400,57.5
791308800,56.6
791395200,53.3
791481600,53.8
791568000,52.6
791654400,55.8
791740800,56.2
791827200,56.8
791913600,57.4
792000000,58.3
792086400,58.2
792172800,60.6
792259200,63.0
792345600,66.0
792432000,67.9
792518400,68.0
792604800,70.2
792691200,61.7
792777600,62.1
792864000,63.6
792950400,65.7
793036800,70.9
793123200,71.7
793209600,68.6
793296000,60.8
793382400,56.5
793468800,55.8
793555200,57.8
793641600,59.0
793728000,59.0
793814400,59.2
793900800,62.6
793987200,65.3
794073600,67.8
794160000,69.5
794246400,66.0
794332800,63.0
794419200,61.1
794505600,63.9
794592000,67.4
794678400,72.3
794764800,66.6
794851200,67.5
794937600,64.1
795024000,61.9
795110400,62.4
795196800,66.8
795283200,70.3
795369600,69.0
795456000,62.3
795542400,60.6
795628800,63.4
795715200,65.5
795801600,67.6
795888000,70.2
795974400,71.4
796060800,68.6
796147200,65.8
796233600,67.4
796320000,68.7
796406400,70.1
796492800,74.9
796579200,73.7
796665600,68.1
796752000,65.6
796838400,63.6
796924800,65.0
797011200,68.3
797097600,67.6
797184000,68.0
797270400,70.5
797356800,74.0
797443200,76.8
797529600,75.1
797616000,77.0
797702400,76.6
797788800,78.9
797875200,79.5
797961600,77.9
798048000,77.1
798134400,78.2
798220800,77.9
798307200,77.8
798393600,77.9
798480000,78.9
798566400,77.7
798652800,78.8
798739200,78.8
798825600,77.2
798912000,77.5
798998400,80.5
799084800,80.2
799171200,81.8
799257600,79.2
799344000,80.9
799430400,82.3
799516800,76.2
799603200,76.7
799689600,79.1
799776000,72.1
799862400,78.5
799948800,79.5
800035200,80.2
800121600,77.5
800208000,77.1
800294400,79.3
800380800,76.9
800467200,70.8
800553600,75.1
800640000,76.8
800726400,84.4
800812800,88.2
800899200,88.2
800985600,84.1
801072000,80.6
801158400,80.6
801244800,86.1
801331200,86.9
801417600,85.4
801504000,84.2
801590400,82.7
801676800,86.3
801763200,84.2
801849600,82.8
801936000,83.6
802022400,82.8
802108800,83.8
802195200,84.1
802281600,82.1
802368000,84.4
802454400,83.9
802540800,83.0
802627200,83.9
802713600,81.1
802800000,77.0
802886400,80.3
802972800,83.5
803059200,86.5
803145600,89.4
803232000,92.1
803318400,83.1
803404800,83.3
803491200,83.3
803577600,88.4
803664000,90.0
803750400,90.2
803836800,91.9
803923200,90.6
804009600,89.9
804096000,85.7
804182400,83.0
804268800,82.2
804355200,85.7
804441600,86.9
804528000,86.2
804614400,84.1
804700800,82.7
804787200,80.7
804873600,81.4
804960000,84.1
805046400,81.2
805132800,83.3
805219200,84.5
805305600,85.3
805392000,87.3
805478400,90.0
805564800,90.4
805651200,82.9
805737600,82.7
805824000,82.0
805910400,83.4
805996800,83.4
806083200,79.9
806169600,83.0
806256000,86.1
806342400,89.5
806428800,88.5
806515200,84.9
806601600,88.1
806688000,85.7
806774400,86.8
806860800,81.4
806947200,79.5
807033600,82.9
807120000,85.4
807206400,83.7
807292800,84.6
807379200,85.4
807465600,79.9
807552000,80.5
807638400,78.8
807724800,78.1
807811200,80.1
807897600,82.1
807984000,86.4
808070400,86.5
808156800,81.4
808243200,82.7
808329600,81.8
808416000,83.4
808502400,78.5
808588800,82.5
808675200,81.3
808761600,83.3
808848000,82.5
808934400,80.8
809020800,83.7
809107200,85.1
809193600,85.0
809280000,82.2
809366400,85.1
809452800,84.4
809539200,81.7
809625600,80.9
809712000,78.4
809798400,81.0
809884800,84.6
809971200,79.8
810057600,79.5
810144000,82.2
810230400,85.6
810316800,86.3
810403200,83.8
810489600,81.9
810576000,81.0
810662400,84.7
810748800,83.4
810835200,82.7
810921600,79.9
811008000,80.7
811094400,82.4
811180800,83.4
811267200,83.5
811353600,82.6
811440000,80.7
811526400,78.3
811612800,81.1
811699200,83.6
811785600,82.7
811872000,82.2
811958400,81.1
812044800,82.5
812131200,82.0
812217600,83.2
812304000,82.4
812390400,81.2
812476800,82.1
812563200,84.6
812649600,84.6
812736000,82.5
812822400,78.6
812908800,76.2
812995200,73.3
813081600,78.3
813168000,77.6
813254400,80.3
813340800,80.9
813427200,78.6
813513600,83.7
813600000,83.5
813686400,82.3
813772800,81.3
813859200,80.1
813945600,80.5
814032000,80.2
814118400,81.2
814204800,80.2
814291200,79.0
814377600,79.7
814464000,74.5
814550400,76.4
814636800,76.4
814723200,76.2
814809600,80.2
814896000,79.4
814982400,80.5
815068800,78.6
815155200,77.9
815241600,74.6
815328000,75.3
815414400,74.1
815500800,74.7
815587200,74.3
815673600,65.2
815760000,63.7
815846400,70.2
815932800,75.7
816019200,74.1
816105600,75.0
816192000,71.3
816278400,63.8
816364800,66.1
816451200,66.0
816537600,66.4
816624000,67.4
816710400,73.7
816796800,66.0
816883200,59.8
816969600,60.7
817056000,64.8
817142400,62.1
817228800,63.7
817315200,67.7
817401600,68.3
817488000,71.8
817574400,72.1
817660800,73.4
817747200,72.8
817833600,70.9
817920000,69.4
818006400,63.2
818092800,62.8
818179200,61.9
818265600,61.4
818352000,62.5
818438400,60.0
818524800,62.7
818611200,67.1
818697600,66.6
818784000,69.1
818870400,68.6
818956800,70.8
819043200,73.0
819129600,68.5
819216000,59.9
819302400,60.3
819388800,59.9
819475200,60.4
819561600,62.2
819648000,64.6
819734400,64.0
819820800,65.2
819907200,62.6
819993600,62.0
820080000,59.2
820166400,59.1
820252800,58.0
820339200,57.2
820425600,61.7
820512000,60.8
820598400,63.0
820684800,63.6
820771200,65.3
820857600,66.3
820944000,66.8
821030400,67.8
821116800,61.4
821203200,60.4
821289600,64.3
821376000,68.8
821462400,69.0
821548800,66.1
821635200,69.4
821721600,61.7
821808000,66.2
821894400,66.0
821980800,53.8
822067200,54.1
822153600,59.4
822240000,59.8
822326400,57.2
822412800,58.9
822499200,56.8
822585600,51.8
822672000,52.9
822758400,54.7
822844800,55.3
822931200,57.1
823017600,55.0
823104000,60.9
823190400,63.0
823276800,63.4
823363200,62.3
823449600,62.6
823536000,64.7
823622400,66.2
823708800,67.4
823795200,67.9
823881600,63.7
823968000,64.1
824054400,67.7
824140800,71.3
824227200,73.2
824313600,74.6
824400000,75.3
824486400,73.3
824572800,52.9
824659200,50.0
824745600,49.2
824832000,46.4
824918400,49.2
825004800,51.3
825091200,52.6
825177600,52.1
825264000,58.0
825350400,60.1
825436800,62.4
825523200,63.3
825609600,66.5
825696000,66.7
825782400,67.3
825868800,68.2
825955200,66.3
826041600,68.0
826128000,69.6
826214400,70.3
826300800,68.9
826387200,57.7
826473600,58.1
826560000,61.7
826646400,61.8
826732800,65.5
826819200,71.2
826905600,80.0
826992000,76.8
827078400,73.8
827164800,68.7
827251200,68.8
827337600,73.3
827424000,69.9
827510400,70.7
827596800,72.3
827683200,67.7
827769600,67.2
827856000,63.9
827942400,60.3
828028800,63.7
828115200,69.5
828201600,79.3
828288000,73.7
828374400,59.8
828460800,57.3
828547200,59.9
828633600,64.3
828720000,67.0
828806400,69.9
828892800,71.9
828979200,76.5
829065600,69.1
829152000,62.3
829238400,61.6
829324800,63.7
829411200,64.0
829497600,69.2
829584000,69.7
829670400,72.5
829756800,76.0
829843200,78.9
829929600,75.6
830016000,66.4
830102400,68.1
830188800,70.4
830275200,70.1
830361600,71.3
830448000,74.1
830534400,75.4
830620800,75.6
830707200,77.9
830793600,79.0
830880000,78.9
830966400,81.2
831052800,81.5
831139200,83.1
831225600,85.5
831312000,88.0
831398400,83.0
831484800,71.8
831571200,71.3
831657600,73.8
831744000,76.3
831830400,78.3
831916800,78.2
832003200,80.5
832089600,81.4
832176000,78.2
832262400,77.7
832348800,80.5
832435200,81.6
832521600,81.6
832608000,84.5
832694400,83.4
832780800,82.6
832867200,82.4
832953600,83.3
833040000,84.3
833126400,82.9
833212800,83.1
833299200,79.6
833385600,83.1
833472000,83.7
833558400,82.2
833644800,81.8
833731200,84.7
833817600,85.2
833904000,86.7
833990400,84.2
834076800,86.0
834163200,86.4
834249600,85.9
834336000,85.5
834422400,86.9
834508800,85.5
834595200,85.0
834681600,80.6
834768000,81.8
834854400,82.9
834940800,83.6
835027200,85.1
835113600,85.6
835200000,87.2
835286400,78.0
835372800,85.6
835459200,90.1
835545600,81.6
835632000,78.5
835718400,83.3
835804800,86.1
835891200,85.5
835977600,86.2
836064000,84.2
836150400,87.3
836236800,88.9
836323200,84.5
836409600,83.2
836496000,86.2
836582400,87.3
836668800,85.2
836755200,87.2
836841600,86.4
836928000,85.3
