timestamp,value
788889600,36.4
788976000,34.5
789062400,25.9
789148800,27.8
789235200,17.7
789321600,24.1
789408000,35.5
789494400,31.2
789580800,25.5
789667200,23.3
789753600,18.0
789840000,22.2
789926400,37.4
790012800,42.0
790099200,54.5
790185600,58.1
790272000,51.2
790358400,39.5
790444800,35.5
790531200,38.6
790617600,40.7
790704000,36.4
790790400,33.1
790876800,32.6
790963200,32.7
791049600,27.9
791136000,28.6
791222400,19.4
791308800,21.8
791395200,25.7
791481600,29.6
791568000,35.9
791654400,35.3
791740800,20.2
791827200,26.7
791913600,20.8
792000000,5.6
792086400,5.6
792172800,15.2
792259200,19.8
792345600,27.4
792432000,35.9
792518400,19.1
792604800,16.9
792691200,20.7
792777600,18.6
792864000,38.1
792950400,34.4
793036800,32.3
793123200,35.0
793209600,38.0
793296000,36.7
793382400,33.1
793468800,35.1
793555200,38.6
793641600,26.5
793728000,23.0
793814400,19.5
793900800,29.2
793987200,35.1
794073600,30.4
794160000,28.3
794246400,30.1
794332800,31.2
794419200,37.8
794505600,44.3
794592000,52.3
794678400,33.0
794764800,22.9
794851200,29.6
794937600,35.8
795024000,46.9
795110400,49.1
795196800,48.9
795283200,51.5
795369600,46.6
795456000,45.5
795542400,42.8
795628800,41.5
795715200,48.6
795801600,45.8
795888000,44.2
795974400,38.6
796060800,38.5
796147200,45.1
796233600,42.2
796320000,41.0
796406400,44.6
796492800,40.5
796579200,44.5
796665600,40.1
796752000,37.4
796838400,38.5
796924800,45.9
797011200,25.9
797097600,31.6
797184000,42.4
797270400,34.6
797356800,40.3
797443200,41.0
797529600,43.1
797616000,43.2
797702400,52.6
797788800,47.5
797875200,45.2
797961600,43.8
798048000,43.4
798134400,52.1
798220800,52.1
798307200,57.6
798393600,53.4
798480000,55.1
798566400,49.4
798652800,49.5
798739200,52.3
798825600,54.5
798912000,54.8
798998400,57.0
799084800,54.8
799171200,53.3
799257600,49.4
799344000,49.5
799430400,55.8
799516800,61.1
799603200,58.1
799689600,54.0
799776000,50.1
799862400,52.8
799948800,58.0
800035200,54.3
800121600,50.0
800208000,55.2
800294400,59.1
800380800,55.6
800467200,51.8
800553600,58.4
800640000,55.8
800726400,60.0
800812800,55.9
800899200,58.6
800985600,63.6
801072000,63.1
801158400,62.8
801244800,68.9
801331200,64.5
801417600,61.6
801504000,62.3
801590400,59.2
801676800,60.4
801763200,65.9
801849600,69.2
801936000,73.5
802022400,70.5
802108800,72.9
802195200,70.5
802281600,66.2
802368000,70.4
802454400,70.5
802540800,71.4
802627200,64.1
802713600,65.1
802800000,63.5
802886400,65.5
802972800,61.0
803059200,61.7
803145600,63.1
803232000,66.3
803318400,71.5
803404800,76.5
803491200,81.8
803577600,83.9
803664000,72.4
803750400,69.7
803836800,68.3
803923200,67.3
804009600,72.6
804096000,74.2
804182400,70.9
804268800,61.6
804355200,68.0
804441600,72.2
804528000,73.8
804614400,71.7
804700800,67.8
804787200,72.2
804873600,73.2
804960000,75.1
805046400,75.4
805132800,76.2
805219200,66.9
805305600,70.8
805392000,69.5
805478400,71.5
805564800,76.9
805651200,83.6
805737600,87.1
805824000,77.2
805910400,72.6
805996800,68.3
806083200,75.5
806169600,75.8
806256000,77.7
806342400,76.1
806428800,77.2
806515200,78.5
806601600,78.1
806688000,81.2
806774400,80.6
806860800,80.3
806947200,82.5
807033600,81.1
807120000,77.3
807206400,80.8
807292800,81.8
807379200,73.5
807465600,79.9
807552000,73.8
807638400,66.2
807724800,68.0
807811200,66.9
807897600,71.5
807984000,72.6
808070400,76.8
808156800,77.3
808243200,76.1
808329600,73.8
808416000,77.2
808502400,78.3
808588800,81.9
808675200,77.2
808761600,70.2
808848000,64.9
808934400,69.7
809020800,76.0
809107200,67.6
809193600,72.2
809280000,64.7
809366400,62.2
809452800,69.4
809539200,67.4
809625600,65.8
809712000,70.6
809798400,65.1
809884800,74.9
809971200,71.2
810057600,63.8
810144000,64.5
810230400,71.6
810316800,71.9
810403200,72.8
810489600,63.9
810576000,59.8
810662400,62.0
810748800,55.6
810835200,62.4
810921600,66.9
811008000,74.3
811094400,61.1
811180800,54.7
811267200,58.0
811353600,63.0
811440000,56.4
811526400,57.8
811612800,62.4
811699200,68.5
811785600,56.8
811872000,51.1
811958400,55.6
812044800,56.5
812131200,62.0
812217600,61.4
812304000,50.7
812390400,51.9
812476800,52.2
812563200,56.6
812649600,63.2
812736000,65.4
812822400,65.0
812908800,56.0
812995200,54.3
813081600,58.4
813168000,54.5
813254400,51.6
813340800,59.0
813427200,60.6
813513600,64.6
813600000,63.5
813686400,60.3
813772800,51.7
813859200,49.9
813945600,49.4
814032000,55.2
814118400,56.8
814204800,66.4
814291200,53.3
814377600,55.7
814464000,58.0
814550400,57.2
814636800,48.8
814723200,47.2
814809600,63.3
814896000,51.1
814982400,44.7
815068800,41.0
815155200,44.1
815241600,45.3
815328000,50.7
815414400,44.3
815500800,38.3
815587200,36.6
815673600,36.7
815760000,45.0
815846400,33.4
815932800,32.1
816019200,50.7
816105600,49.2
816192000,30.8
816278400,35.1
816364800,43.6
816451200,36.8
816537600,33.7
816624000,29.7
816710400,36.7
816796800,39.1
816883200,42.9
816969600,37.9
817056000,34.2
817142400,35.9
817228800,27.4
817315200,34.5
817401600,35.7
817488000,46.6
817574400,31.6
817660800,25.0
817747200,31.7
817833600,37.8
817920000,32.1
818006400,44.6
818092800,33.9
818179200,35.7
818265600,33.8
818352000,26.5
818438400,22.0
818524800,22.7
818611200,16.0
818697600,16.0
818784000,15.2
818870400,13.6
818956800,24.7
819043200,27.0
819129600,30.7
819216000,28.2
819302400,22.8
819388800,21.1
819475200,20.0
819561600,26.9
819648000,29.3
819734400,29.3
819820800,25.0
819907200,29.0
819993600,26.0
820080000,25.5
820166400,27.1
820252800,32.1
820339200,31.6
820425600,31.5
820512000,29.1
820598400,18.8
820684800,15.8
820771200,9.3
820857600,3.5
820944000,6.4
821030400,15.3
821116800,15.5
821203200,22.3
821289600,18.6
821376000,17.2
821462400,31.5
821548800,33.6
821635200,33.7
821721600,14.0
821808000,31.5
821894400,35.6
821980800,46.0
822067200,28.1
822153600,21.1
822240000,30.2
822326400,34.9
822412800,42.1
822499200,32.8
822585600,22.8
822672000,42.4
822758400,31.0
822844800,23.2
822931200,31.8
823017600,25.6
823104000,13.7
823190400,23.3
823276800,15.0
823363200,8.0
823449600,4.0
823536000,14.2
823622400,16.2
823708800,32.5
823795200,38.4
823881600,38.5
823968000,39.1
824054400,27.1
824140800,9.6
824227200,17.8
824313600,22.3
824400000,19.0
824486400,24.0
824572800,22.0
824659200,15.2
824745600,33.4
824832000,44.2
824918400,44.7
825004800,42.8
825091200,40.2
825177600,47.4
825264000,45.4
825350400,41.8
825436800,44.7
825523200,27.7
825609600,23.4
825696000,26.9
825782400,28.7
825868800,23.2
825955200,24.8
826041600,33.7
826128000,28.1
826214400,23.1
826300800,15.0
826387200,18.3
826473600,20.8
826560000,30.2
826646400,36.3
826732800,41.4
826819200,43.5
826905600,36.3
826992000,35.2
827078400,40.5
827164800,41.6
827251200,42.9
827337600,40.5
827424000,37.5
827510400,32.3
827596800,36.1
827683200,44.9
827769600,52.1
827856000,33.5
827942400,30.1
828028800,39.8
828115200,41.0
828201600,42.4
828288000,47.7
828374400,46.3
828460800,43.5
828547200,43.1
828633600,42.5
828720000,47.1
828806400,39.5
828892800,36.8
828979200,38.3
829065600,36.4
829152000,47.0
829238400,54.7
829324800,46.8
829411200,40.2
829497600,45.3
829584000,42.9
829670400,44.0
829756800,48.8
829843200,53.8
829929600,59.1
830016000,65.9
830102400,64.0
830188800,67.9
830275200,54.7
830361600,55.3
830448000,62.1
830534400,54.1
830620800,50.4
830707200,46.9
830793600,50.3
830880000,58.7
830966400,57.0
831052800,50.8
831139200,53.5
831225600,58.1
831312000,49.6
831398400,46.8
831484800,52.2
831571200,58.8
831657600,54.6
831744000,63.9
831830400,50.4
831916800,47.1
832003200,47.8
832089600,54.2
832176000,51.9
832262400,51.8
832348800,59.5
832435200,60.3
832521600,60.3
832608000,76.6
832694400,70.7
832780800,63.0
832867200,69.2
832953600,61.4
833040000,58.5
833126400,65.8
833212800,62.5
833299200,62.5
833385600,51.1
833472000,57.4
833558400,57.4
833644800,72.7
833731200,61.8
833817600,65.5
833904000,66.0
833990400,68.5
834076800,70.5
834163200,70.5
834249600,74.5
834336000,69.3
834422400,71.4
834508800,74.1
834595200,71.8
834681600,72.1
834768000,73.8
834854400,75.2
834940800,71.7
835027200,73.1
835113600,64.4
835200000,59.7
835286400,66.6
835372800,67.7
835459200,65.7
835545600,71.0
835632000,71.0
835718400,66.7
835804800,67.6
835891200,70.3
835977600,63.9
836064000,64.2
836150400,74.5
836236800,74.1
836323200,69.7
836409600,65.4
836496000,69.4
836582400,72.3
836668800,74.7
836755200,74.8
836841600,75.2
836928000,69.1
837014400,68.5
837100800,70.0
837187200,68.2
837273600,74.0
837360000,73.5
837446400,76.5
837532800,77.5
837619200,75.5
837705600,75.6
837792000,69.2
837878400,70.4
837964800,69.5
838051200,66.2
838137600,67.3
838224000,68.9
838310400,69.5
838396800,70.4
838483200,70.2
838569600,68.9
838656000,68.0
838742400,64.2
838828800,64.9
838915200,70.8
839001600,71.8
839088000,72.6
839174400,74.7
839260800,74.6
839347200,76.2
839433600,74.2
839520000,72.7
839606400,73.4
839692800,69.0
839779200,67.2
839865600,62.3
839952000,65.2
840038400,70.4
840124800,67.6
840211200,69.7
840297600,68.6
840384000,71.9
840470400,69.6
840556800,72.5
840643200,69.6
840729600,73.5
840816000,72.9
840902400,70.7
840988800,68.6
841075200,69.7
841161600,65.9
841248000,67.9
841334400,67.2
841420800,66.3
841507200,66.5
841593600,73.8
841680000,73.1
841766400,71.9
841852800,75.6
841939200,74.1
842025600,68.7
842112000,62.1
842198400,69.0
842284800,70.7
842371200,67.4
842457600,65.2
842544000,61.0
842630400,61.7
842716800,61.1
842803200,62.0
842889600,59.4
842976000,55.4
843062400,62.6
843148800,59.0
843235200,62.7
843321600,59.0
843408000,56.6
843494400,50.4
843580800,56.1
843667200,52.3
843753600,53.4
843840000,63.5
843926400,62.3
844012800,58.0
844099200,55.0
844185600,57.2
844272000,57.0
844358400,41.9
844444800,41.2
844531200,43.3
844617600,47.2
844704000,54.8
844790400,56.5
844876800,52.1
844963200,47.3
845049600,42.0
845136000,50.6
845222400,58.7
845308800,46.0
845395200,51.2
845481600,61.3
845568000,51.6
845654400,50.2
845740800,50.5
845827200,51.5
845913600,51.6
846000000,49.8
846086400,59.7
846172800,56.1
846259200,49.6
846345600,50.9
846432000,56.8
846518400,47.8
846604800,45.8
846691200,51.2
846777600,42.5
846864000,37.6
846950400,36.7
847036800,41.0
847123200,46.7
847209600,46.8
847296000,50.3
847382400,62.5
847468800,60.7
847555200,43.7
847641600,37.1
847728000,34.1
847814400,31.2
847900800,28.6
847987200,26.3
848073600,28.1
848160000,34.2
848246400,35.9
848332800,38.8
848419200,37.8
848505600,35.4
848592000,35.3
848678400,37.3
848764800,39.0
848851200,34.2
848937600,37.4
849024000,31.8
849110400,27.4
849196800,37.0
849283200,29.6
849369600,47.1
849456000,50.3
849542400,36.1
849628800,35.3
849715200,37.4
849801600,35.5
849888000,32.3
849974400,36.1
850060800,28.8
850147200,30.3
850233600,35.3
850320000,35.9
850406400,37.3
850492800,36.3
850579200,36.8
850665600,38.0
850752000,40.0
850838400,49.4
850924800,42.3
851011200,28.9
851097600,23.8
851184000,29.8
851270400,36.2
851356800,44.0
851443200,36.0
851529600,26.8
851616000,36.0
851702400,32.5
851788800,46.6
851875200,42.2
851961600,23.2
852048000,8.2
852134400,25.8
852220800,37.2
852307200,39.9
852393600,38.9
852480000,39.0
852566400,31.9
852652800,26.5
852739200,24.1
852825600,32.0
852912000,30.3
852998400,22.6
853084800,27.5
853171200,28.3
853257600,30.3
853344000,36.3
853430400,18.7
853516800,10.0
853603200,7.5
853689600,20.9
853776000,27.9
853862400,34.7
853948800,44.6
854035200,21.4
854121600,33.9
854208000,30.0
854294400,18.2
854380800,31.1
854467200,22.5
854553600,16.8
854640000,22.9
854726400,34.8
854812800,36.3
854899200,36.5
854985600,30.8
855072000,34.3
855158400,37.7
855244800,31.0
855331200,29.9
855417600,28.2
855504000,27.6
855590400,29.0
855676800,29.9
855763200,27.5
855849600,25.4
855936000,35.7
856022400,30.3
856108800,24.6
856195200,36.4
856281600,46.7
856368000,42.3
856454400,41.7
856540800,55.8
856627200,34.5
856713600,35.3
856800000,21.8
856886400,35.7
856972800,48.2
857059200,46.1
857145600,38.0
857232000,43.7
857318400,38.5
857404800,32.0
857491200,38.5
857577600,38.9
857664000,32.9
857750400,30.0
857836800,26.9
857923200,35.2
858009600,35.4
858096000,33.6
858182400,26.8
858268800,25.1
858355200,33.3
858441600,25.0
858528000,26.9
858614400,40.6
858700800,32.0
858787200,35.3
858873600,35.8
858960000,41.9
859046400,28.6
859132800,29.9
859219200,32.8
859305600,47.1
859392000,45.9
859478400,52.4
859564800,45.8
859651200,51.9
859737600,42.4
859824000,34.8
859910400,40.8
859996800,44.4
860083200,50.4
860169600,48.2
860256000,48.8
860342400,61.0
860428800,45.0
860515200,31.7
860601600,32.9
860688000,39.8
860774400,44.3
860860800,45.7
860947200,45.9
861033600,43.7
861120000,48.7
861206400,50.9
861292800,43.0
861379200,42.7
861465600,47.4
861552000,47.6
861638400,56.5
861724800,53.4
861811200,48.0
861897600,49.3
861984000,52.7
862070400,54.5
862156800,49.1
862243200,53.5
862329600,58.5
862416000,57.2
862502400,54.8
862588800,52.1
