timestamp,value
788889600,3.6
788976000,3.5
789062400,-1.0
789148800,-3.5
789235200,-3.4
789321600,0.8
789408000,14.2
789494400,21.0
789580800,35.8
789667200,44.2
789753600,39.2
789840000,26.7
789926400,30.9
790012800,35.6
790099200,30.0
790185600,31.4
790272000,31.0
790358400,29.6
790444800,34.2
790531200,22.1
790617600,15.0
790704000,14.0
790790400,10.6
790876800,9.5
790963200,17.0
791049600,25.2
791136000,33.3
791222400,32.8
791308800,21.7
791395200,28.9
791481600,38.4
791568000,45.5
791654400,42.9
791740800,32.9
791827200,38.1
791913600,39.4
792000000,33.9
792086400,33.2
792172800,31.1
792259200,26.3
792345600,21.5
792432000,2.3
792518400,0.0
792604800,-3.7
792691200,2.0
792777600,13.0
792864000,28.6
792950400,41.2
793036800,41.8
793123200,50.0
793209600,46.7
793296000,43.2
793382400,42.9
793468800,39.8
793555200,39.9
793641600,46.4
793728000,40.8
793814400,18.4
793900800,15.2
793987200,13.7
794073600,11.9
794160000,18.7
794246400,17.4
794332800,6.3
794419200,3.3
794505600,7.1
794592000,12.7
794678400,41.3
794764800,53.9
794851200,50.9
794937600,42.9
795024000,37.1
795110400,39.9
795196800,45.7
795283200,40.6
795369600,36.0
795456000,38.7
795542400,45.1
795628800,33.9
795715200,48.4
795801600,35.7
795888000,42.5
795974400,37.2
796060800,31.7
796147200,25.9
796233600,27.1
796320000,27.2
796406400,23.9
796492800,31.9
796579200,39.9
796665600,41.6
796752000,44.4
796838400,45.8
796924800,48.3
797011200,51.0
797097600,48.7
797184000,47.8
797270400,41.2
797356800,32.5
797443200,28.8
797529600,35.5
797616000,43.1
797702400,53.5
797788800,41.3
797875200,34.9
797961600,35.4
798048000,37.9
798134400,41.8
798220800,43.4
798307200,42.3
798393600,42.6
798480000,41.5
798566400,42.8
798652800,39.4
798739200,42.8
798825600,39.4
798912000,42.1
798998400,41.3
799084800,35.4
799171200,40.1
799257600,37.0
799344000,44.4
799430400,45.1
799516800,49.8
799603200,48.8
799689600,49.8
799776000,45.3
799862400,46.6
799948800,50.1
800035200,52.0
800121600,51.4
800208000,45.5
800294400,37.6
800380800,41.0
800467200,49.4
800553600,54.7
800640000,59.2
800726400,56.3
800812800,50.9
800899200,51.8
800985600,50.2
801072000,47.3
801158400,48.9
801244800,51.6
801331200,46.2
801417600,39.7
801504000,43.6
801590400,52.5
801676800,57.7
801763200,61.6
801849600,64.6
801936000,66.0
802022400,61.5
802108800,63.7
802195200,61.0
802281600,57.0
802368000,46.1
802454400,41.9
802540800,43.4
802627200,43.5
802713600,46.3
802800000,57.7
802886400,63.9
802972800,66.2
803059200,65.4
803145600,67.2
803232000,65.1
803318400,65.5
803404800,61.1
803491200,55.0
803577600,51.8
803664000,54.9
803750400,54.9
803836800,55.7
803923200,62.3
804009600,67.0
804096000,67.3
804182400,53.6
804268800,51.4
804355200,56.3
804441600,57.3
804528000,63.5
804614400,64.2
804700800,59.5
804787200,58.6
804873600,61.2
804960000,66.2
805046400,63.5
805132800,71.5
805219200,69.8
805305600,64.9
805392000,62.6
805478400,59.8
805564800,59.7
805651200,59.7
805737600,66.4
805824000,61.3
805910400,65.4
805996800,69.3
806083200,69.5
806169600,69.1
806256000,69.4
806342400,62.6
806428800,68.5
806515200,69.5
806601600,69.9
806688000,69.3
806774400,67.4
806860800,67.4
806947200,70.0
807033600,58.0
807120000,57.8
807206400,64.5
807292800,66.3
807379200,65.8
807465600,69.2
807552000,71.3
807638400,75.3
807724800,76.0
807811200,58.3
807897600,59.6
807984000,63.3
808070400,66.5
808156800,65.1
808243200,60.0
808329600,57.3
808416000,67.3
808502400,66.3
808588800,57.4
808675200,58.0
808761600,59.3
808848000,61.8
808934400,65.5
809020800,75.4
809107200,77.2
809193600,71.2
809280000,62.8
809366400,63.6
809452800,65.2
809539200,67.8
809625600,69.7
809712000,55.9
809798400,59.2
809884800,64.6
809971200,71.8
810057600,70.3
810144000,69.3
810230400,65.9
810316800,60.8
810403200,61.4
810489600,52.3
810576000,51.8
810662400,55.7
810748800,60.4
810835200,65.5
810921600,60.8
811008000,57.5
811094400,61.9
811180800,57.5
811267200,58.4
811353600,52.9
811440000,39.9
811526400,40.3
811612800,36.5
811699200,41.4
811785600,53.0
811872000,43.4
811958400,46.2
812044800,49.4
812131200,54.9
812217600,51.3
812304000,50.6
812390400,49.5
812476800,48.8
812563200,40.7
812649600,47.3
812736000,43.8
812822400,42.5
812908800,39.0
812995200,47.8
813081600,41.1
813168000,50.8
813254400,52.2
813340800,63.6
813427200,50.1
813513600,43.8
813600000,48.1
813686400,52.7
813772800,47.1
813859200,50.5
813945600,49.0
814032000,41.5
814118400,36.9
814204800,47.2
814291200,37.9
814377600,29.8
814464000,42.5
814550400,44.2
814636800,49.0
814723200,45.0
814809600,35.6
814896000,32.1
814982400,24.1
815068800,21.9
815155200,20.6
815241600,14.1
815328000,16.8
815414400,20.3
815500800,34.6
815587200,31.3
815673600,25.3
815760000,31.4
815846400,45.0
815932800,11.9
816019200,18.4
816105600,40.3
816192000,40.8
816278400,48.6
816364800,39.8
816451200,42.7
816537600,37.8
816624000,44.3
816710400,38.8
816796800,26.4
816883200,22.4
816969600,32.0
817056000,47.1
817142400,49.4
817228800,42.5
817315200,39.2
817401600,30.8
817488000,33.1
817574400,45.4
817660800,50.2
817747200,42.1
817833600,39.3
817920000,33.5
818006400,39.7
818092800,22.9
818179200,17.2
818265600,11.8
818352000,-9.4
818438400,-10.9
818524800,11.9
818611200,29.0
818697600,38.3
818784000,45.7
818870400,37.9
818956800,37.8
819043200,34.4
819129600,28.3
819216000,19.8
819302400,17.4
819388800,18.1
819475200,26.2
819561600,15.8
819648000,12.3
819734400,12.3
819820800,11.3
819907200,11.7
819993600,11.9
820080000,10.7
820166400,17.8
820252800,30.0
820339200,30.7
820425600,25.7
820512000,15.8
820598400,27.1
820684800,8.2
820771200,-0.6
820857600,3.2
820944000,21.7
821030400,31.6
821116800,24.0
821203200,34.8
821289600,39.0
821376000,26.4
821462400,25.4
821548800,26.2
821635200,36.1
821721600,38.8
821808000,2.1
821894400,-5.1
821980800,6.1
822067200,15.0
822153600,21.8
822240000,3.3
822326400,7.3
822412800,6.5
822499200,0.7
822585600,-2.8
822672000,-1.2
822758400,-13.2
822844800,-15.8
822931200,-23.9
823017600,-20.1
823104000,-15.4
823190400,-26.4
823276800,-25.9
823363200,-2.5
823449600,13.3
823536000,35.6
823622400,41.3
823708800,38.1
823795200,48.7
823881600,26.2
823968000,23.8
824054400,25.6
824140800,33.9
824227200,43.8
824313600,33.1
824400000,32.0
824486400,32.7
824572800,39.6
824659200,41.8
824745600,36.0
824832000,37.2
824918400,37.4
825004800,31.0
825091200,26.3
825177600,9.6
825264000,-2.3
825350400,0.4
825436800,-3.9
825523200,-3.4
825609600,18.6
825696000,35.9
825782400,27.7
825868800,11.4
825955200,5.0
826041600,8.1
826128000,7.3
826214400,15.0
826300800,24.8
826387200,35.5
826473600,39.7
826560000,36.4
826646400,38.9
826732800,34.1
826819200,36.7
826905600,38.7
826992000,39.3
827078400,34.6
827164800,31.6
827251200,38.9
827337600,38.1
827424000,34.5
827510400,17.5
827596800,4.9
827683200,-0.3
827769600,20.4
827856000,19.3
827942400,13.9
828028800,17.7
828115200,24.2
828201600,28.1
828288000,35.1
828374400,44.0
828460800,39.3
828547200,41.7
828633600,38.5
828720000,57.6
828806400,55.5
828892800,49.3
828979200,54.8
829065600,50.8
829152000,35.7
829238400,39.2
829324800,41.0
829411200,41.2
829497600,38.2
829584000,58.7
829670400,58.7
829756800,41.4
829843200,41.8
829929600,39.8
830016000,38.6
830102400,39.5
830188800,54.2
830275200,47.9
830361600,43.2
830448000,46.5
830534400,39.1
830620800,31.6
830707200,45.7
830793600,45.7
830880000,46.8
830966400,40.8
831052800,40.6
831139200,42.4
831225600,42.4
831312000,45.8
831398400,45.8
831484800,39.8
831571200,35.0
831657600,34.2
831744000,46.2
831830400,56.8
831916800,51.2
832003200,57.7
832089600,55.6
832176000,53.4
832262400,53.0
832348800,54.7
832435200,53.5
832521600,53.8
832608000,45.4
832694400,52.8
832780800,45.1
832867200,44.2
832953600,47.6
833040000,49.5
833126400,50.9
833212800,56.1
833299200,51.5
833385600,51.0
833472000,55.5
833558400,57.6
833644800,51.4
833731200,61.0
833817600,70.0
833904000,63.5
833990400,55.3
834076800,58.9
834163200,70.5
834249600,71.0
834336000,66.0
834422400,68.0
834508800,54.0
834595200,68.0
834681600,71.0
834768000,64.3
834854400,70.6
834940800,63.7
835027200,54.8
835113600,56.0
835200000,48.9
835286400,48.6
835372800,54.3
835459200,50.3
835545600,60.9
835632000,57.9
835718400,61.2
835804800,71.0
835891200,63.6
835977600,62.8
836064000,65.5
836150400,72.0
836236800,73.7
836323200,72.6
836409600,73.1
836496000,67.4
836582400,62.3
836668800,63.7
836755200,61.8
836841600,68.7
836928000,68.4
837014400,67.9
837100800,66.3
837187200,68.0
837273600,67.4
837360000,75.6
837446400,78.9
837532800,69.8
837619200,65.9
837705600,62.0
837792000,63.1
837878400,65.2
837964800,67.2
838051200,70.2
838137600,68.7
838224000,70.2
838310400,66.7
838396800,72.3
838483200,76.5
838569600,74.9
838656000,69.9
838742400,69.0
838828800,70.6
838915200,69.7
839001600,64.5
839088000,58.9
839174400,57.5
839260800,58.4
839347200,61.6
839433600,66.1
839520000,73.3
839606400,71.3
839692800,73.1
839779200,79.7
839865600,68.7
839952000,72.1
840038400,68.5
840124800,68.5
840211200,73.5
840297600,61.4
840384000,55.4
840470400,61.1
840556800,64.3
840643200,58.5
840729600,60.7
840816000,69.2
840902400,69.5
840988800,69.9
841075200,70.8
841161600,70.5
841248000,59.5
841334400,67.4
841420800,72.3
841507200,64.4
841593600,63.5
841680000,66.9
841766400,64.0
841852800,56.1
841939200,48.4
842025600,55.8
842112000,61.9
842198400,63.3
842284800,64.2
842371200,62.9
842457600,69.2
842544000,64.4
842630400,60.4
842716800,51.7
842803200,50.6
842889600,49.5
842976000,47.5
843062400,49.3
843148800,50.2
843235200,52.1
843321600,48.3
843408000,42.5
843494400,41.5
843580800,47.8
843667200,42.5
843753600,50.0
843840000,58.7
843926400,56.3
844012800,54.2
844099200,48.1
844185600,37.9
844272000,46.8
844358400,54.6
844444800,60.7
844531200,53.3
844617600,53.1
844704000,61.2
844790400,54.4
844876800,53.2
844963200,60.4
845049600,52.7
845136000,49.3
845222400,51.0
845308800,50.6
845395200,37.8
845481600,35.2
845568000,47.4
845654400,38.4
845740800,33.6
845827200,34.4
845913600,41.4
846000000,42.8
846086400,43.6
846172800,36.2
846259200,34.7
846345600,29.5
846432000,40.9
846518400,31.2
846604800,20.5
846691200,18.2
846777600,25.8
846864000,30.7
846950400,32.2
847036800,39.9
847123200,30.8
847209600,34.3
847296000,36.1
847382400,33.7
847468800,42.0
847555200,38.0
847641600,32.3
847728000,26.4
847814400,27.7
847900800,32.1
847987200,23.1
848073600,12.3
848160000,10.8
848246400,17.5
848332800,3.2
848419200,3.4
848505600,7.1
848592000,-0.1
848678400,0.4
848764800,1.8
848851200,19.1
848937600,29.5
849024000,25.2
849110400,32.1
849196800,29.4
849283200,21.6
849369600,26.8
849456000,29.6
849542400,19.0
849628800,19.6
849715200,32.4
849801600,21.7
849888000,27.6
849974400,28.8
850060800,39.5
850147200,30.1
850233600,35.2
850320000,23.6
850406400,20.7
850492800,28.0
850579200,23.7
850665600,21.3
850752000,9.9
850838400,6.8
850924800,20.7
851011200,28.1
851097600,10.0
851184000,-4.3
851270400,-9.3
851356800,-3.7
851443200,0.7
851529600,-13.8
851616000,0.7
851702400,-4.3
851788800,-3.3
851875200,7.7
851961600,43.3
852048000,44.0
852134400,34.0
852220800,33.5
852307200,28.7
852393600,19.4
852480000,16.7
852566400,30.0
852652800,35.8
852739200,31.8
852825600,10.6
852912000,1.9
852998400,-19.8
853084800,-22.5
853171200,-15.4
853257600,-2.8
853344000,-0.6
853430400,-0.7
853516800,21.0
853603200,22.6
853689600,18.5
853776000,30.2
853862400,14.2
853948800,18.9
854035200,3.7
854121600,-11.0
854208000,-10.1
854294400,-14.9
854380800,6.1
854467200,28.8
854553600,37.8
854640000,38.4
854726400,34.6
854812800,33.2
854899200,29.8
854985600,19.1
855072000,14.3
855158400,11.6
855244800,10.8
855331200,11.9
855417600,13.1
855504000,17.7
855590400,24.4
855676800,28.0
855763200,34.4
855849600,36.0
855936000,41.0
856022400,42.5
856108800,34.7
856195200,38.4
856281600,37.2
856368000,36.5
856454400,33.7
856540800,31.9
856627200,26.0
856713600,28.3
856800000,28.5
856886400,31.8
856972800,28.2
857059200,24.5
857145600,29.9
857232000,34.3
857318400,29.4
857404800,25.5
857491200,31.4
857577600,31.1
857664000,40.6
857750400,35.8
857836800,35.7
857923200,42.1
858009600,36.7
858096000,29.8
858182400,9.3
858268800,9.5
858355200,18.0
858441600,39.2
858528000,40.4
858614400,41.0
858700800,48.6
858787200,48.7
858873600,43.6
858960000,44.6
859046400,46.1
859132800,37.4
859219200,45.9
859305600,50.3
859392000,47.6
859478400,37.4
859564800,37.4
859651200,41.5
859737600,43.3
859824000,33.4
859910400,34.4
859996800,40.1
860083200,28.6
860169600,21.0
860256000,21.1
860342400,26.2
860428800,21.5
860515200,25.0
860601600,22.9
860688000,20.0
860774400,24.7
860860800,33.4
860947200,45.8
861033600,42.9
861120000,46.5
861206400,52.6
861292800,45.7
861379200,47.8
861465600,47.5
861552000,45.9
861638400,40.6
861724800,42.4
861811200,45.4
861897600,43.5
861984000,45.5
862070400,52.1
862156800,46.7
862243200,45.8
862329600,47.5
862416000,41.2
862502400,39.5
862588800,43.1
862675200,54.6
862761600,50.4
862848000,52.2
862934400,48.5
863020800,42.1
863107200,52.1
863193600,58.4
863280000,50.4
863366400,56.4
863452800,65.1
863539200,59.0
863625600,61.6
863712000,67.1
863798400,68.5
863884800,44.5
863971200,43.4
864057600,54.9
864144000,56.1
864230400,56.4
864316800,53.5
864403200,49.9
864489600,45.0
864576000,50.4
864662400,54.8
864748800,55.4
864835200,57.5
864921600,59.6
865008000,63.0
865094400,60.7
865180800,60.9
865267200,61.4
865353600,68.8
865440000,64.6
865526400,63.5
865612800,59.3
865699200,61.1
865785600,60.4
865872000,59.8
865958400,58.7
866044800,57.0
866131200,60.1
866217600,59.8
866304000,64.3
866390400,65.0
866476800,65.6
866563200,63.5
866649600,62.2
866736000,58.5
866822400,56.7
866908800,62.0
866995200,52.2
867081600,53.3
867168000,54.7
867254400,64.0
867340800,66.0
867427200,62.3
867513600,56.9
867600000,51.0
867686400,51.1
867772800,52.2
867859200,56.4
867945600,61.7
868032000,65.2
868118400,68.0
868204800,68.2
868291200,69.0
868377600,68.7
868464000,62.6
868550400,56.6
868636800,61.8
868723200,67.5
868809600,65.9
868896000,73.5
868982400,73.4
869068800,69.6
869155200,65.3
869241600,65.3
869328000,61.8
869414400,66.2
869500800,73.0
869587200,71.8
869673600,70.8
869760000,70.6
869846400,67.5
869932800,68.3
870019200,68.4
870105600,71.9
870192000,70.6
870278400,70.3
870364800,65.2
870451200,65.8
870537600,71.1
870624000,71.8
870710400,70.1
870796800,65.8
870883200,72.8
870969600,63.0
871056000,52.8
871142400,55.2
871228800,56.8
871315200,62.4
871401600,65.3
871488000,67.1
871574400,64.8
871660800,56.8
871747200,57.5
871833600,62.1
871920000,61.8
872006400,63.8
872092800,67.2
872179200,66.8
872265600,69.0
872352000,69.1
872438400,60.6
872524800,66.2
872611200,66.7
872697600,66.6
872784000,66.9
872870400,63.1
872956800,62.9
873043200,64.7
873129600,65.5
873216000,66.3
873302400,64.1
873388800,62.1
873475200,62.9
873561600,63.5
873648000,64.8
873734400,59.8
873820800,60.4
873907200,59.8
873993600,62.1
874080000,54.2
874166400,60.6
874252800,55.3
874339200,52.4
874425600,50.0
874512000,54.2
874598400,47.5
874684800,49.0
874771200,51.7
874857600,60.1
874944000,55.0
875030400,54.0
875116800,56.5
875203200,67.2
875289600,54.3
875376000,54.5
875462400,57.2
875548800,56.0
875635200,60.5
875721600,69.7
875808000,54.0
875894400,48.9
875980800,47.9
876067200,38.3
876153600,45.2
876240000,38.7
876326400,37.8
876412800,37.2
876499200,42.0
876585600,38.9
876672000,42.3
876758400,46.1
876844800,47.0
876931200,47.6
877017600,46.9
877104000,44.6
877190400,38.3
877276800,44.6
877363200,36.9
877449600,37.5
877536000,45.1
877622400,33.5
877708800,28.6
877795200,38.0
877881600,43.0
877968000,39.6
878054400,43.9
878140800,47.2
878227200,45.9
878313600,44.6
878400000,36.8
878486400,36.9
878572800,49.5
878659200,36.3
878745600,37.2
878832000,38.4
878918400,31.9
879004800,31.3
879091200,27.0
879177600,20.8
879264000,19.6
879350400,29.0
879436800,22.1
879523200,13.1
879609600,18.1
879696000,26.7
879782400,39.8
879868800,28.8
879955200,31.7
880041600,38.4
880128000,36.9
880214400,25.6
880300800,36.7
880387200,35.5
880473600,26.0
880560000,28.7
880646400,31.6
880732800,27.0
880819200,23.9
880905600,33.8
880992000,27.6
881078400,18.0
881164800,16.8
881251200,15.2
881337600,10.9
881424000,13.9
881510400,21.7
881596800,31.6
881683200,27.7
881769600,17.0
881856000,16.4
881942400,19.5
882028800,18.7
882115200,29.7
882201600,33.8
882288000,43.9
882374400,33.7
882460800,20.4
882547200,21.0
882633600,25.8
882720000,19.5
882806400,23.2
882892800,22.8
882979200,15.2
883065600,14.1
883152000,25.2
883238400,31.4
883324800,44.6
883411200,45.4
883497600,32.1
883584000,32.5
883670400,29.5
883756800,0.8
883843200,4.1
883929600,19.9
884016000,24.7
884102400,22.3
884188800,14.9
884275200,-2.7
884361600,-3.4
884448000,-9.8
884534400,-18.2
884620800,3.7
884707200,29.0
884793600,36.9
884880000,32.7
884966400,28.9
885052800,36.4
885139200,24.3
885225600,26.4
885312000,30.5
885398400,23.9
885484800,17.6
885571200,30.5
885657600,38.1
885744000,30.2
885830400,32.5
885916800,32.7
886003200,24.7
886089600,32.8
886176000,30.8
886262400,23.4
886348800,20.4
886435200,22.6
886521600,28.6
886608000,30.8
886694400,30.1
886780800,36.4
886867200,31.1
886953600,33.9
887040000,31.6
887126400,34.1
887212800,32.1
887299200,34.8
887385600,33.4
887472000,32.8
887558400,35.3
887644800,29.3
887731200,32.3
887817600,29.5
887904000,30.4
887990400,41.4
888076800,37.4
888163200,28.3
888249600,26.7
888336000,27.6
888422400,25.1
888508800,26.7
888595200,23.2
888681600,29.3
888768000,32.9
888854400,32.4
888940800,23.5
889027200,18.5
889113600,17.8
889200000,9.5
889286400,13.0
889372800,21.1
889459200,21.8
889545600,24.3
889632000,27.2
889718400,34.2
889804800,37.9
889891200,42.2
889977600,42.0
890064000,34.3
890150400,25.7
890236800,30.2
890323200,34.7
890409600,42.3
890496000,47.7
890582400,42.5
890668800,47.7
890755200,43.0
890841600,43.7
890928000,40.6
891014400,34.9
891100800,33.3
891187200,37.6
891273600,37.8
891360000,41.7
891446400,47.1
891532800,44.0
891619200,48.5
891705600,40.8
891792000,39.9
891878400,40.1
891964800,39.0
892051200,40.1
892137600,41.6
892224000,44.0
892310400,41.4
892396800,38.6
892483200,39.7
892569600,36.7
892656000,39.0
892742400,39.5
892828800,37.0
892915200,45.8
893001600,43.2
893088000,47.3
893174400,52.4
893260800,57.7
893347200,55.7
893433600,45.3
893520000,42.7
893606400,45.9
893692800,52.3
893779200,55.8
893865600,55.5
893952000,55.6
894038400,53.9
894124800,63.0
894211200,60.5
894297600,55.3
894384000,59.4
894470400,56.7
894556800,57.6
894643200,53.9
894729600,51.7
894816000,53.4
894902400,52.3
894988800,57.9
895075200,50.9
895161600,50.8
895248000,49.7
895334400,49.5
895420800,46.3
895507200,48.8
895593600,60.3
895680000,56.9
895766400,50.0
895852800,48.1
895939200,52.8
896025600,58.4
896112000,63.5
896198400,54.2
896284800,50.1
896371200,55.4
896457600,54.9
896544000,52.6
896630400,60.4
896716800,48.5
896803200,49.0
896889600,46.7
896976000,49.6
897062400,54.7
897148800,50.5
897235200,49.5
897321600,51.6
897408000,60.2
897494400,57.6
897580800,61.5
897667200,59.7
897753600,53.4
897840000,54.4
897926400,49.2
898012800,50.5
898099200,54.8
898185600,55.0
898272000,51.5
898358400,54.1
898444800,59.8
898531200,60.8
898617600,58.7
898704000,59.4
898790400,52.9
898876800,55.1
898963200,58.9
899049600,61.4
899136000,65.8
899222400,67.6
899308800,62.6
899395200,67.1
899481600,61.8
899568000,64.6
899654400,67.8
899740800,66.8
899827200,68.6
899913600,66.0
900000000,67.4
900086400,67.9
900172800,66.2
900259200,69.3
900345600,70.8
900432000,71.1
900518400,74.8
900604800,74.8
900691200,77.1
900777600,76.9
900864000,78.3
900950400,70.5
901036800,69.7
901123200,71.7
901209600,71.0
901296000,71.5
901382400,74.8
901468800,75.2
901555200,75.6
901641600,66.5
901728000,69.4
901814400,65.9
901900800,65.0
901987200,64.9
902073600,67.6
902160000,68.4
902246400,71.1
902332800,73.7
902419200,71.6
902505600,67.5
902592000,69.2
902678400,74.9
902764800,70.9
902851200,73.1
902937600,71.3
903024000,72.6
903110400,67.3
903196800,74.9
903283200,66.8
903369600,65.8
903456000,65.3
903542400,70.9
903628800,69.4
903715200,63.6
903801600,62.9
903888000,61.7
903974400,61.0
904060800,64.6
904147200,64.7
904233600,66.0
904320000,67.8
904406400,73.9
904492800,70.4
904579200,69.1
904665600,68.5
904752000,70.4
904838400,69.5
904924800,69.9
905011200,75.6
905097600,73.7
905184000,71.8
905270400,64.2
905356800,63.3
905443200,61.9
905529600,63.4
905616000,60.3
905702400,64.3
905788800,64.9
905875200,67.6
905961600,68.5
906048000,65.9
906134400,57.5
906220800,49.4
906307200,46.5
906393600,48.3
906480000,50.6
906566400,56.7
906652800,56.8
906739200,50.5
906825600,49.3
906912000,53.7
906998400,52.9
907084800,52.8
907171200,49.5
907257600,52.9
907344000,42.1
907430400,41.5
907516800,45.3
907603200,50.6
907689600,48.0
907776000,53.0
907862400,48.8
907948800,44.2
908035200,38.9
908121600,42.9
908208000,47.2
908294400,47.9
908380800,42.2
908467200,39.7
908553600,34.2
908640000,46.5
908726400,42.4
908812800,36.7
908899200,37.5
908985600,38.1
909072000,51.0
909158400,45.9
909244800,48.6
909331200,51.3
909417600,39.7
909504000,42.8
909590400,39.7
909676800,32.2
909763200,29.7
909849600,31.4
909936000,34.2
910022400,39.6
910108800,28.7
910195200,36.4
910281600,33.9
910368000,29.8
910454400,27.4
910540800,21.7
910627200,20.0
910713600,28.6
910800000,37.1
910886400,44.0
910972800,44.5
911059200,41.5
911145600,44.4
911232000,31.4
911318400,28.9
911404800,34.6
911491200,29.1
911577600,46.7
911664000,40.7
911750400,32.1
911836800,36.6
