timestamp,value
788889600,34.9
788976000,28.9
789062400,16.5
789148800,27.5
789235200,31.6
789321600,28.3
789408000,27.4
789494400,33.3
789580800,32.2
789667200,30.6
789753600,26.1
789840000,22.3
789926400,15.3
790012800,21.9
790099200,33.2
790185600,30.9
790272000,33.3
790358400,30.5
790444800,22.3
790531200,23.2
790617600,22.3
790704000,22.4
790790400,27.3
790876800,33.8
790963200,31.3
791049600,32.8
791136000,29.7
791222400,18.0
791308800,22.3
791395200,18.1
791481600,10.4
791568000,23.6
791654400,34.0
791740800,28.9
791827200,34.8
791913600,30.1
792000000,31.8
792086400,25.7
792172800,22.4
792259200,24.2
792345600,30.7
792432000,25.6
792518400,20.9
792604800,34.6
792691200,33.8
792777600,35.6
792864000,36.1
792950400,35.5
793036800,34.3
793123200,34.4
793209600,34.7
793296000,33.4
793382400,33.6
793468800,34.9
793555200,34.3
793641600,33.4
793728000,30.7
793814400,31.0
793900800,32.5
793987200,34.4
794073600,34.5
794160000,33.8
794246400,33.9
794332800,33.2
794419200,30.9
794505600,33.2
794592000,32.1
794678400,33.8
794764800,32.9
794851200,34.2
794937600,33.6
795024000,31.3
795110400,29.2
795196800,30.9
795283200,30.9
795369600,31.7
795456000,32.3
795542400,34.1
795628800,34.2
795715200,32.5
795801600,31.5
795888000,34.4
795974400,35.8
796060800,34.1
796147200,34.1
796233600,31.7
796320000,29.8
796406400,29.4
796492800,26.8
796579200,27.6
796665600,30.7
796752000,31.5
796838400,29.4
796924800,32.3
797011200,33.4
797097600,32.1
797184000,32.7
797270400,34.8
797356800,33.5
797443200,33.8
797529600,33.7
797616000,36.1
797702400,38.2
797788800,37.1
797875200,42.5
797961600,43.4
798048000,37.8
798134400,37.5
798220800,40.6
798307200,48.2
798393600,42.6
798480000,43.0
798566400,51.6
798652800,55.8
798739200,44.8
798825600,39.6
798912000,38.9
798998400,40.3
799084800,34.1
799171200,33.5
799257600,35.1
799344000,37.8
799430400,50.0
799516800,48.5
799603200,47.7
799689600,46.2
799776000,48.7
799862400,41.5
799948800,39.3
800035200,39.1
800121600,37.5
800208000,35.8
800294400,44.4
800380800,35.6
800467200,38.1
800553600,41.8
800640000,45.1
800726400,50.0
800812800,54.6
800899200,47.4
800985600,55.2
801072000,47.8
801158400,47.8
801244800,48.0
801331200,57.8
801417600,59.3
801504000,53.0
801590400,59.4
801676800,68.5
801763200,71.0
801849600,71.7
801936000,69.6
802022400,69.6
802108800,73.3
802195200,67.5
802281600,62.9
802368000,61.4
802454400,59.4
802540800,61.4
802627200,63.5
802713600,60.2
802800000,59.8
802886400,67.7
802972800,69.4
803059200,73.3
803145600,71.7
803232000,63.9
803318400,62.4
803404800,57.8
803491200,56.4
803577600,59.2
803664000,63.1
803750400,66.6
803836800,61.0
803923200,63.0
804009600,70.6
804096000,67.9
804182400,61.3
804268800,58.3
804355200,55.5
804441600,51.7
804528000,52.0
804614400,56.2
804700800,58.2
804787200,57.0
804873600,52.7
804960000,57.2
805046400,57.7
805132800,64.6
805219200,59.9
805305600,57.7
805392000,61.2
805478400,60.1
805564800,59.6
805651200,61.4
805737600,57.0
805824000,59.3
805910400,63.4
805996800,62.2
806083200,61.0
806169600,61.5
806256000,61.4
806342400,64.0
806428800,61.1
806515200,60.8
806601600,60.3
806688000,61.5
806774400,63.4
806860800,68.8
806947200,72.3
807033600,70.2
807120000,66.1
807206400,62.8
807292800,64.7
807379200,65.2
807465600,63.1
807552000,60.0
807638400,64.6
807724800,61.0
807811200,54.5
807897600,56.1
807984000,57.6
808070400,57.7
808156800,61.5
808243200,58.8
808329600,60.1
808416000,62.5
808502400,64.0
808588800,69.6
808675200,70.5
808761600,64.9
808848000,58.7
808934400,57.7
809020800,63.3
809107200,66.4
809193600,64.6
809280000,62.8
809366400,59.5
809452800,55.0
809539200,56.1
809625600,52.9
809712000,58.5
809798400,59.0
809884800,57.6
809971200,58.2
810057600,66.3
810144000,61.6
810230400,62.3
810316800,60.9
810403200,58.5
810489600,57.0
810576000,51.7
810662400,50.4
810748800,51.1
810835200,50.2
810921600,49.3
811008000,50.1
811094400,47.9
811180800,45.7
811267200,46.0
811353600,47.2
811440000,45.9
811526400,45.5
811612800,46.3
811699200,48.7
811785600,50.9
811872000,50.6
811958400,54.4
812044800,52.6
812131200,47.9
812217600,45.3
812304000,46.3
812390400,46.3
812476800,45.4
812563200,43.6
812649600,50.8
812736000,53.2
812822400,52.6
812908800,51.4
812995200,50.6
813081600,52.0
813168000,53.6
813254400,52.8
813340800,51.7
813427200,47.6
813513600,51.0
813600000,43.9
813686400,39.7
813772800,47.8
813859200,52.9
813945600,50.7
814032000,47.1
814118400,42.0
814204800,36.4
814291200,34.4
814377600,46.1
814464000,47.3
814550400,47.5
814636800,48.7
814723200,49.0
814809600,47.2
814896000,38.4
814982400,37.6
815068800,26.7
815155200,22.2
815241600,23.2
815328000,24.8
815414400,25.4
815500800,26.8
815587200,33.6
815673600,27.4
815760000,23.5
815846400,33.7
815932800,36.0
816019200,30.8
816105600,26.7
816192000,36.8
816278400,35.2
816364800,36.0
816451200,28.2
816537600,23.0
816624000,23.8
816710400,18.6
816796800,18.1
816883200,28.6
816969600,34.1
817056000,35.2
817142400,38.1
817228800,33.8
817315200,34.4
817401600,25.3
817488000,8.8
817574400,22.2
817660800,28.0
817747200,32.2
817833600,23.3
817920000,13.5
818006400,12.9
818092800,16.6
818179200,21.7
818265600,25.0
818352000,23.9
818438400,29.2
818524800,31.8
818611200,31.1
818697600,27.6
818784000,28.1
818870400,22.3
818956800,28.3
819043200,33.0
819129600,30.2
819216000,12.1
819302400,9.4
819388800,15.9
819475200,4.1
819561600,-0.9
819648000,13.4
819734400,-3.8
819820800,-1.9
819907200,5.0
819993600,2.3
820080000,2.4
820166400,10.7
820252800,24.6
820339200,22.7
820425600,20.9
820512000,21.9
820598400,15.1
820684800,13.6
820771200,20.0
820857600,20.2
820944000,22.8
821030400,19.8
821116800,24.0
821203200,23.3
821289600,25.5
821376000,22.8
821462400,27.6
821548800,31.1
821635200,32.0
821721600,31.3
821808000,30.3
821894400,27.3
821980800,25.2
822067200,22.5
822153600,22.0
822240000,21.4
822326400,21.4
822412800,11.4
822499200,4.3
822585600,3.4
822672000,-1.2
822758400,24.1
822844800,24.8
822931200,26.4
823017600,19.4
823104000,25.4
823190400,11.2
823276800,8.8
823363200,12.1
823449600,10.5
823536000,5.7
823622400,8.9
823708800,11.3
823795200,-0.1
823881600,-5.0
823968000,-3.9
824054400,5.7
824140800,13.8
824227200,16.5
824313600,23.6
824400000,25.8
824486400,8.5
824572800,4.9
824659200,1.3
824745600,5.4
824832000,8.7
