timestamp,value
788889600,64.2
788976000,64.6
789062400,59.3
789148800,56.6
789235200,57.5
789321600,58.2
789408000,62.4
789494400,65.2
789580800,68.0
789667200,65.7
789753600,65.2
789840000,61.4
789926400,61.8
790012800,60.0
790099200,61.5
790185600,62.8
790272000,63.3
790358400,66.7
790444800,68.8
790531200,65.6
790617600,68.1
790704000,70.7
790790400,63.6
790876800,59.1
790963200,62.9
791049600,61.5
791136000,54.1
791222400,53.9
791308800,56.3
791395200,52.8
791481600,56.4
791568000,57.4
791654400,57.1
791740800,57.2
791827200,58.2
791913600,57.4
792000000,57.4
792086400,59.3
792172800,62.8
792259200,64.9
792345600,62.3
792432000,63.3
792518400,67.0
792604800,66.2
792691200,60.9
792777600,60.3
792864000,60.4
792950400,59.5
793036800,64.1
793123200,61.6
793209600,60.2
793296000,57.7
793382400,58.2
793468800,58.6
793555200,60.2
793641600,56.5
793728000,55.8
793814400,58.7
793900800,63.3
793987200,57.7
794073600,62.1
794160000,67.5
794246400,63.2
794332800,60.3
794419200,62.8
794505600,67.9
794592000,68.4
794678400,69.3
794764800,67.3
794851200,62.9
794937600,61.6
795024000,59.4
795110400,62.8
795196800,66.9
795283200,71.6
795369600,63.4
795456000,59.2
795542400,61.6
795628800,63.5
795715200,70.2
795801600,71.3
795888000,70.1
795974400,72.1
796060800,63.4
796147200,62.2
796233600,63.1
796320000,67.0
796406400,69.0
796492800,73.4
796579200,64.4
796665600,62.4
796752000,62.1
796838400,61.3
796924800,62.0
797011200,66.4
797097600,69.0
797184000,66.1
797270400,70.6
797356800,74.5
797443200,70.7
797529600,71.8
797616000,69.6
797702400,75.0
797788800,79.5
797875200,80.6
797961600,80.2
798048000,78.6
798134400,78.9
798220800,74.0
798307200,70.1
798393600,74.5
798480000,79.2
798566400,80.4
798652800,76.7
798739200,77.9
798825600,76.0
798912000,77.3
798998400,78.8
799084800,79.5
799171200,81.1
799257600,82.2
799344000,82.0
799430400,81.4
799516800,74.6
799603200,72.6
799689600,76.9
799776000,76.2
799862400,76.3
799948800,76.2
