timestamp,value
788889600,71.3
788976000,72.5
789062400,73.2
789148800,71.9
789235200,70.4
789321600,73.6
789408000,68.7
789494400,69.5
789580800,71.0
789667200,72.9
789753600,76.2
789840000,73.9
789926400,72.5
790012800,73.9
790099200,73.1
790185600,74.1
790272000,75.3
790358400,74.4
790444800,73.6
790531200,72.5
790617600,72.4
790704000,75.7
790790400,76.1
790876800,73.9
790963200,72.1
791049600,76.6
791136000,74.8
791222400,77.0
791308800,77.4
791395200,77.9
791481600,73.4
791568000,75.1
791654400,73.2
791740800,73.8
791827200,74.1
791913600,72.9
792000000,74.6
792086400,68.9
792172800,67.4
792259200,70.2
792345600,74.9
792432000,69.4
792518400,65.7
792604800,73.9
792691200,71.9
792777600,70.1
792864000,73.5
792950400,76.5
793036800,76.9
793123200,74.8
793209600,73.2
793296000,74.8
793382400,73.9
793468800,75.4
793555200,74.7
793641600,74.3
793728000,73.0
793814400,73.1
793900800,74.3
793987200,74.3
794073600,73.9
794160000,74.1
794246400,73.6
794332800,76.3
794419200,72.9
794505600,72.6
794592000,74.4
794678400,75.5
794764800,71.5
794851200,76.4
794937600,76.8
795024000,75.0
795110400,74.0
795196800,73.7
795283200,73.6
795369600,74.9
795456000,74.7
795542400,77.2
795628800,78.4
795715200,76.2
795801600,74.8
795888000,75.6
795974400,75.8
796060800,76.4
796147200,76.0
796233600,76.0
796320000,75.4
796406400,74.4
796492800,74.8
796579200,74.6
796665600,75.3
796752000,74.9
796838400,72.5
796924800,74.0
797011200,75.3
797097600,77.1
797184000,76.8
797270400,76.4
797356800,78.3
797443200,78.3
797529600,79.1
797616000,78.1
797702400,77.2
797788800,78.2
797875200,76.7
797961600,77.1
798048000,77.9
798134400,77.1
798220800,77.3
798307200,76.5
798393600,76.2
798480000,74.8
798566400,73.6
798652800,74.6
798739200,72.5
798825600,72.3
798912000,71.6
798998400,71.6
799084800,69.7
799171200,71.6
799257600,71.5
799344000,74.4
799430400,76.8
799516800,78.6
799603200,79.5
799689600,78.0
799776000,73.3
799862400,74.6
799948800,76.4
800035200,77.5
800121600,78.0
800208000,78.3
800294400,78.9
800380800,79.0
800467200,77.7
800553600,77.3
800640000,77.4
800726400,76.6
800812800,75.8
800899200,75.1
800985600,75.9
801072000,75.9
801158400,80.4
801244800,80.6
801331200,78.7
801417600,78.4
801504000,79.7
801590400,79.2
801676800,79.6
801763200,79.3
801849600,79.4
801936000,79.7
802022400,78.5
802108800,79.4
802195200,79.4
802281600,79.1
802368000,80.1
802454400,79.7
802540800,80.2
802627200,80.6
802713600,79.9
802800000,80.1
802886400,79.9
802972800,79.2
803059200,79.8
803145600,81.1
803232000,80.6
803318400,80.9
803404800,81.0
803491200,81.1
803577600,80.4
803664000,80.0
803750400,79.2
803836800,80.3
803923200,80.6
804009600,81.2
804096000,80.2
804182400,80.6
804268800,80.8
804355200,82.1
804441600,81.3
804528000,81.2
804614400,80.7
804700800,81.5
804787200,79.7
804873600,82.2
804960000,82.1
805046400,82.2
805132800,82.0
805219200,82.2
805305600,80.6
805392000,82.0
805478400,81.7
805564800,82.3
805651200,81.5
805737600,83.6
805824000,83.7
805910400,82.9
805996800,80.3
806083200,81.7
806169600,83.1
806256000,82.6
806342400,82.2
806428800,81.5
806515200,81.0
806601600,83.0
806688000,82.5
806774400,82.9
806860800,82.0
806947200,81.8
807033600,82.4
807120000,82.2
807206400,82.0
807292800,82.7
807379200,82.3
807465600,82.5
807552000,83.5
807638400,82.8
807724800,82.7
807811200,83.2
807897600,80.8
807984000,81.0
808070400,79.7
808156800,81.7
808243200,82.0
808329600,81.1
808416000,81.2
808502400,80.4
808588800,81.4
808675200,81.9
808761600,82.4
808848000,82.6
808934400,82.8
809020800,82.7
809107200,83.1
809193600,83.8
809280000,82.6
809366400,81.5
809452800,82.2
809539200,82.6
809625600,82.3
809712000,83.0
809798400,82.5
809884800,82.0
809971200,81.8
810057600,81.8
810144000,82.4
810230400,82.1
810316800,80.7
810403200,80.8
810489600,81.6
810576000,82.2
810662400,82.2
810748800,80.3
810835200,80.7
810921600,81.4
811008000,82.1
811094400,83.0
811180800,82.9
811267200,83.5
811353600,83.4
811440000,84.0
811526400,83.3
811612800,82.5
811699200,82.8
811785600,82.8
811872000,83.3
811958400,83.3
812044800,84.0
812131200,83.0
812217600,83.6
812304000,81.9
812390400,82.2
812476800,83.4
812563200,83.0
812649600,82.7
812736000,82.2
812822400,82.4
812908800,82.1
812995200,80.5
813081600,79.7
813168000,81.8
813254400,81.5
813340800,81.4
813427200,81.7
813513600,82.1
813600000,81.8
813686400,81.4
813772800,82.6
813859200,82.5
813945600,82.1
814032000,82.0
814118400,81.4
814204800,81.9
814291200,81.6
814377600,82.1
814464000,81.3
814550400,81.3
814636800,80.8
814723200,79.0
814809600,77.8
814896000,77.3
814982400,78.6
815068800,77.3
815155200,78.4
815241600,80.3
815328000,82.8
815414400,80.5
815500800,81.0
815587200,79.7
815673600,79.4
815760000,79.5
815846400,81.2
815932800,82.0
816019200,81.5
816105600,78.7
816192000,75.7
816278400,76.0
816364800,78.1
816451200,77.5
816537600,79.6
816624000,80.7
816710400,81.0
816796800,77.8
816883200,78.0
816969600,77.2
817056000,77.7
817142400,77.0
817228800,80.7
817315200,81.0
817401600,81.0
817488000,78.5
817574400,79.0
817660800,79.3
817747200,78.8
817833600,77.5
817920000,78.2
818006400,78.3
818092800,77.2
818179200,80.7
818265600,81.0
818352000,81.4
818438400,81.6
818524800,81.4
818611200,78.9
818697600,78.4
818784000,81.0
818870400,80.5
818956800,79.9
