timestamp,value
788889600,52.2
788976000,38.5
789062400,42.0
789148800,41.2
789235200,37.2
789321600,52.1
789408000,51.8
789494400,51.0
789580800,62.4
789667200,68.7
789753600,72.4
789840000,71.6
789926400,60.5
790012800,53.3
790099200,51.3
790185600,56.1
790272000,62.8
790358400,65.4
790444800,48.6
790531200,52.0
790617600,52.4
790704000,58.1
790790400,46.8
790876800,42.9
790963200,55.2
791049600,61.7
791136000,69.1
791222400,62.4
791308800,49.8
791395200,46.5
791481600,47.1
791568000,55.7
791654400,58.9
791740800,66.3
791827200,55.7
791913600,56.5
792000000,54.2
792086400,53.6
792172800,45.6
792259200,53.0
792345600,67.6
792432000,64.9
792518400,41.5
792604800,44.6
792691200,49.8
792777600,66.7
792864000,64.5
792950400,52.9
793036800,52.1
793123200,61.4
793209600,60.9
793296000,60.9
793382400,59.2
793468800,65.9
793555200,64.2
793641600,58.4
793728000,63.2
793814400,70.5
793900800,64.7
793987200,53.6
794073600,48.5
794160000,44.3
794246400,48.5
794332800,59.5
794419200,68.5
794505600,60.7
794592000,43.2
794678400,46.7
794764800,52.0
794851200,59.2
794937600,66.9
795024000,65.4
795110400,61.2
795196800,59.5
795283200,58.9
795369600,62.0
795456000,65.4
795542400,68.4
795628800,71.3
795715200,74.0
795801600,75.0
795888000,76.5
795974400,73.4
796060800,72.7
796147200,75.9
796233600,70.5
796320000,65.6
796406400,54.2
796492800,58.3
796579200,61.8
796665600,60.6
796752000,61.4
796838400,64.5
796924800,65.3
797011200,63.8
797097600,61.0
797184000,65.4
797270400,71.9
797356800,73.7
797443200,74.4
797529600,61.8
797616000,62.1
797702400,67.7
797788800,67.4
797875200,70.3
797961600,75.1
798048000,76.2
798134400,75.1
798220800,76.5
798307200,74.5
798393600,67.8
798480000,77.9
798566400,62.1
798652800,57.4
798739200,61.3
798825600,65.6
798912000,69.1
798998400,70.3
799084800,74.4
799171200,77.2
799257600,76.2
799344000,66.9
799430400,71.5
799516800,79.1
799603200,77.9
799689600,78.8
799776000,79.2
799862400,72.7
799948800,73.3
800035200,79.1
800121600,74.0
800208000,75.1
800294400,83.0
800380800,84.5
800467200,83.4
800553600,82.6
800640000,82.6
800726400,81.1
800812800,69.4
800899200,70.5
800985600,73.5
801072000,76.2
801158400,79.2
801244800,80.4
801331200,78.4
801417600,80.1
801504000,80.7
801590400,83.8
