timestamp,value
788889600,48.8
788976000,32.1
789062400,31.2
789148800,32.5
789235200,21.1
789321600,35.7
789408000,41.8
789494400,33.9
789580800,41.2
789667200,43.8
789753600,55.4
789840000,62.2
789926400,61.0
790012800,58.2
790099200,48.5
790185600,41.2
790272000,39.4
790358400,47.1
790444800,50.7
790531200,37.4
790617600,34.9
790704000,30.8
790790400,33.4
790876800,31.0
790963200,37.0
791049600,40.6
791136000,41.5
791222400,54.1
791308800,41.8
791395200,32.7
791481600,32.7
791568000,40.2
791654400,55.6
791740800,52.5
791827200,40.0
791913600,31.8
792000000,24.9
792086400,30.6
792172800,23.4
792259200,23.5
792345600,36.5
792432000,37.1
792518400,24.8
792604800,28.5
792691200,37.7
792777600,53.4
792864000,52.1
792950400,42.6
793036800,49.1
793123200,50.8
793209600,52.4
793296000,47.9
793382400,43.5
793468800,57.5
793555200,50.4
793641600,42.1
793728000,51.6
793814400,58.0
793900800,56.7
793987200,42.2
794073600,36.0
794160000,36.0
794246400,43.5
794332800,50.8
794419200,57.9
794505600,63.5
794592000,40.4
794678400,34.0
794764800,39.6
794851200,50.7
794937600,57.4
795024000,64.0
795110400,64.0
795196800,62.6
795283200,60.2
795369600,58.6
795456000,61.5
795542400,60.3
795628800,65.3
795715200,59.8
795801600,63.0
795888000,71.5
795974400,59.4
796060800,55.6
796147200,66.5
796233600,70.3
796320000,56.2
796406400,54.4
796492800,53.5
796579200,50.8
796665600,46.8
796752000,51.2
796838400,57.5
796924800,60.4
797011200,53.1
797097600,59.2
797184000,61.9
797270400,65.3
797356800,69.0
797443200,69.1
797529600,69.3
797616000,60.6
797702400,56.9
797788800,56.5
797875200,61.9
797961600,66.6
798048000,68.5
798134400,72.3
798220800,70.7
798307200,67.0
798393600,67.7
798480000,63.9
798566400,61.7
798652800,51.0
798739200,53.4
798825600,57.9
798912000,60.6
798998400,56.0
799084800,59.5
799171200,64.7
799257600,60.6
799344000,53.5
799430400,53.9
799516800,57.9
799603200,61.0
799689600,58.9
799776000,64.5
799862400,73.5
799948800,76.9
800035200,75.3
800121600,70.3
800208000,64.5
800294400,71.8
800380800,78.1
800467200,74.6
800553600,72.3
800640000,77.8
800726400,77.3
800812800,68.7
800899200,62.8
