timestamp,value
788889600,33.7
788976000,19.9
789062400,20.2
789148800,10.9
789235200,8.3
789321600,23.8
789408000,28.0
789494400,22.4
789580800,25.2
789667200,28.7
789753600,40.9
789840000,56.2
789926400,59.4
790012800,55.2
790099200,38.0
790185600,32.8
790272000,35.3
790358400,44.7
790444800,46.1
790531200,34.1
790617600,24.8
790704000,22.6
790790400,19.5
790876800,17.0
790963200,16.1
791049600,15.5
791136000,24.1
791222400,30.8
791308800,20.4
791395200,20.4
791481600,26.7
791568000,37.4
791654400,35.7
791740800,30.7
791827200,26.5
791913600,16.5
792000000,9.6
792086400,12.2
792172800,11.2
792259200,16.5
792345600,32.2
792432000,19.7
792518400,6.3
792604800,16.5
792691200,24.1
792777600,36.5
792864000,32.1
792950400,30.9
793036800,35.1
793123200,40.6
793209600,40.1
793296000,34.4
793382400,34.9
793468800,48.2
793555200,35.2
793641600,38.2
793728000,51.1
793814400,48.3
793900800,36.9
793987200,28.1
794073600,22.7
794160000,26.2
794246400,32.7
794332800,43.8
794419200,40.4
794505600,50.9
794592000,29.2
794678400,26.0
794764800,32.6
794851200,46.3
794937600,53.6
795024000,62.0
795110400,66.7
795196800,62.1
795283200,59.6
795369600,57.7
795456000,52.3
795542400,57.4
795628800,58.4
795715200,48.2
795801600,48.5
795888000,47.7
795974400,43.2
796060800,46.1
796147200,48.3
796233600,48.2
796320000,43.4
796406400,41.8
796492800,39.2
796579200,37.9
796665600,38.1
796752000,43.2
796838400,51.7
796924800,43.1
797011200,31.1
797097600,51.1
797184000,53.9
797270400,62.4
797356800,53.9
797443200,42.6
797529600,55.3
797616000,50.7
797702400,45.9
797788800,47.9
797875200,51.6
797961600,60.3
798048000,65.5
798134400,69.2
798220800,54.8
798307200,48.0
798393600,61.9
798480000,48.5
798566400,46.1
798652800,46.9
798739200,49.9
798825600,54.4
798912000,56.8
798998400,48.4
799084800,54.3
799171200,51.9
799257600,46.5
799344000,51.1
799430400,51.8
799516800,53.2
799603200,52.9
799689600,58.2
799776000,62.4
799862400,64.7
799948800,67.6
800035200,65.7
800121600,55.3
800208000,57.8
800294400,57.1
800380800,69.6
800467200,64.5
800553600,62.6
800640000,67.3
800726400,57.6
800812800,56.8
800899200,62.7
800985600,64.6
801072000,63.8
801158400,66.8
801244800,73.0
801331200,62.9
801417600,61.1
801504000,65.1
801590400,72.4
801676800,61.5
801763200,62.2
801849600,66.6
801936000,66.9
802022400,66.3
802108800,69.1
802195200,67.4
802281600,70.1
802368000,74.5
802454400,74.5
802540800,75.8
802627200,73.7
802713600,75.6
802800000,68.2
802886400,61.5
802972800,61.0
803059200,68.7
803145600,73.6
803232000,74.2
803318400,76.4
803404800,76.8
803491200,76.6
803577600,80.1
803664000,72.4
803750400,73.5
803836800,77.7
803923200,73.3
804009600,72.9
804096000,75.2
804182400,73.0
804268800,72.7
804355200,72.8
804441600,73.1
804528000,68.6
804614400,64.3
804700800,65.8
804787200,72.9
804873600,75.4
804960000,75.7
805046400,71.8
805132800,69.8
805219200,73.1
805305600,74.3
805392000,76.7
805478400,81.1
805564800,84.1
805651200,86.0
805737600,82.9
805824000,79.0
805910400,80.1
805996800,75.2
806083200,76.1
806169600,74.2
806256000,73.9
806342400,76.2
806428800,72.6
806515200,74.5
806601600,76.6
806688000,77.6
806774400,78.2
806860800,78.3
806947200,80.6
807033600,82.0
807120000,82.4
807206400,81.3
807292800,79.8
807379200,82.0
807465600,77.1
807552000,73.2
807638400,72.9
807724800,73.5
807811200,76.4
807897600,75.7
807984000,76.7
808070400,80.8
808156800,83.3
808243200,84.2
808329600,80.9
808416000,81.4
808502400,82.9
808588800,80.9
808675200,81.2
808761600,79.0
808848000,79.8
808934400,79.4
809020800,77.1
809107200,75.2
809193600,71.6
809280000,76.2
809366400,77.8
809452800,77.5
809539200,77.6
809625600,77.9
809712000,75.2
809798400,78.8
809884800,75.4
809971200,69.8
810057600,69.8
810144000,73.5
810230400,74.0
810316800,75.9
810403200,73.6
810489600,62.7
810576000,59.7
810662400,62.1
810748800,61.3
810835200,69.6
810921600,72.6
811008000,68.1
811094400,66.4
811180800,66.8
811267200,65.8
811353600,56.9
811440000,61.4
811526400,63.8
811612800,60.4
811699200,48.9
811785600,46.0
811872000,51.2
811958400,56.4
812044800,55.1
812131200,60.3
812217600,64.4
812304000,64.6
812390400,67.6
812476800,69.1
812563200,62.5
812649600,61.5
812736000,55.8
812822400,58.9
812908800,62.0
812995200,54.9
813081600,52.1
813168000,57.1
813254400,61.0
813340800,62.9
813427200,65.4
813513600,66.2
813600000,57.3
813686400,46.3
813772800,46.3
813859200,52.8
813945600,63.4
814032000,63.8
814118400,52.7
814204800,40.6
814291200,46.4
814377600,59.2
814464000,52.1
814550400,43.9
814636800,50.3
814723200,56.6
814809600,48.2
814896000,46.4
814982400,50.3
815068800,53.2
815155200,59.1
815241600,62.4
815328000,34.2
815414400,28.2
815500800,23.9
815587200,33.4
815673600,47.3
815760000,33.2
815846400,27.9
815932800,49.6
816019200,42.1
816105600,22.4
816192000,37.3
816278400,33.0
816364800,30.8
816451200,32.3
816537600,38.6
816624000,41.6
816710400,37.8
816796800,42.9
816883200,36.8
816969600,28.6
817056000,36.7
817142400,27.9
817228800,34.1
817315200,45.3
817401600,56.7
817488000,34.5
817574400,31.2
817660800,33.0
817747200,51.1
817833600,42.7
817920000,55.1
818006400,38.5
818092800,42.2
818179200,29.1
818265600,27.2
818352000,25.6
818438400,12.3
818524800,8.3
818611200,17.5
818697600,23.6
818784000,30.3
818870400,53.0
818956800,39.4
819043200,36.7
819129600,34.8
819216000,35.5
819302400,30.7
819388800,19.6
819475200,19.4
819561600,22.7
819648000,15.3
819734400,23.6
819820800,25.4
819907200,17.1
819993600,25.6
820080000,24.6
820166400,18.2
820252800,24.4
820339200,36.0
820425600,35.1
820512000,31.8
820598400,17.2
820684800,12.0
820771200,16.0
820857600,14.4
820944000,16.7
821030400,12.3
821116800,22.5
821203200,25.6
821289600,23.3
821376000,22.6
821462400,28.4
821548800,32.3
821635200,31.4
821721600,32.0
821808000,50.0
821894400,55.0
821980800,14.7
822067200,14.0
822153600,25.6
822240000,34.1
822326400,40.1
822412800,31.7
822499200,21.2
822585600,34.9
822672000,28.7
822758400,22.5
822844800,33.5
822931200,16.6
823017600,4.7
823104000,4.7
823190400,3.8
823276800,-3.8
823363200,-5.6
823449600,6.5
823536000,19.8
823622400,34.8
823708800,44.9
823795200,37.9
823881600,45.6
823968000,36.6
824054400,27.0
824140800,27.4
824227200,34.9
824313600,29.1
824400000,24.8
824486400,24.8
824572800,22.6
824659200,34.7
824745600,45.2
824832000,44.3
824918400,42.8
825004800,50.4
825091200,46.6
825177600,48.8
825264000,55.3
825350400,63.3
825436800,29.2
825523200,20.0
825609600,23.8
825696000,30.6
825782400,17.7
825868800,27.1
825955200,49.2
826041600,34.4
826128000,20.8
826214400,13.3
826300800,17.2
826387200,25.5
826473600,30.4
826560000,39.6
826646400,46.7
826732800,54.1
826819200,52.5
826905600,41.2
826992000,43.4
827078400,38.3
827164800,38.4
827251200,31.7
827337600,27.4
827424000,29.0
827510400,33.9
827596800,45.5
827683200,46.3
827769600,25.2
827856000,30.8
827942400,42.0
828028800,40.1
828115200,49.2
828201600,49.8
828288000,37.6
828374400,44.8
828460800,58.0
828547200,47.1
828633600,33.9
828720000,36.1
828806400,33.7
828892800,36.2
828979200,33.6
829065600,41.9
829152000,50.4
829238400,50.4
829324800,53.0
829411200,41.9
829497600,47.5
829584000,41.1
829670400,44.0
829756800,44.0
829843200,63.3
829929600,63.1
830016000,63.1
830102400,62.6
830188800,50.5
830275200,46.8
830361600,61.8
830448000,50.6
830534400,46.0
830620800,50.9
830707200,55.7
830793600,43.5
830880000,53.4
830966400,53.7
831052800,60.8
831139200,58.1
831225600,57.2
831312000,54.9
831398400,53.9
831484800,63.0
831571200,67.6
831657600,70.7
831744000,52.4
831830400,48.0
831916800,45.6
832003200,52.0
832089600,56.4
832176000,67.3
832262400,71.2
832348800,76.8
832435200,78.2
832521600,80.0
832608000,66.4
832694400,70.2
832780800,66.6
832867200,63.7
832953600,57.1
833040000,60.1
833126400,56.2
833212800,60.2
833299200,61.0
833385600,60.5
833472000,67.0
833558400,65.6
833644800,65.7
833731200,68.2
833817600,62.1
833904000,59.3
833990400,66.6
834076800,66.3
834163200,64.7
834249600,66.3
834336000,63.0
834422400,64.0
834508800,61.3
834595200,68.2
834681600,75.2
834768000,71.9
834854400,77.8
834940800,80.7
835027200,76.5
835113600,73.8
835200000,74.1
835286400,78.3
835372800,79.8
835459200,73.5
835545600,81.6
835632000,68.4
835718400,70.4
835804800,74.5
835891200,78.9
835977600,79.8
836064000,82.1
836150400,83.7
836236800,78.7
836323200,69.8
836409600,67.2
836496000,70.8
836582400,74.6
836668800,79.0
836755200,77.5
836841600,71.1
836928000,66.7
837014400,70.4
837100800,73.8
837187200,77.8
837273600,74.1
837360000,70.9
837446400,75.5
837532800,78.2
837619200,78.8
837705600,83.1
837792000,73.3
837878400,66.5
837964800,63.5
838051200,68.7
838137600,72.0
838224000,70.0
838310400,70.1
838396800,72.1
838483200,71.0
838569600,73.6
838656000,70.9
838742400,69.2
838828800,69.0
838915200,72.8
839001600,73.5
839088000,76.5
839174400,78.7
839260800,81.6
839347200,82.6
839433600,79.8
839520000,71.9
839606400,71.4
839692800,72.5
839779200,73.2
839865600,73.4
839952000,74.9
840038400,74.4
840124800,72.1
840211200,70.9
840297600,73.4
840384000,76.9
840470400,80.2
840556800,80.0
840643200,80.0
840729600,76.6
840816000,74.1
840902400,72.4
840988800,73.4
841075200,72.7
841161600,72.8
841248000,73.1
841334400,72.1
841420800,73.9
841507200,72.9
841593600,73.5
841680000,75.6
841766400,76.9
841852800,75.7
841939200,77.4
842025600,76.0
842112000,72.2
842198400,72.7
842284800,70.7
842371200,70.3
842457600,67.4
842544000,59.0
842630400,54.5
842716800,57.5
