timestamp,value
788889600,46.2
788976000,49.2
789062400,48.8
789148800,49.2
789235200,48.6
789321600,49.2
789408000,49.8
789494400,47.2
789580800,45.9
789667200,49.9
789753600,47.0
789840000,48.1
789926400,52.4
790012800,49.4
790099200,46.2
790185600,46.1
790272000,46.3
790358400,50.9
790444800,53.1
790531200,49.6
790617600,47.3
790704000,47.9
790790400,48.1
790876800,49.3
790963200,50.6
791049600,51.2
791136000,50.7
791222400,51.6
791308800,53.1
791395200,54.8
791481600,49.7
791568000,51.6
791654400,54.0
791740800,55.2
791827200,52.7
791913600,52.5
792000000,54.8
792086400,55.6
792172800,57.1
792259200,58.4
792345600,58.9
792432000,53.9
792518400,57.3
792604800,58.5
792691200,52.4
792777600,56.6
792864000,55.7
792950400,53.0
793036800,48.1
793123200,53.6
793209600,52.4
793296000,50.3
793382400,52.5
793468800,48.4
793555200,54.7
793641600,53.6
793728000,58.5
793814400,50.9
793900800,49.2
793987200,55.5
794073600,54.4
794160000,63.7
794246400,61.1
794332800,58.8
794419200,60.7
794505600,60.2
794592000,54.0
794678400,57.7
794764800,58.4
794851200,59.1
794937600,62.8
795024000,63.8
795110400,62.9
795196800,63.3
795283200,67.5
795369600,67.0
795456000,69.3
795542400,68.5
795628800,70.3
795715200,72.2
795801600,69.6
795888000,67.4
795974400,64.1
796060800,63.8
796147200,67.2
796233600,65.4
796320000,58.7
796406400,58.7
796492800,63.3
796579200,59.8
796665600,61.1
796752000,63.8
796838400,67.6
796924800,70.2
797011200,71.8
797097600,74.0
797184000,69.7
797270400,67.6
797356800,59.4
797443200,69.8
797529600,65.5
797616000,68.8
797702400,69.4
797788800,68.8
797875200,65.5
797961600,71.7
798048000,68.1
798134400,64.9
798220800,64.9
798307200,70.8
798393600,71.2
798480000,67.2
798566400,72.9
798652800,75.1
798739200,70.6
798825600,71.4
798912000,76.5
798998400,78.4
799084800,75.2
799171200,74.4
799257600,77.5
799344000,79.7
799430400,83.3
799516800,81.5
799603200,83.0
799689600,89.7
799776000,91.3
799862400,89.4
799948800,86.8
800035200,90.0
800121600,84.4
800208000,87.0
800294400,91.1
800380800,97.1
800467200,92.7
800553600,94.4
800640000,88.8
800726400,75.9
800812800,77.3
800899200,80.9
800985600,81.5
801072000,71.3
801158400,80.2
801244800,78.3
801331200,74.5
801417600,79.1
801504000,78.7
801590400,85.7
801676800,86.8
801763200,89.3
801849600,89.8
801936000,90.1
802022400,93.1
802108800,87.8
802195200,87.8
802281600,92.9
802368000,92.8
802454400,94.1
802540800,101.0
802627200,93.9
802713600,95.5
802800000,99.8
802886400,94.0
802972800,96.4
803059200,93.6
803145600,93.9
803232000,99.0
803318400,96.2
803404800,96.0
803491200,83.9
803577600,84.6
803664000,79.9
803750400,80.8
803836800,82.9
803923200,89.8
804009600,92.4
804096000,94.4
804182400,94.8
804268800,94.5
804355200,95.5
804441600,94.1
804528000,90.8
804614400,95.8
804700800,90.7
804787200,87.3
804873600,87.9
804960000,80.4
805046400,90.6
805132800,83.1
805219200,85.2
805305600,85.7
805392000,79.5
805478400,81.3
805564800,84.5
805651200,84.4
805737600,82.5
805824000,85.9
805910400,91.2
805996800,86.1
806083200,80.6
806169600,79.5
806256000,80.1
806342400,84.3
806428800,81.3
806515200,75.7
806601600,74.7
806688000,75.2
806774400,72.4
806860800,69.8
806947200,80.6
807033600,86.9
807120000,87.4
807206400,85.6
807292800,79.6
807379200,82.8
807465600,79.3
807552000,84.5
807638400,82.3
807724800,86.0
807811200,78.7
807897600,83.2
807984000,82.2
808070400,88.3
808156800,87.7
808243200,85.3
808329600,81.5
808416000,83.9
808502400,81.9
808588800,80.8
808675200,82.0
808761600,85.0
808848000,79.6
808934400,78.2
809020800,84.8
809107200,85.5
809193600,82.2
809280000,81.3
809366400,81.6
809452800,82.7
809539200,84.2
809625600,83.3
809712000,80.5
809798400,74.8
809884800,81.4
809971200,83.9
810057600,79.9
810144000,79.6
810230400,80.7
810316800,82.2
810403200,84.9
810489600,83.4
810576000,82.7
810662400,83.4
810748800,76.4
810835200,80.7
810921600,81.4
811008000,81.5
811094400,79.0
811180800,82.9
811267200,81.3
811353600,81.2
811440000,80.8
811526400,79.7
811612800,82.2
811699200,81.4
811785600,83.2
811872000,77.8
811958400,81.0
812044800,82.5
812131200,78.9
812217600,79.1
812304000,75.8
812390400,76.6
812476800,78.9
812563200,80.3
812649600,79.2
812736000,80.9
812822400,75.3
812908800,77.0
812995200,79.0
813081600,77.4
813168000,79.7
813254400,79.3
813340800,76.8
813427200,74.7
813513600,74.9
813600000,72.4
813686400,66.5
813772800,71.4
813859200,70.7
813945600,69.8
814032000,68.5
814118400,68.2
814204800,68.6
814291200,65.2
814377600,62.1
814464000,66.3
814550400,66.7
814636800,68.9
814723200,69.1
814809600,68.8
814896000,67.7
814982400,67.5
815068800,64.6
815155200,65.1
815241600,61.1
815328000,62.5
815414400,67.1
815500800,68.3
815587200,65.3
815673600,62.2
815760000,65.7
815846400,64.8
815932800,59.9
816019200,64.6
816105600,61.7
816192000,61.7
816278400,63.6
816364800,61.6
816451200,64.5
816537600,61.8
816624000,60.4
816710400,60.4
816796800,59.9
816883200,58.2
816969600,59.0
817056000,55.8
817142400,50.6
817228800,56.3
817315200,56.5
817401600,53.6
817488000,46.5
817574400,47.1
817660800,48.9
817747200,49.8
817833600,51.0
817920000,46.5
818006400,52.0
818092800,49.6
818179200,53.6
818265600,51.3
818352000,48.6
818438400,51.0
818524800,50.9
818611200,50.5
818697600,51.1
818784000,52.2
818870400,51.4
818956800,46.9
819043200,48.3
819129600,48.8
819216000,49.5
819302400,49.4
819388800,52.4
819475200,51.0
819561600,50.9
819648000,49.5
819734400,49.8
819820800,48.4
819907200,49.6
819993600,51.4
820080000,50.8
820166400,51.9
820252800,51.5
820339200,54.3
820425600,52.1
