timestamp,value
788889600,55.0
788976000,57.1
789062400,44.4
789148800,47.6
789235200,44.1
789321600,45.2
789408000,49.5
789494400,42.5
789580800,43.6
789667200,41.0
789753600,42.3
789840000,44.8
789926400,38.3
790012800,39.3
790099200,38.9
790185600,33.9
790272000,35.2
790358400,32.4
790444800,33.6
790531200,38.6
790617600,37.8
790704000,36.8
790790400,42.9
790876800,51.0
790963200,44.7
791049600,48.8
791136000,53.9
791222400,40.7
791308800,43.6
791395200,48.4
791481600,51.2
791568000,42.1
791654400,38.8
791740800,40.0
791827200,39.9
791913600,37.6
792000000,37.1
792086400,41.4
792172800,45.2
792259200,51.4
792345600,53.3
792432000,47.8
792518400,45.9
792604800,45.5
792691200,43.4
792777600,43.9
792864000,44.4
792950400,42.7
793036800,49.4
793123200,52.5
793209600,43.7
793296000,42.8
793382400,45.5
793468800,49.0
793555200,50.3
793641600,54.3
793728000,53.1
793814400,55.9
793900800,49.4
793987200,46.1
794073600,49.6
794160000,55.7
794246400,54.2
794332800,58.4
794419200,53.1
794505600,51.7
794592000,49.7
794678400,49.4
794764800,50.5
794851200,47.1
794937600,45.8
795024000,41.1
795110400,41.4
795196800,43.2
795283200,40.4
795369600,44.5
795456000,47.7
795542400,51.3
795628800,55.7
795715200,48.4
795801600,42.8
795888000,42.7
795974400,41.6
796060800,43.0
796147200,50.4
796233600,54.8
796320000,57.8
796406400,46.2
796492800,47.3
796579200,45.8
796665600,41.0
796752000,42.5
796838400,47.8
796924800,54.5
797011200,56.4
797097600,57.4
797184000,57.0
797270400,56.6
797356800,45.6
797443200,42.8
797529600,44.7
797616000,48.8
797702400,47.6
797788800,49.3
797875200,49.7
797961600,52.6
798048000,53.2
798134400,51.0
798220800,52.7
798307200,57.2
798393600,57.8
798480000,59.8
798566400,59.7
798652800,53.7
798739200,58.2
798825600,64.1
798912000,62.2
798998400,61.2
799084800,60.4
799171200,61.8
799257600,58.5
799344000,55.7
799430400,54.9
799516800,50.9
799603200,51.1
799689600,54.0
799776000,57.6
799862400,61.6
799948800,63.8
800035200,65.1
800121600,65.4
800208000,68.0
800294400,73.1
800380800,70.5
800467200,61.7
800553600,59.1
800640000,58.5
800726400,58.6
800812800,62.0
800899200,63.2
800985600,63.9
801072000,66.1
801158400,64.1
801244800,63.7
801331200,69.7
801417600,66.4
801504000,68.6
801590400,65.9
801676800,66.9
801763200,67.5
801849600,68.0
801936000,68.8
802022400,75.6
802108800,72.6
802195200,73.7
802281600,72.9
802368000,72.7
802454400,72.8
802540800,72.3
802627200,67.7
802713600,67.1
802800000,69.9
802886400,76.2
802972800,79.9
803059200,77.7
803145600,74.9
803232000,77.0
803318400,76.1
803404800,74.7
803491200,74.1
803577600,72.8
803664000,71.8
803750400,75.0
803836800,78.0
803923200,78.3
804009600,76.3
804096000,77.5
804182400,73.8
804268800,71.8
804355200,71.6
804441600,73.2
804528000,75.7
804614400,75.5
804700800,75.9
804787200,75.0
804873600,76.1
804960000,78.6
805046400,77.1
805132800,75.0
805219200,70.9
805305600,68.6
805392000,72.8
805478400,74.7
805564800,76.0
805651200,77.2
805737600,75.5
805824000,77.8
805910400,77.9
805996800,79.2
806083200,78.4
806169600,78.1
806256000,76.2
806342400,76.2
806428800,76.9
806515200,78.8
806601600,77.2
806688000,77.9
806774400,78.1
806860800,76.8
806947200,76.2
807033600,75.0
807120000,75.9
807206400,76.6
807292800,76.8
807379200,77.0
807465600,76.9
807552000,76.8
807638400,77.5
807724800,77.2
807811200,77.5
807897600,76.0
807984000,77.9
808070400,74.4
808156800,71.4
808243200,72.0
808329600,73.8
808416000,74.8
808502400,74.6
808588800,74.5
808675200,75.9
808761600,76.6
808848000,77.6
808934400,76.7
809020800,76.2
809107200,78.2
809193600,76.1
809280000,73.4
809366400,79.4
809452800,78.0
809539200,76.6
809625600,79.1
809712000,70.4
809798400,72.3
809884800,73.6
809971200,70.7
810057600,71.8
810144000,71.9
810230400,74.1
810316800,78.7
810403200,68.3
810489600,68.7
810576000,75.5
810662400,72.2
810748800,70.6
810835200,72.1
810921600,73.2
811008000,74.0
811094400,74.5
811180800,73.6
811267200,72.8
811353600,70.8
811440000,64.8
811526400,66.2
811612800,69.0
811699200,72.3
811785600,66.1
811872000,60.7
811958400,63.8
812044800,66.9
812131200,66.8
812217600,68.2
812304000,67.8
812390400,59.1
812476800,59.0
812563200,56.7
812649600,56.6
812736000,58.2
812822400,60.5
812908800,61.5
812995200,62.5
813081600,62.5
813168000,61.0
813254400,60.6
813340800,61.0
813427200,62.8
813513600,63.5
813600000,64.2
813686400,63.8
813772800,63.8
813859200,59.8
