timestamp,value
788889600,53.9
788976000,35.5
789062400,38.4
789148800,36.3
789235200,29.6
789321600,51.3
789408000,45.6
789494400,39.7
789580800,52.2
789667200,53.5
789753600,65.5
789840000,67.1
789926400,62.8
790012800,51.1
790099200,44.7
790185600,39.3
790272000,45.3
790358400,57.6
790444800,52.2
790531200,45.7
790617600,41.7
790704000,42.5
790790400,39.1
790876800,36.3
790963200,40.5
791049600,53.1
791136000,54.9
791222400,62.4
791308800,47.6
791395200,39.0
791481600,36.6
791568000,45.5
791654400,59.9
791740800,57.9
791827200,47.6
791913600,43.0
792000000,36.5
792086400,41.1
792172800,34.7
792259200,31.7
792345600,54.8
792432000,50.6
792518400,32.8
792604800,38.4
792691200,44.5
792777600,61.9
792864000,65.5
792950400,44.6
793036800,49.2
793123200,53.6
793209600,51.4
793296000,54.8
793382400,48.5
793468800,59.6
793555200,57.3
793641600,46.4
793728000,54.4
793814400,61.7
793900800,60.3
793987200,43.7
794073600,41.3
794160000,41.0
794246400,45.9
794332800,59.1
794419200,67.5
794505600,65.6
794592000,39.9
794678400,41.0
794764800,43.2
794851200,56.3
794937600,60.6
795024000,67.1
795110400,61.4
795196800,58.1
795283200,56.8
795369600,57.8
795456000,62.3
795542400,61.6
795628800,66.7
795715200,69.4
795801600,71.6
795888000,74.2
795974400,67.1
796060800,66.3
796147200,69.7
796233600,67.9
796320000,58.7
796406400,57.3
796492800,57.9
796579200,58.6
796665600,52.5
796752000,55.6
796838400,59.1
796924800,62.7
797011200,60.5
797097600,63.2
797184000,64.4
797270400,64.6
797356800,71.3
797443200,72.5
797529600,65.8
797616000,60.8
797702400,59.4
797788800,57.7
797875200,62.6
797961600,68.6
798048000,73.3
798134400,75.0
798220800,76.3
798307200,76.7
798393600,68.4
798480000,67.8
798566400,63.2
798652800,55.2
798739200,56.7
798825600,59.9
798912000,62.4
798998400,62.4
799084800,64.8
799171200,70.6
799257600,69.3
799344000,58.3
799430400,57.1
799516800,65.5
799603200,72.3
799689600,70.1
799776000,73.6
799862400,73.5
799948800,75.1
800035200,74.0
800121600,73.4
800208000,66.9
800294400,77.3
800380800,81.1
800467200,79.9
800553600,79.7
800640000,80.2
800726400,78.3
800812800,66.7
800899200,65.5
800985600,67.6
801072000,72.6
801158400,75.9
801244800,77.4
801331200,79.4
801417600,79.1
801504000,77.7
801590400,78.0
801676800,71.1
801763200,71.9
801849600,73.0
801936000,71.5
802022400,71.2
802108800,76.9
802195200,78.0
802281600,78.8
802368000,78.2
802454400,80.1
802540800,81.9
802627200,83.9
802713600,81.9
802800000,79.6
802886400,68.8
802972800,67.1
803059200,68.6
803145600,71.2
803232000,74.4
803318400,75.1
803404800,75.4
803491200,74.3
803577600,71.8
803664000,72.6
803750400,77.0
803836800,78.9
803923200,76.2
804009600,79.5
804096000,77.9
804182400,77.7
804268800,78.1
804355200,77.2
804441600,75.8
804528000,74.8
804614400,77.4
804700800,75.3
804787200,79.8
804873600,77.7
804960000,72.9
805046400,78.7
805132800,81.4
805219200,83.5
805305600,82.9
805392000,83.3
805478400,84.4
805564800,84.3
805651200,79.4
805737600,79.1
805824000,82.1
805910400,83.2
805996800,81.7
806083200,82.4
806169600,83.0
806256000,80.4
806342400,83.5
806428800,83.1
806515200,83.5
806601600,84.2
806688000,85.5
806774400,83.3
806860800,84.0
806947200,79.9
807033600,80.5
807120000,78.7
807206400,79.8
807292800,82.4
807379200,81.2
807465600,75.6
807552000,78.4
807638400,80.7
807724800,81.6
807811200,80.0
807897600,80.5
807984000,80.1
808070400,81.7
808156800,83.9
808243200,82.9
808329600,79.9
808416000,81.0
808502400,84.2
808588800,84.8
808675200,86.0
808761600,84.6
808848000,85.9
808934400,81.0
809020800,81.5
809107200,83.3
809193600,82.3
809280000,81.5
809366400,83.2
809452800,82.5
809539200,81.0
809625600,83.6
809712000,80.4
809798400,81.2
809884800,83.4
809971200,84.6
810057600,75.8
810144000,72.4
810230400,72.4
810316800,75.1
810403200,75.3
810489600,77.1
810576000,77.7
810662400,69.8
810748800,68.0
810835200,76.7
810921600,80.7
811008000,80.9
811094400,80.1
811180800,80.4
811267200,81.3
811353600,78.6
811440000,75.3
811526400,78.1
811612800,77.2
811699200,62.2
811785600,60.6
811872000,62.2
811958400,65.3
812044800,65.7
812131200,68.6
812217600,69.0
812304000,71.8
812390400,74.4
812476800,75.7
812563200,73.7
812649600,71.5
812736000,69.6
812822400,72.2
812908800,68.6
812995200,60.2
813081600,60.2
813168000,61.6
813254400,63.7
813340800,66.9
813427200,69.1
813513600,72.5
813600000,67.4
813686400,57.4
813772800,60.8
813859200,63.5
813945600,65.6
814032000,68.1
814118400,62.5
814204800,52.4
814291200,57.0
814377600,65.5
814464000,65.7
814550400,53.9
814636800,60.5
814723200,70.8
814809600,59.9
814896000,50.8
814982400,52.9
815068800,57.7
815155200,65.0
815241600,67.2
815328000,54.3
815414400,44.2
815500800,47.2
815587200,53.7
815673600,70.2
815760000,53.3
815846400,45.9
815932800,57.1
816019200,58.8
816105600,41.3
816192000,47.7
816278400,48.7
816364800,42.1
816451200,44.8
816537600,45.6
816624000,54.0
816710400,52.5
816796800,58.2
816883200,55.8
816969600,45.1
817056000,55.7
817142400,47.4
817228800,39.6
817315200,50.3
817401600,63.4
817488000,49.9
817574400,39.0
817660800,41.1
817747200,46.3
817833600,52.7
817920000,63.5
818006400,61.6
818092800,64.6
818179200,59.0
818265600,47.0
818352000,46.1
818438400,39.8
818524800,25.7
818611200,32.4
818697600,44.0
818784000,59.3
818870400,66.5
818956800,64.1
819043200,62.7
819129600,62.0
819216000,62.5
819302400,50.1
819388800,38.8
819475200,35.2
819561600,34.9
819648000,31.6
819734400,34.8
819820800,35.4
819907200,34.0
819993600,38.0
820080000,33.1
820166400,32.8
820252800,38.0
820339200,55.9
820425600,59.7
820512000,52.4
820598400,37.6
820684800,37.1
820771200,50.2
820857600,46.8
820944000,26.2
821030400,25.7
821116800,34.9
821203200,41.2
821289600,48.7
821376000,40.8
821462400,44.1
821548800,52.1
821635200,60.5
821721600,62.0
821808000,63.6
821894400,61.1
821980800,25.5
822067200,30.9
822153600,46.1
822240000,44.1
822326400,55.3
822412800,49.5
822499200,38.8
822585600,51.4
822672000,43.3
822758400,34.1
822844800,51.7
822931200,61.8
823017600,32.8
823104000,29.9
823190400,30.5
823276800,17.9
823363200,15.1
823449600,19.8
823536000,39.4
823622400,50.9
823708800,58.1
823795200,61.9
823881600,62.7
823968000,57.4
824054400,43.5
824140800,41.5
824227200,55.8
824313600,57.0
824400000,36.6
824486400,33.3
824572800,47.3
824659200,58.4
824745600,53.3
824832000,62.8
824918400,68.0
825004800,68.1
825091200,64.9
825177600,63.0
825264000,70.6
825350400,71.9
825436800,57.6
825523200,40.2
825609600,39.3
825696000,44.0
825782400,49.5
825868800,54.3
825955200,63.6
826041600,71.1
826128000,43.4
826214400,28.4
826300800,26.9
826387200,34.6
826473600,36.8
826560000,43.3
826646400,56.1
826732800,64.8
826819200,69.6
826905600,68.2
826992000,64.3
827078400,61.6
827164800,46.0
827251200,40.9
827337600,43.8
827424000,46.2
827510400,54.9
827596800,62.7
827683200,60.4
827769600,45.0
827856000,46.0
827942400,56.0
828028800,55.3
828115200,60.0
828201600,59.5
828288000,52.7
828374400,53.2
828460800,57.9
828547200,64.0
828633600,53.1
828720000,47.7
828806400,47.6
828892800,55.6
828979200,53.9
829065600,53.4
829152000,58.9
829238400,65.4
829324800,66.9
829411200,65.0
829497600,57.6
829584000,53.9
829670400,57.3
829756800,63.1
829843200,71.9
829929600,77.1
830016000,75.0
830102400,72.6
830188800,65.1
830275200,60.8
830361600,65.4
830448000,73.1
830534400,67.0
830620800,72.7
830707200,68.9
830793600,55.1
830880000,58.8
830966400,66.0
831052800,70.1
831139200,73.9
831225600,77.6
831312000,77.6
831398400,76.5
831484800,74.5
831571200,76.6
831657600,75.6
831744000,71.7
831830400,67.2
831916800,65.7
832003200,71.4
832089600,76.0
832176000,77.0
832262400,77.6
832348800,77.8
832435200,77.9
832521600,77.7
832608000,78.8
832694400,77.8
832780800,81.0
832867200,81.5
832953600,81.4
833040000,82.0
833126400,83.0
833212800,79.9
833299200,71.6
833385600,71.7
833472000,72.1
833558400,76.7
833644800,72.7
833731200,75.5
833817600,73.0
833904000,73.7
833990400,73.7
834076800,78.4
834163200,71.8
834249600,67.8
834336000,69.0
834422400,79.0
834508800,77.9
834595200,78.5
834681600,72.8
834768000,76.2
834854400,83.2
834940800,80.5
835027200,80.5
835113600,76.8
835200000,76.7
835286400,82.0
835372800,82.5
835459200,79.2
835545600,81.8
835632000,76.6
835718400,79.8
835804800,81.5
835891200,79.0
835977600,80.4
836064000,81.0
836150400,85.1
836236800,81.3
836323200,84.4
836409600,80.9
836496000,78.4
836582400,81.1
836668800,84.6
836755200,83.5
836841600,80.4
836928000,77.1
837014400,78.1
837100800,80.9
837187200,80.7
837273600,77.7
837360000,76.2
837446400,78.1
837532800,79.2
837619200,80.3
837705600,82.7
837792000,83.4
837878400,84.1
837964800,85.0
838051200,83.0
838137600,79.7
838224000,77.5
838310400,77.3
838396800,77.0
838483200,74.8
838569600,79.0
838656000,79.4
838742400,76.3
838828800,76.3
838915200,76.2
839001600,76.8
839088000,76.8
839174400,79.4
839260800,76.8
839347200,79.4
839433600,79.8
839520000,79.1
839606400,77.9
839692800,75.9
839779200,74.3
839865600,75.3
839952000,76.8
840038400,76.7
840124800,78.6
840211200,78.9
840297600,79.8
840384000,78.0
840470400,80.6
840556800,80.6
840643200,79.9
840729600,79.0
840816000,80.7
840902400,80.6
840988800,76.1
841075200,78.4
841161600,76.8
841248000,74.4
841334400,74.5
841420800,71.4
841507200,69.1
841593600,75.3
841680000,75.0
841766400,74.5
841852800,76.4
841939200,77.1
842025600,78.7
842112000,78.6
