timestamp,value
788889600,57.2
788976000,58.7
789062400,45.6
789148800,46.1
789235200,42.5
789321600,50.5
789408000,68.0
789494400,48.4
789580800,44.2
789667200,52.7
789753600,55.1
789840000,58.4
789926400,61.9
790012800,69.1
790099200,59.0
790185600,52.3
790272000,51.0
790358400,53.8
790444800,57.1
790531200,51.2
790617600,44.6
790704000,48.9
790790400,45.9
790876800,43.2
790963200,41.7
791049600,46.8
791136000,47.5
791222400,58.4
791308800,65.2
791395200,55.8
791481600,43.3
791568000,39.8
791654400,52.8
791740800,60.8
791827200,56.1
791913600,46.8
792000000,42.4
792086400,43.8
792172800,44.2
792259200,33.7
792345600,48.0
792432000,65.2
792518400,57.7
792604800,49.8
792691200,52.2
792777600,61.3
792864000,69.7
792950400,68.5
793036800,58.0
793123200,53.0
793209600,55.9
793296000,55.8
793382400,45.9
793468800,49.2
793555200,59.7
793641600,53.5
793728000,57.2
793814400,61.9
793900800,66.9
793987200,66.9
794073600,56.7
794160000,54.2
794246400,59.9
794332800,62.4
794419200,65.3
794505600,67.7
794592000,69.3
794678400,53.4
794764800,45.4
794851200,54.3
794937600,60.8
795024000,64.5
795110400,67.1
795196800,62.2
795283200,65.7
795369600,62.7
795456000,64.6
795542400,62.5
795628800,60.5
795715200,65.1
795801600,69.7
795888000,72.8
795974400,69.5
796060800,62.4
796147200,61.9
796233600,65.1
796320000,72.6
796406400,64.8
796492800,67.4
796579200,58.3
796665600,59.7
796752000,57.6
796838400,58.3
796924800,63.0
797011200,63.8
797097600,62.2
797184000,63.5
797270400,61.7
797356800,67.4
797443200,67.7
797529600,72.5
797616000,72.0
797702400,70.9
797788800,64.7
797875200,62.5
797961600,68.1
798048000,70.9
798134400,72.0
798220800,73.1
798307200,75.8
798393600,76.1
798480000,75.3
798566400,77.1
798652800,71.6
798739200,57.2
798825600,59.7
798912000,69.8
798998400,72.5
799084800,68.9
799171200,69.5
799257600,74.6
799344000,75.8
799430400,66.7
799516800,71.1
799603200,76.5
799689600,71.0
799776000,68.9
799862400,71.8
799948800,75.1
800035200,78.1
800121600,73.7
800208000,74.5
800294400,76.7
800380800,80.0
800467200,81.7
800553600,79.0
800640000,79.8
800726400,81.4
800812800,78.6
800899200,72.2
800985600,71.9
801072000,72.2
801158400,73.9
801244800,75.9
801331200,74.4
801417600,74.7
801504000,74.9
801590400,76.3
801676800,77.1
801763200,81.2
801849600,78.5
801936000,79.8
802022400,77.2
802108800,76.1
802195200,75.2
802281600,78.2
802368000,80.7
802454400,82.2
802540800,81.9
802627200,83.8
802713600,82.3
802800000,81.5
802886400,79.7
802972800,74.8
803059200,70.6
803145600,71.5
803232000,70.0
803318400,71.2
803404800,71.8
803491200,73.1
803577600,72.9
803664000,76.5
803750400,77.9
803836800,79.8
803923200,80.0
804009600,76.2
804096000,77.3
804182400,78.9
804268800,79.5
804355200,76.3
804441600,76.9
804528000,80.3
804614400,79.2
804700800,78.6
804787200,82.2
804873600,81.7
804960000,82.1
805046400,79.6
805132800,79.9
805219200,82.5
805305600,81.2
805392000,79.4
805478400,80.2
805564800,81.8
805651200,81.2
805737600,81.8
805824000,79.0
805910400,75.4
805996800,77.5
806083200,81.2
806169600,83.0
806256000,82.1
806342400,82.3
806428800,82.7
806515200,83.8
806601600,79.7
806688000,80.4
806774400,79.5
806860800,78.3
806947200,79.4
807033600,81.3
807120000,80.2
807206400,80.3
807292800,78.8
807379200,81.1
807465600,81.4
807552000,82.2
807638400,81.9
807724800,82.3
807811200,80.1
807897600,78.4
807984000,79.0
808070400,80.4
808156800,80.9
808243200,80.0
808329600,82.9
808416000,83.0
808502400,82.1
808588800,83.2
808675200,84.2
808761600,79.9
808848000,75.5
808934400,78.7
809020800,78.9
809107200,80.0
809193600,77.1
809280000,78.5
809366400,80.6
809452800,81.7
809539200,81.5
809625600,78.0
809712000,78.5
809798400,80.1
809884800,77.7
809971200,78.4
810057600,77.5
810144000,74.5
810230400,72.1
810316800,72.1
810403200,75.6
810489600,77.0
810576000,75.6
810662400,75.4
810748800,77.3
810835200,78.4
810921600,77.9
811008000,77.1
811094400,76.2
811180800,78.9
811267200,79.7
811353600,79.8
811440000,77.1
811526400,73.3
811612800,75.0
811699200,77.3
811785600,79.7
811872000,70.3
811958400,67.3
812044800,75.2
812131200,75.3
812217600,75.1
812304000,75.1
812390400,76.2
812476800,76.5
812563200,77.7
812649600,78.0
812736000,81.2
812822400,82.6
812908800,78.2
812995200,77.2
813081600,76.7
813168000,76.0
813254400,73.9
813340800,74.6
813427200,73.6
813513600,74.5
813600000,77.3
813686400,67.8
813772800,62.0
813859200,67.2
813945600,72.8
814032000,74.6
814118400,72.0
814204800,64.2
814291200,58.3
814377600,66.6
814464000,72.2
814550400,70.4
814636800,70.9
814723200,74.2
814809600,76.2
814896000,59.6
814982400,60.6
815068800,70.6
815155200,72.7
815241600,75.4
815328000,73.2
815414400,64.7
815500800,58.5
815587200,59.2
815673600,75.3
815760000,64.7
815846400,48.1
815932800,55.8
816019200,67.6
816105600,47.8
816192000,49.5
816278400,54.8
816364800,45.0
816451200,45.3
816537600,53.7
816624000,51.9
816710400,55.3
816796800,55.4
816883200,61.3
816969600,49.9
817056000,47.4
817142400,55.8
817228800,53.5
817315200,50.1
817401600,53.4
817488000,61.2
817574400,66.1
817660800,55.3
817747200,53.3
817833600,56.5
817920000,59.6
818006400,57.8
818092800,64.8
818179200,61.8
818265600,65.1
818352000,53.9
818438400,56.5
818524800,44.1
818611200,37.1
818697600,42.6
818784000,48.0
818870400,62.2
818956800,60.8
819043200,64.8
819129600,62.0
819216000,65.9
819302400,67.1
819388800,51.4
819475200,40.4
819561600,41.3
819648000,42.3
819734400,37.3
819820800,36.2
819907200,38.6
819993600,39.3
820080000,39.8
820166400,43.6
820252800,51.1
820339200,58.5
820425600,64.7
820512000,66.8
820598400,57.8
820684800,42.5
820771200,43.9
820857600,47.6
820944000,53.6
821030400,33.1
821116800,34.9
821203200,47.8
821289600,43.7
821376000,51.4
821462400,44.5
821548800,48.4
821635200,51.3
821721600,55.2
821808000,58.5
821894400,66.7
821980800,62.1
822067200,38.2
822153600,51.2
822240000,46.1
822326400,54.5
822412800,62.1
822499200,46.6
822585600,54.4
822672000,65.1
822758400,44.0
822844800,52.4
822931200,59.8
823017600,66.0
823104000,58.6
823190400,62.9
823276800,55.6
823363200,36.8
823449600,28.7
823536000,36.6
823622400,41.3
823708800,51.1
823795200,60.7
823881600,61.0
823968000,63.9
824054400,55.0
824140800,44.0
824227200,50.5
824313600,62.5
824400000,54.9
824486400,37.5
