timestamp,value
788889600,21.0
788976000,16.3
789062400,14.8
789148800,14.2
789235200,17.0
789321600,12.6
789408000,21.9
789494400,16.1
789580800,26.6
789667200,17.1
789753600,15.9
789840000,25.7
789926400,31.6
790012800,33.9
790099200,32.9
790185600,26.5
790272000,29.9
790358400,30.5
790444800,37.2
790531200,36.6
790617600,37.3
790704000,38.1
790790400,31.5
790876800,23.0
790963200,25.5
791049600,28.4
791136000,31.5
791222400,35.6
791308800,41.1
791395200,39.4
791481600,30.3
791568000,27.6
791654400,33.4
791740800,37.0
791827200,38.9
791913600,35.0
792000000,42.8
792086400,43.6
792172800,41.2
792259200,37.1
792345600,35.6
792432000,34.6
792518400,28.6
792604800,25.6
792691200,26.8
792777600,19.6
792864000,14.9
792950400,14.0
793036800,20.0
793123200,21.2
793209600,37.5
793296000,34.6
793382400,33.1
793468800,29.4
793555200,23.1
793641600,19.2
793728000,17.5
793814400,20.0
793900800,22.2
793987200,22.6
794073600,27.5
794160000,38.0
794246400,30.7
794332800,30.8
794419200,34.1
794505600,27.3
794592000,26.3
794678400,24.5
794764800,28.7
794851200,25.6
794937600,21.8
795024000,32.5
795110400,33.5
795196800,30.5
795283200,35.9
795369600,39.8
795456000,39.9
795542400,31.6
795628800,30.1
795715200,31.4
795801600,33.6
795888000,26.5
795974400,19.4
796060800,20.5
796147200,27.1
796233600,32.3
796320000,36.1
796406400,40.7
796492800,39.2
796579200,41.8
796665600,41.0
796752000,39.9
796838400,41.7
796924800,40.4
797011200,40.1
797097600,38.0
797184000,41.2
797270400,43.8
797356800,41.7
797443200,39.0
797529600,40.8
797616000,41.4
797702400,39.4
797788800,39.5
797875200,38.1
797961600,43.2
798048000,41.4
798134400,42.0
798220800,42.0
798307200,39.2
798393600,44.8
798480000,48.5
798566400,44.5
798652800,42.7
798739200,47.2
798825600,46.6
798912000,50.4
798998400,52.0
799084800,51.3
799171200,57.0
799257600,51.9
799344000,52.7
799430400,52.2
799516800,50.2
799603200,51.1
799689600,47.7
799776000,50.2
799862400,53.1
799948800,57.3
800035200,58.3
800121600,54.9
800208000,56.0
800294400,56.5
800380800,51.0
800467200,49.5
800553600,47.7
800640000,45.0
800726400,44.2
800812800,45.1
800899200,47.5
800985600,52.8
801072000,53.5
801158400,51.5
801244800,54.9
801331200,57.8
801417600,58.9
801504000,57.7
801590400,51.8
801676800,49.0
801763200,46.0
801849600,48.8
801936000,49.9
802022400,49.9
802108800,47.3
802195200,51.1
802281600,51.7
802368000,53.9
802454400,52.8
802540800,56.8
802627200,59.8
802713600,66.6
802800000,60.8
802886400,53.3
802972800,49.9
803059200,50.2
803145600,49.9
803232000,50.4
803318400,54.2
803404800,60.0
803491200,56.9
803577600,58.5
803664000,59.1
803750400,58.4
803836800,50.9
803923200,49.7
804009600,50.6
804096000,53.4
804182400,54.7
804268800,59.5
804355200,60.2
804441600,60.2
804528000,59.0
804614400,54.4
804700800,56.2
804787200,58.2
804873600,56.9
804960000,55.4
805046400,57.8
805132800,59.0
805219200,60.4
805305600,63.9
805392000,62.1
805478400,55.7
805564800,56.0
805651200,54.4
805737600,54.0
805824000,54.7
805910400,55.4
805996800,59.0
806083200,59.2
806169600,58.1
806256000,60.9
806342400,59.8
806428800,55.3
806515200,54.4
806601600,55.0
806688000,52.6
806774400,53.3
806860800,54.7
806947200,53.9
807033600,55.4
807120000,52.5
807206400,52.0
807292800,52.6
807379200,53.7
807465600,52.8
807552000,51.3
807638400,52.7
807724800,55.1
807811200,57.1
807897600,56.7
807984000,57.6
808070400,55.1
808156800,59.4
808243200,55.3
808329600,51.4
808416000,50.2
808502400,50.6
808588800,53.4
808675200,54.7
808761600,53.9
808848000,59.2
808934400,57.7
809020800,59.0
809107200,57.2
809193600,55.7
809280000,52.6
809366400,52.4
809452800,53.8
809539200,53.9
809625600,50.3
809712000,54.6
809798400,51.9
809884800,54.5
809971200,55.1
810057600,52.5
810144000,50.0
810230400,51.4
810316800,57.5
810403200,61.3
810489600,57.4
810576000,56.5
810662400,56.2
810748800,54.5
810835200,52.8
810921600,52.0
811008000,53.1
811094400,50.6
811180800,49.9
811267200,55.2
811353600,55.2
811440000,52.1
811526400,51.1
811612800,61.9
811699200,57.5
811785600,50.2
811872000,51.4
811958400,52.9
812044800,51.0
812131200,50.6
812217600,51.8
812304000,51.4
812390400,48.9
812476800,48.3
812563200,48.5
812649600,47.9
812736000,48.0
812822400,46.9
812908800,47.5
812995200,47.8
813081600,47.5
813168000,46.2
813254400,45.4
813340800,45.5
813427200,43.8
813513600,44.5
813600000,44.4
813686400,37.8
813772800,37.8
813859200,42.5
813945600,42.1
814032000,45.8
814118400,44.0
814204800,41.0
