timestamp,value
788889600,16.3
788976000,14.3
789062400,17.1
789148800,5.4
789235200,10.9
789321600,28.3
789408000,12.4
789494400,24.8
789580800,20.8
789667200,29.5
789753600,35.8
789840000,39.4
789926400,38.2
790012800,33.1
790099200,30.1
790185600,37.9
790272000,43.8
790358400,29.7
790444800,33.9
790531200,28.5
790617600,24.1
790704000,23.6
790790400,25.8
790876800,28.2
790963200,28.0
791049600,29.9
791136000,37.2
791222400,34.1
791308800,29.8
791395200,26.1
791481600,37.2
791568000,44.7
791654400,43.9
791740800,39.7
791827200,29.1
791913600,25.7
792000000,28.2
792086400,27.0
792172800,20.0
792259200,35.4
792345600,33.8
792432000,21.3
792518400,14.8
792604800,21.7
792691200,26.7
792777600,31.1
792864000,24.6
792950400,35.7
793036800,46.7
793123200,44.6
793209600,48.5
793296000,41.7
793382400,54.4
793468800,48.9
793555200,38.3
793641600,55.2
793728000,57.4
793814400,39.5
793900800,28.9
793987200,20.1
794073600,20.3
794160000,25.3
794246400,32.0
794332800,34.2
794419200,33.4
794505600,18.6
794592000,12.3
794678400,26.7
794764800,47.5
794851200,54.9
794937600,60.2
795024000,63.0
795110400,62.1
795196800,61.4
795283200,60.2
795369600,61.2
795456000,61.7
795542400,55.4
795628800,58.6
795715200,54.5
795801600,58.1
795888000,52.5
795974400,48.9
796060800,53.4
796147200,58.9
796233600,44.0
796320000,41.2
796406400,39.4
796492800,34.4
796579200,36.5
796665600,48.7
796752000,57.2
796838400,62.5
796924800,41.5
797011200,45.2
797097600,60.2
797184000,61.5
797270400,67.1
797356800,54.5
797443200,41.7
797529600,41.8
797616000,39.2
797702400,47.7
797788800,61.8
797875200,66.4
797961600,57.4
798048000,50.6
798134400,54.1
798220800,49.8
798307200,54.3
798393600,45.0
798480000,46.5
798566400,52.7
798652800,50.6
798739200,53.8
798825600,59.9
798912000,45.5
798998400,52.5
799084800,52.5
799171200,51.0
799257600,48.4
799344000,48.6
799430400,51.9
799516800,51.9
799603200,52.0
799689600,57.4
799776000,59.6
799862400,63.6
799948800,64.4
800035200,55.8
800121600,53.9
800208000,54.3
800294400,68.2
800380800,62.4
800467200,64.2
800553600,72.9
800640000,59.9
800726400,52.6
800812800,56.5
800899200,63.6
800985600,61.6
801072000,67.0
801158400,64.2
801244800,51.6
801331200,56.4
801417600,57.3
801504000,64.8
801590400,61.6
801676800,60.0
801763200,65.7
801849600,66.3
801936000,64.6
802022400,65.5
802108800,69.8
802195200,71.8
802281600,72.2
802368000,73.8
802454400,77.3
802540800,72.3
802627200,67.6
802713600,67.1
802800000,63.7
802886400,64.7
802972800,67.7
803059200,70.7
803145600,76.7
803232000,79.2
803318400,79.0
803404800,77.8
803491200,77.6
803577600,78.7
803664000,79.7
803750400,81.1
803836800,79.2
803923200,74.2
804009600,68.3
804096000,67.9
804182400,70.1
804268800,71.5
804355200,73.0
804441600,70.3
804528000,65.3
804614400,66.7
804700800,70.8
804787200,74.4
804873600,71.0
804960000,72.7
805046400,78.5
805132800,79.9
805219200,80.9
805305600,76.6
805392000,82.8
805478400,87.1
805564800,86.0
805651200,84.7
805737600,84.0
805824000,79.6
805910400,76.6
805996800,75.4
806083200,78.8
806169600,73.9
806256000,75.6
806342400,79.7
806428800,77.9
806515200,77.0
806601600,76.8
806688000,75.8
806774400,82.0
806860800,82.6
806947200,81.1
807033600,81.1
807120000,81.0
807206400,69.1
807292800,73.0
807379200,73.3
807465600,75.0
807552000,75.8
807638400,77.6
807724800,80.2
807811200,83.7
807897600,83.9
807984000,82.2
808070400,80.4
808156800,82.6
808243200,83.5
808329600,81.2
808416000,74.8
808502400,75.8
808588800,81.4
808675200,82.7
808761600,77.6
808848000,70.0
808934400,74.2
809020800,79.0
809107200,79.8
809193600,75.7
809280000,76.5
809366400,79.1
809452800,81.9
809539200,80.6
809625600,79.7
809712000,77.6
809798400,76.9
809884800,71.7
809971200,71.9
810057600,76.1
810144000,77.7
810230400,76.7
810316800,75.7
810403200,67.7
810489600,58.4
810576000,61.7
810662400,60.6
810748800,65.2
810835200,70.6
810921600,70.5
811008000,70.5
811094400,71.9
811180800,69.2
811267200,64.6
811353600,66.1
811440000,66.9
811526400,53.4
811612800,45.0
811699200,41.7
811785600,46.6
811872000,53.2
811958400,58.7
812044800,57.3
812131200,61.9
812217600,66.3
812304000,72.2
812390400,73.5
812476800,62.4
812563200,62.6
812649600,59.5
812736000,60.0
812822400,60.2
812908800,52.0
812995200,51.2
813081600,56.5
813168000,61.0
813254400,63.4
813340800,66.2
813427200,69.7
813513600,67.0
813600000,51.6
813686400,56.4
813772800,61.6
813859200,70.8
813945600,65.1
814032000,65.7
814118400,49.5
814204800,43.0
814291200,54.7
814377600,60.8
814464000,46.2
814550400,51.3
814636800,53.8
814723200,54.7
814809600,49.5
814896000,51.0
814982400,47.6
815068800,45.3
815155200,56.3
815241600,36.3
815328000,28.7
815414400,28.2
815500800,41.8
815587200,46.3
815673600,42.0
815760000,31.5
815846400,42.6
815932800,51.7
816019200,22.6
816105600,32.6
816192000,37.5
816278400,34.7
816364800,38.9
816451200,42.1
816537600,45.0
816624000,40.1
816710400,53.1
816796800,47.5
816883200,38.9
816969600,43.4
817056000,33.8
817142400,32.4
817228800,43.4
817315200,54.7
817401600,43.2
817488000,21.7
817574400,28.4
817660800,45.8
817747200,55.9
817833600,51.0
817920000,46.8
818006400,42.5
818092800,45.4
818179200,32.9
818265600,26.6
818352000,27.7
818438400,3.8
818524800,9.4
818611200,20.9
818697600,19.0
818784000,30.5
818870400,37.9
818956800,42.0
819043200,37.1
819129600,38.6
819216000,34.6
819302400,31.3
819388800,28.5
819475200,29.7
819561600,26.4
819648000,23.5
819734400,25.1
819820800,29.4
819907200,30.8
819993600,30.2
820080000,26.9
820166400,26.9
820252800,32.2
820339200,34.5
820425600,33.2
820512000,32.4
820598400,21.0
820684800,25.5
820771200,19.8
820857600,7.1
820944000,-0.6
821030400,13.0
821116800,33.9
821203200,31.7
821289600,37.4
821376000,37.3
821462400,48.1
821548800,48.0
821635200,28.8
821721600,38.8
821808000,46.6
821894400,16.9
821980800,1.0
822067200,11.1
822153600,25.5
822240000,38.1
822326400,18.6
822412800,14.5
822499200,29.0
822585600,20.0
822672000,13.5
822758400,30.9
822844800,17.2
822931200,5.7
823017600,2.3
823104000,11.8
823190400,-0.3
823276800,-6.1
823363200,3.9
823449600,22.8
823536000,28.6
823622400,43.9
823708800,47.0
823795200,47.0
823881600,51.1
823968000,37.3
824054400,31.5
824140800,40.4
824227200,47.4
824313600,34.1
824400000,18.3
824486400,33.0
824572800,29.5
824659200,41.1
824745600,56.8
824832000,47.8
824918400,40.3
825004800,50.1
825091200,46.8
825177600,59.0
825264000,53.1
825350400,27.9
825436800,17.5
825523200,16.7
825609600,28.4
825696000,30.2
825782400,21.5
825868800,36.1
825955200,47.9
826041600,28.4
826128000,11.4
826214400,10.1
826300800,21.6
826387200,33.4
826473600,43.2
826560000,51.3
826646400,57.3
826732800,52.6
826819200,49.9
826905600,51.9
826992000,44.0
827078400,47.1
827164800,34.1
827251200,31.9
827337600,35.1
827424000,39.9
827510400,47.3
827596800,62.0
827683200,23.9
827769600,23.0
827856000,32.4
827942400,38.0
828028800,43.3
828115200,45.9
828201600,37.9
828288000,41.0
828374400,60.1
828460800,64.6
828547200,38.1
828633600,34.9
828720000,37.9
828806400,45.6
828892800,42.6
828979200,45.8
829065600,53.5
829152000,68.6
829238400,62.2
829324800,43.6
829411200,45.1
829497600,40.3
829584000,50.3
829670400,65.1
829756800,70.9
829843200,67.0
829929600,56.1
830016000,62.8
830102400,54.3
830188800,50.4
830275200,64.0
830361600,68.8
830448000,54.1
830534400,52.2
830620800,50.5
830707200,46.9
830793600,48.3
830880000,52.4
830966400,60.0
831052800,62.0
831139200,61.1
831225600,61.4
831312000,54.4
831398400,55.0
831484800,67.5
831571200,74.7
831657600,63.5
831744000,53.7
831830400,49.4
831916800,49.1
832003200,54.1
832089600,69.1
832176000,75.7
832262400,79.1
832348800,79.5
832435200,79.8
832521600,71.3
832608000,64.0
832694400,70.2
