timestamp,value
788889600,66.4
788976000,66.9
789062400,63.1
789148800,63.5
789235200,63.0
789321600,62.5
789408000,62.7
789494400,62.3
789580800,64.0
789667200,64.9
789753600,61.7
789840000,62.7
789926400,64.9
790012800,58.4
790099200,59.1
790185600,59.4
790272000,60.3
790358400,59.5
790444800,60.9
790531200,66.6
790617600,70.6
790704000,69.9
790790400,71.0
790876800,71.7
790963200,69.4
791049600,68.6
791136000,69.4
791222400,68.7
791308800,69.9
791395200,69.5
791481600,70.6
791568000,68.6
791654400,68.3
791740800,70.2
791827200,70.6
791913600,70.8
792000000,71.3
792086400,70.6
792172800,70.5
792259200,72.8
792345600,74.9
792432000,75.0
792518400,72.4
792604800,70.4
792691200,70.8
792777600,67.7
792864000,70.0
792950400,74.3
793036800,73.2
793123200,73.7
793209600,75.2
793296000,68.2
793382400,68.0
793468800,66.5
793555200,68.2
793641600,67.9
793728000,70.8
793814400,68.6
793900800,66.6
793987200,69.1
794073600,71.5
794160000,73.5
794246400,70.7
794332800,72.3
794419200,69.8
794505600,72.8
794592000,69.9
794678400,70.1
794764800,69.2
794851200,71.3
794937600,75.4
795024000,77.5
795110400,79.1
795196800,76.4
795283200,74.7
795369600,77.1
795456000,76.8
795542400,77.5
795628800,78.3
795715200,81.2
795801600,80.1
795888000,78.8
795974400,79.3
796060800,81.5
796147200,77.4
796233600,80.3
796320000,79.3
796406400,80.0
796492800,77.0
796579200,77.5
796665600,81.4
796752000,78.9
796838400,80.8
796924800,79.9
797011200,83.7
797097600,79.8
797184000,80.8
797270400,82.4
797356800,81.1
797443200,81.1
797529600,84.2
797616000,84.5
797702400,82.4
797788800,80.0
797875200,80.8
797961600,81.2
798048000,82.7
798134400,80.5
798220800,82.9
798307200,82.6
798393600,80.2
798480000,82.0
798566400,83.2
798652800,82.8
798739200,84.2
798825600,84.6
798912000,83.5
798998400,85.7
799084800,84.7
799171200,84.6
799257600,86.3
799344000,86.4
799430400,86.3
799516800,87.8
799603200,86.0
799689600,87.1
799776000,88.5
799862400,87.8
799948800,87.6
800035200,87.4
800121600,87.5
800208000,89.5
800294400,88.9
800380800,88.3
800467200,85.1
800553600,85.7
800640000,85.8
800726400,86.8
800812800,85.6
800899200,85.6
800985600,84.7
801072000,85.0
801158400,86.6
801244800,85.4
801331200,86.9
801417600,87.3
801504000,87.8
801590400,90.9
801676800,90.3
801763200,90.3
801849600,87.4
801936000,89.2
802022400,89.4
802108800,95.0
802195200,90.6
802281600,87.4
802368000,87.8
802454400,88.7
802540800,87.1
802627200,86.9
802713600,87.1
802800000,86.6
802886400,87.8
802972800,87.4
803059200,87.8
803145600,89.3
803232000,90.5
803318400,89.7
803404800,88.7
803491200,89.0
803577600,87.6
803664000,88.9
803750400,88.8
803836800,88.3
803923200,88.0
804009600,87.5
804096000,88.3
804182400,88.7
804268800,88.1
804355200,88.3
804441600,87.4
804528000,86.8
804614400,85.9
804700800,86.2
804787200,86.3
804873600,86.2
804960000,86.5
805046400,86.9
805132800,86.9
805219200,88.0
805305600,88.2
805392000,88.6
805478400,92.0
805564800,92.8
805651200,90.0
805737600,89.8
805824000,88.4
805910400,87.8
805996800,88.5
806083200,85.4
806169600,83.8
806256000,83.0
806342400,82.7
806428800,82.0
806515200,83.8
806601600,85.9
806688000,81.5
806774400,84.4
806860800,85.5
806947200,86.4
807033600,86.8
807120000,86.3
807206400,85.5
807292800,84.6
807379200,85.1
807465600,85.5
807552000,86.5
807638400,85.4
807724800,84.3
807811200,83.9
807897600,86.2
807984000,87.0
808070400,84.6
808156800,83.1
808243200,81.9
808329600,83.2
808416000,82.4
808502400,83.2
808588800,83.4
808675200,83.8
808761600,84.2
808848000,82.7
808934400,82.8
809020800,84.6
809107200,85.4
809193600,85.4
809280000,85.6
809366400,85.2
809452800,85.2
809539200,84.8
809625600,85.2
809712000,84.1
809798400,85.1
809884800,86.3
809971200,85.5
810057600,85.6
810144000,84.5
810230400,83.8
810316800,83.8
810403200,84.4
810489600,82.5
810576000,83.8
810662400,83.8
810748800,84.4
810835200,84.2
810921600,84.9
811008000,84.1
811094400,84.8
811180800,84.4
811267200,85.4
811353600,85.0
811440000,84.2
811526400,83.8
811612800,83.7
811699200,82.7
811785600,83.8
811872000,85.1
811958400,85.3
812044800,85.5
812131200,84.4
812217600,84.2
812304000,84.2
812390400,85.3
812476800,84.3
812563200,85.0
812649600,83.9
812736000,84.6
812822400,84.0
812908800,84.9
812995200,83.9
813081600,84.3
813168000,86.4
813254400,87.2
813340800,89.5
813427200,87.0
813513600,87.1
813600000,82.7
813686400,83.5
813772800,86.1
813859200,86.6
813945600,86.2
814032000,85.1
814118400,84.8
814204800,83.6
814291200,85.1
814377600,85.5
814464000,82.7
814550400,82.5
814636800,82.2
814723200,80.9
814809600,79.1
814896000,78.8
814982400,77.3
815068800,75.4
815155200,74.9
815241600,75.0
815328000,77.0
815414400,79.2
815500800,78.7
815587200,78.8
815673600,80.4
815760000,80.9
815846400,77.3
815932800,77.1
816019200,77.9
816105600,76.1
816192000,74.0
816278400,76.4
816364800,76.7
816451200,77.8
816537600,75.3
816624000,73.5
816710400,73.7
816796800,71.6
816883200,71.7
816969600,71.5
817056000,73.0
817142400,74.9
817228800,73.6
817315200,75.4
817401600,72.8
817488000,66.7
817574400,64.3
817660800,61.2
817747200,59.3
817833600,66.2
817920000,66.9
818006400,68.4
818092800,68.9
818179200,70.7
818265600,69.4
818352000,69.3
818438400,70.7
818524800,70.7
818611200,71.4
818697600,70.4
818784000,71.3
818870400,71.7
818956800,72.1
819043200,71.5
819129600,70.6
819216000,71.3
819302400,72.7
819388800,70.0
819475200,69.7
819561600,69.6
819648000,67.2
819734400,66.3
819820800,65.6
819907200,66.4
819993600,66.9
820080000,68.5
820166400,69.9
820252800,67.9
820339200,66.5
820425600,65.7
820512000,64.0
820598400,67.0
820684800,66.9
820771200,64.0
820857600,65.7
820944000,64.9
821030400,65.3
821116800,66.5
821203200,70.3
821289600,66.1
821376000,65.4
821462400,66.6
821548800,61.8
821635200,56.2
821721600,57.3
821808000,57.1
821894400,59.9
821980800,63.9
822067200,68.6
822153600,69.2
822240000,65.8
822326400,68.7
822412800,69.1
822499200,69.0
822585600,66.2
822672000,64.9
822758400,65.2
822844800,63.9
822931200,63.7
823017600,65.3
823104000,67.5
823190400,72.1
823276800,70.4
823363200,66.8
823449600,69.3
823536000,67.7
823622400,70.6
823708800,72.8
823795200,70.8
823881600,69.3
823968000,66.7
824054400,68.5
824140800,69.8
824227200,72.1
824313600,67.3
824400000,69.2
824486400,72.3
824572800,74.1
824659200,71.8
824745600,77.2
824832000,76.5
824918400,75.8
825004800,68.5
825091200,68.4
825177600,67.1
825264000,66.6
825350400,67.1
825436800,71.5
825523200,74.3
825609600,78.2
825696000,73.3
825782400,75.3
825868800,77.8
825955200,77.3
826041600,76.6
826128000,79.0
826214400,79.5
826300800,80.1
826387200,80.4
826473600,79.1
826560000,79.6
826646400,79.8
826732800,79.2
826819200,75.1
826905600,75.9
826992000,75.1
827078400,76.7
827164800,76.0
827251200,78.6
827337600,80.4
827424000,81.1
827510400,81.2
827596800,82.6
827683200,81.8
827769600,83.2
827856000,86.6
827942400,83.1
828028800,81.4
828115200,77.7
828201600,78.5
828288000,76.1
828374400,78.3
828460800,79.8
828547200,79.8
828633600,81.6
828720000,83.8
828806400,83.9
828892800,82.5
828979200,81.5
829065600,80.2
829152000,79.5
829238400,81.5
829324800,90.0
829411200,92.6
829497600,90.8
829584000,90.5
829670400,85.1
829756800,82.9
829843200,82.0
829929600,82.9
830016000,83.7
830102400,83.6
830188800,83.5
830275200,85.2
830361600,87.0
830448000,87.2
830534400,86.8
830620800,84.7
830707200,84.6
830793600,83.9
830880000,85.5
830966400,85.3
831052800,84.2
831139200,88.3
831225600,91.0
831312000,90.5
831398400,89.5
831484800,88.6
831571200,87.2
831657600,86.2
831744000,86.1
831830400,86.5
831916800,85.1
832003200,85.7
832089600,83.9
832176000,86.4
832262400,86.6
832348800,86.1
832435200,86.5
832521600,86.6
832608000,86.9
832694400,87.9
832780800,86.1
832867200,87.3
832953600,88.2
833040000,88.2
833126400,87.1
833212800,89.3
833299200,89.1
833385600,87.7
833472000,87.6
833558400,87.4
833644800,88.3
833731200,87.9
833817600,87.3
833904000,87.6
833990400,88.6
834076800,88.9
834163200,89.2
834249600,88.2
834336000,92.1
834422400,89.8
834508800,89.6
834595200,89.7
834681600,86.4
834768000,89.7
834854400,91.4
834940800,95.6
835027200,95.5
835113600,95.6
835200000,90.5
835286400,87.7
835372800,87.6
835459200,87.8
835545600,87.9
835632000,88.1
835718400,88.4
835804800,86.8
835891200,87.3
835977600,87.0
836064000,85.8
836150400,87.1
836236800,87.4
836323200,87.1
836409600,87.6
836496000,87.7
836582400,88.1
836668800,88.3
836755200,88.8
836841600,89.4
836928000,87.9
837014400,87.4
837100800,87.2
837187200,86.6
837273600,87.3
837360000,89.0
837446400,86.0
837532800,88.8
837619200,87.0
837705600,87.2
837792000,86.1
837878400,87.5
837964800,86.4
838051200,86.0
838137600,85.8
838224000,85.4
838310400,85.2
838396800,83.8
838483200,82.2
838569600,83.2
838656000,82.9
838742400,81.5
838828800,82.1
838915200,84.2
839001600,84.5
839088000,84.7
839174400,84.8
839260800,82.3
839347200,82.5
839433600,82.3
839520000,80.0
839606400,80.1
839692800,82.1
839779200,81.9
839865600,81.8
839952000,80.9
840038400,82.7
840124800,82.0
840211200,82.1
840297600,82.2
840384000,82.6
840470400,83.9
840556800,83.5
840643200,83.1
840729600,81.6
840816000,82.2
840902400,81.9
840988800,81.9
841075200,84.2
841161600,83.2
841248000,82.4
841334400,81.8
841420800,80.6
841507200,81.1
841593600,81.7
841680000,81.9
841766400,82.6
841852800,83.8
841939200,85.2
842025600,84.4
842112000,83.2
842198400,84.7
842284800,84.5
842371200,83.2
842457600,83.2
842544000,83.1
842630400,83.9
842716800,82.4
842803200,82.8
842889600,83.2
842976000,81.9
843062400,82.9
843148800,83.0
843235200,83.1
843321600,82.4
843408000,83.0
843494400,83.3
843580800,83.1
843667200,82.6
843753600,83.7
843840000,83.7
843926400,83.5
844012800,83.1
844099200,84.3
844185600,86.3
844272000,85.2
844358400,82.3
844444800,83.6
844531200,81.8
844617600,80.0
844704000,82.9
844790400,84.1
844876800,83.3
844963200,81.0
845049600,82.8
845136000,86.1
845222400,84.1
845308800,82.7
845395200,82.9
845481600,82.5
845568000,85.5
845654400,85.2
845740800,85.5
845827200,82.9
845913600,81.2
846000000,83.0
846086400,81.1
846172800,82.5
846259200,82.5
846345600,81.6
846432000,81.1
846518400,81.2
846604800,80.0
846691200,79.5
846777600,80.4
846864000,79.5
846950400,79.3
847036800,80.3
847123200,79.3
847209600,79.8
847296000,79.4
847382400,77.8
847468800,75.7
847555200,77.5
847641600,77.9
847728000,78.2
847814400,76.7
847900800,77.9
847987200,73.8
848073600,70.2
848160000,66.8
848246400,68.7
848332800,69.6
848419200,67.2
848505600,67.3
848592000,68.2
848678400,68.6
848764800,71.8
848851200,71.7
848937600,73.8
849024000,72.5
849110400,70.7
849196800,68.9
849283200,68.9
