timestamp,value
788976000,42.8
789062400,44.0
789148800,48.5
789235200,48.3
789321600,47.2
789408000,51.5
789494400,43.2
789580800,47.1
789667200,51.4
789753600,48.8
789840000,48.9
789926400,48.9
790012800,48.3
790099200,48.3
790185600,48.1
790272000,48.6
790358400,46.6
790444800,47.4
790531200,50.2
790617600,50.2
790704000,54.0
790790400,51.1
790876800,51.1
790963200,40.2
791049600,40.2
791136000,40.2
791222400,40.2
791308800,40.2
791395200,40.2
791481600,40.2
791568000,40.2
791654400,40.2
791740800,40.2
791827200,40.2
791913600,40.2
792000000,40.2
792086400,40.2
792172800,40.2
792259200,40.2
792345600,56.8
792432000,54.1
792518400,53.6
792604800,53.6
792691200,53.5
792777600,53.5
792864000,49.2
792950400,47.3
793036800,54.7
793123200,54.2
793209600,52.5
793296000,52.5
793382400,54.1
793468800,48.5
793555200,48.5
793641600,48.5
793728000,55.7
793814400,49.6
793900800,52.7
793987200,56.4
794073600,57.3
794160000,61.1
794246400,60.1
794332800,58.4
794419200,61.2
794505600,53.0
794592000,51.4
794678400,54.6
794764800,60.0
794851200,60.0
794937600,63.7
795024000,63.7
795110400,63.7
795196800,63.2
795283200,64.9
795369600,63.3
795456000,63.4
795542400,64.7
795628800,68.8
795715200,67.6
795801600,72.0
795888000,68.0
795974400,71.7
796060800,71.0
796147200,59.4
796233600,60.3
796320000,68.5
796406400,68.5
796492800,66.7
796579200,62.0
796665600,62.0
796752000,62.1
796838400,60.3
796924800,59.8
797011200,59.5
797097600,64.2
797184000,68.0
797270400,64.9
797356800,64.9
797443200,73.4
797529600,70.1
797616000,70.7
797702400,63.8
797788800,65.4
797875200,68.8
797961600,69.4
798048000,69.4
798134400,69.4
798220800,71.3
798307200,69.1
798393600,69.1
798480000,74.3
798566400,73.6
798652800,73.6
798739200,74.4
798825600,77.2
798912000,75.3
798998400,75.0
799084800,77.5
799171200,75.3
799257600,75.0
799344000,75.4
799430400,75.4
799516800,73.8
799603200,72.5
799689600,73.9
799776000,73.9
799862400,71.2
799948800,71.2
800035200,69.2
800121600,72.8
800208000,72.0
800294400,67.3
800380800,77.4
800467200,72.8
800553600,71.1
800640000,72.0
800726400,77.5
800812800,78.3
800899200,76.4
800985600,75.8
801072000,77.0
801158400,75.2
801244800,75.9
801331200,72.3
801417600,80.9
801504000,86.4
801590400,83.4
801676800,78.3
801763200,78.9
801849600,76.1
801936000,76.1
802022400,82.7
802108800,77.3
802195200,77.3
802281600,77.3
802368000,76.7
802454400,73.2
802540800,73.8
802627200,72.6
802713600,72.0
802800000,72.6
802886400,70.2
802972800,75.2
803059200,74.8
803145600,74.8
803232000,74.8
803318400,74.8
803404800,74.8
803491200,74.8
803577600,74.8
803664000,74.8
803750400,72.1
803836800,70.8
803923200,71.1
804009600,74.9
804096000,75.9
804182400,75.9
804268800,75.9
804355200,75.9
804441600,75.9
804528000,75.9
804614400,75.9
804700800,75.9
804787200,78.6
804873600,73.7
804960000,72.5
805046400,72.9
805132800,70.7
805219200,73.1
805305600,73.1
805392000,73.1
805478400,75.7
805564800,73.0
805651200,74.4
805737600,74.6
805824000,75.6
805910400,75.6
805996800,75.6
806083200,75.6
806169600,73.4
806256000,73.0
806342400,73.0
806428800,75.6
806515200,74.3
806601600,74.3
806688000,74.3
806774400,73.9
806860800,74.5
806947200,74.5
807033600,75.5
807120000,75.5
807206400,75.5
807292800,73.6
807379200,73.6
807465600,73.6
807552000,73.6
807638400,73.6
807724800,73.6
807811200,73.6
807897600,73.6
807984000,73.6
808070400,73.6
808156800,73.6
808243200,73.6
808329600,70.8
808416000,73.5
808502400,74.3
808588800,73.0
808675200,75.2
808761600,74.0
808848000,74.0
808934400,74.0
809020800,74.0
809107200,74.0
809193600,75.5
809280000,76.5
809366400,76.5
809452800,76.5
809539200,76.5
809625600,72.2
809712000,75.4
809798400,77.0
809884800,76.1
809971200,76.1
810057600,74.9
810144000,72.3
810230400,72.1
810316800,72.8
810403200,71.8
810489600,74.7
810576000,72.1
810662400,72.1
810748800,72.1
810835200,72.1
810921600,68.1
811008000,71.2
811094400,72.9
811180800,70.3
811267200,70.3
811353600,70.1
811440000,67.6
811526400,72.3
811612800,75.6
811699200,75.6
811785600,73.1
811872000,71.3
811958400,72.9
812044800,70.9
812131200,70.2
812217600,71.0
812304000,71.2
812390400,71.2
812476800,71.2
812563200,72.4
812649600,69.0
812736000,69.7
812822400,69.2
812908800,67.6
812995200,65.7
813081600,70.1
813168000,67.3
813254400,61.9
813340800,71.5
813427200,68.3
813513600,67.9
813600000,65.6
813686400,70.9
813772800,70.6
813859200,66.2
813945600,66.2
814032000,68.1
814118400,64.2
814204800,63.5
814291200,59.5
814377600,60.4
814464000,61.5
814550400,66.4
814636800,65.8
814723200,62.7
814809600,64.3
814896000,67.0
814982400,60.2
815068800,62.1
815155200,65.9
815241600,63.7
815328000,58.7
815414400,57.2
815500800,61.9
815587200,61.1
815673600,63.7
815760000,64.1
815846400,56.8
815932800,59.3
816019200,61.4
816105600,66.1
816192000,65.9
816278400,61.5
816364800,61.5
816451200,63.8
816537600,61.1
816624000,60.7
816710400,59.9
816796800,54.8
816883200,57.0
816969600,57.0
817056000,54.7
817142400,52.8
817228800,53.1
817315200,53.8
817401600,53.5
817488000,53.0
817574400,53.0
817660800,52.2
817747200,52.2
817833600,52.7
817920000,52.9
818006400,51.4
818092800,50.8
818179200,50.8
818265600,53.6
818352000,52.2
818438400,52.2
818524800,49.7
818611200,50.2
818697600,48.2
818784000,55.8
818870400,50.6
818956800,52.7
819043200,51.7
819129600,50.1
819216000,55.4
819302400,55.4
819388800,52.6
819475200,50.5
819561600,51.3
819648000,58.1
819734400,53.0
819820800,53.0
819907200,47.0
819993600,49.1
820080000,48.6
820166400,47.4
820252800,47.0
820339200,50.7
820425600,52.0
820512000,48.4
820598400,43.8
820684800,49.1
820771200,46.7
820857600,47.8
820944000,47.8
821030400,47.5
821116800,46.7
821203200,49.3
821289600,46.0
821376000,48.8
821462400,45.5
821548800,47.0
821635200,41.8
821721600,45.1
821808000,50.0
821894400,43.6
821980800,46.0
822067200,43.3
822153600,44.7
822240000,50.0
822326400,47.0
822412800,47.0
822499200,47.0
822585600,47.0
822672000,47.6
822758400,47.6
822844800,52.2
822931200,54.5
823017600,52.9
823104000,52.9
823190400,52.9
823276800,57.8
823363200,52.6
823449600,52.6
823536000,52.6
823622400,54.6
823708800,51.7
823795200,53.1
823881600,52.7
823968000,50.3
824054400,55.1
824140800,54.6
824227200,53.7
824313600,53.7
824400000,56.8
824486400,51.6
824572800,51.6
824659200,54.4
824745600,52.6
824832000,52.6
824918400,50.4
825004800,50.4
825091200,50.4
825177600,50.4
825264000,50.4
825350400,50.4
825436800,49.1
825523200,56.6
825609600,56.1
825696000,60.5
825782400,60.5
825868800,52.5
825955200,52.5
826041600,52.5
826128000,52.5
826214400,52.5
826300800,52.5
826387200,62.0
826473600,62.0
826560000,64.5
826646400,64.8
826732800,64.8
826819200,64.8
826905600,64.8
826992000,64.8
827078400,64.8
827164800,61.3
827251200,61.3
827337600,61.3
827424000,61.3
827510400,61.3
827596800,63.6
827683200,63.6
827769600,59.0
827856000,60.7
827942400,65.5
828028800,65.5
828115200,66.7
828201600,63.3
828288000,60.1
828374400,60.0
828460800,60.0
828547200,60.0
828633600,60.0
828720000,60.0
828806400,60.0
828892800,79.1
828979200,68.7
829065600,68.7
829152000,65.9
829238400,67.7
829324800,66.3
829411200,64.8
829497600,69.8
829584000,70.5
829670400,70.5
829756800,75.4
829843200,77.9
829929600,79.2
830016000,76.8
830102400,68.9
830188800,70.3
830275200,59.1
830361600,57.6
830448000,67.5
830534400,64.8
830620800,71.0
830707200,73.9
830793600,70.6
830880000,66.0
830966400,70.7
831052800,78.8
831139200,78.5
831225600,80.6
831312000,78.3
831398400,75.4
831484800,69.8
831571200,73.2
831657600,78.6
831744000,67.4
831830400,70.4
831916800,73.0
832003200,73.5
832089600,67.9
832176000,76.4
832262400,74.2
832348800,72.1
832435200,74.5
832521600,72.4
832608000,75.0
832694400,77.9
832780800,79.6
832867200,77.8
832953600,74.3
833040000,77.6
833126400,80.9
833212800,81.5
833299200,79.6
833385600,74.7
833472000,70.0
833558400,67.8
833644800,65.1
833731200,62.7
833817600,69.6
833904000,67.2
833990400,70.3
834076800,70.3
834163200,70.5
834249600,75.4
834336000,79.8
834422400,72.9
834508800,74.9
834595200,77.9
834681600,73.5
834768000,74.1
834854400,76.2
834940800,79.7
835027200,81.1
835113600,81.1
835200000,76.0
835286400,76.0
835372800,73.5
835459200,72.4
835545600,71.1
835632000,76.7
835718400,73.6
835804800,73.6
835891200,74.5
835977600,69.8
836064000,67.9
836150400,74.2
836236800,73.6
836323200,77.1
836409600,76.9
836496000,75.6
836582400,72.1
836668800,72.9
836755200,72.3
836841600,73.6
836928000,72.8
837014400,73.5
837100800,71.0
837187200,70.5
837273600,69.3
837360000,72.0
837446400,71.5
837532800,71.2
837619200,70.9
837705600,74.7
837792000,71.3
837878400,72.9
837964800,73.6
838051200,75.8
838137600,74.6
838224000,75.1
838310400,76.5
838396800,73.1
838483200,73.2
838569600,72.6
838656000,72.4
838742400,74.6
838828800,73.3
838915200,74.2
839001600,73.9
839088000,75.4
839174400,75.1
839260800,73.5
839347200,72.2
839433600,72.2
839520000,72.7
839606400,72.2
839692800,76.1
839779200,71.2
839865600,70.0
839952000,67.5
840038400,69.1
840124800,72.7
840211200,71.9
840297600,73.2
840384000,74.8
840470400,72.0
840556800,72.6
840643200,68.0
840729600,70.2
840816000,76.3
840902400,74.4
840988800,70.5
841075200,75.0
841161600,69.8
841248000,70.1
841334400,72.7
841420800,72.3
841507200,68.6
841593600,69.1
841680000,71.0
841766400,69.3
841852800,69.7
841939200,71.0
842025600,70.2
842112000,69.8
842198400,71.1
842284800,71.7
842371200,70.6
842457600,70.4
842544000,70.0
842630400,72.9
842716800,72.9
842803200,72.9
842889600,71.2
842976000,71.3
843062400,76.2
843148800,67.3
843235200,69.7
843321600,68.6
843408000,73.7
843494400,71.5
843580800,70.1
843667200,70.4
843753600,68.9
843840000,68.5
843926400,69.1
844012800,71.0
844099200,70.4
844185600,70.6
844272000,65.6
844358400,64.9
844444800,62.5
844531200,64.0
844617600,66.8
844704000,67.0
844790400,62.4
844876800,62.6
844963200,62.0
845049600,60.2
845136000,60.7
845222400,60.9
845308800,58.9
845395200,58.1
845481600,59.3
845568000,60.8
845654400,60.8
845740800,67.2
845827200,67.2
845913600,67.2
846000000,62.1
846086400,62.4
846172800,60.6
846259200,60.6
846345600,63.1
846432000,60.8
846518400,60.4
846604800,59.8
846691200,64.0
846777600,63.8
846864000,58.8
846950400,58.7
847036800,61.6
847123200,57.8
847209600,54.3
847296000,59.0
847382400,55.8
847468800,54.3
847555200,57.6
847641600,58.4
847728000,58.4
847814400,58.4
847900800,53.2
847987200,53.5
848073600,55.4
848160000,55.0
848246400,58.0
848332800,55.6
848419200,54.8
848505600,55.5
848592000,49.4
848678400,49.9
848764800,50.0
848851200,53.6
848937600,51.4
849024000,50.8
849110400,47.2
849196800,51.8
849283200,50.4
849369600,49.7
849456000,51.5
849542400,47.9
849628800,48.7
849715200,48.6
849801600,46.0
849888000,43.4
849974400,46.2
850060800,47.3
850147200,47.3
850233600,47.3
850320000,47.3
850406400,52.5
850492800,52.4
850579200,49.8
850665600,49.8
850752000,46.9
850838400,47.3
850924800,44.7
851011200,47.7
851097600,49.6
851184000,46.9
851270400,46.3
851356800,47.0
851443200,47.6
851529600,48.5
851616000,48.6
851702400,47.2
851788800,47.6
851875200,49.7
851961600,49.7
852048000,49.7
852134400,42.8
852220800,46.5
852307200,48.7
852393600,45.4
852480000,45.3
852566400,44.7
852652800,51.3
852739200,47.1
852825600,42.3
852912000,42.3
852998400,43.1
853084800,43.0
853171200,43.5
853257600,43.9
853344000,41.4
853430400,42.5
853516800,41.3
853603200,47.0
853689600,40.9
853776000,44.4
853862400,41.1
853948800,44.1
854035200,41.9
854121600,44.2
854208000,46.3
854294400,46.1
854380800,49.8
854467200,46.5
854553600,50.0
854640000,43.0
854726400,42.8
854812800,45.4
854899200,47.7
854985600,46.2
855072000,45.0
855158400,47.1
855244800,45.6
855331200,45.8
855417600,43.2
855504000,47.1
855590400,48.1
855676800,46.3
855763200,45.8
855849600,50.3
855936000,48.3
856022400,53.3
856108800,44.5
856195200,50.2
856281600,46.1
856368000,45.4
856454400,58.4
856540800,58.4
856627200,61.1
856713600,61.1
856800000,50.2
856886400,52.0
856972800,54.2
857059200,55.5
857145600,53.9
857232000,55.8
857318400,57.8
857404800,57.0
857491200,57.0
857577600,57.0
857664000,58.6
857750400,58.6
857836800,60.9
857923200,61.7
858009600,61.7
858096000,61.7
858182400,59.5
858268800,60.6
858355200,60.6
858441600,60.6
858528000,60.6
858614400,63.6
858700800,62.1
858787200,63.5
858873600,64.8
858960000,54.8
859046400,57.3
859132800,57.9
859219200,62.6
859305600,55.2
859392000,55.8
859478400,59.4
859564800,55.3
859651200,54.3
859737600,55.5
859824000,57.1
859910400,59.2
859996800,50.6
860083200,50.6
860169600,49.1
860256000,46.2
860342400,51.6
860428800,61.3
860515200,58.3
860601600,56.5
860688000,60.2
860774400,60.8
860860800,60.7
860947200,62.7
861033600,65.4
861120000,68.8
861206400,62.8
861292800,60.6
861379200,60.5
861465600,63.6
861552000,67.0
861638400,61.2
861724800,58.6
861811200,58.6
861897600,62.4
861984000,65.0
862070400,63.6
862156800,63.6
862243200,63.6
862329600,63.6
862416000,63.6
862502400,63.6
862588800,63.6
862675200,63.6
862761600,63.6
862848000,63.6
862934400,63.6
863020800,63.6
