timestamp,value
788889600,36.6
788976000,32.8
789062400,31.2
789148800,26.9
789235200,19.1
789321600,21.6
789408000,24.1
789494400,25.1
789580800,19.4
789667200,27.3
789753600,27.2
789840000,23.1
789926400,23.3
790012800,23.2
790099200,21.0
790185600,29.1
790272000,21.2
790358400,12.8
790444800,14.1
790531200,8.9
790617600,11.7
790704000,10.1
790790400,18.7
790876800,33.2
790963200,34.7
791049600,33.4
791136000,37.6
791222400,32.0
791308800,33.0
791395200,32.6
791481600,32.7
791568000,25.5
791654400,35.1
791740800,33.8
791827200,29.4
791913600,32.5
792000000,33.8
792086400,38.0
792172800,38.2
792259200,33.9
792345600,28.3
792432000,29.6
792518400,41.0
792604800,43.0
792691200,34.8
792777600,35.1
792864000,35.5
792950400,35.4
793036800,38.3
793123200,38.7
793209600,39.0
793296000,37.4
793382400,37.1
793468800,37.7
793555200,41.7
793641600,42.4
793728000,40.5
793814400,36.5
793900800,33.5
793987200,42.9
794073600,45.2
794160000,44.6
794246400,49.2
794332800,47.8
794419200,49.5
794505600,49.6
794592000,44.1
794678400,42.8
794764800,39.5
794851200,41.7
794937600,29.4
795024000,16.8
795110400,22.3
795196800,28.0
795283200,27.3
795369600,30.2
795456000,34.4
795542400,42.3
795628800,42.4
795715200,39.0
795801600,35.2
795888000,35.7
795974400,37.3
796060800,41.2
796147200,40.5
796233600,40.6
796320000,37.8
796406400,33.6
796492800,38.3
796579200,40.3
796665600,38.1
796752000,38.6
796838400,41.1
796924800,46.3
797011200,37.7
797097600,41.8
797184000,42.2
797270400,43.5
797356800,40.0
797443200,38.3
797529600,34.6
797616000,35.7
797702400,43.2
797788800,50.5
797875200,47.3
797961600,45.9
798048000,48.7
798134400,46.2
798220800,53.5
798307200,57.5
798393600,63.3
798480000,61.8
798566400,56.5
798652800,62.3
798739200,60.0
798825600,52.1
798912000,50.9
798998400,55.4
799084800,51.5
799171200,47.2
799257600,49.1
799344000,40.2
799430400,40.3
799516800,47.8
799603200,51.6
799689600,52.6
799776000,54.1
799862400,49.4
799948800,52.7
800035200,49.6
800121600,45.8
800208000,50.6
800294400,60.0
800380800,65.6
800467200,47.9
800553600,50.5
800640000,58.2
800726400,59.4
800812800,61.9
800899200,60.8
800985600,60.6
801072000,61.4
801158400,60.3
801244800,64.1
801331200,62.7
801417600,65.7
801504000,71.6
801590400,73.3
801676800,70.1
801763200,68.8
801849600,71.5
801936000,74.2
802022400,74.3
802108800,75.7
802195200,67.3
802281600,63.6
802368000,64.9
802454400,63.6
802540800,68.0
802627200,68.8
802713600,69.1
802800000,69.4
802886400,72.1
802972800,73.2
803059200,72.9
803145600,70.9
803232000,72.3
803318400,68.0
803404800,69.1
803491200,68.9
803577600,64.2
803664000,63.0
803750400,66.0
803836800,59.9
803923200,63.3
804009600,62.2
804096000,66.8
804182400,67.4
804268800,66.5
804355200,68.3
804441600,69.7
804528000,65.9
804614400,66.0
804700800,62.8
804787200,72.7
804873600,66.5
804960000,64.6
805046400,65.1
805132800,67.9
805219200,71.4
805305600,74.9
805392000,71.7
805478400,66.7
805564800,69.1
805651200,71.9
805737600,75.6
805824000,73.2
805910400,60.7
805996800,60.4
806083200,63.9
806169600,66.1
806256000,68.3
806342400,73.4
806428800,76.9
806515200,73.3
806601600,70.4
806688000,66.6
806774400,67.4
806860800,66.0
806947200,70.0
807033600,72.3
807120000,71.5
807206400,71.2
807292800,70.6
807379200,69.9
807465600,67.5
807552000,62.1
807638400,62.3
807724800,65.3
807811200,70.8
807897600,64.1
807984000,63.3
808070400,62.6
808156800,55.0
808243200,62.4
808329600,68.7
808416000,71.2
808502400,70.5
808588800,72.9
808675200,70.5
808761600,74.5
808848000,76.2
808934400,74.2
809020800,65.1
809107200,64.5
809193600,69.3
809280000,70.8
809366400,73.1
809452800,65.5
809539200,64.4
809625600,67.0
809712000,67.1
809798400,56.6
809884800,58.9
809971200,62.2
810057600,59.5
810144000,62.7
810230400,57.4
810316800,60.7
810403200,56.6
810489600,62.4
810576000,65.9
810662400,62.9
810748800,65.7
810835200,64.1
810921600,65.5
811008000,66.9
811094400,67.5
811180800,57.9
811267200,46.2
811353600,44.9
811440000,49.7
811526400,51.9
811612800,51.8
811699200,53.6
811785600,49.4
811872000,48.9
811958400,53.1
812044800,53.0
812131200,56.6
812217600,56.7
812304000,48.4
812390400,42.5
812476800,46.9
812563200,44.9
812649600,46.9
812736000,47.2
812822400,49.1
812908800,49.5
812995200,51.1
813081600,52.8
813168000,52.9
813254400,54.9
813340800,58.8
813427200,59.3
813513600,61.2
813600000,56.2
813686400,48.5
813772800,43.3
813859200,43.9
813945600,46.7
814032000,53.1
814118400,53.1
814204800,48.3
814291200,40.3
814377600,40.3
814464000,40.9
814550400,43.5
814636800,44.4
814723200,44.8
814809600,43.3
814896000,47.0
814982400,43.2
815068800,40.3
815155200,40.1
815241600,45.0
815328000,35.7
815414400,31.8
815500800,31.9
815587200,28.4
815673600,30.2
815760000,29.5
815846400,29.1
815932800,27.3
816019200,28.0
816105600,32.7
816192000,29.9
816278400,33.0
816364800,30.2
816451200,34.2
816537600,41.8
816624000,38.6
816710400,30.8
816796800,32.4
816883200,30.7
816969600,24.4
817056000,21.4
817142400,20.1
817228800,28.6
817315200,35.5
817401600,29.8
817488000,34.9
817574400,30.8
817660800,26.1
817747200,25.9
817833600,27.8
817920000,28.4
818006400,22.4
818092800,17.1
818179200,16.9
818265600,18.0
818352000,24.4
818438400,26.4
818524800,22.8
818611200,23.9
818697600,23.7
818784000,27.8
818870400,27.4
818956800,21.7
819043200,21.7
819129600,19.9
819216000,23.1
819302400,31.3
819388800,29.4
819475200,22.7
819561600,16.3
819648000,28.9
819734400,42.6
819820800,21.7
819907200,21.6
819993600,19.7
820080000,15.0
820166400,9.9
820252800,5.1
820339200,4.0
820425600,9.0
820512000,16.2
820598400,21.4
820684800,24.5
820771200,22.2
820857600,11.8
820944000,10.9
821030400,9.6
821116800,4.9
821203200,8.1
821289600,16.1
821376000,24.3
821462400,18.3
821548800,10.5
821635200,10.7
821721600,15.8
821808000,15.7
821894400,11.7
821980800,14.8
822067200,18.0
822153600,19.6
822240000,18.8
822326400,11.4
822412800,5.3
822499200,5.6
822585600,12.7
822672000,17.2
822758400,15.8
822844800,13.3
822931200,15.0
823017600,19.3
823104000,15.3
823190400,12.0
823276800,12.1
823363200,22.9
823449600,18.6
823536000,9.7
823622400,4.6
823708800,4.7
823795200,8.6
823881600,2.6
823968000,2.0
824054400,7.3
824140800,10.9
824227200,16.4
824313600,18.4
824400000,23.8
824486400,32.5
824572800,31.5
824659200,26.5
824745600,32.0
824832000,35.6
824918400,32.7
825004800,28.6
825091200,32.7
825177600,27.3
825264000,26.6
825350400,18.0
825436800,20.1
825523200,21.2
825609600,23.3
825696000,23.4
825782400,25.1
825868800,20.6
825955200,19.9
826041600,25.6
826128000,22.9
826214400,20.8
826300800,23.2
826387200,24.0
826473600,20.8
826560000,23.7
826646400,22.5
826732800,25.4
826819200,28.6
826905600,28.0
826992000,26.1
827078400,26.7
827164800,25.9
827251200,27.9
827337600,29.8
827424000,29.3
827510400,29.0
827596800,29.8
827683200,31.1
827769600,29.0
827856000,29.6
827942400,34.8
828028800,32.3
828115200,34.1
828201600,35.0
828288000,34.6
828374400,36.6
828460800,34.7
828547200,40.6
828633600,44.2
828720000,44.5
828806400,44.6
828892800,41.6
828979200,40.4
829065600,37.2
829152000,40.8
829238400,40.9
829324800,45.0
829411200,41.9
829497600,39.0
829584000,49.1
829670400,44.4
829756800,50.9
829843200,54.0
829929600,55.6
830016000,57.5
830102400,62.3
830188800,63.8
830275200,64.6
830361600,68.3
830448000,58.0
830534400,53.8
830620800,50.6
830707200,58.1
830793600,63.8
830880000,65.4
830966400,64.5
831052800,61.1
831139200,62.5
831225600,54.8
831312000,60.8
831398400,64.8
831484800,69.7
831571200,71.0
831657600,72.0
831744000,72.3
831830400,69.2
831916800,72.9
832003200,71.2
832089600,67.3
832176000,71.2
832262400,71.2
832348800,70.8
832435200,71.9
832521600,74.1
832608000,62.4
832694400,54.1
832780800,54.9
832867200,55.8
832953600,60.7
833040000,67.9
833126400,60.8
833212800,64.6
833299200,67.4
833385600,63.4
833472000,62.4
833558400,61.1
833644800,63.3
833731200,66.3
833817600,69.7
833904000,70.4
833990400,65.9
834076800,69.9
834163200,70.9
834249600,69.3
834336000,76.0
834422400,75.1
834508800,73.1
834595200,74.3
834681600,57.5
834768000,55.2
834854400,56.4
834940800,55.5
835027200,59.3
835113600,68.4
835200000,64.9
835286400,66.5
835372800,73.2
835459200,75.2
835545600,70.1
835632000,64.4
835718400,59.8
835804800,55.8
835891200,60.8
835977600,61.9
836064000,67.9
836150400,63.3
836236800,64.8
836323200,67.9
836409600,63.0
836496000,67.0
836582400,72.0
836668800,73.2
836755200,75.4
836841600,79.8
836928000,66.2
837014400,69.8
837100800,67.4
837187200,68.5
837273600,72.1
837360000,75.2
837446400,68.7
837532800,59.4
837619200,60.0
837705600,58.9
837792000,58.3
837878400,59.9
837964800,57.1
838051200,58.7
838137600,62.8
838224000,67.5
838310400,60.8
838396800,64.1
838483200,68.9
838569600,71.5
838656000,70.1
838742400,74.4
838828800,72.3
838915200,73.4
839001600,75.1
839088000,73.6
839174400,66.5
839260800,63.2
839347200,60.6
839433600,53.3
839520000,59.6
839606400,62.2
839692800,61.6
839779200,64.8
839865600,67.6
839952000,69.6
840038400,69.3
840124800,67.7
840211200,72.1
840297600,73.5
840384000,73.1
840470400,69.9
840556800,67.9
840643200,67.3
840729600,64.6
840816000,65.5
840902400,64.3
840988800,62.4
841075200,62.7
841161600,61.0
841248000,62.8
841334400,65.1
841420800,66.0
841507200,69.1
841593600,66.6
841680000,67.5
841766400,64.4
841852800,59.6
841939200,58.7
842025600,60.7
842112000,58.0
842198400,54.5
842284800,53.1
842371200,51.5
842457600,50.0
842544000,53.4
842630400,53.5
842716800,46.5
842803200,45.3
842889600,45.7
842976000,48.0
843062400,48.5
843148800,47.2
843235200,43.7
843321600,44.7
843408000,45.6
843494400,43.3
843580800,46.4
843667200,50.8
843753600,51.8
843840000,50.6
843926400,40.7
844012800,41.9
844099200,51.0
844185600,49.9
844272000,53.2
844358400,48.4
844444800,46.8
844531200,50.3
844617600,52.2
844704000,50.9
844790400,52.1
844876800,52.2
844963200,51.0
845049600,45.3
845136000,44.9
845222400,47.7
845308800,48.4
845395200,47.7
845481600,51.3
845568000,50.7
845654400,58.6
845740800,50.7
845827200,47.0
845913600,44.1
846000000,46.8
846086400,45.4
846172800,42.5
846259200,42.7
846345600,39.2
846432000,36.3
846518400,37.9
846604800,44.3
846691200,42.1
846777600,42.1
846864000,45.3
846950400,50.7
847036800,54.8
847123200,53.1
847209600,50.0
847296000,51.4
847382400,47.5
847468800,38.3
847555200,39.2
847641600,41.5
847728000,42.1
847814400,46.8
847900800,48.4
847987200,41.3
848073600,40.4
848160000,41.0
848246400,45.0
848332800,47.8
848419200,49.2
848505600,47.5
848592000,41.6
848678400,34.3
848764800,43.2
848851200,44.5
848937600,38.7
849024000,38.9
849110400,42.6
849196800,33.9
849283200,42.9
849369600,40.2
849456000,40.7
849542400,43.7
849628800,40.3
849715200,36.7
849801600,35.8
849888000,36.5
849974400,34.4
850060800,32.7
850147200,31.6
850233600,30.0
850320000,31.4
850406400,35.0
850492800,35.7
850579200,30.8
