timestamp,value
788889600,47.6
788976000,36.1
789062400,30.2
789148800,33.1
789235200,21.0
789321600,23.7
789408000,36.6
789494400,33.7
789580800,40.5
789667200,38.9
789753600,41.2
789840000,52.9
789926400,55.8
790012800,62.8
790099200,55.1
790185600,45.4
790272000,41.9
790358400,45.1
790444800,50.6
790531200,35.8
790617600,33.7
790704000,32.4
790790400,36.8
790876800,28.9
790963200,32.7
791049600,40.0
791136000,33.1
791222400,41.9
791308800,42.1
791395200,32.5
791481600,32.3
791568000,39.7
791654400,51.5
791740800,46.9
791827200,38.2
791913600,25.9
792000000,20.7
792086400,27.0
792172800,21.3
792259200,18.6
792345600,32.9
792432000,35.5
792518400,26.2
792604800,26.5
792691200,35.4
792777600,40.6
792864000,46.8
792950400,46.1
793036800,50.5
793123200,51.7
793209600,51.0
793296000,44.9
793382400,36.7
793468800,58.8
793555200,48.9
793641600,40.2
793728000,55.9
793814400,53.3
793900800,56.2
793987200,45.8
794073600,39.3
794160000,35.8
794246400,39.7
794332800,46.3
794419200,51.0
794505600,55.2
794592000,48.6
794678400,33.3
794764800,36.2
794851200,49.0
794937600,56.2
795024000,61.7
795110400,63.0
795196800,60.2
795283200,62.0
795369600,63.0
795456000,62.0
795542400,56.6
795628800,62.2
795715200,57.6
795801600,62.9
795888000,72.2
795974400,55.2
796060800,52.2
796147200,56.9
796233600,62.5
796320000,57.7
796406400,52.6
796492800,51.5
796579200,48.5
796665600,48.3
796752000,49.7
796838400,54.5
796924800,61.5
797011200,51.2
797097600,55.5
797184000,61.6
797270400,65.8
797356800,70.8
797443200,75.0
797529600,73.3
797616000,64.1
797702400,57.8
797788800,54.1
797875200,58.2
797961600,65.3
798048000,65.7
798134400,67.2
798220800,75.2
798307200,69.7
798393600,69.9
798480000,66.1
798566400,56.0
798652800,51.8
798739200,49.3
798825600,55.9
798912000,62.3
798998400,58.1
799084800,58.6
799171200,64.3
799257600,58.9
799344000,54.2
799430400,54.2
799516800,61.5
799603200,62.6
799689600,59.0
799776000,61.3
