timestamp,value
788889600,82.0
788976000,82.6
789062400,80.9
789148800,81.1
789235200,80.8
789321600,80.2
789408000,80.2
789494400,79.5
789580800,79.3
789667200,78.7
789753600,81.3
789840000,80.1
789926400,78.3
790012800,81.7
790099200,80.7
790185600,81.7
790272000,80.9
790358400,79.7
790444800,75.9
790531200,79.7
790617600,81.0
790704000,79.2
790790400,81.4
790876800,81.0
790963200,81.1
791049600,81.0
791136000,79.9
791222400,82.5
791308800,84.6
791395200,81.7
791481600,81.3
791568000,82.1
791654400,81.6
791740800,81.1
791827200,78.4
791913600,80.2
792000000,79.7
792086400,81.4
792172800,83.4
792259200,82.4
792345600,82.2
792432000,82.4
792518400,82.1
792604800,79.8
792691200,79.8
792777600,80.7
792864000,81.5
792950400,79.4
793036800,79.2
793123200,81.2
793209600,81.2
793296000,79.0
793382400,78.9
793468800,80.6
793555200,78.8
793641600,78.4
793728000,79.3
793814400,81.4
793900800,81.1
793987200,81.0
794073600,82.4
794160000,81.5
794246400,79.3
794332800,77.5
794419200,82.9
794505600,82.0
794592000,82.0
794678400,83.0
794764800,83.8
794851200,84.4
794937600,80.6
795024000,81.7
795110400,82.7
795196800,84.0
795283200,82.6
795369600,79.4
795456000,79.3
795542400,83.8
795628800,80.0
795715200,82.5
795801600,82.2
795888000,84.4
795974400,83.7
796060800,79.4
796147200,82.7
796233600,82.6
796320000,82.5
796406400,81.1
796492800,83.3
796579200,84.9
796665600,82.3
796752000,82.7
796838400,83.8
796924800,84.7
797011200,82.2
797097600,79.9
797184000,82.5
797270400,83.1
797356800,79.5
797443200,81.1
797529600,80.8
797616000,80.7
797702400,83.1
797788800,81.5
797875200,81.1
797961600,83.8
798048000,80.6
798134400,80.6
798220800,81.1
798307200,81.8
798393600,81.4
798480000,81.7
798566400,81.2
798652800,82.7
798739200,78.9
798825600,80.7
798912000,80.8
798998400,82.6
799084800,80.6
799171200,79.3
799257600,80.7
799344000,80.9
799430400,80.9
799516800,80.6
799603200,82.9
799689600,84.1
799776000,82.0
799862400,80.9
799948800,80.2
800035200,82.0
800121600,82.8
800208000,83.0
800294400,86.4
800380800,85.3
800467200,87.1
800553600,83.7
800640000,85.6
800726400,84.4
800812800,84.6
800899200,83.4
800985600,84.9
801072000,81.1
801158400,80.8
801244800,82.7
801331200,84.4
801417600,83.5
801504000,80.9
801590400,82.5
801676800,81.4
801763200,81.5
801849600,82.8
801936000,82.3
802022400,81.5
802108800,80.0
802195200,82.2
802281600,82.6
802368000,82.9
802454400,84.2
802540800,85.5
802627200,81.7
802713600,81.1
802800000,84.2
802886400,80.8
802972800,82.9
803059200,80.6
803145600,82.2
803232000,83.8
803318400,85.2
803404800,85.2
803491200,84.9
803577600,81.5
803664000,84.9
803750400,82.5
803836800,83.1
803923200,82.5
804009600,81.6
804096000,80.4
804182400,80.9
804268800,80.1
804355200,83.7
804441600,82.3
804528000,79.0
804614400,80.5
804700800,84.6
804787200,83.2
804873600,82.5
804960000,83.7
805046400,83.7
805132800,85.0
805219200,81.3
805305600,83.0
805392000,85.8
805478400,87.0
805564800,84.9
805651200,83.1
805737600,82.5
805824000,83.2
805910400,85.0
805996800,77.3
806083200,80.2
806169600,82.2
806256000,83.1
806342400,83.3
806428800,83.4
806515200,79.2
806601600,82.6
806688000,82.8
806774400,81.8
806860800,81.7
806947200,80.9
807033600,80.7
807120000,82.6
807206400,81.9
807292800,79.4
807379200,80.1
807465600,78.7
807552000,80.7
807638400,78.2
807724800,80.8
807811200,77.9
807897600,80.0
807984000,79.3
808070400,78.4
808156800,81.2
808243200,79.5
808329600,79.5
808416000,78.6
808502400,81.7
808588800,80.2
808675200,80.8
808761600,77.6
808848000,82.7
808934400,83.9
809020800,82.6
809107200,82.8
809193600,80.4
809280000,82.4
809366400,82.4
809452800,81.1
809539200,84.1
809625600,82.2
809712000,83.7
809798400,82.4
809884800,83.0
809971200,84.4
810057600,83.7
810144000,84.7
810230400,83.5
810316800,82.3
810403200,82.6
810489600,81.5
810576000,82.6
810662400,82.2
810748800,80.5
810835200,81.0
810921600,82.9
811008000,82.2
811094400,81.8
811180800,82.8
811267200,79.2
811353600,77.7
811440000,82.5
811526400,84.2
811612800,83.0
811699200,77.3
811785600,81.7
811872000,83.1
811958400,81.6
812044800,82.6
812131200,80.6
812217600,82.5
812304000,82.2
812390400,84.1
812476800,83.5
812563200,84.6
812649600,82.4
812736000,83.5
812822400,83.5
812908800,84.3
812995200,83.8
813081600,84.2
813168000,80.6
813254400,83.9
813340800,82.7
813427200,83.8
813513600,83.5
813600000,83.9
813686400,81.6
813772800,81.2
813859200,82.8
813945600,81.2
814032000,81.1
814118400,82.5
814204800,80.2
814291200,81.9
814377600,79.2
814464000,81.3
814550400,81.1
814636800,83.6
814723200,82.9
814809600,81.2
814896000,79.3
814982400,80.3
815068800,81.0
815155200,80.4
815241600,83.0
815328000,81.7
815414400,82.2
815500800,81.9
815587200,82.1
815673600,82.1
815760000,79.4
815846400,79.0
815932800,79.1
816019200,79.6
816105600,83.6
816192000,82.2
816278400,81.2
816364800,79.7
816451200,79.2
816537600,78.2
816624000,80.3
816710400,80.5
816796800,83.9
816883200,82.4
816969600,82.8
817056000,81.2
817142400,79.8
817228800,79.1
817315200,78.7
817401600,79.8
817488000,81.4
817574400,79.8
817660800,81.2
817747200,83.1
817833600,79.2
817920000,78.2
818006400,76.5
818092800,77.5
818179200,78.3
818265600,79.2
818352000,81.1
818438400,78.8
818524800,80.5
818611200,82.1
818697600,82.1
818784000,82.8
818870400,83.0
818956800,82.4
819043200,81.4
819129600,83.0
819216000,80.6
819302400,79.6
819388800,80.0
819475200,77.6
819561600,76.0
819648000,76.7
819734400,78.1
819820800,79.3
819907200,77.9
819993600,77.5
820080000,78.9
820166400,79.8
820252800,80.7
820339200,79.5
820425600,79.3
820512000,80.7
820598400,78.4
820684800,79.1
820771200,79.3
820857600,80.0
820944000,79.9
821030400,80.8
821116800,79.8
821203200,80.7
821289600,78.5
821376000,79.9
821462400,81.6
821548800,81.3
821635200,82.1
821721600,81.3
821808000,81.1
821894400,81.2
821980800,81.1
822067200,81.4
822153600,79.2
822240000,78.5
822326400,79.2
822412800,81.4
822499200,81.8
822585600,79.1
822672000,79.4
822758400,80.9
822844800,77.8
822931200,79.6
823017600,80.7
823104000,77.6
823190400,79.1
823276800,82.0
823363200,80.1
823449600,81.1
823536000,80.3
823622400,80.1
823708800,80.8
823795200,82.4
823881600,79.8
823968000,82.0
824054400,82.4
824140800,81.1
824227200,80.8
824313600,83.5
824400000,83.0
824486400,81.8
824572800,83.4
824659200,81.4
824745600,83.5
824832000,83.9
824918400,83.5
825004800,82.0
825091200,80.3
825177600,78.4
825264000,80.3
825350400,81.7
825436800,81.2
825523200,82.9
825609600,81.5
825696000,81.7
825782400,81.2
825868800,82.8
825955200,81.4
826041600,81.7
826128000,83.8
826214400,83.1
826300800,81.7
826387200,79.6
826473600,81.4
826560000,84.1
826646400,83.3
826732800,83.2
826819200,83.5
826905600,81.1
826992000,81.5
827078400,81.6
827164800,76.9
827251200,80.1
827337600,77.5
827424000,80.8
827510400,80.6
827596800,81.6
827683200,80.3
827769600,81.9
827856000,83.0
827942400,82.0
828028800,81.4
828115200,83.4
828201600,82.4
828288000,80.2
828374400,80.4
828460800,83.1
828547200,79.9
828633600,78.5
828720000,81.1
828806400,85.6
828892800,83.4
828979200,84.2
829065600,81.1
829152000,83.6
829238400,82.2
829324800,82.8
829411200,83.5
829497600,82.7
