timestamp,value
788889600,51.3
788976000,48.6
789062400,48.3
789148800,45.9
789235200,46.4
789321600,47.5
789408000,50.7
789494400,52.1
789580800,50.7
789667200,46.4
789753600,47.0
789840000,43.0
789926400,42.7
790012800,44.5
790099200,45.6
790185600,47.8
790272000,48.7
790358400,48.3
790444800,47.9
790531200,47.5
790617600,48.9
790704000,46.3
790790400,49.3
790876800,48.0
790963200,49.4
791049600,47.7
791136000,46.8
791222400,47.5
791308800,46.3
791395200,49.3
791481600,49.3
791568000,51.0
791654400,51.1
791740800,50.6
791827200,52.7
791913600,48.3
792000000,50.0
792086400,48.9
792172800,49.6
792259200,49.2
792345600,50.9
792432000,49.6
792518400,50.5
792604800,48.6
792691200,48.6
792777600,47.6
792864000,46.5
792950400,46.7
793036800,48.3
793123200,47.2
793209600,48.2
793296000,48.4
793382400,46.2
793468800,45.2
793555200,43.2
793641600,44.1
793728000,45.1
793814400,44.0
793900800,44.1
793987200,44.9
794073600,45.3
794160000,47.9
794246400,48.0
794332800,47.0
794419200,48.4
794505600,47.9
794592000,47.4
794678400,45.0
794764800,46.4
794851200,46.6
794937600,47.0
795024000,45.0
795110400,45.1
795196800,46.2
795283200,46.4
795369600,46.4
795456000,44.7
795542400,46.4
795628800,46.3
795715200,46.0
795801600,47.2
795888000,47.8
795974400,47.5
796060800,46.0
796147200,45.9
796233600,45.7
796320000,47.6
796406400,45.7
796492800,46.7
796579200,48.5
796665600,48.7
796752000,48.4
796838400,48.9
796924800,47.8
797011200,47.7
797097600,49.5
797184000,48.4
797270400,48.9
797356800,49.2
797443200,47.7
797529600,46.5
797616000,48.4
797702400,49.2
797788800,47.4
797875200,46.7
797961600,49.1
798048000,46.7
798134400,48.1
798220800,44.9
798307200,42.3
798393600,41.9
798480000,46.6
798566400,45.6
798652800,45.0
798739200,44.9
798825600,45.4
798912000,47.2
798998400,46.6
799084800,45.7
799171200,45.2
799257600,45.4
799344000,43.5
799430400,43.5
799516800,44.2
799603200,44.9
799689600,43.1
799776000,43.6
799862400,41.1
799948800,41.7
800035200,44.3
800121600,47.0
800208000,47.6
800294400,45.8
800380800,47.1
800467200,45.3
800553600,44.1
800640000,43.2
800726400,42.8
800812800,46.8
800899200,46.5
800985600,46.7
801072000,44.4
801158400,42.7
801244800,41.6
801331200,41.0
801417600,42.8
801504000,43.8
801590400,44.2
801676800,42.6
801763200,42.5
801849600,42.8
801936000,44.1
802022400,44.3
802108800,42.5
802195200,42.1
802281600,44.1
802368000,43.0
802454400,41.1
802540800,41.1
802627200,41.7
802713600,41.0
802800000,42.1
802886400,41.2
802972800,42.1
803059200,39.8
803145600,44.2
803232000,41.5
803318400,39.8
803404800,40.4
803491200,40.5
803577600,41.2
803664000,41.8
803750400,38.9
803836800,38.1
803923200,34.7
804009600,35.4
804096000,38.1
804182400,38.1
804268800,37.7
804355200,40.2
804441600,42.8
804528000,43.7
804614400,44.7
804700800,41.7
804787200,43.4
804873600,43.3
804960000,44.8
805046400,43.8
805132800,44.2
805219200,43.1
805305600,41.7
805392000,42.4
805478400,42.8
805564800,42.2
805651200,41.9
805737600,43.4
805824000,42.5
805910400,40.2
805996800,42.1
806083200,39.8
806169600,37.3
806256000,39.5
806342400,39.5
806428800,38.9
806515200,41.8
806601600,42.7
806688000,42.8
806774400,43.0
806860800,42.4
806947200,43.2
807033600,40.5
807120000,43.1
807206400,44.3
807292800,44.0
807379200,46.4
807465600,45.4
807552000,46.1
807638400,44.0
807724800,44.8
807811200,44.9
807897600,46.0
807984000,44.5
808070400,44.0
808156800,45.3
808243200,46.8
808329600,45.6
808416000,44.7
808502400,41.4
808588800,38.1
808675200,42.2
808761600,41.1
808848000,42.1
808934400,43.9
809020800,45.4
809107200,47.3
809193600,47.5
809280000,46.9
809366400,45.4
809452800,46.6
809539200,45.1
809625600,45.7
809712000,45.7
809798400,42.8
809884800,45.0
809971200,43.5
810057600,43.8
810144000,42.1
810230400,41.4
810316800,43.2
810403200,43.8
810489600,42.5
810576000,45.4
810662400,46.1
810748800,47.9
810835200,45.4
810921600,45.9
811008000,41.3
811094400,43.5
811180800,45.2
811267200,46.8
811353600,46.8
811440000,45.9
811526400,44.2
811612800,47.1
811699200,46.3
811785600,43.9
811872000,44.5
811958400,43.5
812044800,43.4
812131200,47.6
812217600,45.7
812304000,44.8
812390400,44.6
812476800,45.4
812563200,44.5
812649600,45.1
812736000,46.9
812822400,47.4
812908800,45.8
812995200,47.7
813081600,49.5
813168000,48.4
813254400,46.7
813340800,47.0
813427200,48.7
813513600,49.3
813600000,50.5
813686400,48.8
813772800,47.4
813859200,50.0
813945600,47.1
814032000,48.1
814118400,48.7
814204800,47.6
814291200,48.2
814377600,48.5
814464000,46.4
814550400,50.2
814636800,47.1
814723200,46.5
814809600,47.2
814896000,47.7
814982400,47.5
815068800,48.3
815155200,47.6
815241600,49.5
815328000,50.0
815414400,47.1
815500800,48.4
815587200,48.8
815673600,50.5
815760000,47.3
815846400,45.8
815932800,46.2
816019200,46.9
816105600,49.0
816192000,48.7
816278400,48.6
816364800,49.5
816451200,47.6
816537600,48.4
816624000,42.2
816710400,45.9
816796800,47.0
816883200,42.7
816969600,44.2
817056000,48.8
817142400,48.7
817228800,49.1
817315200,49.6
817401600,48.1
817488000,46.2
817574400,46.8
817660800,47.7
817747200,47.3
817833600,47.0
817920000,48.4
818006400,47.2
818092800,45.9
818179200,46.2
818265600,45.1
818352000,43.4
818438400,42.7
818524800,46.3
818611200,47.3
818697600,43.4
818784000,45.3
818870400,46.3
818956800,45.3
819043200,47.7
819129600,48.9
819216000,48.9
819302400,48.8
819388800,48.3
819475200,48.5
819561600,48.0
819648000,46.8
819734400,48.1
819820800,47.0
819907200,44.6
819993600,42.8
820080000,45.4
820166400,44.3
820252800,45.1
820339200,46.5
820425600,46.4
820512000,46.5
820598400,48.0
820684800,48.9
820771200,49.9
820857600,46.8
820944000,46.6
821030400,48.9
821116800,50.4
821203200,49.6
821289600,50.0
821376000,47.9
821462400,47.7
821548800,45.5
821635200,45.0
821721600,44.6
821808000,45.5
821894400,45.7
821980800,43.9
822067200,45.3
822153600,45.8
822240000,48.1
822326400,46.2
822412800,43.8
822499200,45.1
822585600,42.4
822672000,43.0
822758400,42.6
822844800,43.9
822931200,42.8
823017600,41.9
823104000,42.8
823190400,44.1
823276800,45.3
823363200,48.2
823449600,48.9
823536000,47.6
823622400,46.6
823708800,44.9
823795200,45.6
823881600,47.5
823968000,47.2
824054400,44.4
824140800,45.5
824227200,45.1
824313600,45.5
824400000,47.5
824486400,46.6
824572800,46.1
824659200,47.6
824745600,48.9
824832000,47.5
824918400,46.9
825004800,47.0
825091200,47.2
825177600,46.5
825264000,45.2
825350400,46.6
825436800,48.3
825523200,47.2
825609600,46.7
825696000,51.1
825782400,47.4
825868800,45.3
825955200,44.4
826041600,45.8
826128000,46.0
826214400,47.3
826300800,47.0
826387200,47.2
826473600,48.2
826560000,49.0
826646400,51.1
826732800,49.4
826819200,48.2
826905600,48.6
826992000,48.2
827078400,44.0
827164800,44.4
827251200,43.6
827337600,44.1
827424000,46.8
827510400,46.2
827596800,45.3
827683200,48.7
827769600,44.0
827856000,44.8
827942400,44.2
828028800,46.6
828115200,48.3
828201600,45.6
828288000,45.4
828374400,47.0
828460800,43.8
828547200,42.1
828633600,43.8
828720000,45.7
828806400,45.9
828892800,45.4
828979200,46.6
829065600,45.1
829152000,47.1
829238400,48.0
829324800,44.8
829411200,46.5
829497600,46.9
829584000,46.2
829670400,44.6
829756800,45.3
829843200,44.9
829929600,44.3
830016000,43.1
830102400,43.9
830188800,45.4
830275200,45.2
830361600,46.4
830448000,44.3
830534400,45.8
830620800,45.5
830707200,44.9
830793600,43.8
830880000,43.8
830966400,43.8
831052800,44.0
831139200,43.7
831225600,44.3
831312000,47.1
831398400,45.8
831484800,44.4
831571200,44.7
831657600,45.7
831744000,45.8
831830400,45.7
831916800,45.7
832003200,46.8
832089600,42.5
832176000,39.8
832262400,40.0
832348800,42.2
832435200,42.7
832521600,43.1
832608000,41.2
832694400,42.1
832780800,39.3
832867200,43.3
832953600,42.0
833040000,39.7
833126400,41.2
833212800,42.5
833299200,40.2
833385600,42.9
833472000,41.2
833558400,41.4
833644800,42.0
833731200,41.7
833817600,39.5
833904000,37.8
833990400,36.1
834076800,39.1
834163200,38.2
834249600,38.3
834336000,39.4
834422400,41.2
834508800,41.5
834595200,41.4
834681600,41.9
834768000,40.8
834854400,40.2
834940800,39.0
835027200,39.9
835113600,44.7
835200000,45.1
835286400,46.0
835372800,44.2
835459200,45.0
835545600,44.5
835632000,43.1
835718400,40.2
835804800,36.2
835891200,35.8
835977600,36.3
836064000,35.6
836150400,38.6
836236800,41.2
836323200,40.6
836409600,39.4
836496000,40.9
836582400,40.9
836668800,39.1
836755200,37.8
836841600,37.4
836928000,39.9
837014400,36.6
837100800,37.6
837187200,35.8
837273600,35.7
837360000,38.5
837446400,40.4
837532800,40.9
837619200,39.4
837705600,40.3
837792000,43.0
837878400,40.6
837964800,41.7
838051200,42.4
838137600,43.1
838224000,41.8
838310400,39.2
838396800,35.9
838483200,36.0
838569600,39.9
838656000,39.6
838742400,38.7
838828800,38.5
838915200,40.3
839001600,39.7
839088000,41.2
839174400,42.2
839260800,41.4
839347200,42.1
839433600,43.7
839520000,43.6
839606400,43.0
839692800,45.0
839779200,44.0
839865600,43.4
839952000,43.6
840038400,42.8
840124800,41.5
840211200,39.6
840297600,39.6
840384000,39.3
840470400,39.5
840556800,40.1
840643200,41.7
840729600,43.0
840816000,44.1
840902400,44.7
840988800,44.1
841075200,45.3
841161600,40.6
841248000,39.1
841334400,40.4
841420800,38.9
841507200,39.1
841593600,42.0
841680000,42.2
841766400,43.7
841852800,43.3
841939200,43.2
842025600,41.0
842112000,42.6
842198400,43.8
842284800,42.7
842371200,44.0
842457600,46.7
842544000,45.0
842630400,43.1
842716800,42.5
842803200,43.6
842889600,45.6
842976000,48.1
843062400,45.6
843148800,43.6
843235200,45.6
843321600,46.3
843408000,45.8
843494400,43.8
843580800,43.4
843667200,43.7
843753600,38.8
843840000,41.0
843926400,40.8
844012800,44.1
844099200,45.3
844185600,44.9
844272000,43.9
844358400,44.9
844444800,46.5
844531200,45.8
844617600,46.4
844704000,45.2
844790400,47.2
844876800,49.7
844963200,48.2
845049600,48.1
845136000,45.5
845222400,46.6
845308800,45.6
845395200,46.9
845481600,49.3
845568000,48.4
845654400,49.3
845740800,47.0
845827200,45.8
845913600,47.0
846000000,44.9
846086400,45.4
846172800,45.4
846259200,45.6
846345600,48.4
846432000,47.7
846518400,45.8
846604800,44.9
846691200,47.9
846777600,47.3
846864000,48.8
846950400,48.9
847036800,48.4
847123200,46.3
847209600,45.5
847296000,44.0
847382400,43.6
847468800,46.7
847555200,39.9
847641600,40.1
847728000,43.1
847814400,44.1
847900800,47.5
847987200,46.9
848073600,47.0
848160000,46.3
848246400,46.3
848332800,45.5
848419200,45.3
848505600,45.1
848592000,45.7
848678400,45.1
848764800,45.3
848851200,46.9
848937600,48.2
849024000,48.0
849110400,46.8
849196800,47.3
849283200,46.9
849369600,46.3
849456000,47.7
849542400,46.7
849628800,45.3
849715200,45.9
849801600,45.5
849888000,46.2
849974400,45.3
850060800,44.6
850147200,43.3
850233600,43.5
850320000,43.3
850406400,43.1
850492800,44.5
850579200,45.1
850665600,45.0
850752000,45.4
850838400,46.7
850924800,44.5
851011200,45.6
851097600,44.7
851184000,46.3
851270400,46.0
851356800,46.2
851443200,46.4
851529600,45.9
851616000,45.1
851702400,47.2
851788800,42.4
851875200,42.5
851961600,46.1
852048000,47.0
852134400,45.9
852220800,46.7
852307200,47.6
852393600,49.6
852480000,49.1
852566400,49.6
852652800,48.8
852739200,48.0
852825600,47.3
852912000,45.9
852998400,48.2
853084800,48.3
853171200,46.2
853257600,46.0
853344000,46.6
853430400,45.1
853516800,44.7
853603200,43.2
853689600,44.7
853776000,43.9
853862400,44.1
853948800,45.3
854035200,45.1
854121600,45.4
854208000,46.6
854294400,45.9
854380800,45.2
854467200,45.3
854553600,47.1
854640000,43.2
854726400,43.5
854812800,43.4
854899200,44.4
854985600,44.5
855072000,46.4
855158400,40.5
855244800,42.3
855331200,44.4
855417600,45.1
855504000,46.0
855590400,45.0
855676800,45.3
855763200,45.3
855849600,44.8
855936000,44.5
856022400,44.2
856108800,43.5
856195200,44.6
856281600,46.4
856368000,44.9
856454400,45.0
856540800,47.4
856627200,45.8
856713600,45.8
856800000,47.5
856886400,49.5
856972800,48.3
857059200,48.0
857145600,46.7
857232000,48.2
857318400,45.3
857404800,40.9
857491200,41.0
857577600,43.1
857664000,43.2
857750400,43.3
857836800,44.7
857923200,46.6
858009600,47.0
858096000,42.3
858182400,44.6
858268800,45.4
858355200,44.4
858441600,45.5
858528000,46.6
858614400,46.8
