timestamp,value
788889600,56.6
788976000,40.4
789062400,41.3
789148800,43.0
789235200,37.1
789321600,57.6
789408000,52.7
789494400,49.0
789580800,58.7
789667200,64.4
789753600,69.7
789840000,69.4
789926400,63.1
790012800,52.7
790099200,51.6
790185600,49.8
790272000,56.7
790358400,67.3
790444800,52.4
790531200,51.1
790617600,50.7
790704000,52.5
790790400,47.2
790876800,42.4
790963200,52.4
791049600,59.2
791136000,63.8
791222400,65.3
791308800,52.0
791395200,46.0
791481600,43.2
791568000,53.7
791654400,59.6
791740800,65.1
791827200,55.7
791913600,57.0
792000000,50.4
792086400,50.5
792172800,45.0
792259200,46.0
792345600,64.3
792432000,62.5
792518400,38.5
792604800,44.4
792691200,54.6
792777600,67.5
792864000,71.3
792950400,52.4
793036800,51.1
793123200,55.3
793209600,59.8
793296000,62.8
793382400,54.9
793468800,64.4
793555200,62.3
793641600,54.3
793728000,62.4
793814400,69.6
793900800,66.4
793987200,53.1
794073600,46.5
794160000,46.4
794246400,53.1
794332800,66.8
794419200,70.4
794505600,65.6
794592000,44.6
794678400,48.5
794764800,50.1
794851200,61.4
794937600,66.6
795024000,67.0
795110400,64.6
795196800,62.9
795283200,61.6
795369600,62.4
795456000,66.0
795542400,68.9
795628800,68.8
795715200,72.3
795801600,71.6
795888000,72.8
795974400,71.2
796060800,73.4
796147200,75.8
796233600,70.2
796320000,64.9
796406400,55.0
796492800,57.3
796579200,62.7
796665600,59.4
796752000,60.6
796838400,63.0
796924800,64.5
797011200,64.5
797097600,67.1
797184000,68.9
797270400,68.7
797356800,72.7
797443200,74.1
797529600,70.0
797616000,63.7
797702400,68.4
797788800,64.4
797875200,68.7
797961600,73.0
798048000,75.6
798134400,77.5
798220800,77.7
798307200,77.8
798393600,69.3
798480000,78.5
798566400,69.9
798652800,58.5
798739200,61.2
798825600,65.1
798912000,70.1
798998400,70.0
799084800,71.1
799171200,72.7
799257600,75.5
799344000,67.8
799430400,69.1
799516800,77.6
799603200,77.8
799689600,77.9
799776000,79.8
799862400,74.6
799948800,70.7
800035200,82.1
800121600,79.6
800208000,76.9
800294400,82.5
800380800,82.7
800467200,83.0
800553600,81.4
800640000,81.7
800726400,80.8
800812800,71.2
800899200,69.2
800985600,72.4
801072000,76.3
801158400,77.2
801244800,78.1
801331200,78.9
801417600,81.4
801504000,81.0
801590400,82.4
801676800,75.5
801763200,74.8
801849600,78.4
801936000,75.7
802022400,79.6
802108800,81.7
802195200,82.7
802281600,83.5
802368000,82.9
802454400,83.1
802540800,83.7
802627200,85.0
802713600,84.3
802800000,82.0
802886400,75.5
802972800,72.9
803059200,76.8
803145600,77.2
803232000,78.0
803318400,79.9
803404800,79.7
803491200,80.4
803577600,82.0
803664000,84.0
803750400,85.2
803836800,81.2
803923200,82.9
804009600,84.3
804096000,83.1
804182400,83.0
804268800,80.9
804355200,77.3
804441600,74.5
804528000,77.5
804614400,81.3
804700800,82.9
804787200,83.7
804873600,82.9
804960000,77.1
805046400,84.9
805132800,84.1
805219200,87.0
805305600,87.2
805392000,87.5
805478400,85.0
805564800,85.8
805651200,80.0
805737600,81.0
805824000,82.2
805910400,83.7
805996800,84.3
806083200,83.3
806169600,84.5
806256000,86.7
806342400,87.4
806428800,86.3
806515200,86.6
806601600,86.4
806688000,86.4
806774400,87.9
806860800,87.2
806947200,81.4
807033600,79.4
807120000,79.8
807206400,80.0
807292800,81.8
807379200,86.1
807465600,85.1
807552000,83.4
807638400,82.5
807724800,82.2
807811200,83.7
807897600,83.2
807984000,84.7
808070400,83.2
808156800,84.7
808243200,82.0
808329600,81.4
808416000,82.7
808502400,86.2
808588800,87.0
808675200,83.9
808761600,82.3
808848000,86.1
808934400,82.7
809020800,84.2
809107200,83.0
809193600,83.6
809280000,86.7
809366400,85.7
809452800,83.5
809539200,81.7
809625600,86.3
809712000,83.0
809798400,83.7
809884800,83.5
809971200,86.9
810057600,83.7
810144000,82.4
810230400,78.3
810316800,80.0
810403200,80.5
810489600,81.1
810576000,82.4
810662400,80.6
810748800,77.9
810835200,81.0
810921600,82.1
811008000,82.8
811094400,82.5
811180800,84.5
811267200,82.2
811353600,80.4
811440000,83.3
811526400,82.7
811612800,79.2
811699200,68.6
811785600,64.2
811872000,70.8
811958400,73.7
812044800,76.2
812131200,78.1
812217600,78.2
812304000,76.2
812390400,79.5
812476800,81.7
812563200,78.8
812649600,73.0
812736000,74.1
812822400,73.8
812908800,70.5
812995200,66.7
813081600,66.7
813168000,68.4
813254400,68.8
813340800,73.7
813427200,74.0
813513600,76.2
813600000,74.1
813686400,65.7
813772800,65.8
813859200,68.3
813945600,72.2
814032000,72.0
814118400,69.2
814204800,59.2
814291200,64.1
814377600,72.5
814464000,69.7
814550400,66.5
814636800,73.1
814723200,78.9
814809600,70.6
814896000,63.3
814982400,58.7
815068800,63.4
815155200,73.3
815241600,74.4
815328000,58.8
815414400,50.6
815500800,52.0
815587200,62.7
815673600,77.9
815760000,65.5
815846400,56.5
815932800,70.6
816019200,66.1
816105600,48.5
816192000,60.0
816278400,59.9
816364800,55.4
816451200,58.7
816537600,56.4
816624000,62.9
816710400,62.6
816796800,67.5
816883200,64.2
816969600,56.8
817056000,64.8
817142400,60.3
817228800,50.5
817315200,58.4
817401600,70.8
817488000,56.9
817574400,45.1
817660800,47.1
817747200,54.1
817833600,66.8
817920000,71.9
818006400,71.5
818092800,71.3
818179200,74.1
818265600,60.7
818352000,58.8
818438400,50.6
818524800,37.1
818611200,40.2
818697600,53.9
818784000,63.2
818870400,67.3
818956800,66.6
819043200,70.5
819129600,65.6
819216000,66.2
819302400,50.0
819388800,44.6
819475200,41.9
819561600,42.8
819648000,39.4
819734400,37.0
819820800,47.7
819907200,42.7
819993600,46.0
820080000,42.3
820166400,38.0
820252800,47.1
820339200,61.3
820425600,62.7
820512000,49.6
820598400,40.6
820684800,42.7
820771200,59.9
820857600,52.2
820944000,36.3
821030400,31.8
821116800,41.0
821203200,47.6
821289600,59.8
821376000,53.5
821462400,50.3
821548800,55.2
821635200,62.5
821721600,63.1
821808000,66.3
821894400,59.2
821980800,33.8
822067200,38.9
822153600,53.8
822240000,52.9
822326400,64.4
822412800,52.6
822499200,45.6
822585600,61.1
822672000,46.1
822758400,41.4
822844800,59.6
