timestamp,value
788889600,30.2
788976000,17.7
789062400,18.6
789148800,6.5
789235200,6.0
789321600,19.6
789408000,22.2
789494400,20.6
789580800,16.5
789667200,17.7
789753600,28.0
789840000,41.7
789926400,45.7
790012800,46.4
790099200,35.8
790185600,28.3
790272000,29.3
790358400,37.3
790444800,37.0
790531200,36.0
790617600,30.0
790704000,26.9
790790400,28.5
790876800,28.9
790963200,24.6
791049600,22.4
791136000,20.6
791222400,21.9
791308800,18.9
791395200,12.3
791481600,26.6
791568000,32.9
791654400,27.6
791740800,17.2
791827200,23.0
791913600,5.2
792000000,9.1
792086400,15.9
792172800,11.3
792259200,18.1
792345600,29.1
792432000,10.2
792518400,3.4
792604800,14.9
792691200,13.0
792777600,26.1
792864000,29.7
792950400,23.3
793036800,33.6
793123200,38.5
793209600,31.7
793296000,26.7
793382400,27.6
793468800,34.0
793555200,26.0
793641600,26.3
793728000,18.3
793814400,26.2
793900800,27.5
793987200,20.2
794073600,12.7
794160000,17.3
794246400,20.8
794332800,30.6
794419200,32.0
794505600,30.6
794592000,23.4
794678400,17.9
794764800,24.3
794851200,46.5
794937600,50.4
795024000,58.7
795110400,62.6
795196800,52.5
795283200,47.0
795369600,38.2
795456000,36.6
795542400,45.0
795628800,49.1
795715200,39.6
795801600,39.7
795888000,34.4
795974400,34.4
796060800,36.3
796147200,39.2
796233600,37.1
796320000,34.8
796406400,36.4
796492800,35.9
796579200,32.9
796665600,32.8
796752000,37.6
796838400,45.7
796924800,31.7
797011200,22.1
797097600,42.2
797184000,36.2
797270400,38.2
797356800,36.0
797443200,34.8
797529600,45.2
797616000,48.2
797702400,38.6
797788800,40.5
797875200,40.1
797961600,46.1
798048000,48.2
798134400,46.5
798220800,49.3
798307200,37.6
798393600,46.7
798480000,44.3
798566400,42.7
798652800,43.6
798739200,45.7
798825600,42.9
798912000,47.5
798998400,44.3
799084800,47.6
799171200,46.1
799257600,40.9
799344000,50.0
799430400,51.9
799516800,51.9
799603200,50.2
799689600,49.0
799776000,52.7
799862400,50.5
799948800,49.8
800035200,56.9
800121600,54.4
800208000,56.2
800294400,59.9
800380800,61.9
800467200,58.8
800553600,60.0
800640000,63.6
800726400,53.1
800812800,57.4
800899200,59.9
800985600,55.9
801072000,55.2
801158400,59.7
801244800,54.5
801331200,53.2
801417600,53.0
801504000,56.6
801590400,65.1
801676800,58.1
801763200,60.0
801849600,64.6
801936000,65.8
802022400,64.0
802108800,61.7
802195200,61.6
802281600,64.8
