timestamp,value
788889600,42.7
788976000,43.2
789062400,42.0
789148800,39.8
789235200,41.7
789321600,45.1
789408000,44.1
789494400,46.5
789580800,50.3
789667200,50.1
789753600,52.2
789840000,47.5
789926400,49.0
790012800,51.1
790099200,54.5
790185600,45.9
790272000,44.0
790358400,41.9
790444800,42.9
790531200,48.1
790617600,47.7
790704000,43.1
790790400,46.6
790876800,46.2
790963200,48.1
791049600,49.9
791136000,48.9
791222400,49.9
791308800,49.4
791395200,50.0
791481600,51.3
791568000,56.8
791654400,60.2
791740800,59.1
791827200,57.5
791913600,56.2
792000000,56.0
792086400,54.9
792172800,56.9
792259200,53.5
792345600,52.9
792432000,55.0
792518400,57.0
792604800,57.8
792691200,58.5
792777600,51.0
792864000,50.1
792950400,53.2
793036800,56.4
793123200,60.6
793209600,62.6
793296000,62.0
793382400,62.0
793468800,62.2
793555200,62.9
793641600,62.8
793728000,59.8
793814400,61.5
793900800,60.3
793987200,55.0
794073600,54.2
794160000,57.2
794246400,58.4
794332800,62.7
794419200,56.2
794505600,50.8
794592000,55.9
794678400,58.8
794764800,64.8
794851200,59.3
794937600,54.9
795024000,56.6
795110400,59.5
795196800,63.4
795283200,65.1
795369600,66.3
795456000,66.5
795542400,70.1
795628800,69.0
795715200,66.1
795801600,52.2
795888000,53.9
795974400,43.3
796060800,48.7
796147200,50.6
796233600,52.8
796320000,57.5
796406400,54.8
796492800,55.2
796579200,57.1
796665600,60.8
796752000,64.6
796838400,66.9
796924800,67.2
797011200,70.2
797097600,73.4
797184000,70.3
797270400,67.9
797356800,61.7
797443200,57.4
797529600,61.0
797616000,65.3
797702400,71.7
797788800,59.4
797875200,59.2
797961600,58.0
798048000,52.3
798134400,56.8
798220800,54.1
798307200,58.3
798393600,55.1
798480000,63.5
798566400,64.7
798652800,66.5
798739200,70.0
798825600,74.5
798912000,75.0
798998400,72.3
799084800,74.6
799171200,76.7
799257600,76.9
799344000,73.5
799430400,70.9
799516800,73.3
799603200,62.1
799689600,56.7
799776000,59.8
799862400,62.2
799948800,69.0
800035200,73.9
800121600,75.3
800208000,73.4
800294400,65.7
800380800,62.2
800467200,66.9
800553600,67.5
800640000,70.0
800726400,75.8
800812800,77.7
800899200,81.1
800985600,81.6
801072000,77.6
801158400,70.0
801244800,64.7
801331200,62.8
801417600,72.3
801504000,75.1
801590400,68.9
801676800,75.8
801763200,79.7
801849600,82.8
801936000,86.6
802022400,81.2
802108800,80.1
802195200,80.9
802281600,86.5
802368000,73.6
802454400,65.9
802540800,61.8
802627200,70.4
802713600,77.5
802800000,83.8
802886400,91.2
802972800,93.0
803059200,91.5
803145600,84.0
803232000,67.8
803318400,64.1
803404800,72.1
803491200,81.4
803577600,82.9
803664000,80.2
803750400,81.1
803836800,85.8
803923200,89.1
804009600,90.4
804096000,92.6
804182400,94.4
804268800,92.8
804355200,90.4
804441600,85.7
804528000,88.1
804614400,87.0
804700800,89.8
804787200,91.1
804873600,90.1
804960000,95.4
805046400,94.0
805132800,97.1
805219200,95.4
805305600,94.2
805392000,93.3
805478400,92.8
805564800,89.1
805651200,89.0
805737600,91.7
805824000,91.3
805910400,86.4
805996800,88.6
806083200,91.9
806169600,91.5
806256000,89.2
806342400,90.4
806428800,90.7
806515200,93.5
806601600,95.1
806688000,95.5
806774400,100.3
806860800,99.5
806947200,101.1
807033600,100.6
807120000,98.2
807206400,96.7
807292800,98.7
807379200,100.0
807465600,99.0
807552000,97.0
807638400,96.9
807724800,98.8
807811200,99.7
807897600,97.6
807984000,98.1
808070400,94.0
808156800,92.9
808243200,90.5
808329600,95.0
808416000,93.2
808502400,92.7
808588800,90.4
808675200,88.7
808761600,90.4
808848000,87.3
808934400,83.2
809020800,89.6
809107200,90.6
809193600,91.9
809280000,92.8
809366400,89.2
809452800,90.2
809539200,91.7
809625600,92.9
809712000,95.1
809798400,93.3
809884800,94.0
809971200,86.5
810057600,92.0
810144000,95.5
810230400,93.6
810316800,90.8
810403200,85.8
810489600,90.4
810576000,85.6
810662400,84.8
810748800,83.6
810835200,84.5
810921600,85.7
811008000,86.0
811094400,85.9
811180800,87.5
811267200,88.8
811353600,82.2
811440000,83.4
811526400,85.6
811612800,85.2
811699200,78.2
811785600,78.8
811872000,81.6
811958400,79.7
812044800,79.9
812131200,79.6
812217600,78.3
812304000,73.8
812390400,70.9
812476800,69.3
812563200,72.7
812649600,73.8
812736000,78.3
812822400,66.6
812908800,63.2
812995200,66.8
813081600,69.4
813168000,70.9
813254400,71.9
813340800,72.7
813427200,80.6
813513600,75.4
813600000,68.3
813686400,68.9
813772800,74.1
813859200,73.3
813945600,72.6
814032000,72.8
814118400,71.9
814204800,70.5
814291200,68.9
814377600,58.0
814464000,55.8
814550400,58.1
814636800,61.4
814723200,68.5
814809600,67.1
814896000,69.6
814982400,69.0
815068800,70.6
815155200,68.8
815241600,61.4
815328000,58.5
815414400,56.2
815500800,53.5
815587200,58.3
815673600,61.0
815760000,60.1
815846400,61.3
815932800,67.1
816019200,59.2
816105600,57.7
816192000,60.8
816278400,64.6
816364800,64.1
816451200,62.4
816537600,61.8
816624000,60.8
816710400,59.8
816796800,58.8
816883200,58.3
816969600,60.7
817056000,59.0
817142400,59.3
817228800,59.2
817315200,68.7
817401600,56.1
817488000,47.9
817574400,51.0
817660800,53.4
817747200,52.1
817833600,53.6
817920000,50.0
818006400,51.3
818092800,52.3
818179200,52.8
818265600,54.0
818352000,55.1
818438400,51.1
818524800,49.6
818611200,51.1
818697600,60.4
818784000,61.8
818870400,57.5
818956800,49.0
819043200,49.2
819129600,52.1
819216000,45.0
819302400,42.0
819388800,43.9
819475200,41.9
819561600,38.6
819648000,40.8
819734400,41.3
819820800,40.0
819907200,41.2
819993600,41.3
820080000,43.5
820166400,44.6
820252800,47.3
820339200,51.1
820425600,56.0
820512000,51.3
820598400,43.5
820684800,43.3
820771200,44.4
820857600,45.2
820944000,47.5
821030400,48.4
821116800,48.1
821203200,54.6
821289600,55.3
821376000,51.4
821462400,50.6
821548800,49.0
821635200,51.4
821721600,51.5
821808000,59.2
821894400,43.5
821980800,43.1
822067200,49.8
822153600,47.8
822240000,48.7
822326400,40.7
822412800,42.5
822499200,50.3
822585600,42.6
822672000,39.3
822758400,54.8
822844800,52.4
822931200,51.3
823017600,50.2
823104000,50.5
823190400,48.8
823276800,50.1
823363200,47.9
823449600,55.2
823536000,55.8
823622400,60.5
823708800,60.0
823795200,59.8
823881600,60.2
823968000,61.0
824054400,64.0
824140800,64.0
824227200,59.0
824313600,59.7
824400000,64.6
824486400,64.6
824572800,67.3
824659200,64.1
824745600,63.1
824832000,56.8
824918400,53.6
825004800,46.1
825091200,47.0
825177600,49.7
825264000,38.9
825350400,36.8
825436800,43.0
825523200,43.5
825609600,47.9
825696000,49.1
825782400,51.4
825868800,59.2
825955200,60.2
826041600,55.4
826128000,54.0
826214400,58.2
826300800,63.5
826387200,63.5
826473600,64.5
826560000,62.5
826646400,53.6
826732800,51.7
826819200,57.3
826905600,64.6
826992000,69.6
827078400,68.8
827164800,63.8
827251200,65.9
827337600,68.2
827424000,71.8
827510400,61.2
827596800,55.0
827683200,59.7
827769600,58.1
827856000,58.8
827942400,63.9
828028800,55.4
828115200,57.7
828201600,62.7
828288000,68.9
828374400,67.7
828460800,63.1
828547200,65.9
828633600,67.2
828720000,64.9
828806400,69.7
828892800,74.3
828979200,76.2
829065600,71.5
829152000,69.1
829238400,68.9
829324800,61.6
829411200,62.2
829497600,61.6
829584000,69.9
829670400,67.5
829756800,66.4
829843200,61.4
829929600,63.8
830016000,60.4
830102400,65.2
830188800,71.6
830275200,78.3
830361600,82.1
830448000,78.9
830534400,84.6
830620800,72.4
830707200,66.6
830793600,71.4
830880000,81.5
830966400,82.3
831052800,81.8
831139200,79.7
831225600,80.3
831312000,81.0
831398400,83.2
831484800,79.6
831571200,77.7
831657600,79.5
831744000,82.4
831830400,86.4
831916800,90.2
832003200,88.4
832089600,83.6
832176000,79.7
832262400,74.9
832348800,82.8
832435200,77.2
832521600,75.0
832608000,78.4
832694400,77.9
832780800,74.1
832867200,61.7
832953600,59.0
833040000,62.2
833126400,72.1
833212800,73.3
833299200,77.0
833385600,78.8
833472000,79.0
833558400,75.2
833644800,89.7
833731200,88.0
833817600,96.9
833904000,97.0
833990400,97.7
834076800,90.2
834163200,90.3
834249600,94.6
834336000,94.0
834422400,95.0
834508800,92.8
834595200,92.8
834681600,93.7
834768000,88.4
834854400,94.4
834940800,90.6
835027200,90.6
835113600,93.7
835200000,95.9
835286400,86.8
835372800,84.0
835459200,84.0
835545600,91.4
835632000,85.8
835718400,80.5
835804800,73.1
835891200,76.5
835977600,83.1
836064000,88.6
836150400,91.1
836236800,94.6
836323200,97.2
836409600,95.1
836496000,96.0
836582400,97.6
836668800,97.3
836755200,95.4
836841600,95.3
836928000,93.2
837014400,90.1
837100800,90.9
837187200,92.5
837273600,94.1
837360000,88.0
837446400,88.5
837532800,91.2
837619200,91.7
837705600,91.7
837792000,93.6
837878400,96.2
837964800,101.0
838051200,99.9
838137600,98.0
838224000,99.5
838310400,96.1
838396800,89.6
838483200,89.3
838569600,86.9
838656000,93.5
838742400,97.2
838828800,97.7
838915200,98.6
839001600,98.2
839088000,87.1
839174400,89.7
839260800,88.6
839347200,89.2
839433600,91.1
839520000,94.4
839606400,96.1
839692800,96.0
839779200,96.8
839865600,95.2
839952000,97.5
840038400,95.9
840124800,95.1
840211200,90.1
840297600,93.8
840384000,90.6
840470400,90.5
840556800,90.3
840643200,91.1
840729600,90.7
840816000,91.4
840902400,90.5
840988800,92.7
841075200,92.8
841161600,90.3
841248000,92.5
841334400,93.2
841420800,93.8
841507200,94.5
841593600,92.3
841680000,92.5
841766400,90.6
841852800,87.7
841939200,82.5
842025600,83.4
842112000,85.9
842198400,86.8
842284800,86.9
842371200,84.2
842457600,85.7
842544000,80.8
842630400,74.3
842716800,79.4
842803200,76.8
842889600,70.0
842976000,68.9
843062400,68.8
843148800,73.1
843235200,77.4
843321600,84.1
843408000,82.2
843494400,81.3
843580800,80.6
843667200,80.8
843753600,75.3
843840000,72.1
843926400,75.4
844012800,77.7
844099200,79.0
844185600,75.4
844272000,73.3
844358400,76.3
844444800,77.7
844531200,77.6
844617600,79.8
844704000,80.4
844790400,79.0
