timestamp,value
788889600,43.0
788976000,21.8
789062400,23.6
789148800,18.6
789235200,11.3
789321600,26.7
789408000,33.1
789494400,28.8
789580800,34.6
789667200,37.4
789753600,49.5
789840000,59.0
789926400,59.7
790012800,58.5
790099200,47.4
790185600,35.8
790272000,37.6
790358400,45.2
790444800,49.1
790531200,33.1
790617600,25.7
790704000,25.5
790790400,26.2
790876800,22.6
790963200,26.6
791049600,27.3
791136000,29.4
791222400,34.9
791308800,24.8
791395200,25.1
791481600,24.9
791568000,37.5
791654400,39.6
791740800,35.1
791827200,28.6
791913600,18.5
792000000,12.1
792086400,18.4
792172800,14.3
792259200,15.8
792345600,32.2
792432000,27.5
792518400,11.9
792604800,18.8
792691200,28.9
792777600,41.8
792864000,38.5
792950400,34.2
793036800,39.2
793123200,46.0
793209600,44.5
793296000,38.2
793382400,34.0
793468800,53.5
793555200,39.2
793641600,37.5
793728000,54.4
793814400,55.4
793900800,48.2
793987200,35.1
794073600,26.7
794160000,28.4
794246400,35.1
794332800,46.9
794419200,52.7
794505600,62.1
794592000,33.6
794678400,27.0
794764800,30.2
794851200,49.4
794937600,54.8
795024000,61.4
795110400,63.8
795196800,60.9
795283200,59.4
795369600,58.4
795456000,50.2
795542400,55.5
795628800,60.5
795715200,51.8
795801600,53.7
795888000,51.6
795974400,44.2
796060800,44.8
796147200,50.9
796233600,54.5
796320000,47.2
796406400,43.0
796492800,43.7
796579200,39.8
796665600,39.6
796752000,46.8
796838400,54.9
796924800,55.4
797011200,35.9
797097600,52.1
797184000,61.0
797270400,67.5
797356800,65.4
797443200,56.2
797529600,67.5
797616000,59.7
797702400,49.3
797788800,49.8
797875200,52.8
797961600,64.1
798048000,67.4
798134400,69.8
798220800,68.3
798307200,56.6
798393600,67.4
798480000,56.5
798566400,45.0
798652800,44.8
798739200,50.0
798825600,54.5
798912000,57.3
798998400,49.8
799084800,54.6
799171200,58.5
799257600,48.6
799344000,51.3
799430400,53.9
799516800,56.8
799603200,56.5
799689600,56.5
799776000,62.1
799862400,66.3
799948800,68.5
800035200,68.6
800121600,57.7
800208000,57.1
800294400,56.7
800380800,70.7
800467200,69.5
800553600,62.6
800640000,68.0
800726400,66.8
800812800,60.5
800899200,61.5
800985600,61.0
801072000,62.3
801158400,68.3
801244800,74.4
801331200,72.0
801417600,66.6
801504000,67.9
801590400,72.0
801676800,71.1
801763200,62.6
801849600,65.8
801936000,68.6
802022400,69.9
802108800,71.7
802195200,70.9
802281600,71.7
802368000,74.8
802454400,73.6
802540800,76.4
802627200,76.2
802713600,79.3
802800000,71.5
802886400,62.5
802972800,61.7
803059200,65.2
803145600,71.1
803232000,74.0
803318400,74.3
803404800,72.3
803491200,75.0
803577600,72.7
803664000,73.8
803750400,72.4
803836800,71.2
803923200,73.3
804009600,73.1
804096000,72.8
804182400,73.3
804268800,75.5
804355200,73.3
804441600,73.9
804528000,71.4
804614400,67.1
804700800,67.5
804787200,75.7
804873600,75.9
804960000,73.9
805046400,73.5
805132800,69.9
805219200,71.2
805305600,75.7
805392000,78.5
805478400,80.8
805564800,84.0
805651200,84.6
805737600,83.7
805824000,76.6
805910400,80.4
805996800,77.1
806083200,75.8
806169600,76.0
806256000,76.8
806342400,76.9
806428800,76.2
806515200,74.5
806601600,75.9
806688000,78.2
806774400,78.0
806860800,76.5
806947200,82.2
807033600,82.3
807120000,82.6
807206400,80.0
807292800,78.8
807379200,82.5
807465600,81.7
807552000,78.2
807638400,73.6
807724800,75.9
807811200,73.7
807897600,75.9
807984000,75.4
808070400,80.3
808156800,80.2
808243200,82.6
808329600,81.6
808416000,80.5
808502400,83.1
808588800,82.7
808675200,82.5
808761600,76.3
808848000,78.9
808934400,79.1
809020800,78.6
809107200,72.4
809193600,73.6
809280000,76.5
809366400,75.0
809452800,77.6
809539200,77.2
809625600,77.0
809712000,79.0
809798400,80.0
809884800,77.4
809971200,68.5
810057600,69.5
810144000,73.6
810230400,74.0
810316800,74.8
810403200,69.9
810489600,73.4
810576000,68.8
810662400,68.5
810748800,64.4
810835200,74.6
810921600,71.8
811008000,72.2
811094400,69.5
811180800,66.6
811267200,66.8
811353600,60.6
811440000,62.4
811526400,67.9
811612800,67.0
811699200,57.1
811785600,48.9
811872000,51.7
811958400,52.5
812044800,58.9
812131200,61.4
812217600,63.7
812304000,66.3
812390400,66.8
812476800,66.6
812563200,67.6
812649600,67.0
812736000,61.7
812822400,63.9
812908800,67.7
812995200,57.5
813081600,55.0
813168000,58.2
813254400,60.1
813340800,63.6
813427200,64.8
813513600,64.1
813600000,60.7
813686400,48.9
813772800,50.2
813859200,51.6
813945600,58.2
814032000,61.0
814118400,56.0
814204800,43.8
814291200,50.2
814377600,58.1
814464000,58.1
814550400,45.1
814636800,50.6
814723200,56.9
814809600,50.2
814896000,48.8
814982400,47.0
815068800,55.5
815155200,60.7
815241600,66.3
815328000,45.1
815414400,31.8
815500800,27.8
815587200,35.8
815673600,48.8
815760000,37.1
815846400,29.4
815932800,48.5
816019200,48.8
816105600,26.0
816192000,37.3
816278400,35.4
816364800,31.6
816451200,33.3
816537600,40.1
816624000,47.1
816710400,41.7
816796800,44.5
816883200,41.4
816969600,30.6
817056000,40.6
817142400,31.3
817228800,31.2
817315200,47.0
817401600,54.7
817488000,41.0
817574400,31.2
817660800,31.4
817747200,49.9
817833600,48.1
817920000,51.5
818006400,43.4
818092800,42.9
818179200,33.9
818265600,30.7
818352000,28.3
818438400,23.4
818524800,9.2
818611200,20.0
818697600,31.8
818784000,40.1
818870400,56.5
818956800,54.0
819043200,43.2
819129600,36.5
819216000,41.2
819302400,39.2
819388800,22.3
819475200,23.7
819561600,25.6
819648000,23.9
819734400,20.6
819820800,25.9
819907200,20.6
819993600,27.7
820080000,20.9
820166400,29.4
820252800,33.0
820339200,41.3
820425600,42.1
820512000,39.3
820598400,23.2
820684800,23.0
820771200,27.8
820857600,22.6
820944000,17.9
821030400,13.3
821116800,22.1
821203200,29.1
821289600,26.0
821376000,27.5
821462400,29.2
821548800,37.5
821635200,38.5
821721600,39.0
821808000,53.0
821894400,57.7
821980800,24.3
822067200,14.7
822153600,29.5
822240000,33.7
822326400,41.1
822412800,37.0
822499200,24.3
822585600,36.1
822672000,36.8
822758400,24.3
822844800,39.2
822931200,29.6
823017600,18.8
823104000,15.7
823190400,13.3
823276800,5.1
823363200,-0.9
823449600,5.0
823536000,20.1
823622400,32.1
823708800,45.2
823795200,43.9
823881600,47.3
823968000,43.2
824054400,28.7
824140800,28.3
824227200,41.8
